"from";"to";"domain";"full";"binary";"expected";"untapped";"links.rca";"sum_from";"sum_to";"binary.pc";"th.max";"th.max.pc";"RD";"RD.added"
"Biscay (ES213)";"Alentejo (PT18)";"Materials, metallurgy";0;0;0;0;0;0;0;0;0;0;27,77;19,29
"Biscay (ES213)";"Alentejo (PT18)";"Measurement";0;0;0;0;0;0;0;0;0;0;27,44;44,01
"Biscay (ES213)";"Alentejo (PT18)";"Mechanical elements";0;0;0;0;0;0;0;0;0;0;24,75;17,37
"Biscay (ES213)";"Alentejo (PT18)";"Medical technology";0;0;0;0;0;0;0;0;0;0;27,99;5,79
"Biscay (ES213)";"Alentejo (PT18)";"Optics";0;0;0;0;0;0;0;0;0;0;30,64;6,35
"Biscay (ES213)";"Alentejo (PT18)";"Organic fine chemistry";0;0;0;0;0;0;0;0;0;0;29,12;9,06
"Biscay (ES213)";"Alentejo (PT18)";"Other consumer goods";0;0;0;0;0;0;0;0;0;0;32,39;11,53
"Biscay (ES213)";"Alentejo (PT18)";"Other special machines";0;0;0;0;0;0;0;0;0;0;42,66;2,58
"Biscay (ES213)";"Alentejo (PT18)";"Pharmaceuticals";0;0;0;0;0;0;0;0;0;0;25,14;29,06
"Biscay (ES213)";"Alentejo (PT18)";"Semiconductors";0;0;0;0;0;0;0;0;0;0;39,68;16,48
"Biscay (ES213)";"Alentejo (PT18)";"Surface technology, coating";0;0;0;0;0;0;0;0;0;0;29,56;6,64
"Biscay (ES213)";"Alentejo (PT18)";"Telecommunications";0;0;0;0;0;0;0;0;0;0;34,8;7,74
"Biscay (ES213)";"Alentejo (PT18)";"Textile and paper machines";0;0;0;0;0;0;0;0;0;0;51,78;10,49
"Biscay (ES213)";"Alentejo (PT18)";"Thermal processes and apparatus";0;0;0;0;0;0;0;0;0;0;59,83;12,88
"Biscay (ES213)";"Alentejo (PT18)";"Transport";0;0;0;0;0;0;0;0;0;0;23,65;10,49
"Biscay (ES213)";"Algarve (PT15)";"Analysis of biological materials";0;0;0;0;0;0;0;0;0;0;16,76;21,92
"Biscay (ES213)";"Algarve (PT15)";"Audio-visual technology";0;0;0;0;0;0;0;0;0;0;27,8;12,55
"Biscay (ES213)";"Algarve (PT15)";"Basic communication processes";0;0;0;0;0;0;0;0;0;0;28,8;5,69
"Biscay (ES213)";"Algarve (PT15)";"Basic materials chemistry";0;0;0;0;0;0;0;0;0;0;22,45;31,28
"Biscay (ES213)";"Algarve (PT15)";"Biotechnology";0;0;0;0;0;0;0;0;0;0;26,78;4,07
"Biscay (ES213)";"Algarve (PT15)";"Chemical engineering";0;0;0;0;0;0;0;0;0;0;29,76;7,16
"Biscay (ES213)";"Algarve (PT15)";"Civil engineering";0;0;0;0;0;0;0;0;0;0;28,66;11,97
"Biscay (ES213)";"Algarve (PT15)";"Computer technology";0;0;0;0;0;0;0;0;0;0;20,44;21,51
"Biscay (ES213)";"Algarve (PT15)";"Control";0;0;0;0;0;0;0;0;0;0;24,19;28,48
"Biscay (ES213)";"Algarve (PT15)";"Digital communication";0;0;0;0;0;0;0;0;0;0;20,69;9,3
"Biscay (ES213)";"Algarve (PT15)";"Electrical machinery, apparatus, energy";0;0;0;0;0;0;0;0;0;0;29,57;14,11
"Biscay (ES213)";"Algarve (PT15)";"Engines, pumps, turbines";0;0;0;0;0;0;0;0;0;0;23,91;31,78
"Biscay (ES213)";"Algarve (PT15)";"Environmental technology";0;0;0;0;0;0;0;0;0;0;20,84;19,67
"Biscay (ES213)";"Algarve (PT15)";"Food chemistry";0;0;0;0;0;0;0;0;0;0;69,14;12,05
"Biscay (ES213)";"Algarve (PT15)";"Furniture, games";0;0;0;0;0;0;0;0;0;0;31,29;6,62
"Biscay (ES213)";"Algarve (PT15)";"Green technologies";0;0;0;0;0;0;0;0;0;0;36,16;19,51
"Biscay (ES213)";"Algarve (PT15)";"Handling";0;0;0;0;0;0;0;0;0;0;58,45;29,19
"Biscay (ES213)";"Algarve (PT15)";"IT methods for management";0;0;0;0;0;0;0;0;0;0;24,5;22,92
"Biscay (ES213)";"Algarve (PT15)";"Machine tools";0;0;0;0;0;0;0;0;0;0;27,03;38,51
"Biscay (ES213)";"Algarve (PT15)";"Macromolecular chemistry, polymers";0;0;0;0;0;0;0;0;0;0;22,21;12,92
"Biscay (ES213)";"Algarve (PT15)";"Materials, metallurgy";0;0;0;0;0;0;0;0;0;0;27,77;27,02
"Biscay (ES213)";"Algarve (PT15)";"Measurement";0;0;0;0;0;0;0;0;0;0;27,44;11,36
"Biscay (ES213)";"Algarve (PT15)";"Mechanical elements";0;0;0;0;0;0;0;0;0;0;24,75;30,74
"Biscay (ES213)";"Algarve (PT15)";"Medical technology";0;0;0;0;0;0;0;0;0;0;27,99;34,53
"Biscay (ES213)";"Algarve (PT15)";"Optics";0;0;0;0;0;0;0;0;0;0;30,64;10,73
"Biscay (ES213)";"Algarve (PT15)";"Organic fine chemistry";0;0;0;0;0;0;0;0;0;0;29,12;9,84
"Biscay (ES213)";"Algarve (PT15)";"Other consumer goods";0;0;0;0;0;0;0;0;0;0;32,39;16,01
"Biscay (ES213)";"Algarve (PT15)";"Other special machines";0;0;0;0;0;0;0;0;0;0;42,66;18,44
"Biscay (ES213)";"Algarve (PT15)";"Pharmaceuticals";0;0;0;0;0;0;0;0;0;0;25,14;48,89
"Biscay (ES213)";"Algarve (PT15)";"Semiconductors";0;0;0;0;0;0;0;0;0;0;39,68;6,64
"Biscay (ES213)";"Algarve (PT15)";"Surface technology, coating";0;0;0;0;0;0;0;0;0;0;29,56;26,45
"Biscay (ES213)";"Algarve (PT15)";"Telecommunications";0;0;0;0;0;0;0;0;0;0;34,8;22,22
"Biscay (ES213)";"Algarve (PT15)";"Textile and paper machines";0;0;0;0;0;0;0;0;0;0;51,78;13
"Biscay (ES213)";"Algarve (PT15)";"Thermal processes and apparatus";0;0;0;0;0;0;0;0;0;0;59,83;9,34
"Biscay (ES213)";"Algarve (PT15)";"Transport";0;0;0;0;0;0;0;0;0;0;23,65;17,6
"Biscay (ES213)";"Alsace (FR42)";"Analysis of biological materials";0;0;0;0;0;0;0;0;0;0;16,76;35,86
"Biscay (ES213)";"Alsace (FR42)";"Audio-visual technology";0;0;0;0;0;0;0;0;0;0;27,8;34,82
"Biscay (ES213)";"Alsace (FR42)";"Basic communication processes";0;0;0;0;0;0;0;0;0;0;28,8;23,68
