"id";"x";"y";"label";"color";"count"
"UK";2021;0,889192886456908;"UK";"lightred";26
"AT";2011;0,774731823599523;"AT";"lightblue";26
"TW";2020;0,443005622763674;"TW";"lightblue";26
"HK";2013;0,619785458879619;"HK";"lightblue";26
"CA";2011;0,744934445768772;"CA";"lightgrey";25
"TW";2017;0,544306553450904;"TW";"lightblue";25
"TW";2016;0,554323725055432;"TW";"lightblue";25
"FR";2005;1,76928520877565;"FR";"blue";25
"CA";2013;0,572109654350417;"CA";"lightgrey";24
"CA";2009;1,04347826086957;"CA";"lightgrey";24
"TW";2018;0,49792531120332;"TW";"lightblue";24
"HK";2010;0,964630225080386;"HK";"lightblue";24
"HK";2014;0,520833333333333;"HK";"lightblue";24
"HK";2015;0,585651537335286;"HK";"lightblue";24
"CA";2015;0,561249389946315;"CA";"lightgrey";23
"CA";2010;0,92443729903537;"CA";"lightgrey";23
"FR";2004;2,1297192642788;"FR";"blue";22
"AT";2012;0,52707235265932;"AT";"lightblue";22
"TW";2011;0,65554231227652;"TW";"lightblue";22
"AT";2007;1,09835247129306;"AT";"lightblue";22
"IT";2014;0,477430555555556;"IT";"lightblue";22
"IT";2016;0,465631929046563;"IT";"lightblue";21
"HK";2016;0,465631929046563;"HK";"lightblue";21
"TW";2021;0,718194254445964;"TW";"lightblue";21
"SG";2009;0,91304347826087;"SG";"lightblue";21
"CH";2020;0,357812233770659;"CH";"lightblue";21
"SG";2012;0,503114518447532;"SG";"lightblue";21
"SG";2015;0,488042947779405;"SG";"lightblue";20
"SG";2017;0,435445242760723;"SG";"lightblue";20
"CH";2019;0,369549150036955;"CH";"lightblue";20
"CN";2006;1,06681639528355;"CN";"orange";19
"BE";2013;0,452920143027414;"BE";"lightblue";19
"SG";2019;0,351071692535107;"SG";"lightblue";19
"AT";2020;0,323734878173454;"AT";"lightblue";19
"HK";2018;0,394190871369295;"HK";"lightblue";19
"AT";2008;0,887573964497041;"AT";"lightblue";18
"BE";2012;0,431241015812171;"BE";"lightblue";18
"TW";2015;0,439238653001464;"TW";"lightblue";18
"IT";2013;0,429082240762813;"IT";"lightblue";18
"IT";2015;0,439238653001464;"IT";"lightblue";18
"FI";2017;0,391900718484651;"FI";"lightblue";18
"HK";2019;0,332594235033259;"HK";"lightblue";18
"IT";2017;0,391900718484651;"IT";"lightblue";18
"BE";2017;0,391900718484651;"BE";"lightblue";18
"TW";2007;0,898652021967049;"TW";"lightblue";18
"AU";2015;0,414836505612494;"AU";"lightblue";17
"SG";2014;0,368923611111111;"SG";"lightblue";17
"BE";2016;0,376940133037694;"BE";"lightblue";17
"CH";2006;0,954519932622122;"CH";"lightblue";17
"IL";2011;0,506555423122765;"IL";"grey";17
"BE";2015;0,390434358223524;"BE";"lightblue";16
"MY";2016;0,354767184035477;"MY";"lightblue";16
"IT";2018;0,33195020746888;"IT";"lightblue";16
"CH";2007;0,748876684972541;"CH";"lightblue";15
"SA";2019;0,277161862527716;"SA";"lightblue";15
"CH";2004;1,45208131655373;"CH";"lightblue";15
"SG";2018;0,311203319502075;"SG";"lightblue";15
"CH";2008;0,739644970414201;"CH";"lightblue";15
"RU";2012;0,359367513176809;"RU";"lightblue";15
"IT";2019;0,277161862527716;"IT";"lightblue";15
"AU";2019;0,277161862527716;"AU";"lightblue";15
"HK";2007;0,748876684972541;"HK";"lightblue";15
"CH";2005;0,990799716914367;"CH";"lightblue";14
"SG";2005;0,990799716914367;"SG";"lightblue";14
"BE";2010;0,562700964630225;"BE";"lightblue";14
"ES";2014;0,303819444444444;"ES";"lightblue";14
"BE";2018;0,29045643153527;"BE";"lightblue";14
"ES";2019;0,258684405025868;"ES";"lightblue";14
"FI";2006;0,786075238629983;"FI";"lightblue";14
"MY";2017;0,304811669932506;"MY";"lightblue";14
"IN";2016;0,310421286031042;"IN";"lightblue";14
"SG";2020;0,23854148918044;"SG";"lightblue";14
