"priority";"fua_name";"app_name";"count";"ctry"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Leia Inc";10;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Google Llc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Seurat Technologies Inc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Lumentum Operations Llc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Ayar Labs Inc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Google Inc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Clearink Displays Inc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Adolite Inc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Fyusion Inc";10;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Twitter Inc";10;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Salesforcecom Inc";10;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Dropbox Inc";10;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Facebook Inc";10;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Peopleai Inc";10;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Advanced Micro Devices Inc";9;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Pure Depth Inc";9;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Oracle International Corporation";9;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Intel Ip Corporation";9;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Waldern Jonathan David";9;"US"
"Holography";"San Jose-San Francisco-Oakland - Ca";"The Regents Of The University Of California";9;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Waymo Llc";9;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Creeled Inc";9;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Xilinx Inc";9;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Waymo Llc";9;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Paypal Inc";9;"US"
"Automotive ECUs";"San Jose-San Francisco-Oakland - Ca";"Waymo Llc";9;"US"
"Head-up displays";"San Jose-San Francisco-Oakland - Ca";"Osterhout Group Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Planet Labs Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Osterhout Group Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Tectus Corporation";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Align Technology Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Grant Alastair John";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Bio-Rad Laboratories Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Lensvector Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Western Digital Technologies Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Smule Inc";8;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Blue Jeans Network Inc";8;"US"
"Screen displays (vehicules)";"San Jose-San Francisco-Oakland - Ca";"Waymo Llc";8;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"X Development Llc";8;"US"
"Optical Components";"San Jose-San Francisco-Oakland - Ca";"Bae Systems Imaging Solutions Inc";8;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Netflix Inc";8;"US"
"Arrangement for software engineering";"San Jose-San Francisco-Oakland - Ca";"Sony Interactive Entertainment Llc";8;"US"
