Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Corporate Round - OpenAI,https://www.crunchbase.com/funding_round/openai-corporate-round--96600b97,OpenAI,https://www.crunchbase.com/organization/openai,Corporate Round,1000000000,USD,1000000000,2019-07-23,,,,,Yes,OpenAI is an AI research and deployment company that conducts research and implements machine learning.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","LGBTQ+ Founded, LGBTQ+ Led, Women Founded","San Francisco, California, United States, North America",https://www.openai.com,7,,11300120000,USD,11300120000,$1B to $10B,Microsoft,"Matthew Brown Companies, Microsoft",,2,"52,880"
Seed Round - Humanising Autonomy,https://www.crunchbase.com/funding_round/blink-humanising-autonomy-seed--b5f709e7,Humanising Autonomy,https://www.crunchbase.com/organization/blink-humanising-autonomy,Seed,5300000,USD,5300000,2019-06-19,Seed,,,,Yes,Humanising Autonomy is building the global standard for human machine interactions.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Computer Vision, Human Computer Interaction, Machine Learning",,"London, England, United Kingdom, Europe",https://www.humanisingautonomy.com/,9,Early Stage Venture,17248235,USD,17248235,$1M to $10M,"Anthemis, Global Brain Corporation","Amplifier, Anthemis, Britbots, Global Brain Corporation, Serge Chiaramonte, Synapse Partners",4,6,"56,433"
Series B - MindBridge,https://www.crunchbase.com/funding_round/mindbridge-ai-series-b--947481bc,MindBridge,https://www.crunchbase.com/organization/mindbridge-ai,Series B,29600000,USD,29600000,2019-06-12,Early Stage Venture,,,,Yes,MindBridge is a financial risk discovery and anomaly detection platform that identifies and analyzes risks across broad financial datasets.,"Analytics, Artificial Intelligence (AI), Business Intelligence, FinTech, Machine Learning, Productivity Tools",,"Ottawa, Ontario, Canada, North America",http://www.mindbridge.ai,4,Private Equity,102300000,USD,102300000,Less than $1M,"PeakSpan Capital, Strategic Innovation Fund","National Bank of Canada, PeakSpan Capital, Real Ventures, Reciprocal Ventures, Strategic Innovation Fund, The Group Ventures",,6,"58,516"
Series B - Element AI,https://www.crunchbase.com/funding_round/element-ai-series-b--638e6600,Element AI,https://www.crunchbase.com/organization/element-ai,Series B,200000000,CAD,150483994,2019-09-13,Early Stage Venture,500000000,USD,500000000,Yes,Element AI is an artificial intelligence company that gives organizations access to technology.,"Artificial Intelligence (AI), Consulting, InsurTech, Machine Learning, Natural Language Processing, Software",,"Montréal, Quebec, Canada, North America",http://www.elementai.com,4,M&A,257483994,USD,257483994,$50M to $100M,Caisse de Depot et Placement du Quebec,"Business Development Bank of Canada, Caisse de Depot et Placement du Quebec, DCVC, Government Of Quebec, Hanwha Asset Management, HDG Inc, M12 - Microsoft's Venture Fund, McKinsey & Company, Pegasus Tech Ventures, Real Ventures",2,10,"57,570"
Venture Round - Umbo Computer Vision,https://www.crunchbase.com/funding_round/umbo-computer-vision-series-unknown--7db9265c,Umbo Computer Vision,https://www.crunchbase.com/organization/umbo-computer-vision,Venture - Series Unknown,8000000,USD,8000000,2019-10-08,,,,,Yes,Umbo CV is an artificial intelligence company developing autonomous video security products for enterprises.,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Security",,"San Francisco, California, United States, North America",https://umbocv.ai,3,,17600000,USD,17600000,$1M to $10M,"Susquehanna International Group (SIG), Translink Capital","Martal Capital, Shin Kong Group, Susquehanna International Group (SIG), Translink Capital",,4,"58,398"
Series B - Huma,https://www.crunchbase.com/funding_round/medopad-series-b--38a3f3ff,Huma,https://www.crunchbase.com/organization/medopad,Series B,50000000,USD,50000000,2019-11-05,Early Stage Venture,,,,Yes,Huma offers a health platform used for remote patient monitoring and biological data gathering for preventative healthcare.,"Artificial Intelligence (AI), Health Care, mHealth, SaaS",,"London, England, United Kingdom, Europe",https://huma.com,11,Late Stage Venture,322619465,USD,322619465,$10M to $50M,Leaps by Bayer,"Healthbox, Leaps by Bayer, NWS Holdings",,3,"58,819"
Series A - Track160,https://www.crunchbase.com/funding_round/track160-series-a--69d02038,Track160,https://www.crunchbase.com/organization/track160,Series A,5000000,USD,5000000,2019-11-14,Early Stage Venture,,,,Yes,Track160 is quantifies performance and tactics metrics in team sports.,"Analytics, Artificial Intelligence (AI), Machine Learning, Sports",,"Tel Aviv, Tel Aviv, Israel, Asia",http://www.track160.com/,1,Early Stage Venture,5000000,USD,5000000,$1M to $10M,ADvantage,"Aaron Stone, ADvantage, Lalotte Ventures, Marc Rowan, REDDS Capital",2,5,"60,207"
Series A - Clir Renewables,https://www.crunchbase.com/funding_round/clir-renewables-series-a--719a00e5,Clir Renewables,https://www.crunchbase.com/organization/clir-renewables,Series A,7100000,CAD,5353008,2019-09-20,Early Stage Venture,,,,Yes,Clir is a renewable energy optimization and reporting software that increases the performance and profitability of renewable plants.,"Machine Learning, Renewable Energy, SaaS, Software",,"Vancouver, British Columbia, Canada, North America",http://clir.eco/,9,,33423190,USD,33423190,$10M to $50M,ArcTern Ventures,"ArcTern Ventures, Ginkgo Capital",1,2,"60,745"
Series B - Imagia,https://www.crunchbase.com/funding_round/imagia-series-b--bb4474e0,Imagia,https://www.crunchbase.com/organization/imagia,Series B,22700000,CAD,17143591,2019-09-24,Early Stage Venture,,,,Yes,"Imagia is the indispensable AI healthcare partner for pharma, medical devices and clinical providers.","Analytics, Artificial Intelligence (AI), Health Care, Medical",,"Montréal, Quebec, Canada, North America",http://www.imagia.com,8,Early Stage Venture,37230059,USD,37230059,$1M to $10M,,"BDC Venture Capital, Desjardins-Innovatech, Emerillon Capital",,3,"60,882"
Seed Round - Terradepth,https://www.crunchbase.com/funding_round/terradepth-seed--9507ea8c,Terradepth,https://www.crunchbase.com/organization/terradepth,Seed,10000000,USD,10000000,2019-12-17,Seed,,,,Yes,Terradepth is a data-as-a-service company whose vision is to create a holistic map of Earth's ocean.,"Analytics, Artificial Intelligence (AI), Geospatial, Internet of Things, Machine Learning, Marine Technology, Robotics",,"Austin, Texas, United States, North America",https://www.terradepth.com/,4,Early Stage Venture,30100000,USD,30100000,$1M to $10M,Seagate Technology,"Green D Ventures, Seagate Technology, Steven Luczo",,3,"61,104"
