Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Funding Status,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Diversity Spotlight (US Headquarters Only),Investor Names,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Corporate Round - Upstage AI,https://www.crunchbase.com/funding_round/upstage-ai-corporate-round--7aa5b8b0,Upstage AI,https://www.crunchbase.com/organization/upstage-ai,Corporate Round,10000000000,KRW,7548595,2023-09-11,,Yes,,,,"Upstage develops artificial intelligence tools to automate tasks, enhance productivity, and provide decision support for various industries.","Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Predictive Analytics, Software","Yongin, Ch'ungch'ong-namdo, South Korea, Asia",https://www.upstage.ai,Early Stage Venture,$1M to $10M,125740598,USD,125740598,4,,KT Corp,KT Corp,1,,"36,218"
Series A - AutogenAI,https://www.crunchbase.com/funding_round/autogenai-series-a--a147df3a,AutogenAI,https://www.crunchbase.com/organization/autogenai,Series A,17200000,GBP,22234517,2023-07-26,Early Stage Venture,Yes,,,,AutogenAI provides cutting edge natural language processing solutions to enable companies to write compelling content for bids.,"Artificial Intelligence (AI), Business Development, Language Learning","London, England, United Kingdom, Europe",https://autogenai.com/,Early Stage Venture,$1M to $10M,61734517,USD,61734517,2,,Blossom Capital,Blossom Capital,1,1,"36,466"
Venture Round - Marigold Health,https://www.crunchbase.com/funding_round/marigold-health-series-unknown--a07e11b2,Marigold Health,https://www.crunchbase.com/organization/marigold-health,Venture - Series Unknown,10889994,USD,10889994,2023-12-13,,Yes,,,,Marigold Health uses chat support groups to make substance use treatment more engaging and personalized for vulnerable populations.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical, Natural Language Processing, Psychology","Boston, Massachusetts, United States, North America",https://www.marigoldhealth.com/,,$10M to $50M,21526721,USD,21526721,13,,,,,,"36,506"
Series A - Fireworks AI,https://www.crunchbase.com/funding_round/fireworks-ai-series-a--dde6f63c,Fireworks AI,https://www.crunchbase.com/organization/fireworks-ai,Series A,25000000,USD,25000000,2024-03-27,Early Stage Venture,Yes,,,,Commoditize AI infrastructure for PyTorch to accelerate product innovation and disruption,"Artificial Intelligence (AI), Software","Redwood City, California, United States, North America",https://fireworks.ai,Early Stage Venture,,25000000,USD,25000000,1,"Women Founded, Women Led","Alexandr Wang, Benchmark, Databricks Ventures, Frank Slootman, Sequoia Capital",Benchmark,5,1,"36,543"
Series A - ElevenLabs,https://www.crunchbase.com/funding_round/elevenlabs-series-a--53e6f1c4,ElevenLabs,https://www.crunchbase.com/organization/elevenlabs,Series A,19000000,USD,19000000,2023-06-20,Early Stage Venture,Yes,80000000,USD,80000000,ElevenLabs is a research company developing AI voice synthesis software for creators and publishers.,"Artificial Intelligence (AI), Audio, Content Creators, Developer APIs, Publishing",,http://elevenlabs.io,Early Stage Venture,$1M to $10M,101000000,USD,101000000,4,,"Ali Albazaz, Andreessen Horowitz, Anjney Midha, Aravind Srinivas, Brendan Iribe, Concept Ventures, Creator Ventures, Credo Ventures, Daniel Gross, Dima Shvets, Embark Studios, Guillermo Rauch, Mike Krieger, Mustafa Suleyman, Nat Friedman, Siqi Chen, Storytel, SV Angel, TheSoul Publishing, Tim O'Reilly","Andreessen Horowitz, Daniel Gross, Nat Friedman",20,,"36,705"
Seed Round - Laifei Smart,https://www.crunchbase.com/funding_round/laifei-smart-seed--71a94d03,Laifei Smart,https://www.crunchbase.com/organization/laifei-smart,Seed,10000000,USD,10000000,2023-08-07,Seed,Yes,,,,Laifei Smart is an AI company of intelligent lawn care robots.,"Artificial Intelligence (AI), Robotics","Shenzhen, Guangdong, China, Asia",https://novabot.lfi.ai/,Seed,,18717509,USD,18717509,2,,MAX Innovation Capital,MAX Innovation Capital,1,1,"37,466"
Venture Round - Bidgely,https://www.crunchbase.com/funding_round/bidgely-series-unknown--c5d4b826,Bidgely,https://www.crunchbase.com/organization/bidgely,Venture - Series Unknown,18000000,USD,18000000,2023-07-25,,Yes,,,,Bidgely offers energy analytics and customer engagement solutions for utilities and energy providers.,"Analytics, Artificial Intelligence (AI), Consumer Software, Energy, GovTech, Information Technology, Internet, Machine Learning, Renewable Energy, Software","Mountain View, California, United States, North America",https://www.bidgely.com,,$10M to $50M,100665744,USD,100665744,9,,CIBC Innovation Banking,CIBC Innovation Banking,1,1,"37,701"
Seed Round - Vendict,https://www.crunchbase.com/funding_round/vendict-seed--6292ace2,Vendict,https://www.crunchbase.com/organization/vendict,Seed,9500000,USD,9500000,2023-07-12,Seed,Yes,,,,Transforming security questionnaires through the power of generative AI.,"Artificial Intelligence (AI), Compliance, Privacy, Supply Chain Management","Tel Aviv, Tel Aviv, Israel, Asia",https://www.vendict.com/,Seed,$1M to $10M,11750000,USD,11750000,2,,"Andy Ellis, Cardumen Capital, Cyber Club London, Disruptive AI Venture Capital, Newfund, NFX, Tuesday Capital","Cardumen Capital, Disruptive AI Venture Capital, NFX",7,2,"38,123"
Seed Round - Worth AI,https://www.crunchbase.com/funding_round/worth-ai-seed--e1c55bc3,Worth AI,https://www.crunchbase.com/organization/worth-ai,Seed,12000000,USD,12000000,2023-12-01,Seed,Yes,,,,Worth AI AI platform help businesses underwrite and onboard activities eliminating manual tasks and provide continuous risk monitoring.,"Artificial Intelligence (AI), Business Intelligence, FinTech, Risk Management","Orlando, Florida, United States, North America",https://worthai.com/,Seed,,12000000,USD,12000000,1,Women Founded,,,,,"38,186"
Venture Round - GITAI,https://www.crunchbase.com/funding_round/gitai-series-unknown--2fe9e3d7,GITAI,https://www.crunchbase.com/organization/gitai,Venture - Series Unknown,47566412,USD,47566412,2023-11-22,,Yes,,,,GITAI is a robotics startup that develops remote controlled robots to replace astronaut's operations in commercial space stations.,"Artificial Intelligence (AI), Robotics, Space Travel, Virtual Reality, Virtual World, Virtualization","Tokyo, Tokyo, Japan, Asia",http://gitai.tech,,$1M to $10M,113576682,USD,113576682,8,,,,,,"40,029"
Seed Round - Matterworks,https://www.crunchbase.com/funding_round/matterworks-seed--1a089b02,Matterworks,https://www.crunchbase.com/organization/matterworks,Seed,7500000,USD,7500000,2023-08-14,Seed,Yes,,,,Matterworks is a biotech startup that combines metabolomics with AI to simulate the metabolic environment.,"Artificial Intelligence (AI), Biotechnology, Medical, Pharmaceutical","Somerville, Massachusetts, United States, North America",https://www.matterworks.ai,Seed,$1M to $10M,13750000,USD,13750000,4,,Germin8 Ventures,Germin8 Ventures,1,,"40,064"
Seed Round - Coram AI,https://www.crunchbase.com/funding_round/coram-ai-seed--98c456ad,Coram AI,https://www.crunchbase.com/organization/coram-ai,Seed,15500000,USD,15500000,2023-08-28,Seed,Yes,,,,Coram AI creates video intelligence systems for businesses.,"Artificial Intelligence (AI), Computer Vision, Intelligent Systems, Security, Software","Sunnyvale, California, United States, North America",https://www.coram.ai,Seed,$1M to $10M,15500000,USD,15500000,1,,"8VC, Mosaic Ventures",,2,2,"40,135"
Venture Round - Prealize Health,https://www.crunchbase.com/funding_round/Prealize-Health-series-unknown--1557d69b,Prealize Health,https://www.crunchbase.com/organization/Prealize-Health,Venture - Series Unknown,7000000,USD,7000000,2023-11-15,,Yes,,,,Prealize Health uses machine learning to transform healthcare from reactive to proactive.,"Artificial Intelligence (AI), Health Care, Life Science, Machine Learning, Medical","Palo Alto, California, United States, North America",https://www.prealizehealth.com,,$1M to $10M,44438078,USD,44438078,5,,,,,,"40,630"
Venture Round - Ryte,https://www.crunchbase.com/funding_round/ryte-c7fb-series-unknown--f70311d6,Ryte,https://www.crunchbase.com/organization/ryte-c7fb,Venture - Series Unknown,8170000,USD,8170000,2023-11-21,,Yes,,,,Ryte is an AI-based platform that provides data about hospitals and doctors.,"Artificial Intelligence (AI), Health Care, Hospital, Medical","Toronto, Ontario, Canada, North America",https://ryte.ai/,,$1M to $10M,13840000,USD,13840000,2,,,,,,"40,628"
Series A - Tavus,https://www.crunchbase.com/funding_round/tavus-series-a--ef894af1,Tavus,https://www.crunchbase.com/organization/tavus,Series A,18000000,USD,18000000,2023-08-29,Early Stage Venture,Yes,62000000,USD,62000000,Tavus is a developer of a video personalization platform.,"Artificial Intelligence (AI), Developer Platform, Generative AI, Software, Video","San Francisco, California, United States, North America",https://www.tavus.io/,Early Stage Venture,$1M to $10M,24225000,USD,24225000,4,,"HubSpot, Scale Venture Partners, Sequoia, Y Combinator",Scale Venture Partners,4,1,"40,878"
Series A - CarePredict,https://www.crunchbase.com/funding_round/carepredict-series-a--0f472427,CarePredict,https://www.crunchbase.com/organization/carepredict,Series A,29000000,USD,29000000,2023-07-12,Early Stage Venture,Yes,,,,CarePredict develops an AI-driven digital health platform for senior care.,"Artificial Intelligence (AI), Elder Care, Fitness, Health Care","Plantation, Florida, United States, North America",https://www.carepredict.com,Early Stage Venture,$1M to $10M,48690000,USD,48690000,7,"South Asian Founded, South Asian Led","Aspire Health Partners, Las Olas Venture Capital, Medtech Convergence Fund, Secocha Ventures","Aspire Health Partners, Medtech Convergence Fund",4,2,"41,309"
Venture Round - CircuitHub,https://www.crunchbase.com/funding_round/circuithub-series-unknown--36468169,CircuitHub,https://www.crunchbase.com/organization/circuithub,Venture - Series Unknown,9697702,USD,9697702,2023-11-15,,Yes,,,,Deep learning and robotics to automate circuit board manufacturing.,"Artificial Intelligence (AI), Electronics, Hardware, Internet of Things, Machine Learning, Manufacturing, Robotics","South Deerfield, Massachusetts, United States, North America",http://circuithub.com,,Less than $1M,18427318,USD,18427318,5,,,,,,"41,280"
Angel Round - Xinxiangrong,https://www.crunchbase.com/funding_round/xinxiangrong-angel--ae7f1b06,Xinxiangrong,https://www.crunchbase.com/organization/xinxiangrong,Angel,100000000,CNY,13858669,2023-08-10,Seed,Yes,,,,"Xinxiangrong is a AI large model training and reasoning integrated computing system based on AMD, Lingxi and other heterogeneous chips.","Artificial Intelligence (AI), Cloud Computing","Ningbo, Zhejiang, China, Asia",,Seed,,100000000,CNY,13858669,1,,,,,,"41,380"
Series B - Gleamer,https://www.crunchbase.com/funding_round/gleamer-series-b--5a754c3c,Gleamer,https://www.crunchbase.com/organization/gleamer,Series B,27000000,EUR,29471189,2023-06-28,Early Stage Venture,Yes,,,,Gleamer develops medical grade AI for Radiology,"Artificial Intelligence (AI), Software","Paris, Ile-de-France, France, Europe",http://www.gleamer.ai/,Early Stage Venture,$10M to $50M,39991231,USD,39991231,4,,"Bpifrance, Crista Galli Ventures, Elaia, Heal Capital, MACSF, Supernova Invest, UI Investissement, XAnge","Heal Capital, Supernova Invest",8,4,"41,724"
Series B - NoTraffic,https://www.crunchbase.com/funding_round/notraffic-series-b--30309a4a,NoTraffic,https://www.crunchbase.com/organization/notraffic,Series B,50000000,USD,50000000,2023-06-27,Early Stage Venture,Yes,,,,NoTraffic is a software company that creates an autonomous traffic management platform in order to alleviate traffic congestion.,"Artificial Intelligence (AI), Computer Vision, Machine Learning, SaaS, Transportation","Palo Alto, California, United States, North America",http://notraffic.tech,Early Stage Venture,$10M to $50M,75650000,USD,75650000,5,,"Alchimia Investments, Grove Ventures, M&G Investments, Meitav Investment House, Nextgear Ventures, North First Ventures, UMC Capital, Vektor Partners, VNV Global",M&G Investments,9,3,"42,277"
Seed Round - Teragonia,https://www.crunchbase.com/funding_round/teragonia-seed--98476395,Teragonia,https://www.crunchbase.com/organization/teragonia,Seed,10000000,USD,10000000,2023-09-20,Seed,Yes,,,,Teragonia is committed to revolutionizing the financial sponsor universe with cutting-edge data science and AI technologies.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS","Chicago, Illinois, United States, North America",https://teragonia.com,Seed,,10000000,USD,10000000,1,,,,,,"42,973"
Seed Round - Pipedream Labs,https://www.crunchbase.com/funding_round/pipedream-labs-seed--c7c7900f,Pipedream Labs,https://www.crunchbase.com/organization/pipedream-labs,Seed,9427169,USD,9427169,2023-11-07,Seed,Yes,,,,Pipedream Labs is a hyper logistics company that provides underground tunnel and tube works.,"Artificial Intelligence (AI), Delivery, Logistics, Robotics","Austin, Texas, United States, North America",https://pipedreamlabs.co,,$1M to $10M,24147169,USD,24147169,6,,,,,,"43,092"
Funding Round - Laconic Infrastructure Partners,https://www.crunchbase.com/funding_round/laconic-enterprises-undisclosed--a6683c6f,Laconic Infrastructure Partners,https://www.crunchbase.com/organization/laconic-enterprises,Funding Round,12240000,USD,12240000,2023-06-14,,Yes,,,,Laconic Infrastructure Partners specializes in providing integrated environmental intelligence services.,"Artificial Intelligence (AI), Environmental Consulting, Information Technology","Chicago, Illinois, United States, North America",https://laconicglobal.com/,,$1M to $10M,12240000,USD,12240000,1,,SternAegis,,1,,"43,641"
Series B - Aleph Alpha,https://www.crunchbase.com/funding_round/aleph-alpha-series-b--2b4aa587,Aleph Alpha,https://www.crunchbase.com/organization/aleph-alpha,Series B,100000000,EUR,109164347,2023-06-30,Early Stage Venture,Yes,350000000,EUR,382075214,"Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","Heidelberg, Baden-Wurttemberg, Germany, Europe",https://aleph-alpha.com,Early Stage Venture,$10M to $50M,642766702,USD,642766702,6,,"468 Capital, Cavalry Ventures, Earlybird Venture Capital, Intel, NVIDIA",,5,,"43,873"
Venture Round - Syrius Robotics,https://www.crunchbase.com/funding_round/syrius-robotics-series-unknown--bbaa0b70,Syrius Robotics,https://www.crunchbase.com/organization/syrius-robotics,Venture - Series Unknown,100000000,CNY,13797861,2023-07-05,,Yes,,,,"Syrius Robotics develops autonomous mobile robots with a self-developed operational system, software platform, and AIoT cloud service.","Artificial Intelligence (AI), Industrial Automation, Internet of Things, Robotics","Shenzhen, Guangdong, China, Asia",http://www.syriusrobotics.com,,$50M to $100M,52347861,USD,52347861,6,,"Anhui Industrial Transformation and Upgrading Fund, Tongling Dajiang Investment, Tongling State-owned Capital",,3,,"43,965"
Seed Round - Novabot,https://www.crunchbase.com/funding_round/novabot-df6c-seed--f7512803,Novabot,https://www.crunchbase.com/organization/novabot-df6c,Seed,10000000,USD,10000000,2023-08-04,Seed,Yes,,,,Novabot is the solution for the application of next-generation autonomous driving technologies for home functioning robots.,"Artificial Intelligence (AI), Manufacturing, Robotics","Philadelphia, Pennsylvania, United States, North America",https://novabot.com,Seed,$10M to $50M,10000000,USD,10000000,1,,,,,,"44,537"
Venture Round - Yurts Technologies Inc,https://www.crunchbase.com/funding_round/yurts-technologies-inc-series-unknown--f5a8f31d,Yurts Technologies Inc,https://www.crunchbase.com/organization/yurts-technologies-inc,Venture - Series Unknown,18355000,USD,18355000,2023-10-24,,Yes,,,,"A secure, deployable, full-stack platform for LLMs","Artificial Intelligence (AI), Software","San Francisco, California, United States, North America",https://yurts.ai/,,$1M to $10M,36705000,USD,36705000,3,,,,,,"45,595"
Series B - Bdeo,https://www.crunchbase.com/funding_round/bdeo-series-b--3462fff5,Bdeo,https://www.crunchbase.com/organization/bdeo,Series B,7500000,EUR,8150845,2023-06-29,Early Stage Venture,Yes,,,,Bdeo provides a visual intelligence solution to transform the insurance and fleet industries and the way they engage with their customers.,"Artificial Intelligence (AI), Auto Insurance, Automotive, Commercial Insurance, Fleet Management, Insurance, InsurTech","Madrid, Madrid, Spain, Europe",http://www.bdeo.io,Early Stage Venture,$10M to $50M,13800000,EUR,15556375,6,,"Armilar Venture Partners, BlackFin Capital Partners, Centre for the Development of Industrial Technology (CDTI), Hollard Insurance, K Fund, Íope Ventures",,6,3,"46,293"
Funding Round - OkamiAI,https://www.crunchbase.com/funding_round/okamiai-undisclosed--a20f0e48,OkamiAI,https://www.crunchbase.com/organization/okamiai,Funding Round,36119966,USD,36119966,2023-10-19,,Yes,,,,OkamiAI is an artificial intelligence company.,"Artificial Intelligence (AI), Information Technology","Boston, Massachusetts, United States, North America",,,,36119966,USD,36119966,1,,,,,,"46,784"
Funding Round - RSN,https://www.crunchbase.com/funding_round/rsn-undisclosed--461ec92d,RSN,https://www.crunchbase.com/organization/rsn,Funding Round,10000000000,KRW,7604446,2023-08-09,,Yes,,,,AI for Big data analytics company,"Artificial Intelligence (AI), Big Data, Data Management, Generative AI, Software","Ilsandong, Kyonggi-do, South Korea, Asia",https://www.realsn.com/en/,,$10M to $50M,10000000000,KRW,7604446,1,,"KB Investment, Stone Bridge Ventures",,2,,"46,726"
Series A - Polar Analytics,https://www.crunchbase.com/funding_round/polar-analytics-series-a--a999e549,Polar Analytics,https://www.crunchbase.com/organization/polar-analytics,Series A,9000000,USD,9000000,2023-07-18,Early Stage Venture,Yes,,,,Full-stack Business Intelligence Software for Shopify Merchants,"Analytics, Artificial Intelligence (AI), E-Commerce, SaaS, Software","New York, New York, United States, North America",https://www.polaranalytics.com,Early Stage Venture,$1M to $10M,11440926,USD,11440926,3,,Point Nine,Point Nine,1,1,"47,056"
Series A - Material Evolution,https://www.crunchbase.com/funding_round/material-evolution-series-a--2bb6f867,Material Evolution,https://www.crunchbase.com/organization/material-evolution,Series A,15000000,GBP,18919805,2023-06-29,Early Stage Venture,Yes,,,,Material Evolution is a manufacturing company that aims to decarbonize cement industry using Artificial Intelligence and Machine Learning.,"Artificial Intelligence (AI), Machine Learning, Manufacturing","Dover, Delaware, United States, North America",https://www.materialevolution.com/,Early Stage Venture,,15000000,GBP,18919805,1,Women Founded,"At One Ventures, CircleRock Capital, HG Ventures, KOMPAS VC, Norrsken VC, Playfair Capital, SigmaRoc, SkyRiver Ventures",KOMPAS VC,8,3,"47,350"
Series A - Calypso AI,https://www.crunchbase.com/funding_round/calypso-ai-series-a--717c4b4c,Calypso AI,https://www.crunchbase.com/organization/calypso-ai,Series A,23000000,USD,23000000,2023-06-27,Early Stage Venture,Yes,,,,Calypso AI provides a platform that allows organizations to accelerate their use of AI technologies.,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning","Washington, District of Columbia, United States, North America",https://www.calypsoai.com,,$500M to $1B,38200000,USD,38200000,4,,"Anne Wojcicki, Auren Hoffman, Expeditions Fund, Hakluyt Capital, Lockheed Martin Ventures, Paladin Capital Group, Susan Wojcicki",Paladin Capital Group,7,2,"47,361"
Series B - Cyera,https://www.crunchbase.com/funding_round/cyera-series-b--f32438cc,Cyera,https://www.crunchbase.com/organization/cyera,Series B,100000000,USD,100000000,2023-06-27,Early Stage Venture,Yes,400000000,USD,400000000,Cyera is an AI-powered data security platform that gives enterprises deep context on their data to assure cyber-resilience and compliance.,"Artificial Intelligence (AI), Cloud Data Services, Cloud Security, Cyber Security","New York, New York, United States, North America",https://cyera.io,Late Stage Venture,,464500000,USD,464500000,4,,"Accel, Cyberstarts, Redpoint, Sequoia Capital",Accel,4,4,"47,521"
Debt Financing - TIFIN,https://www.crunchbase.com/funding_round/the-tifin-group-debt-financing--0f0b1fe1,TIFIN,https://www.crunchbase.com/organization/the-tifin-group,Debt Financing,7650000,USD,7650000,2023-10-17,,No,,,,TIFIN is a financial platform that utilizes AI to provide personalized experience.,"Artificial Intelligence (AI), Financial Services, FinTech","Boulder, Colorado, United States, North America",https://tifin.com,,,223325000,USD,223325000,7,,,,,,"47,536"
Venture Round - Speak,https://www.crunchbase.com/funding_round/speak-3-series-unknown--8f4fd956,Speak,https://www.crunchbase.com/organization/speak-3,Venture - Series Unknown,20034998,USD,20034998,2023-10-17,,Yes,,,,Speak is a mobile app that helps people learn new languages through AI-powered conversation.,"Artificial Intelligence (AI), E-Learning, Speech Recognition","San Francisco, California, United States, North America",https://www.speak.com/,,$1M to $10M,74034998,USD,74034998,5,,,,,,"47,457"
Convertible Note - Brain Technologies,https://www.crunchbase.com/funding_round/brain-llc-convertible-note--44ec1897,Brain Technologies,https://www.crunchbase.com/organization/brain-llc,Convertible Note,30000000,USD,30000000,2024-02-25,,No,,,,Brain builds computers that think. It invents new technologies and design metaphors that allow computers to become an extension of our minds,"Artificial Intelligence (AI), Information Technology, Natural Language Processing, Software","San Mateo, California, United States, North America",http://brain.ai,,$1M to $10M,81000000,USD,81000000,7,,,,,,"47,618"
Seed Round - Upwage,https://www.crunchbase.com/funding_round/upwage-seed--aa44fa2f,Upwage,https://www.crunchbase.com/organization/upwage,Seed,7250000,USD,7250000,2023-07-01,Seed,Yes,,,,Upwage is a job posting platform where the hourly wage is included.,"Artificial Intelligence (AI), Data Integration, Information Technology","Columbus, Ohio, United States, North America",https://www.upwage.com/,Seed,$1M to $10M,9237500,USD,9237500,2,"Women Founded, Women Led","AlleyCorp, BBG Ventures, Bloomberg Beta, Core Innovation Capital, GC&H Investments, J4 Capital, Maveron, Moai Capital, Precursor Ventures, VITALIZE Venture Capital",,10,,"48,049"
Venture Round - Holmusk,https://www.crunchbase.com/funding_round/holmusk-series-unknown--5d96f75f,Holmusk,https://www.crunchbase.com/organization/holmusk,Venture - Series Unknown,29999978,USD,29999978,2023-10-12,,Yes,,,,Holmusk is a provider of healthcare data and technology solutions to support the treatment of mental health and chronic diseases.,"Analytics, Artificial Intelligence (AI), Big Data, Electronic Health Record (EHR), Health Care","Singapore, Central Region, Singapore, Asia",https://holmusk.com,,$10M to $50M,106249978,USD,106249978,6,,,,,,"48,993"
Venture Round - Steelhead Technologies,https://www.crunchbase.com/funding_round/steelhead-technologies-series-unknown--4472bb5f,Steelhead Technologies,https://www.crunchbase.com/organization/steelhead-technologies,Venture - Series Unknown,8000000,USD,8000000,2023-10-11,,Yes,,,,Steelhead Technologies is a manufacturing and scheduling SaaS company deploying AI and modern software into the high mix industrial space.,"Artificial Intelligence (AI), Manufacturing, SaaS, Scheduling, Software","Calumet, Michigan, United States, North America",https://gosteelhead.com/,,$1M to $10M,10200000,USD,10200000,3,,,,,,"49,388"
Venture Round - Yalo,https://www.crunchbase.com/funding_round/yalochat-series-unknown--2d639fd1,Yalo,https://www.crunchbase.com/organization/yalochat,Venture - Series Unknown,19999988,USD,19999988,2023-10-09,,Yes,,,,Yalo develops an AI-based customer relationship management platform used to help businesses offer a delightful customer experience.,"Analytics, Artificial Intelligence (AI), CRM, Information Technology, SaaS","San Francisco, California, United States, North America",https://www.yalo.ai,Late Stage Venture,$10M to $50M,112999988,USD,112999988,6,"Hispanic / Latine Founded, Hispanic / Latine Led",,,,,"49,753"
Seed Round - Causely,https://www.crunchbase.com/funding_round/causely-509c-seed--85cea432,Causely,https://www.crunchbase.com/organization/causely-509c,Seed,10800000,USD,10800000,2023-06-29,Seed,Yes,,,,Causely is an AI platform to eliminate human troubleshooting and enable resilient cloud application management.,Artificial Intelligence (AI),"Newton, Massachusetts, United States, North America",http://causely.io,Seed,$1M to $10M,13300000,USD,13300000,2,Women Founded,"2 | Twelve, 645 Ventures, Amity Ventures, Cervin Ventures, Glasswing Ventures, Tau Ventures",645 Ventures,6,2,"51,387"
Venture Round - VIDA,https://www.crunchbase.com/funding_round/vida-diagnostics-series-unknown--8ae9b9d9,VIDA,https://www.crunchbase.com/organization/vida-diagnostics,Venture - Series Unknown,10818499,USD,10818499,2023-09-29,,Yes,,,,VIDA is modernizing lung and respiratory care through intelligence,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Coralville, Iowa, United States, North America",https://vidalung.ai,,$10M to $50M,33218499,USD,33218499,8,,,,,,"52,965"
Private Equity Round - MindBridge,https://www.crunchbase.com/funding_round/mindbridge-ai-private-equity--b42e1a3a,MindBridge,https://www.crunchbase.com/organization/mindbridge-ai,Private Equity,60000000,USD,60000000,2023-07-25,Private Equity,Yes,140000000,USD,140000000,MindBridge is a financial risk discovery and anomaly detection platform that identifies and analyzes risks across broad financial datasets.,"Analytics, Artificial Intelligence (AI), Business Intelligence, FinTech, Machine Learning, Productivity Tools","Ottawa, Ontario, Canada, North America",http://www.mindbridge.ai,Private Equity,Less than $1M,102300000,USD,102300000,4,,PSG Equity,PSG Equity,1,1,"53,621"
Seed Round - Hippocratic AI,https://www.crunchbase.com/funding_round/hippocratic-ai-seed--e8f4d9b6,Hippocratic AI,https://www.crunchbase.com/organization/hippocratic-ai,Seed,15000000,USD,15000000,2023-07-25,Seed,Yes,,,,"Hippocratic AI aims to develop the first Large Language Model (LLM) specifically designed for healthcare, prioritizing safety and accuracy.","Artificial Intelligence (AI), Generative AI, Health Care, Information Technology","Palo Alto, California, United States, North America",https://www.hippocraticai.com,Early Stage Venture,$1M to $10M,118000000,USD,118000000,3,,,,,,"53,941"
Venture Round - Clinomic,https://www.crunchbase.com/funding_round/clinomic-series-unknown--4ba2141d,Clinomic,https://www.crunchbase.com/organization/clinomic,Venture - Series Unknown,16000000,EUR,17354407,2023-08-22,,Yes,,,,Medical AI company with a focus on critical care.,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Medical","Aachen, Nordrhein-Westfalen, Germany, Europe",https://clinomic.ai,,$1M to $10M,26000000,EUR,29353515,3,,Sana Kliniken,Sana Kliniken,1,,"54,773"
Seed Round - SPIRITT,https://www.crunchbase.com/funding_round/spiritt-seed--38cde9fc,SPIRITT,https://www.crunchbase.com/organization/spiritt,Seed,13500000,USD,13500000,2023-07-20,Seed,Yes,,,,SPIRITT is an AI based platform that translates an idea-description into a software-application,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States, North America",https://spiritt.io,Seed,,13500000,USD,13500000,2,,"Disruptive AI Venture Capital, Square Peg Capital",,2,,"55,648"
Series C - Winnow,https://www.crunchbase.com/funding_round/winnow-solutions-series-c--dfeb90dc,Winnow,https://www.crunchbase.com/organization/winnow-solutions,Series C,10000000,USD,10000000,2023-06-13,Late Stage Venture,Yes,,,,Winnow creates AI tools designed to supply data for enhancing kitchen production processes and reducing food waste.,"Analytics, Artificial Intelligence (AI), Computer Vision, Software, Waste Management","London, England, United Kingdom, Europe",https://www.winnowsolutions.com/,Private Equity,Less than $1M,41936629,USD,41936629,9,,"ArcTern Ventures, Bridge Nine, Circularity Capital, Ingka Investments, Mustard Seed, Novax",,6,1,"56,580"
Series C - CloudMinds,https://www.crunchbase.com/funding_round/cloudminds-series-c--e3227fc7,CloudMinds,https://www.crunchbase.com/organization/cloudminds,Series C,1000000000,CNY,137927230,2023-07-06,Late Stage Venture,Yes,,,,CloudMinds develops an end-to-end ecosystem to support cloud connected smart machines.,"Artificial Intelligence (AI), Cloud Computing, Computer, Machine Learning, Robotics, Software","Beijing, Beijing, China, Asia",https://www.cloudminds.com/en,Late Stage Venture,$100M to $500M,606529092,USD,606529092,6,,"Guosheng Group, Knowledge City Venture Capital, Shui Mu Chun Jin",,3,,"56,468"
Private Equity Round - Technical Paradigm,https://www.crunchbase.com/funding_round/technical-paradigm-private-equity--6cacaaae,Technical Paradigm,https://www.crunchbase.com/organization/technical-paradigm,Private Equity,7500000,USD,7500000,2023-08-31,Private Equity,Yes,,,,Technical Paradigm is more than just an IT staffing agency. We take a strategic approach staffing in niche technical talent.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Management Information Systems, Recruiting, Software, Staffing Agency, Web Development","Chicago, Illinois, United States, North America",https://technicalparadigm.com,Private Equity,$1M to $10M,11200000,USD,11200000,2,,Eton Park Capital Management,Eton Park Capital Management,1,1,"56,610"
