Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Organization Location,Organization Website,Funding Status,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Diversity Spotlight (US Headquarters Only),Investor Names,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Doppel,https://www.crunchbase.com/funding_round/doppel-9e9d-series-a--2a136f6b,Doppel,https://www.crunchbase.com/organization/doppel-9e9d,Series A,18849952,USD,18849952,2024-01-02,Early Stage Venture,Yes,,,,"Doppel is the modern digital risk protection platform. It protects brands against phishing, account takeovers, and other digital threats.","Artificial Intelligence (AI), Cyber Security","Covina, California, United States, North America",https://www.doppel.com/,Early Stage Venture,$1M to $10M,23849952,USD,23849952,2,,"Andreessen Horowitz, Andrew Ozment, Emilio Escobar, Feross Aboukhadijeh, Frederic Kerrest, Gokul Rajaram, Prafulla Dhariwal, Ramsey Homsany, Ryan Carlson, Ryan Noon, Sabrina Hahn, South Park Commons, Strategic Cyber Ventures, SV Angel",Andreessen Horowitz,14,1,97
Series A - Bria,https://www.crunchbase.com/funding_round/bria-8f2b-series-a--fa7c2065,Bria,https://www.crunchbase.com/organization/bria-8f2b,Series A,24000000,USD,24000000,2024-02-21,Early Stage Venture,Yes,,,,"Addressing the challenges of implementing Visual Generative AI for commercial use across all departments—business, product, and technology.","Artificial Intelligence (AI), Computer, Software","Tel Aviv-yafo, Tel Aviv, Israel, Asia",https://bria.ai,Early Stage Venture,$1M to $10M,26500000,USD,26500000,2,,"Atinum Partners, Entrée Capital, Getty Images, GFT Ventures, IN Venture, Intel Capital, J-Ventures, Mirae Asset Venture Investment, Publicis Groupe, Samsung NEXT, Z Venture Capital","Entrée Capital, GFT Ventures, Intel Capital",11,2,118
Series F - Shield AI,https://www.crunchbase.com/funding_round/shield-ai-series-f--acf2e811,Shield AI,https://www.crunchbase.com/organization/shield-ai,Series F,300000000,USD,300000000,2023-10-31,Late Stage Venture,Yes,2500000000,USD,2500000000,Shield AI is an artificial intelligence company that aims to protect service members and civilians with intelligent systems.,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security","San Diego, California, United States, North America",http://www.shield.ai,Late Stage Venture,$50M to $100M,1073144999,USD,1073144999,13,,"ARK Investment Management, Disruptive, Karman Ventures (fka Moving Capital), Other People's Capital (OPC), Riot Ventures, Sahin Boydas, Snowpoint Ventures, US Innovative Technology Fund","Riot Ventures, US Innovative Technology Fund",8,5,121
Series C - ZEDEDA,https://www.crunchbase.com/funding_round/zededa-series-c--08f0f342,ZEDEDA,https://www.crunchbase.com/organization/zededa,Series C,72000000,USD,72000000,2024-02-07,Late Stage Venture,Yes,328000000,USD,328000000,ZEDEDA is a provider of distributed orchestration and virtualization software for Edge AI Compute.,"Artificial Intelligence (AI), Cloud Computing, Cloud Data Services, Open Source, Software","San Jose, California, United States, North America",https://www.zededa.com,Late Stage Venture,$1M to $10M,129484000,USD,129484000,5,,"5G Open Innovation Lab, Almaz Capital, Chevron Technology Ventures, Coast Range Capital, Emerson Ventures, Endeavor Catalyst, Forward Investments, Juniper Networks, LDV Partners, Lux Capital, Porsche Ventures, Rockwell Automation, Smith Point Capital, The Hillman Company",Smith Point Capital,14,5,122
Seed Round - Guardrails AI,https://www.crunchbase.com/funding_round/guardrails-ai-seed--8e618182,Guardrails AI,https://www.crunchbase.com/organization/guardrails-ai,Seed,7500000,USD,7500000,2024-02-15,Seed,Yes,,,,Guardrails AI empowers humanity to harness the unprecedented capabilities of foundation AI models.,Artificial Intelligence (AI),"Menlo Park, California, United States, North America",http://guardrailsai.com,Seed,,7500000,USD,7500000,1,,"Bloomberg Beta, Factory, GitHub, Ian Goodfellow, Lip-Bu Tan, Logan Kilpatrick, M12 - Microsoft's Venture Fund, Pear VC, SCB 10X, Zetta Venture Partners",Zetta Venture Partners,10,2,128
Series C - Lambda,https://www.crunchbase.com/funding_round/lambda-labs-series-c--b2584d73,Lambda,https://www.crunchbase.com/organization/lambda-labs,Series C,320000000,USD,320000000,2024-02-15,Late Stage Venture,Yes,1180000000,USD,1180000000,Lambda is a cloud-based GPU company catering to developers throughout the entire lifecycle of AI development.,"Artificial Intelligence (AI), Cloud Computing, GPU, Hardware, Machine Learning, Software","San Francisco, California, United States, North America",https://lambdalabs.com,Late Stage Venture,$10M to $50M,932205501,USD,932205501,9,,"1517 Fund, B Capital, Bloomberg Beta, Crescent Cove Advisors, Gradient Ventures, Mercato Partners, Millennia Capital, SK Telecom, T. Rowe Price, US Innovative Technology Fund",US Innovative Technology Fund,10,3,130
Series A - NLX,https://www.crunchbase.com/funding_round/nlx-b184-series-a--543e663b,NLX,https://www.crunchbase.com/organization/nlx-b184,Series A,12000000,USD,12000000,2024-02-26,Early Stage Venture,Yes,,,,NLX offers platform for automating customer experiences across channels with advanced AI and language models.,"Artificial Intelligence (AI), Customer Service, Machine Learning, SaaS","New York, New York, United States, North America",https://nlx.ai,Early Stage Venture,$1M to $10M,21600000,USD,21600000,4,,"Cercano Management, Engage Capital, HL Ventures, IAG Capital Partners, JetBlue Ventures, Tech Square Ventures, Thayer Ventures",Cercano Management,7,2,139
Seed Round - Aniai,https://www.crunchbase.com/funding_round/aniai-seed--23a96411,Aniai,https://www.crunchbase.com/organization/aniai,Seed,12000000,USD,12000000,2024-01-24,Seed,Yes,,,,Aniai develops a labor solution for quick service restaurants by building a robotic kitchen.,"Artificial Intelligence (AI), Food and Beverage, Industrial Automation, Robotics","San Jose, California, United States, North America",http://www.aniai.ai,Seed,$10M to $50M,15089519,USD,15089519,4,,"Capstone Partners, Ignite Innovation Fund, InterVest Co., SV Investment Corp",InterVest Co.,4,,153
Seed Round - Digs,https://www.crunchbase.com/funding_round/digs-8801-seed--056174e1,Digs,https://www.crunchbase.com/organization/digs-8801,Seed,7000000,USD,7000000,2024-01-25,Seed,Yes,,,,Digs uses AI to power experiences that unlock happier homes.,"Artificial Intelligence (AI), Construction, Smart Building","Vancouver, Washington, United States, North America",https://digs.com/,Seed,$1M to $10M,14000000,USD,14000000,2,,"Betaworks Ventures, Cascade Seed Fund, Deepwater Asset Management, Flying Fish Partners, FUSE, GFR Fund, Legacy Capital Ventures, Oregon Venture Fund, Portland Seed Fund","Legacy Capital Ventures, Oregon Venture Fund",9,3,151
Series C - AiDash,https://www.crunchbase.com/funding_round/aidash-series-c--52e76975,AiDash,https://www.crunchbase.com/organization/aidash,Series C,58500000,USD,58500000,2024-01-23,Late Stage Venture,Yes,,,,AiDash is a SaaS company enabling climate-resilient and sustainable infrastructure with satellites and AI.,"Artificial Intelligence (AI), SaaS, Satellite Communication","San Jose, California, United States, North America",https://www.aidash.com,Late Stage Venture,$10M to $50M,91500000,USD,91500000,4,,"Benhamou Global Ventures, Duke Investments LLC, Edison International, G2 Venture Partners, Lightrock, Marubeni, National Grid Partners (NGP), Sabancı Holding, SE Ventures, Shell Ventures, The Lightsmith Group",Lightrock,11,6,157
