Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Yukai,https://www.crunchbase.com/funding_round/yukai-pre-seed--841e81d4,Yukai,https://www.crunchbase.com/organization/yukai,Pre-Seed,6000,EUR,6563,2024-03-20,Seed,,,,Yes,Yukai is A.I. based edtech platform,"Artificial Intelligence (AI), EdTech",,"Siena, Toscana, Italy, Europe",https://www.yukai-tech.com/,,6000,EUR,6563,Seed,1,IKIGAI,IKIGAI,1,2,"53,185"
Pre Seed Round - Lamarr,https://www.crunchbase.com/funding_round/lamarr-pre-seed--dec2146b,Lamarr,https://www.crunchbase.com/organization/lamarr,Pre-Seed,500000,INR,6017,2023-09-15,Seed,,INR,,Yes,Lamarr is an AI powered recruitment platform that helps companies hire greta tech talent more confidently and swiftly.,"Generative AI, Recruiting",,,https://lamarr.tech,,500000,INR,6017,Seed,1,StartInUp Gov. Of Uttar Pradesh,StartInUp Gov. Of Uttar Pradesh,1,,"53,754"
Grant - Behaivior,https://www.crunchbase.com/funding_round/behaivior-grant--fe134e52,Behaivior,https://www.crunchbase.com/organization/behaivior,Grant,10000,USD,10000,2023-10-30,,,,,No,"Behaivior is a digital health company democratizing mental health recovery and wellness using AI, behavioral health tech, and wearables.","Artificial Intelligence (AI), B2B, Health Care, Machine Learning, Mental Health, SaaS, Software, Wearables","Middle Eastern / North African Founded, Women Founded, Women Led","Pittsburgh, Pennsylvania, United States, North America",http://www.behaivior.com/,Less than $1M,2178007,USD,2178007,Seed,11,,Yale University,1,,"59,205"
Grant - NVolume,https://www.crunchbase.com/funding_round/nvolume-grant--93ae8081,NVolume,https://www.crunchbase.com/organization/nvolume,Grant,10000,USD,10000,2024-01-03,,,,,No,We develop advanced AI/ML models that autonomously engage in digital currency trading,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, FinTech, Generative AI, Machine Learning, SaaS, Web3",,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",https://nvolume.com,,285000,USD,285000,Seed,3,Amazon Web Services,Amazon Web Services,1,,"60,286"
Pre Seed Round - EbookMaker,https://www.crunchbase.com/funding_round/ebookmaker-pre-seed--639867d7,EbookMaker,https://www.crunchbase.com/organization/ebookmaker,Pre-Seed,40000,BRL,8016,2024-01-22,Seed,1000000,BRL,200409,Yes,EbookMaker is a revolutionary platform that uses artificial intelligence to facilitate the creation of ebooks.,Artificial Intelligence (AI),,"Cascavel, Sao Paulo, Brazil, South America",https://www.ebookmaker.ai/,,40000,BRL,8016,Seed,1,,Gustavo Andrade Rocha,1,,"62,323"
Seed Round - Versy,https://www.crunchbase.com/funding_round/versy-seed--4cb0a943,Versy,https://www.crunchbase.com/organization/versy,Seed,6000,EUR,6567,2024-01-15,Seed,,,,Yes,"Versy a no-code platform for creating, measuring, and monetizing.","Analytics, Artificial Intelligence (AI), Blockchain, Internet, Metaverse, Virtual Reality",,"Dubai, Dubai, United Arab Emirates, Asia",https://www.versytechnologies.com,,6000,EUR,6567,Seed,2,,IKIGAI,1,1,"63,569"
Pre Seed Round - Kebo,https://www.crunchbase.com/funding_round/kebo-app-pre-seed--26396174,Kebo,https://www.crunchbase.com/organization/kebo-app,Pre-Seed,10000,USD,10000,2024-06-01,Seed,1500000,USD,1500000,Yes,AI-driven mobile app for real-time holistic personal finance management through Open Banking,"Artificial Intelligence (AI), Big Data, Education, Finance, FinTech, Machine Learning, Marketplace, Mobile, Mobile Apps, Personal Finance",,"Bogotá, Distrito Especial, Colombia, South America",https://www.kebo.app/,,10000,USD,10000,Seed,1,,,,,"64,560"
Pre Seed Round - Asesoria e Investigacion en Ingenieria e AI,https://www.crunchbase.com/funding_round/asesoria-e-investigacion-en-ingenieria-e-ai-pre-seed--b6f16264,Asesoria e Investigacion en Ingenieria e AI,https://www.crunchbase.com/organization/asesoria-e-investigacion-en-ingenieria-e-ai,Pre-Seed,9400,USD,9400,2023-09-01,Seed,,,,Yes,"Geoanalytic, Analytics, Finance","Consulting, Financial Services, Generative AI, Geospatial, PropTech",,"Santiago, Region Metropolitana, Chile, South America",https://ingenai.cl/,,19400,USD,19400,Seed,2,,Gerardo Troitiño,1,,"65,348"
Pre Seed Round - Influsence,https://www.crunchbase.com/funding_round/influsence-pre-seed--cbf08681,Influsence,https://www.crunchbase.com/organization/influsence,Pre-Seed,5000,USD,5000,2023-12-27,Seed,,,,Yes,Influsence uses AI in influencer marketing,"Artificial Intelligence (AI), Enterprise Software, Marketing Automation, SaaS",,"San Diego, California, United States, North America",https://influsence.com/,,5000,USD,5000,Seed,1,,,,,"67,395"
Pre Seed Round - Secondbrain,https://www.crunchbase.com/funding_round/secondbrain-pre-seed--23055933,Secondbrain,https://www.crunchbase.com/organization/secondbrain,Pre-Seed,9000,USD,9000,2024-01-18,Seed,,,,Yes,India's first-of-its-kind solution for students for better memory retention with AI.,"Artificial Intelligence (AI), EdTech, Education, Generative AI",,"Noida, Uttar Pradesh, India, Asia",https://secondbrain.co.in/,,9000,USD,9000,Seed,1,,,,,"68,651"
Funding Round - Valar Tech,https://www.crunchbase.com/funding_round/valar-tech-undisclosed--5831986c,Valar Tech,https://www.crunchbase.com/organization/valar-tech,Funding Round,10000,CAD,7304,2024-05-05,,,,,Yes,Valar Tech offers an AI-powered document creation platform.,"Artificial Intelligence (AI), Consumer Applications, Consumer Software, Document Management, Document Preparation, Generative AI, Information Technology, Machine Learning",,,https://valartech.io/,,10000,CAD,7304,,1,,,,,"70,283"
Pre Seed Round - Telow,https://www.crunchbase.com/funding_round/telow-pre-seed--9dfdc11a,Telow,https://www.crunchbase.com/organization/telow,Pre-Seed,5000,USD,5000,2024-01-01,Seed,4734330,USD,4734330,Yes,Gain Actionable Intelligence for Your Business Through AI.,"Artificial Intelligence (AI), Information Technology, Software, Software Engineering",,"Washington, District of Columbia, United States, North America",https://telow.com,,5000,USD,5000,Seed,1,,,,,"70,502"
Angel Round - Zipfy.io,https://www.crunchbase.com/funding_round/zipfy-io-angel--933d774e,Zipfy.io,https://www.crunchbase.com/organization/zipfy-io,Angel,10000,USD,10000,2024-01-28,Seed,,,,Yes,Create anti-fraud workflows in less than 10 minutes,"Analytics, Artificial Intelligence (AI), Fraud Detection, Identity Management, Predictive Analytics",,"São Paulo, Sao Paulo, Brazil, South America",https://zipfy.io,,10000,USD,10000,Seed,1,,,,,"71,235"
Grant - Edubuk,https://www.crunchbase.com/funding_round/edubuk-grant--6de0d48f,Edubuk,https://www.crunchbase.com/organization/edubuk,Grant,10000,USD,10000,2024-03-04,,,,,No,Globally Award Winning Academic & Professional Certificates Issuance & Verification Protocol on the Blockchain for Universities & Employers,"Artificial Intelligence (AI), Blockchain, EdTech, Education, Machine Learning",,"Hyderabad, Andhra Pradesh, India, Asia",https://edubukeseal.xyz/,,30000,USD,30000,,3,National Skill Development Corporation,National Skill Development Corporation,1,,"71,796"
Pre Seed Round - dealnudge,https://www.crunchbase.com/funding_round/dealnudge-pre-seed--d73d8606,dealnudge,https://www.crunchbase.com/organization/dealnudge,Pre-Seed,10000,USD,10000,2024-02-03,Seed,,,,Yes,Nudging Deals into Clarity,"Artificial Intelligence (AI), Software, Venture Capital",,"Pilani, Rajasthan, India, Asia",https://dealnudge.com,,10000,USD,10000,Seed,1,,,,,"77,499"
Pre Seed Round - SiteForge,https://www.crunchbase.com/funding_round/siteforge-pre-seed--51d88b19,SiteForge,https://www.crunchbase.com/organization/siteforge,Pre-Seed,10000,USD,10000,2024-01-30,Seed,,,,Yes,Generative AI Wireframing & Website Generation SaaS tool,"Artificial Intelligence (AI), Generative AI, Graphic Design, SEO, UX Design, Web Design, Web Development",,,https://siteforge.io,,10000,USD,10000,Seed,1,,,,,"78,523"
Seed Round - River Poultry,https://www.crunchbase.com/funding_round/river-poultry-farms-seed--4a4d382f,River Poultry,https://www.crunchbase.com/organization/river-poultry-farms,Seed,5000,EUR,5566,2023-07-21,Seed,500000,USD,500000,Yes,We use a proprietary robotic IoT system & AI to help smallholder farmers grow bigger chickens faster without using veterinary drugs.,"AgTech, Analytics, Artificial Intelligence (AI), Information Technology, Internet of Things, Predictive Analytics, Software",,"Lira, Lira, Uganda, Africa",https://www.riverpoultry.com,,120965,USD,120965,Seed,4,Oxfam’s Enterprise Development Programme,Oxfam’s Enterprise Development Programme,1,,"78,486"
Angel Round - PointAI,https://www.crunchbase.com/funding_round/pointai-angel--c3e5ed00,PointAI,https://www.crunchbase.com/organization/pointai,Angel,10000,USD,10000,2023-08-20,Seed,100000,USD,100000,Yes,"Achieve true support automation with AI that connects seamlessly with external services, resolving complex issues without human intervention",Artificial Intelligence (AI),,"San Francisco, California, United States, North America",https://pointai.tech,,170000,USD,170000,Seed,2,,Dilmurod Khodiev,1,,"86,529"
Pre Seed Round - ShopSymphoni,https://www.crunchbase.com/funding_round/shopsymphoni-pre-seed--31930508,ShopSymphoni,https://www.crunchbase.com/organization/shopsymphoni,Pre-Seed,5000,USD,5000,2024-01-01,Seed,,,,Yes,ShopSymphoni is a revolutionary front-end solution for the world of e-commerce.,"Artificial Intelligence (AI), E-Commerce, Generative AI, Information Technology, Natural Language Processing, PaaS, Retail Technology, Software",,"Utrecht, Utrecht, The Netherlands, Europe",,,5000,USD,5000,Seed,1,,,,,"90,037"
Pre Seed Round - ANYO Labs,https://www.crunchbase.com/funding_round/anyo-labs-ab-pre-seed--d31bdc43,ANYO Labs,https://www.crunchbase.com/organization/anyo-labs-ab,Pre-Seed,100000,SEK,9010,2023-09-05,Seed,,,,Yes,ANYO Labs specializes in AI powered in silico drug discover tools for biotechnology companies,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Pharmaceutical",,"Göteborg, Vastra Gotaland, Sweden, Europe",https://www.anyolabs.com/,,300000,SEK,28208,Seed,2,Chalmers Ventures AB,Chalmers Ventures AB,1,,"91,171"
Pre Seed Round - API Swan,https://www.crunchbase.com/funding_round/api-swan-pre-seed--9f436402,API Swan,https://www.crunchbase.com/organization/api-swan,Pre-Seed,10000,USD,10000,2023-10-02,Seed,,,,Yes,Automated API Regression Testing Tool.,"Artificial Intelligence (AI), B2B, Software",,"Mumbai, Maharashtra, India, Asia",https://apiswan.com ,,10000,USD,10000,Seed,1,,,,,"96,318"
Pre Seed Round - Plovm,https://www.crunchbase.com/funding_round/plovm-as-pre-seed--d3a27b1c,Plovm,https://www.crunchbase.com/organization/plovm-as,Pre-Seed,10000,USD,10000,2023-12-04,Seed,3000,NOK,277,Yes,"Mobile App, Marketplace, Future Of Work, Metaverse, Neurodivergent, InclusiveTech","Artificial Intelligence (AI), Marketplace, Metaverse, Social Impact, Virtual Workforce",,"Oslo, Oslo, Norway, Europe",https://www.plovm.com/,,36807,USD,36807,Seed,2,,,,,"97,322"
Seed Round - Exty,https://www.crunchbase.com/funding_round/ext-longevity-seed--2a9e496a,Exty,https://www.crunchbase.com/organization/ext-longevity,Seed,10000,USD,10000,2023-11-01,Seed,,,,Yes,"machine learning, ai, saas,","Artificial Intelligence (AI), Big Data, Bioinformatics, Data Management, Data Mining, Data Storage, Nutraceutical, Therapeutics",,"Singapore, Central Region, Singapore, Asia",https://exty.bio,,335000,USD,335000,Seed,4,,,,,"97,707"
Angel Round - Supply Pay,https://www.crunchbase.com/funding_round/supply-pay-angel--dc2c6da5,Supply Pay,https://www.crunchbase.com/organization/supply-pay,Angel,10000,USD,10000,2023-12-26,Seed,,,,Yes,Cross-border fintech platform,"Artificial Intelligence (AI), FinTech, Information Technology",,"Mcallen, Texas, United States, North America",https://supplypaytx.com,,260000,USD,260000,Seed,2,,,,,"97,642"
Pre Seed Round - SilcoFix,https://www.crunchbase.com/funding_round/silcofix-pre-seed--31f7e4de,SilcoFix,https://www.crunchbase.com/organization/silcofix,Pre-Seed,10000,USD,10000,2023-06-09,Seed,,,,Yes,We are Building an Image Generation Platform for the Future,"Artificial Intelligence (AI), Generative AI, Image Recognition",,"Delhi, Delhi, India, Asia",https://silcofix.com/,,770000,USD,770000,Early Stage Venture,3,,,,,"102,845"
Pre Seed Round - PixlData,https://www.crunchbase.com/funding_round/pixldata-pre-seed--ce6ffefe,PixlData,https://www.crunchbase.com/organization/pixldata,Pre-Seed,10000,USD,10000,2023-10-01,Seed,,,,Yes,Data labeling solutions for AI teams.,"Agriculture, Artificial Intelligence (AI), Autonomous Vehicles, Health Care, Machine Learning, Medical",,"London, England, United Kingdom, Europe",https://pixldata.com,,10000,USD,10000,Seed,1,,,,,"107,965"
Seed Round - Alife Virtual Metaverse,https://www.crunchbase.com/funding_round/sorin-base-inc-seed--07461fb4,Alife Virtual Metaverse,https://www.crunchbase.com/organization/sorin-base-inc,Seed,10000,USD,10000,2024-04-01,Seed,1000000,USD,1000000,Yes,Join the Alife Virtual Metaverse today and unlock a world of endless possibilities!,"Artificial Intelligence (AI), Education, Machine Learning, Metaverse, Online Games, SaaS, Simulation, Software, Virtual World",,"Bucharest, Bucuresti, Romania, Europe",https://www.alifevirtual.com,,10000,USD,10000,Seed,1,,,,,"110,402"
Angel Round - ST Platform,https://www.crunchbase.com/funding_round/st-platform-angel--7cb03fd6,ST Platform,https://www.crunchbase.com/organization/st-platform,Angel,5000,USD,5000,2023-06-01,Seed,,,,Yes,"AI-native game engine, UGC platform","Artificial Intelligence (AI), Augmented Reality, Gaming, Media and Entertainment, Video Games, Virtual World",,"Columbus, Ohio, United States, North America",https://st.world,,5000,USD,5000,Seed,1,,,,,"112,244"
Grant - Gigantor Technologies,https://www.crunchbase.com/funding_round/gigantor-technologies-grant--4f499503,Gigantor Technologies,https://www.crunchbase.com/organization/gigantor-technologies,Grant,10000,USD,10000,2023-06-09,,,,,No,Gigantor Technologies accelerates machine learning or artificial intelligence models with its patented GigaMACS technology.,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Semiconductor",,"Melbourne Beach, Florida, United States, North America",https://www.gigantor.com/,$1M to $10M,1010000,USD,1010000,Seed,3,Florida Venture Forum,Florida Venture Forum,1,,"641,324"
Seed Round - Alife Virtual Online Game,https://www.crunchbase.com/funding_round/sorin-hosting-seed--ecec4c51,Alife Virtual Online Game,https://www.crunchbase.com/organization/sorin-hosting,Seed,10000,USD,10000,2024-04-01,Seed,1000000,USD,1000000,Yes,"Experience the thrill of Alife Virtual Metaverse, where every login is a new adventure. The ultimate online game playground awaits you!","Artificial Intelligence (AI), Education, Machine Learning, Metaverse, Online Games, SaaS, Simulation, Software, Virtual World",Women Founded,"Dover, Delaware, United States, North America",https://www.alifevirtual.com,$1M to $10M,10000,USD,10000,Seed,1,,,,,"495,537"
Funding Round - Betterhalf,https://www.crunchbase.com/funding_round/betterhalf-undisclosed--6cf477eb,Betterhalf,https://www.crunchbase.com/organization/betterhalf,Funding Round,10000,USD,10000,2023-06-03,,,,,Yes,Betterhalf is India’s first and only marriage super app for urban Indians. It's like Match.com for 100M Indians,"Artificial Intelligence (AI), Consumer Applications, Dating",,"Bengaluru, Karnataka, India, Asia",https://betterhalf.ai/,$10M to $50M,11010000,USD,11010000,,6,,,,,"463,114"
Pre Seed Round - EveoAI,https://www.crunchbase.com/funding_round/eveoai-pre-seed--4d933802,EveoAI,https://www.crunchbase.com/organization/eveoai,Pre-Seed,10000,USD,10000,2023-07-30,Seed,,,,Yes,"A novel approach to managing fashion, style, personality, and reputation through Generative AI.","Artificial Intelligence (AI), Machine Learning, SaaS, Software",,"Surat, Gujarat, India, Asia",https://eveo.in,,19500,USD,19500,Seed,2,,,,,"359,130"
Grant - GlüxKind,https://www.crunchbase.com/funding_round/glüxkind-grant--1462c78b,GlüxKind,https://www.crunchbase.com/organization/glüxkind,Grant,10000,USD,10000,2023-06-08,,,,,No,AI Augmented Parenting,"Artificial Intelligence (AI), Autonomous Vehicles, Baby, Hardware, Machine Learning, Robotics, Software",,"Vancouver, British Columbia, Canada, North America",https://gluxkind.com,,30000,USD,30000,Seed,2,Alberta Innovates,Alberta Innovates,1,,"533,930"
Pre Seed Round - Afentu,https://www.crunchbase.com/funding_round/afentu-pre-seed--9390173f,Afentu,https://www.crunchbase.com/organization/afentu,Pre-Seed,5000,USD,5000,2023-06-01,Seed,,,,Yes,"Video analysis and processing, for data measurement and statistics","Artificial Intelligence (AI), Developer Platform, SaaS",,,https://www.afentu.com/,,5000,USD,5000,Seed,1,,Valentina Kittsteiner,1,,"151,910"
Seed Round - Yaraa AI,https://www.crunchbase.com/funding_round/yaraa-ai-seed--aaf20e66,Yaraa AI,https://www.crunchbase.com/organization/yaraa-ai,Seed,10000,USD,10000,2023-07-21,Seed,,,,Yes,Yaraa.ai is an AI-powered business suite that can Reduce Human costs and increase productivity.,"Artificial Intelligence (AI), SaaS, Task Management",,"Ahmedabad, Gujarat, India, Asia",https://yaraai.com/,,10000,USD,10000,Seed,1,,Software Technology Parks of India,1,1,"537,208"
Grant - Ozone,https://www.crunchbase.com/funding_round/kabukabu-grant--8908d80d,Ozone,https://www.crunchbase.com/organization/kabukabu,Grant,4000,USD,4000,2023-10-30,,,,,No,Building a sustainable and cleaner future by reducing carbon footprint powered by AI.,"Artificial Intelligence (AI), Auto Insurance, Clean Energy, CleanTech, Energy, Renewable Energy",,"Abuja, Federal Capital Territory, Nigeria, Africa",https://www.myozone.co,,4000,USD,4000,,1,,Family & Friends,1,,"531,718"
