Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Expediente Azul,https://www.crunchbase.com/funding_round/expediente-azul-pre-seed--ec4d4b80,Expediente Azul,https://www.crunchbase.com/organization/expediente-azul,Pre-Seed,6000,USD,6000,2017-01-01,Seed,,,,Yes,Expediente Azul offers a tool for financial institutions to scale sales by automatically gathering all required information from customers.,,"Artificial Intelligence (AI), Banking, Document Management, Document Preparation, Financial Services, FinTech, InsurTech, SaaS, Sales Automation","Guadalajara, Jalisco, Mexico, North America",http://expedienteazul.com,$1M to $10M,274000,USD,274000,Seed,6,,,,,"170,407"
Pre Seed Round - DolphinChat,https://www.crunchbase.com/funding_round/civilcops-pre-seed--474daa8f,DolphinChat,https://www.crunchbase.com/organization/civilcops,Pre-Seed,5700,USD,5700,2017-09-05,Seed,,,,Yes,"DolphinChat is a social intelligence organisation, working to revolutionize, how governments and citizens share and utilize data.",,"Artificial Intelligence (AI), Government, Information Technology, Software","Gurgaon, Haryana, India, Asia",https://dolphinchat.ai/,Less than $1M,343700,USD,343700,M&A,5,Guerrilla Ventures,Guerrilla Ventures,1,,"171,958"
Grant - SICCA Automation,https://www.crunchbase.com/funding_round/sense-it-out-technologies-grant--6d31d090,SICCA Automation,https://www.crunchbase.com/organization/sense-it-out-technologies,Grant,1000000,INR,15604,2017-08-12,,,,,No,SICCA uses proprietary sensor-based scalable IoT technology to optimize water usage at the farm thus increasing yield significantly,,"AgTech, Electronics, Farming, Horticulture, Industrial Automation, Intelligent Systems, Internet of Things, Sensor","Pune, Maharashtra, India, Asia",http://senseitout.com/,,6900000,INR,100289,,4,,"Department of Science and Technology, Government of India",2,,"210,999"
Convertible Note - Faqbot,https://www.crunchbase.com/funding_round/faqbot-convertible-note--fb07fe76,Faqbot,https://www.crunchbase.com/organization/faqbot,Convertible Note,15000,EUR,16141,2017-02-02,,,,,No,Faqbot is a SaaS platform used for designing chatbots.,,"Artificial Intelligence (AI), Chatbot, Information Services, Information Technology, SaaS, Software","Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe",https://www.faqbot.co/,Less than $1M,440000,EUR,516093,M&A,5,,,,,"213,636"
Seed Round - NicheAI,https://www.crunchbase.com/funding_round/nicheai-seed--efecc819,NicheAI,https://www.crunchbase.com/organization/nicheai,Seed,19300,USD,19300,2017-07-07,Seed,,,,Yes,Early stage Artificial Intelligence (AI) start up.,,"Artificial Intelligence (AI), Information Services, Information Technology","Hyderabad, Andhra Pradesh, India, Asia",https://www.nicheai.com,$1M to $10M,68900,USD,68900,Seed,3,50K Ventures,"50K Ventures, The IIIT-H Foundation",2,,"628,297"
Grant - Flock,https://www.crunchbase.com/funding_round/flockcover-grant--3af38107,Flock,https://www.crunchbase.com/organization/flockcover,Grant,2000,GBP,2470,2017-01-01,,,,,No,London-based insurtech building the world's first fully digital insurance company for connected and autonomous commercial vehicles,,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Big Data, FinTech, Fleet Management, Insurance, InsurTech, Software","London, England, United Kingdom, Europe",https://www.flockcover.com/,Less than $1M,59433449,USD,59433449,Early Stage Venture,12,,Geovation,1,,"277,922"
Product Crowdfunding - Bautiful,https://www.crunchbase.com/funding_round/bautiful-product-crowdfunding--a57512b9,Bautiful,https://www.crunchbase.com/organization/bautiful,Product Crowdfunding,16000,EUR,17004,2017-01-15,,,,,No,"Bautiful Box engages pets with fun activities when they're left home alone, while enabling their owners to ""keep an eye"" on them.",,"Artificial Intelligence (AI), Hardware, Internet of Things, Pet","Santa Monica, California, United States, North America",https://www.pawiz.pet/,,81000,EUR,89354,,2,,,,,"278,930"
Grant - QuickSafety,https://www.crunchbase.com/funding_round/quicksafety-grant--cf22c119,QuickSafety,https://www.crunchbase.com/organization/quicksafety,Grant,10000,AUD,7499,2017-01-13,,,,,No,"QuickSafety is solving compliance, risk, and safety issues in the electrical industry.",,"Asset Management, Commercial Real Estate, Construction, Insurance, Mining, Oil and Gas, Predictive Analytics, Property Management, Real Estate, Retail","Sippy Downs, Queensland, Australia, Oceania",https://www.quicksafety.com.au/,$1M to $10M,1052613,AUD,774825,Seed,8,"Department of Industry, Innovation and Science","Department of Industry, Innovation and Science",1,,"280,864"
Grant - Socian AI,https://www.crunchbase.com/funding_round/socian-ai-grant--5a4a6738,Socian AI,https://www.crunchbase.com/organization/socian-ai,Grant,10000,USD,10000,2017-05-25,,,,,No,"NLP & Gen AI Company, Bridging the Gap Between Organizations & Consumers and Serving the Masses, the Right Way",,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Speech Recognition, Text Analytics","Dover, Delaware, United States, North America",https://socian.ai,,225625,USD,225625,Seed,4,,,,,"355,244"
Grant - Largo,https://www.crunchbase.com/funding_round/largo-grant--9d263151,Largo,https://www.crunchbase.com/organization/largo,Grant,10000,CHF,10388,2017-06-06,,,,,No,Largo provides data-driven intelligence to the movie industry with the proprietary technologies.,,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Media and Entertainment","Lausanne, Vaud, Switzerland, Europe",http://largo.ai/,$1M to $10M,3560000,CHF,3691191,,8,Venture Kick,Venture Kick,1,,"366,262"
Seed Round - Emerge,https://www.crunchbase.com/funding_round/emerge-5-seed--d2c9a244,Emerge,https://www.crunchbase.com/organization/emerge-5,Seed,15000,EUR,16363,2017-04-26,Seed,,,,Yes,Emerge helps insurance companies to make money from insurance operations.,,"Machine Learning, Software","London, England, United Kingdom, Europe",https://www.emergeml.com/,$50M to $100M,15000,EUR,16363,Seed,1,,"Startupbootcamp, Startupbootcamp InsurTech London",2,,"384,181"
