Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Atmosoar,https://www.crunchbase.com/funding_round/atmosoar-pre-seed--19c6decf,Atmosoar,https://www.crunchbase.com/organization/atmosoar,Pre-Seed,100000,USD,100000,2016-02-01,Seed,1300000,USD,1300000,Yes,"The Waze of drones - a route planning platform to keep drones out of bad weather and fly safer, increase your team's productivity.","Apps, Big Data, Drones, Information Technology, Predictive Analytics, Software, Software Engineering",,"Kowloon City, Kowloon, Hong Kong, Asia",https://atmosoar.io,Less than $1M,100000,USD,100000,Seed,1,SOSV,"Michele Travierso, SOSV",2,,"105,502"
Seed Round - Codevus,https://www.crunchbase.com/funding_round/codevus-seed--c3215a8e,Codevus,https://www.crunchbase.com/organization/codevus,Seed,85000,USD,85000,2016-10-21,Seed,300000,USD,300000,Yes,"Codevus is an AI/ML-enabled tech startup that provides ERP development, LMS development, and bespoke Software development services.","Apps, Artificial Intelligence (AI), Cloud Computing, Customer Service, Enterprise Resource Planning (ERP), Enterprise Software, Machine Learning, SaaS, Software, Web Development",,"Nugegoda, Western, Sri Lanka, Asia",https://codevus.cloud/,,267000,USD,267000,Early Stage Venture,2,,,,,"103,467"
Pre Seed Round - Pathmind,https://www.crunchbase.com/funding_round/pathmind-pre-seed--4cc8d514,Pathmind,https://www.crunchbase.com/organization/pathmind,Pre-Seed,120000,USD,120000,2016-03-22,Seed,,,,Yes,Pathmind helps simulation modelers optimize industrial operations and supply chains with deep reinforcement learning.,"Analytics, Artificial Intelligence (AI), Industrial Automation, Logistics, Machine Learning, Supply Chain Management",,"San Francisco, California, United States, North America",https://pathmind.com,$1M to $10M,17820000,USD,17820000,Early Stage Venture,7,,Y Combinator,1,,"114,274"
Seed Round - Mycroft,https://www.crunchbase.com/funding_round/mycroft-ai-inc-seed--a2d561e5,Mycroft,https://www.crunchbase.com/organization/mycroft-ai-inc,Seed,120000,USD,120000,2016-02-22,Seed,333333,USD,333333,Yes,Mycroft is a developer of an open source voice assistant platform designed to handle operating systems.,"Artificial Intelligence (AI), Consumer Electronics, Internet of Things, Machine Learning, Open Source, Software",Women Founded,"Kansas City, Missouri, United States, North America",http://mycroft.ai,$1M to $10M,5089485,USD,5089485,,17,Techstars,"Haitao Capital, Sprint Accelerator, Techstars",3,1,"214,112"
Grant - PhysicalTech,https://www.crunchbase.com/funding_round/physicaltech-grant--1148c6d9,PhysicalTech,https://www.crunchbase.com/organization/physicaltech,Grant,50000,EUR,54552,2016-10-26,,,,,No,"PhysicalTech is a technology company located in Barcelona, specializing in smart data analysis and computer vision.","3D Technology, Analytics, Artificial Intelligence (AI), Computer, Computer Vision, Database, Health Care, Information Technology, Medical Device, Software",,"Barcelona, Catalonia, Spain, Europe",http://www.physicaltech.com/,Less than $1M,100000,EUR,107199,,2,,Horizon 2020,1,,"662,075"
Series A - Polyglots,https://www.crunchbase.com/funding_round/polyglots-inc-series-a--aaae6dc1,Polyglots,https://www.crunchbase.com/organization/polyglots-inc,Series A,9300000,JPY,79070,2016-12-21,Early Stage Venture,,,,Yes,Polyglots develops language learning app with its AI-based personalization technology.,"Artificial Intelligence (AI), E-Learning, Education, Language Learning",,"Tokyo, Tokyo, Japan, Asia",http://www.polyglots.net/,$1M to $10M,2407347,USD,2407347,Early Stage Venture,7,Robert Huang,Robert Huang,1,,"357,696"
Grant - QMENTA,https://www.crunchbase.com/funding_round/qmenta-grant--83e01711,QMENTA,https://www.crunchbase.com/organization/qmenta,Grant,100000,EUR,106332,2016-11-21,,,,,No,QMENTA is a software development company that offers AI cloud-based solutions for imaging clinical trials and studies.,"Artificial Intelligence (AI), Cloud Computing, Image Recognition, Information Technology, Machine Learning, Software","Women Founded, Women Led","Boston, Massachusetts, United States, North America",http://www.qmenta.com,$1M to $10M,10008899,USD,10008899,,13,Open Data Incubator for Europe (ODINE),Open Data Incubator for Europe (ODINE),1,,"358,604"
Seed Round - Endless Robotics,https://www.crunchbase.com/funding_round/endless-robotics-seed--034ded21,Endless Robotics,https://www.crunchbase.com/organization/endless-robotics,Seed,100000,USD,100000,2016-03-23,Seed,,,,Yes,"Endless Robotics is build intelligent robots to solve dull and dirty problems for construction, maintenance and smart city management.","Artificial Intelligence (AI), Industrial Automation, Robotics",,"Hyderabad, Andhra Pradesh, India, Asia",http://endlessrobotics.com/,$1M to $10M,177900,USD,177900,Seed,3,"Devidas Desai, Vipul Gautam","Devidas Desai, Indian Angel Network, Singapore Angel Network, Vipul Gautam",4,,"167,348"
Pre Seed Round - GoHero.ai,https://www.crunchbase.com/funding_round/gohero-ai-pre-seed--1e5e8df2,GoHero.ai,https://www.crunchbase.com/organization/gohero-ai,Pre-Seed,25000,USD,25000,2016-03-05,Seed,,,,Yes,"Hi! We're GoHero.ai . A personal concierge app with artificial + human intelligence to find, plan and book all your travel needs on chat.","Artificial Intelligence (AI), Leisure, Machine Learning, Tourism, Travel",,"Mumbai, Maharashtra, India, Asia",http://www.gohero.ai/#intro,,25000,USD,25000,Seed,1,Travel Startups Incubator,Travel Startups Incubator,1,1,"242,923"
Grant - Syngli,https://www.crunchbase.com/funding_round/syngli-grant--497d59fe,Syngli,https://www.crunchbase.com/organization/syngli,Grant,5000,CAD,3899,2016-04-15,,,,,No,Syngli is building an interactive tutoring system to enhance teaching and learning.,"Big Data, E-Learning, Language Learning, Natural Language Processing, Neuroscience, Speech Recognition, Test and Measurement, Tutoring",,"Kitchener, Ontario, Canada, North America",https://syngli.com/,$10M to $50M,619659,USD,619659,Seed,25,,Natural Sciences and Engineering Research Council of Canada (NSERC),1,,"244,118"
"Seed Round - Astral AR, LLC",https://www.crunchbase.com/funding_round/astral-ar-llc-seed--ca13229d,"Astral AR, LLC",https://www.crunchbase.com/organization/astral-ar-llc,Seed,50000,USD,50000,2016-07-01,Seed,,,,Yes,"We stop bullets and deliver ultra-fast rescue. Patented sensor technology, unbiased by design. Lifesaving-edge #AI #ML.","Aerospace, Artificial Intelligence (AI), Augmented Reality, Drones, Electronics, Emerging Markets, GovTech, Humanitarian, Security","Hispanic / Latine Founded, Women Founded","Austin, Texas, United States, North America",http://www.astralar.com,Less than $1M,255000,USD,255000,Seed,3,,Astral Friends & Fam,1,,"422,550"
Pre Seed Round - Acerta Analytics,https://www.crunchbase.com/funding_round/acerta-pre-seed--a39b4df1,Acerta Analytics,https://www.crunchbase.com/organization/acerta,Pre-Seed,100000,USD,100000,2016-06-13,Seed,,,,Yes,Acerta Analytics is a software company that improves part quality in precision manufacturing through Machine Learning and AI,"Artificial Intelligence (AI), Automotive, Machine Learning, Manufacturing, Software",,"Kitchener, Ontario, Canada, North America",https://acerta.ai,$1M to $10M,18632783,USD,18632783,Early Stage Venture,6,Techstars,"Fontinalis Partners, Techstars",2,,"608,921"
Grant - CRiskCo,https://www.crunchbase.com/funding_round/criskco-grant--facd4417,CRiskCo,https://www.crunchbase.com/organization/criskco,Grant,100000,AUD,74675,2016-12-06,,1000000,USD,1000000,No,CRiskCo provide fraud detection and credit management platform for vendors and FI's using Artificial Intelligence and behavior analyses,"Accounting, Credit, Financial Services, FinTech, Fraud Detection, Machine Learning",,"Palo Alto, California, United States, North America",https://www.criskco.com/,$1M to $10M,399675,USD,399675,,3,,Hot DesQ,1,,"609,553"
Seed Round - Hoxton Analytics,https://www.crunchbase.com/funding_round/hoxton-analytics-seed--cf31f898,Hoxton Analytics,https://www.crunchbase.com/organization/hoxton-analytics,Seed,50000,GBP,72968,2016-05-01,Seed,,,,Yes,Cloud computer vision software to digitise and automate processes in physical spaces.,"Analytics, Artificial Intelligence (AI), Computer Vision, Industrial Automation, Machine Learning, Predictive Analytics, Software, Text Analytics",,"London, England, United Kingdom, Europe",https://www.hoxton.ai,$1M to $10M,1583742,USD,1583742,,7,,True.,1,,"555,943"
Seed Round - GETTER,https://www.crunchbase.com/funding_round/getter-seed--f4014eb5,GETTER,https://www.crunchbase.com/organization/getter,Seed,50000,USD,50000,2016-01-01,Seed,,,,Yes,Getter gathers and analyzes marketing emails and provides users with insight.,"Analytics, Big Data, Content Discovery, Ediscovery, Machine Learning",,"Milwaukee, Wisconsin, United States, North America",http://www.getter.io,,100000,USD,100000,Seed,2,,,,,"539,291"
Seed Round - QuiznGifts,https://www.crunchbase.com/funding_round/weesteer-seed--fee6b91a,QuiznGifts,https://www.crunchbase.com/organization/weesteer,Seed,500000,SEK,60086,2016-03-15,Seed,,,,Yes,SaaS - Digital Entertainment with Real Rewards,"Advertising Platforms, Brand Marketing, Charity, Consumer, Predictive Analytics, SaaS",,"Göteborg, Vastra Gotaland, Sweden, Europe",https://quizngifts.com/,,500000,SEK,60086,Seed,1,,,,,"377,355"
Seed Round - Unioncrate,https://www.crunchbase.com/funding_round/union-crate-seed--98324568,Unioncrate,https://www.crunchbase.com/organization/union-crate,Seed,120000,USD,120000,2016-09-30,Seed,,,,Yes,Unioncrate is a supply chain platform that simplifies demand planning and daily operations for consumer goods companies.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics, SaaS, Software, Supply Chain Management","Black Founded, Black Led","New York, New York, United States, North America",http://unioncrate.com,Less than $1M,13340000,USD,13340000,Early Stage Venture,5,Techstars,"37 Angels, Right Side Capital Management, Techstars",3,,"377,422"
Pre Seed Round - GOGO Band,https://www.crunchbase.com/funding_round/gogo-band-pre-seed--02961d18,GOGO Band,https://www.crunchbase.com/organization/gogo-band,Pre-Seed,80000,USD,80000,2016-03-01,Seed,,,,Yes,GOGO Band is pioneering the use of biometric data from wearables using AI/ML predictive analytics to manage chronic health conditions.,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Medical",,"Ashland, Virginia, United States, North America",https://mygogoband.com/,Less than $1M,2130000,USD,2130000,Seed,7,,,,,"642,120"
Grant - Vidrovr,https://www.crunchbase.com/funding_round/vidrovr-grant--b003e9c5,Vidrovr,https://www.crunchbase.com/organization/vidrovr,Grant,25000,USD,25000,2016-04-04,,,,,No,"Vidrovr develops multimodal computer vision and machine learning systems to index, tag, and understand video. ","Machine Learning, Video, Web Design",,"New York, New York, United States, North America",http://vidrovr.com,$1M to $10M,5294910,USD,5294910,Seed,10,,Verizon Wireless,1,,"648,284"
Grant - modefinance Srl,https://www.crunchbase.com/funding_round/modefinance-grant--7d1b66ae,modefinance Srl,https://www.crunchbase.com/organization/modefinance,Grant,50000,EUR,54452,2016-02-01,,,,,No,modefinance applies big data and machine learning in the credit risk management and risk analysis fields.,"Analytics, Artificial Intelligence (AI), Big Data, Financial Services, FinTech, Machine Learning",,"Trieste, Friuli-Venezia Giulia, Italy, Europe",http://www.modefinance.com/en,$1M to $10M,1350000,EUR,1480649,M&A,2,EASME - EU Executive Agency for SMEs,EASME - EU Executive Agency for SMEs,1,,"648,399"
Angel Round - Agile Stacks,https://www.crunchbase.com/funding_round/agile-stacks-inc-angel--2a4a752c,Agile Stacks,https://www.crunchbase.com/organization/agile-stacks-inc,Angel,110000,USD,110000,2016-09-01,Seed,,,,Yes,Agile Stacks provides DevOps automation platform for cloud infrastructure and machine learning.,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Data Center Automation, DevOps, Infrastructure, Machine Learning, Open Source, SaaS, Software",,"San Mateo, California, United States, North America",https://superhub.io,$1M to $10M,8530000,USD,8530000,Early Stage Venture,4,,,,,"649,153"
Grant - Activity Stream,https://www.crunchbase.com/funding_round/activity-stream-grant--62b74b53,Activity Stream,https://www.crunchbase.com/organization/activity-stream,Grant,12500000,ISK,96362,2016-03-01,,,,,No,Activity Stream makes client's organization better by turning business data into actionable intelligence and insights.,"Analytics, Big Data, Enterprise Software, Predictive Analytics",,"Reykjavík, Gullbringusysla, Iceland, Europe",http://www.activitystream.com,,24255306,USD,24255306,,11,Technology Development Fund,Technology Development Fund,1,,"205,913"
Grant - Mycroft,https://www.crunchbase.com/funding_round/mycroft-ai-inc-grant--42ecd74a,Mycroft,https://www.crunchbase.com/organization/mycroft-ai-inc,Grant,50000,USD,50000,2016-09-16,,,,,No,Mycroft is a developer of an open source voice assistant platform designed to handle operating systems.,"Artificial Intelligence (AI), Consumer Electronics, Internet of Things, Machine Learning, Open Source, Software",Women Founded,"Kansas City, Missouri, United States, North America",http://mycroft.ai,$1M to $10M,5089485,USD,5089485,,17,Launch KC,Launch KC,1,,"649,977"
Seed Round - Talivest,https://www.crunchbase.com/funding_round/talivest-seed--4aa19f75,Talivest,https://www.crunchbase.com/organization/talivest,Seed,53333,USD,53333,2016-03-29,Seed,,,,Yes,"Talivest is a people analytics SaaS company, specialising in employee engagement through innovative technology solutions.","Analytics, Employee Benefits, Employment, Human Resources, Information Technology, Machine Learning, Predictive Analytics, SaaS, Small and Medium Businesses, Software",,"Dublin, Dublin, Ireland, Europe",http://www.talivest.com/,$1M to $10M,1938333,USD,1938333,M&A,5,Techstars,Techstars,1,,"529,128"
Seed Round - Neuron Soundware,https://www.crunchbase.com/funding_round/neuron-software-seed--f806800e,Neuron Soundware,https://www.crunchbase.com/organization/neuron-software,Seed,300000,CZK,12579,2016-06-09,Seed,,,,Yes,We develop AI solutions to maximize the performance of industrial equipment and processes by analyzing sound and other physical parameters,"Artificial Intelligence (AI), Information Technology, Internet of Things, Machine Learning, Predictive Analytics, Software",,"Prague, Hlavni mesto Praha, Czech Republic, Europe",http://neuronsw.com/,Less than $1M,13365376,USD,13365376,,10,Vodafone Idea of the Year,"Hardware.co, Vodafone Idea of the Year",2,1,"359,821"
Pre Seed Round - ZAPIENS,https://www.crunchbase.com/funding_round/zapiens-pre-seed--38a01345,ZAPIENS,https://www.crunchbase.com/organization/zapiens,Pre-Seed,65000,EUR,73058,2016-10-01,Seed,,,,Yes,Conversational knowledge management system,"Education, Enterprise Software, Information Technology, Knowledge Management, Natural Language Processing, Productivity Tools, SaaS, Software",,"Oviedo, Asturias, Spain, Europe",https://zapiens.ai,,888330,USD,888330,Seed,7,,,,,"360,325"
Convertible Note - Axyon AI,https://www.crunchbase.com/funding_round/axyon-ai-srl-convertible-note--7bf74991,Axyon AI,https://www.crunchbase.com/organization/axyon-ai-srl,Convertible Note,50000,EUR,52015,2016-12-19,,,,,No,Axyon AI leverages the most recent advancements in deep learning to create bespoke business applications for asset management and trading.,"Artificial Intelligence (AI), Asset Management, Banking, Finance, Financial Services, FinTech, Hedge Funds, Machine Learning",,"Modena, Emilia-Romagna, Italy, Europe",https://axyon.ai/,$1M to $10M,5521429,EUR,5897746,,7,,,,,"530,635"
Pre Seed Round - Healthcare Matrix,https://www.crunchbase.com/funding_round/healthcare-matrix-pre-seed--a762d1f4,Healthcare Matrix,https://www.crunchbase.com/organization/healthcare-matrix,Pre-Seed,2230,USD,2230,2016-05-11,Seed,,,,Yes,Healthcare Matrix provides healthcare facilities to underserved communities via intelligent medical kiosk & automated medicine dispenser.,"Artificial Intelligence (AI), Health Care, Medical, Pharmaceutical, Wellness",,"Karachi, Sindh, Pakistan, Asia",http://healthcare-matrix.com/,,3505,USD,3505,Seed,2,,,,,"531,250"
Seed Round - Atooma,https://www.crunchbase.com/funding_round/atooma-seed--aaac73bb,Atooma,https://www.crunchbase.com/organization/atooma,Seed,25000,EUR,27591,2016-07-15,Seed,,,,Yes,Atooma created Resonance: it uses the IoT to create contextual predictions and automations based on user lives,"Artificial Intelligence (AI), Automotive, Cloud Computing, Industrial Automation, Internet of Things, Smart Home",,"Rome, Lazio, Italy, Europe",http://www.atooma.com,$1M to $10M,1092591,USD,1092591,Seed,6,,,,,"230,474"
Seed Round - Edyza,https://www.crunchbase.com/funding_round/edyza-seed--0080f77a,Edyza,https://www.crunchbase.com/organization/edyza,Seed,60000,USD,60000,2016-08-01,Seed,,,,Yes,"Edyza is Internet of Things with High Density Connectivity and Computing (IOTHD) for industrial, commercial, and government markets. ","AgTech, Artificial Intelligence (AI), Augmented Reality, Big Data, Computer, Industrial Automation, Information Technology, Internet of Things, Sensor, Smart Cities, Wireless",,"Irvine, California, United States, North America",http://www.edyza.com,$1M to $10M,1300000,USD,1300000,Seed,6,,,,,"222,997"
Angel Round - WNNA,https://www.crunchbase.com/funding_round/wnna-angel--f30c9044,WNNA,https://www.crunchbase.com/organization/wnna,Angel,15000,USD,15000,2016-12-26,Seed,,,,Yes,AI Powered Personal Shortcut To Daily Life Actions From Around The Web.,"Artificial Intelligence (AI), Mobile, Personalization, Search Engine, Semantic Search",,"Al Rawdah, Ar Riyad, Saudi Arabia, Asia",https://wnna.co,,113000,USD,113000,Seed,6,,,,,"534,559"
Non Equity Assistance - Fyrno Inc.,https://www.crunchbase.com/funding_round/fyrno-inc-non-equity-assistance--003afa9a,Fyrno Inc.,https://www.crunchbase.com/organization/fyrno-inc,Non-equity Assistance,15000,USD,15000,2016-03-10,,,,,No,Fyrno is a mobile application that uses a powerful machine learning algorithm to help you discover songs by undiscovered artists.,"Machine Learning, Mobile Apps, Music",,"New Haven, Connecticut, United States, North America",https://www.fyrno.com,,15000,USD,15000,,1,,,,,"232,468"
Grant - GOGO Band,https://www.crunchbase.com/funding_round/gogo-band-grant--b197b749,GOGO Band,https://www.crunchbase.com/organization/gogo-band,Grant,30000,USD,30000,2016-09-22,,,,,No,GOGO Band is pioneering the use of biometric data from wearables using AI/ML predictive analytics to manage chronic health conditions.,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Medical",,"Ashland, Virginia, United States, North America",https://mygogoband.com/,Less than $1M,2130000,USD,2130000,Seed,7,,Lighthouse Labs RVA,1,,"416,791"
Grant - DigitalOwl,https://www.crunchbase.com/funding_round/digitalowl-grant--8adad782,DigitalOwl,https://www.crunchbase.com/organization/digitalowl,Grant,13800,USD,13800,2016-07-06,,,,,No,DigitalOwl is an InsurTech platform using AI to empower insurance professionals to transform complex medical data into actionable insights.,"Insurance, InsurTech, Internet, Life Insurance, Marketing, Natural Language Processing, Software",,"New York, New York, United States, North America",http://www.digitalowl.com,$10M to $50M,38513800,USD,38513800,Early Stage Venture,4,Tau Ventures,Tau Ventures,1,,"141,282"
Seed Round - ProEver,https://www.crunchbase.com/funding_round/proever-seed--e0981c39,ProEver,https://www.crunchbase.com/organization/proever,Seed,200000,JPY,1908,2016-10-31,Seed,,,,Yes,ProEver is a knowledge &talent management system created using artificial intelligence that supports intra-organizational knowledge sharing.,"Artificial Intelligence (AI), Business Intelligence, Software",,"Tokyo, Tokyo, Japan, Asia",https://www.proever.pm/,,200000,JPY,1908,Seed,1,,,,,"368,854"
Seed Round - Synchronized,https://www.crunchbase.com/funding_round/synchronized-seed--9b168aef,Synchronized,https://www.crunchbase.com/organization/synchronized,Seed,99993,EUR,111313,2016-05-31,Seed,,,,Yes,"Synchronized is an AI-powered in-video intelligence platform automating editorial tasks for broadcasters, OTT, and studios.","Artificial Intelligence (AI), Media and Entertainment",,"Sucy-en-brie, Ile-de-France, France, Europe",http://www.synchronized.tv/,$10M to $50M,3019505,EUR,3362481,,9,,Nick Gatfield,1,,"437,856"
Convertible Note - Match2One,https://www.crunchbase.com/funding_round/match2one-2-convertible-note--77736513,Match2One,https://www.crunchbase.com/organization/match2one-2,Convertible Note,32000,EUR,34849,2016-02-01,,,,,No,Match2One is a programmatic advertising platform.,"Advertising, Advertising Platforms, Digital Media, Machine Learning, Service Industry",,"Stockholm, Stockholms Lan, Sweden, Europe",http://www.match2one.com/,$1M to $10M,6405510,USD,6405510,M&A,7,,"Propel Capital, Sting",2,,"370,097"
Funding Round - Socian AI,https://www.crunchbase.com/funding_round/socian-ai-undisclosed--311d18be,Socian AI,https://www.crunchbase.com/organization/socian-ai,Funding Round,13750,USD,13750,2016-08-01,,137500,USD,137500,Yes,"NLP & Gen AI Company, Bridging the Gap Between Organizations & Consumers and Serving the Masses, the Right Way","Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Speech Recognition, Text Analytics",,"Dover, Delaware, United States, North America",https://socian.ai,,225625,USD,225625,Seed,4,GP Accelerator,GP Accelerator,1,,"144,708"
