"from";"to";"full";"share.from.full";"binary";"share.from.bin";"pc";"thmax";"thmaxpc";"expected";"untapped";"linkrca";"prio";"dutch.reg"
"NL22";"BE25";2;3,922;2;7,692;0,030525;50;0,0393301292388047;2,57691006772648;0,576910067726482;0,776123321123321;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"NL41";2;3,922;1;3,846;0,015263;36,5;0,0287109943443274;1,88114434944033;0,881144349440332;0,531591315837891;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"NL42";2;3,922;2;7,692;0,030525;53,5;0,042083238285521;2,75729377246734;0,757293772467336;0,725348898246095;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"DEF0";1;1,961;1;3,846;0,015263;27,5;0,0216315710813426;1,41730053724957;0,417300537249566;0,705566655566656;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"NL22";16;31,373;9;34,615;0,137363;26;0,0204516672041784;1,33999323521777;-7,66000676478223;6,71645181741335;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"BE22";1;1,961;1;3,846;0,015263;23;0,0180918594498502;1,18537863115418;0,185378631154182;0,843612305568827;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"AT12";3;5,882;1;3,846;0,015263;32,5;0,025564584005223;1,67499154402221;0,674991544022214;0,597017939325632;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"NL21";5;9,804;2;7,692;0,030525;18,5;0,0145521478183577;0,953456725058799;-1,0465432749412;2,0976305976306;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"NL23";1;1,961;1;3,846;0,015263;17,5;0,0137655452335816;0,901918523704269;-0,0980814762957311;1,10874760160474;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL22";"NL31";2;3,922;1;3,846;0,015263;17,5;0,0137655452335816;0,901918523704269;-0,0980814762957311;1,10874760160474;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL21";"BE32";2;9,524;1;9,091;0,015263;54,5;0,0428698408702971;2,80883197382187;1,80883197382187;0,356019872074918;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL21";"NL32";2;9,524;1;9,091;0,015263;23;0,0180918594498502;1,18537863115418;0,185378631154182;0,843612305568827;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL21";"NL22";5;23,81;2;18,182;0,030525;18,5;0,0145521478183577;0,953456725058799;-1,0465432749412;2,0976305976306;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL21";"NL21";8;38,095;3;27,273;0,045788;11;0,00865262843253703;0,566920214899826;-2,43307978510017;5,29174991674992;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
"NL21";"NL12";2;9,524;2;18,182;0,030525;9,5;0,00747272455537289;0,489612912868032;-1,51038708713197;4,08485958485959;"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east"
