"Province";"Industry";"Relatedness.Density";"Complexity";"Employment..US.";"Wage..US.";"Education..US.";"RCA";"sbi08";"omschr";"Relatedness.Density..5d.";"RCA..5d."
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;66293;"Waarborgfondsen";29,96;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;66291;"Verzekeringsbeurzen";33,6;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;66192;"Marketmakers";32,23;0
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;6612;"Commissionairs en makelaars in effecten, beleggingsadviseurs";32,2;0,38
"Limburg";" Activities auxiliary to financial services and insurance activities ";30,56;80,36;3237230;108,05;14,53;0,86;66191;"Administratiekantoren voor aandelen en obligaties";32,12;0,48
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;66192;"Marketmakers";38,67;0,02
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;6612;"Commissionairs en makelaars in effecten, beleggingsadviseurs";39,35;0,58
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;66191;"Administratiekantoren voor aandelen en obligaties";37,99;0,27
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;66292;"Actuariële en pensioenadviesbureaus; beheer en administratie";42,03;0,6
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;66291;"Verzekeringsbeurzen";42,03;0,18
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;6622;"Assurantietussenpersonen";44,24;1,1
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;66293;"Waarborgfondsen";36,62;0
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;6630;"Vermogensbeheer";38,47;0,64
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;66193;"Hypotheek- en kredietbemiddeling, geldwisselkantoren";38,23;0,8
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;6621;"Risicoanalisten en schadetaxateurs";41,78;0,89
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;66299;"Overige dienstverlening op het gebied van verzekeringen";53,97;4,51
"Noord-Brabant";" Activities auxiliary to financial services and insurance activities ";37,7;80,36;3237230;108,05;14,53;1,17;6611;"Beheer van financiële markten";38,7;0
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;66291;"Verzekeringsbeurzen";29,36;0
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;66192;"Marketmakers";27,15;0
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;66292;"Actuariële en pensioenadviesbureaus; beheer en administratie";28,67;0,28
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;6612;"Commissionairs en makelaars in effecten, beleggingsadviseurs";27,54;0,43
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;66193;"Hypotheek- en kredietbemiddeling, geldwisselkantoren";26,45;0,77
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;66293;"Waarborgfondsen";25,66;0
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;66299;"Overige dienstverlening op het gebied van verzekeringen";29,75;0,27
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;6621;"Risicoanalisten en schadetaxateurs";26,63;0,23
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;6611;"Beheer van financiële markten";27,12;0
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;6622;"Assurantietussenpersonen";28,65;0,85
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;66191;"Administratiekantoren voor aandelen en obligaties";25,18;0,02
"Zeeland";" Activities auxiliary to financial services and insurance activities ";28,63;80,36;3237230;108,05;14,53;0,66;6630;"Vermogensbeheer";33,46;1,58
"Limburg";" Activities of extraterritorial organisations and bodies ";32,13;96,47;NA;NA;NA;0,18;9900;"Extraterritoriale organisaties en lichamen";34;0,18
"Noord-Brabant";" Activities of extraterritorial organisations and bodies ";41,5;96,47;NA;NA;NA;0,03;9900;"Extraterritoriale organisaties en lichamen";40,5;0,03
"Zeeland";" Activities of extraterritorial organisations and bodies ";33,67;96,47;NA;NA;NA;0,01;9900;"Extraterritoriale organisaties en lichamen";29,77;0,01
"Limburg";" Activities of head offices; management consultancy activities ";23,85;97,57;4854721;97,27;14,49;0,58;7021;"Public relationsbureaus";31,46;0,7
"Limburg";" Activities of head offices; management consultancy activities ";23,85;97,57;4854721;97,27;14,49;0,58;70101;"Concerndiensten binnen eigen concern";35,81;1,63
"Limburg";" Activities of head offices; management consultancy activities ";23,85;97,57;4854721;97,27;14,49;0,58;70222;"Advisering op het gebied van management en bedrijfsvoering";30,07;0,67
"Limburg";" Activities of head offices; management consultancy activities ";23,85;97,57;4854721;97,27;14,49;0,58;70102;"Holdings (geen financiële)";32,14;0,14
"Limburg";" Activities of head offices; management consultancy activities ";23,85;97,57;4854721;97,27;14,49;0,58;70221;"Organisatie-adviesbureaus";29,42;0,57
"Noord-Brabant";" Activities of head offices; management consultancy activities ";34,7;97,57;4854721;97,27;14,49;0,85;70221;"Organisatie-adviesbureaus";40,96;0,88
"Noord-Brabant";" Activities of head offices; management consultancy activities ";34,7;97,57;4854721;97,27;14,49;0,85;7021;"Public relationsbureaus";39,56;0,91
"Noord-Brabant";" Activities of head offices; management consultancy activities ";34,7;97,57;4854721;97,27;14,49;0,85;70101;"Concerndiensten binnen eigen concern";42,09;0,59
"Noord-Brabant";" Activities of head offices; management consultancy activities ";34,7;97,57;4854721;97,27;14,49;0,85;70102;"Holdings (geen financiële)";39,84;0,67
"Noord-Brabant";" Activities of head offices; management consultancy activities ";34,7;97,57;4854721;97,27;14,49;0,85;70222;"Advisering op het gebied van management en bedrijfsvoering";39,21;0,82
"Zeeland";" Activities of head offices; management consultancy activities ";22,28;97,57;4854721;97,27;14,49;0,48;70221;"Organisatie-adviesbureaus";23,09;0,51
"Zeeland";" Activities of head offices; management consultancy activities ";22,28;97,57;4854721;97,27;14,49;0,48;70222;"Advisering op het gebied van management en bedrijfsvoering";25,12;0,71
"Zeeland";" Activities of head offices; management consultancy activities ";22,28;97,57;4854721;97,27;14,49;0,48;70102;"Holdings (geen financiële)";26,69;0,04
"Zeeland";" Activities of head offices; management consultancy activities ";22,28;97,57;4854721;97,27;14,49;0,48;70101;"Concerndiensten binnen eigen concern";26,4;0,13
"Zeeland";" Activities of head offices; management consultancy activities ";22,28;97,57;4854721;97,27;14,49;0,48;7021;"Public relationsbureaus";24,59;0,5
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94994;"Vriendenkringen op het gebied van cultuur, fanclubs";30,18;0,08
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;9492;"Politieke organisaties";30,48;0,13
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;9420;"Werknemersorganisaties";32,96;0,73
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94995;"Overkoepelende organen en samenwerkings- en adviesorganen";32,22;0,42
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94992;"Hobbyclubs";42,9;1,83
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94919;"Overige levensbeschouwelijke organisaties";29,87;0,09
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;9411;"Bedrijfs- en werkgeversorganisaties";30,93;0,31
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;9412;"Beroepsorganisaties";32,2;0,01
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94991;"Gezelligheidsverenigingen";36,35;0,81
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94993;"Steunfondsen (niet op het gebied van welzijnszorg)";31,04;0,1
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94996;"Overige ideële organisaties (rest)";31,18;0,42
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94997;"Overige belangenbehartiging (rest)";31,11;0,18
"Limburg";" Activities of membership organisations ";25,56;98,96;2755525;30,02;14,27;0,66;94911;"Religieuze organisaties";42,41;2,03
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;9420;"Werknemersorganisaties";40,12;0,2
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94993;"Steunfondsen (niet op het gebied van welzijnszorg)";37,48;0,32
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94991;"Gezelligheidsverenigingen";40,59;0,23
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94994;"Vriendenkringen op het gebied van cultuur, fanclubs";41,01;0,47
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;9412;"Beroepsorganisaties";41,24;0,04
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94995;"Overkoepelende organen en samenwerkings- en adviesorganen";41,43;0,46
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;9492;"Politieke organisaties";37,21;0
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94919;"Overige levensbeschouwelijke organisaties";38,23;0,27
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94996;"Overige ideële organisaties (rest)";36,2;0,08
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94992;"Hobbyclubs";40,78;0,82
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94911;"Religieuze organisaties";45,31;1,06
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;94997;"Overige belangenbehartiging (rest)";38,96;0,13
"Noord-Brabant";" Activities of membership organisations ";35,36;98,96;2755525;30,02;14,27;0,45;9411;"Bedrijfs- en werkgeversorganisaties";41,02;0,73
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94995;"Overkoepelende organen en samenwerkings- en adviesorganen";33,48;1,7
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94992;"Hobbyclubs";32,64;1,02
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94919;"Overige levensbeschouwelijke organisaties";25,56;0,35
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94997;"Overige belangenbehartiging (rest)";26,14;0,12
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;9412;"Beroepsorganisaties";26,75;0,02
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94994;"Vriendenkringen op het gebied van cultuur, fanclubs";23,75;0
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;9492;"Politieke organisaties";25,6;0
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94993;"Steunfondsen (niet op het gebied van welzijnszorg)";25,7;0,07
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94991;"Gezelligheidsverenigingen";31,29;1,1
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94996;"Overige ideële organisaties (rest)";25,05;0,11
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;9420;"Werknemersorganisaties";25,62;0,06
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;9411;"Bedrijfs- en werkgeversorganisaties";26,17;0,38
"Zeeland";" Activities of membership organisations ";25,09;98,96;2755525;30,02;14,27;0,44;94911;"Religieuze organisaties";29,9;0,66
"Limburg";" Advertising and market research ";26,26;77,45;1058753;54,7;14,31;0,48;7312;"Handel in advertentieruimte en -tijd";30,3;0,43
"Limburg";" Advertising and market research ";26,26;77,45;1058753;54,7;14,31;0,48;7320;"Markt- en opinieonderzoekbureaus";29,68;0,33
"Limburg";" Advertising and market research ";26,26;77,45;1058753;54,7;14,31;0,48;7311;"Reclamebureaus";29,53;0,54
"Noord-Brabant";" Advertising and market research ";36,38;77,45;1058753;54,7;14,31;0,91;7312;"Handel in advertentieruimte en -tijd";38,71;0,62
"Noord-Brabant";" Advertising and market research ";36,38;77,45;1058753;54,7;14,31;0,91;7320;"Markt- en opinieonderzoekbureaus";41,08;1,05
"Noord-Brabant";" Advertising and market research ";36,38;77,45;1058753;54,7;14,31;0,91;7311;"Reclamebureaus";41,55;0,87
"Zeeland";" Advertising and market research ";23,72;77,45;1058753;54,7;14,31;0,44;7320;"Markt- en opinieonderzoekbureaus";22,73;0,25
"Zeeland";" Advertising and market research ";23,72;77,45;1058753;54,7;14,31;0,44;7312;"Handel in advertentieruimte en -tijd";23,32;0,18
"Zeeland";" Advertising and market research ";23,72;77,45;1058753;54,7;14,31;0,44;7311;"Reclamebureaus";23,35;0,52
"Limburg";" Air transport ";30,61;79,98;NA;NA;NA;0,05;5121;"Goederenvervoer door de lucht";37,07;1,69
"Limburg";" Air transport ";30,61;79,98;NA;NA;NA;0,05;5110;"Personenvervoer door de lucht";32,38;0,04
"Noord-Brabant";" Air transport ";35,43;79,98;NA;NA;NA;0,02;5121;"Goederenvervoer door de lucht";39,25;0,06
"Noord-Brabant";" Air transport ";35,43;79,98;NA;NA;NA;0,02;5110;"Personenvervoer door de lucht";38,68;0,02
"Zeeland";" Air transport ";29,49;79,98;NA;NA;NA;0,03;5110;"Personenvervoer door de lucht";27,27;0,04
"Zeeland";" Air transport ";29,49;79,98;NA;NA;NA;0,03;5121;"Goederenvervoer door de lucht";27,05;0
"Limburg";" Architectural and engineering activities; technical testing and analysis ";26,43;92,32;2266126;64,28;13,78;0,76;71203;"Overige keuring en controle";32,18;0,06
"Limburg";" Architectural and engineering activities; technical testing and analysis ";26,43;92,32;2266126;64,28;13,78;0,76;71112;"Interieurarchitecten";30,6;0,32
"Limburg";" Architectural and engineering activities; technical testing and analysis ";26,43;92,32;2266126;64,28;13,78;0,76;71201;"Keuring en controle van agrarische producten en voedingsmid";35,36;0,01
"Limburg";" Architectural and engineering activities; technical testing and analysis ";26,43;92,32;2266126;64,28;13,78;0,76;7112;"Ingenieurs en overig technisch ontwerp en advies";32,17;0,78
"Limburg";" Architectural and engineering activities; technical testing and analysis ";26,43;92,32;2266126;64,28;13,78;0,76;71202;"Keuring en controle van machines, apparaten en materialen";32,37;0,43
"Limburg";" Architectural and engineering activities; technical testing and analysis ";26,43;92,32;2266126;64,28;13,78;0,76;71111;"Architecten (geen interieurarchitecten)";33,93;1
"Noord-Brabant";" Architectural and engineering activities; technical testing and analysis ";41,75;92,32;2266126;64,28;13,78;1,08;71203;"Overige keuring en controle";45,82;0,92
"Noord-Brabant";" Architectural and engineering activities; technical testing and analysis ";41,75;92,32;2266126;64,28;13,78;1,08;71202;"Keuring en controle van machines, apparaten en materialen";42,89;0,9
"Noord-Brabant";" Architectural and engineering activities; technical testing and analysis ";41,75;92,32;2266126;64,28;13,78;1,08;71112;"Interieurarchitecten";42,06;1,22
"Noord-Brabant";" Architectural and engineering activities; technical testing and analysis ";41,75;92,32;2266126;64,28;13,78;1,08;71111;"Architecten (geen interieurarchitecten)";39,01;0,77
"Noord-Brabant";" Architectural and engineering activities; technical testing and analysis ";41,75;92,32;2266126;64,28;13,78;1,08;7112;"Ingenieurs en overig technisch ontwerp en advies";45,88;1,12
"Noord-Brabant";" Architectural and engineering activities; technical testing and analysis ";41,75;92,32;2266126;64,28;13,78;1,08;71201;"Keuring en controle van agrarische producten en voedingsmid";43,99;0,53
"Zeeland";" Architectural and engineering activities; technical testing and analysis ";26,03;92,32;2266126;64,28;13,78;0,69;71201;"Keuring en controle van agrarische producten en voedingsmid";30,57;1,09
"Zeeland";" Architectural and engineering activities; technical testing and analysis ";26,03;92,32;2266126;64,28;13,78;0,69;71202;"Keuring en controle van machines, apparaten en materialen";28,2;0,48
"Zeeland";" Architectural and engineering activities; technical testing and analysis ";26,03;92,32;2266126;64,28;13,78;0,69;71203;"Overige keuring en controle";27,44;0,11
"Zeeland";" Architectural and engineering activities; technical testing and analysis ";26,03;92,32;2266126;64,28;13,78;0,69;71111;"Architecten (geen interieurarchitecten)";24,03;0,25
"Zeeland";" Architectural and engineering activities; technical testing and analysis ";26,03;92,32;2266126;64,28;13,78;0,69;7112;"Ingenieurs en overig technisch ontwerp en advies";25,8;0,73
"Zeeland";" Architectural and engineering activities; technical testing and analysis ";26,03;92,32;2266126;64,28;13,78;0,69;71112;"Interieurarchitecten";36,69;1,61
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;4221;"Leggen van rioleringen, buizen en pijpleidingen";35,21;0,51
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;4212;"Bouw van boven- en ondergrondse spoorwegen";32,96;0,31
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;42112;"Stratenmaken";35,5;0,54
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;4213;"Bouw van kunstwerken";34,87;0,03
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;4291;"Natte waterbouw";32,78;0,01
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;4222;"Leggen van elektriciteits- en telecommunicatiekabels";33,05;0,49
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;42111;"Wegenbouw";31,17;0,49
"Limburg";" Civil engineering ";27,41;69,15;1995683;64,79;12,2;0,44;4299;"Bouw van overige civieltechnische werken (rest)";33,34;0,02
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;4221;"Leggen van rioleringen, buizen en pijpleidingen";46,94;0,79
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;4213;"Bouw van kunstwerken";43,15;0,77
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;42112;"Stratenmaken";50,19;1,32
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;4299;"Bouw van overige civieltechnische werken (rest)";40,84;0,15
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;4212;"Bouw van boven- en ondergrondse spoorwegen";44,04;1,67
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;42111;"Wegenbouw";41,4;0,7
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;4291;"Natte waterbouw";41,82;0,84
"Noord-Brabant";" Civil engineering ";46,47;69,15;1995683;64,79;12,2;0,91;4222;"Leggen van elektriciteits- en telecommunicatiekabels";45,44;1,05
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;42111;"Wegenbouw";36,78;1,55
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;42112;"Stratenmaken";32,3;0,82
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;4212;"Bouw van boven- en ondergrondse spoorwegen";26,53;0,05
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;4213;"Bouw van kunstwerken";29,89;0,19
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;4221;"Leggen van rioleringen, buizen en pijpleidingen";28,66;0,35
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;4291;"Natte waterbouw";34,24;1,43
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;4299;"Bouw van overige civieltechnische werken (rest)";29,2;0,03
"Zeeland";" Civil engineering ";32,75;69,15;1995683;64,79;12,2;1;4222;"Leggen van elektriciteits- en telecommunicatiekabels";28,23;0,52
"Limburg";" Computer programming, consultancy and related activities ";25,5;86,68;1643024;93,35;14,64;0,58;6209;"Overige dienstverlenende activiteiten op het gebied van info";31,01;0,44
"Limburg";" Computer programming, consultancy and related activities ";25,5;86,68;1643024;93,35;14,64;0,58;6203;"Beheer van computerfaciliteiten";35,31;1,47
"Limburg";" Computer programming, consultancy and related activities ";25,5;86,68;1643024;93,35;14,64;0,58;6202;"Advisering op het gebied van informatietechnologie";31,09;0,34
"Limburg";" Computer programming, consultancy and related activities ";25,5;86,68;1643024;93,35;14,64;0,58;6201;"Ontwikkelen, produceren en uitgeven van software";31,58;0,67
"Noord-Brabant";" Computer programming, consultancy and related activities ";37,38;86,68;1643024;93,35;14,64;0,85;6201;"Ontwikkelen, produceren en uitgeven van software";41,17;0,87
"Noord-Brabant";" Computer programming, consultancy and related activities ";37,38;86,68;1643024;93,35;14,64;0,85;6209;"Overige dienstverlenende activiteiten op het gebied van info";40,9;0,85
"Noord-Brabant";" Computer programming, consultancy and related activities ";37,38;86,68;1643024;93,35;14,64;0,85;6202;"Advisering op het gebied van informatietechnologie";41,79;0,8
"Noord-Brabant";" Computer programming, consultancy and related activities ";37,38;86,68;1643024;93,35;14,64;0,85;6203;"Beheer van computerfaciliteiten";42,45;0,83
"Zeeland";" Computer programming, consultancy and related activities ";22,72;86,68;1643024;93,35;14,64;0,31;6209;"Overige dienstverlenende activiteiten op het gebied van info";24,21;0,33
"Zeeland";" Computer programming, consultancy and related activities ";22,72;86,68;1643024;93,35;14,64;0,31;6202;"Advisering op het gebied van informatietechnologie";24,36;0,17
"Zeeland";" Computer programming, consultancy and related activities ";22,72;86,68;1643024;93,35;14,64;0,31;6201;"Ontwikkelen, produceren en uitgeven van software";23,27;0,38
"Zeeland";" Computer programming, consultancy and related activities ";22,72;86,68;1643024;93,35;14,64;0,31;6203;"Beheer van computerfaciliteiten";26,18;0,21
"Limburg";" Construction of buildings ";32,41;34,47;1180974;57,93;12,42;0,75;4110;"Projectontwikkeling";29,54;0,44
"Limburg";" Construction of buildings ";32,41;34,47;1180974;57,93;12,42;0,75;4120;"Algemene burgerlijke en utiliteitsbouw";32,79;0,77
"Noord-Brabant";" Construction of buildings ";47,75;34,47;1180974;57,93;12,42;1;4120;"Algemene burgerlijke en utiliteitsbouw";46,26;1,01
"Noord-Brabant";" Construction of buildings ";47,75;34,47;1180974;57,93;12,42;1;4110;"Projectontwikkeling";39,16;0,83
"Zeeland";" Construction of buildings ";42,38;34,47;1180974;57,93;12,42;1,2;4120;"Algemene burgerlijke en utiliteitsbouw";37,84;1,22
"Zeeland";" Construction of buildings ";42,38;34,47;1180974;57,93;12,42;1,2;4110;"Projectontwikkeling";26,98;0,71
