"Region";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C06C";"detonating or priming devices; fuses; chemical lig";0;0
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C06D";"means for generating smoke or mist; gas-attack com";0,19;0
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C09B";"organic dyes or closely-related compounds for prod";43,43;0,47
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C09C";"treatment of inorganic materials, other than fibro";21,12;0,19
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C09D";"coating compositions, e.g. paints, varnishes‘_or l";36,6;0,94
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C09F";"natural resins; french polish; drying-oils; driers";15,36;0
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C09G";"polishing compositions other than french polish; s";13,97;0
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C09J";"adhesives; non-mechanical‘_aspects of‘_adhesive pr";40,93;0,24
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C09K";"materials for applications not otherwise provided ";28,46;0,51
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10B";"destructive distillation of carbonaceous materials";13,53;0,22
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10C";"working-up tar, pitch, asphalt, bitumen; pyroligne";22,51;0
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10G";"cracking hydrocarbon oils; production of liquid hy";6,88;2,47
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10J";"production of gases containing carbon monoxide and";8,22;0
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10K";"purifying or modifying the chemical composition of";9,75;0,24
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10L";"fuels not otherwise provided for; natural gas; syn";19,65;0,6
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10M";"lubricating compositions; use of chemical substanc";11,71;0,47
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C10N";"indexing scheme associated with subclass c10m";10,77;0,63
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C11B";"producing, e.g. by pressing raw materials or by ex";20,37;0,08
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C11C";"fatty acids‘_obtained‘_from fats, oils or waxes; c";16,37;0
"NL4";"Basic materials chemistry";45,37;33,33;0,6;"C11D";"detergent compositions; use of single substances a";24,21;0,2
"NL4";"Biotechnology";36,69;96,97;0,61;"C07G";"compounds of unknown constitution";25,6;0,66
"NL4";"Biotechnology";36,69;96,97;0,61;"C07K";"peptides";16,47;0,32
"NL4";"Biotechnology";36,69;96,97;0,61;"C12M";"apparatus for enzymology or microbiology";19,22;0,57
"NL4";"Biotechnology";36,69;96,97;0,61;"C12N";"micro-organisms or enzymes; compositions thereof; ";26,24;0,66
"NL4";"Biotechnology";36,69;96,97;0,61;"C12P";"fermentation or enzyme-using processes to synthesi";31,18;0,88
"NL4";"Biotechnology";36,69;96,97;0,61;"C12Q";"measuring or testing processes involving enzymes o";20,22;0,72
"NL4";"Biotechnology";36,69;96,97;0,61;"C12R";"indexing scheme associated with subclasses c12c-c1";23,08;0,44
"NL4";"Chemical engineering";33,21;45,45;0,69;"B01B";"boiling; boiling apparatus";13;0
"NL4";"Chemical engineering";33,21;45,45;0,69;"B01D";"separation ";14,96;0,61
"NL4";"Chemical engineering";33,21;45,45;0,69;"B01F";"mixing, e.g. dissolving, emulsifying, dispersing";23,28;0,34
"NL4";"Chemical engineering";33,21;45,45;0,69;"B01J";"chemical or physical processes, e.g. catalysis, co";18,03;0,74
"NL4";"Chemical engineering";33,21;45,45;0,69;"B01L";"chemical or physical laboratory apparatus for gene";12,3;0,29
"NL4";"Chemical engineering";33,21;45,45;0,69;"B02C";"crushing, pulverising, or disintegrating in genera";27,78;0,59
"NL4";"Chemical engineering";33,21;45,45;0,69;"B03B";"separating solid materials using liquids or using ";13,41;0
"NL4";"Chemical engineering";33,21;45,45;0,69;"B03C";"magnetic or electrostatic separation of solid mate";6,33;0,47
"NL4";"Chemical engineering";33,21;45,45;0,69;"B03D";"flotation; differential sedimentation";1,28;0
"NL4";"Chemical engineering";33,21;45,45;0,69;"B04B";"centrifuges";15,33;0,49
"NL4";"Chemical engineering";33,21;45,45;0,69;"B04C";"apparatus using free vortex flow, e.g. cyclones";9,41;0,83
"NL4";"Chemical engineering";33,21;45,45;0,69;"B05B";"spraying apparatus; atomising apparatus; nozzles ";19,25;0,4
"NL4";"Chemical engineering";33,21;45,45;0,69;"B06B";"generating or transmitting mechanical vibrations i";48,78;5,28
"NL4";"Chemical engineering";33,21;45,45;0,69;"B07B";"separating solids from solids by sieving, screenin";23,07;0,18
"NL4";"Chemical engineering";33,21;45,45;0,69;"B07C";"postal sorting; sorting individual articles, or bu";20,97;0,69
"NL4";"Chemical engineering";33,21;45,45;0,69;"B08B";"cleaning in general; prevention of fouling in gene";23,6;1,18
"NL4";"Chemical engineering";33,21;45,45;0,69;"C14C";"treating skins, hides or leather with chemicals, e";36,11;0
"NL4";"Chemical engineering";33,21;45,45;0,69;"D06B";"treating textile materials by liquids, gases, or v";28,58;0
"NL4";"Chemical engineering";33,21;45,45;0,69;"D06C";"finishing, dressing, tentering, or stretching text";19,65;0,5
"NL4";"Chemical engineering";33,21;45,45;0,69;"D06L";"bleaching, e.g. optical bleaching, dry-cleaning or";46,45;0
"NL4";"Chemical engineering";33,21;45,45;0,69;"F25J";"liquefaction, solidification, or separation of gas";4,23;0
"NL4";"Chemical engineering";33,21;45,45;0,69;"F26B";"drying solid materials or objects by removing liqu";18,12;0,55
"NL4";"Chemical engineering";33,21;45,45;0,69;"H05H";"plasma technique; production of accelerated electr";35,77;0,98
"NL4";"Civil engineering";23,93;57,58;0,44;"E01B";"permanent way; permanent-way tools; machines for m";19,68;0
"NL4";"Civil engineering";23,93;57,58;0,44;"E01C";"construction of, or surfaces for, roads, sports gr";35,16;0,62
"NL4";"Civil engineering";23,93;57,58;0,44;"E01D";"bridges ";30,14;0
"NL4";"Civil engineering";23,93;57,58;0,44;"E01F";"additional work, such as equipping roads or the co";15,97;0,61
"NL4";"Civil engineering";23,93;57,58;0,44;"E01H";"street cleaning; cleaning of permanent ways; clean";23,7;0,69
"NL4";"Civil engineering";23,93;57,58;0,44;"E02B";"hydraulic engineering";30,09;1,66
"NL4";"Civil engineering";23,93;57,58;0,44;"E02D";"foundations; excavations; embankments; underground";31;1,12
"NL4";"Civil engineering";23,93;57,58;0,44;"E02F";"dredging; soil-shifting";25,49;2,1
"NL4";"Civil engineering";23,93;57,58;0,44;"E03B";"installations or methods for obtaining, collecting";12,43;0,36
"NL4";"Civil engineering";23,93;57,58;0,44;"E03C";"domestic plumbing installations for fresh water or";8,01;0,36
"NL4";"Civil engineering";23,93;57,58;0,44;"E03D";"water-closets or urinals with flushing devices; fl";1,98;0,26
"NL4";"Civil engineering";23,93;57,58;0,44;"E03F";"sewers; cesspools";25,96;0,36
"NL4";"Civil engineering";23,93;57,58;0,44;"E04B";"general building constructions; walls, e.g. partit";18,16;0,24
"NL4";"Civil engineering";23,93;57,58;0,44;"E04C";"structural elements; building materials ";16,74;0,47
"NL4";"Civil engineering";23,93;57,58;0,44;"E04D";"roof coverings; sky-lights; gutters; roof-working ";22,48;0,65
"NL4";"Civil engineering";23,93;57,58;0,44;"E04F";"finishing work on buildings, e.g. stairs, floors";17,42;0,4
"NL4";"Civil engineering";23,93;57,58;0,44;"E04G";"scaffolding; forms; shuttering; building implement";16,69;1,16
"NL4";"Civil engineering";23,93;57,58;0,44;"E04H";"buildings or like structures for particular purpos";23,12;0,42
"NL4";"Civil engineering";23,93;57,58;0,44;"E05B";"locks; accessories therefor; handcuffs";9,5;0,09
"NL4";"Civil engineering";23,93;57,58;0,44;"E05C";"bolts or fastening devices for wings, specially fo";4,18;0,08
"NL4";"Civil engineering";23,93;57,58;0,44;"E05D";"hinges or other suspension devices for doors, wind";4,6;0,08
"NL4";"Civil engineering";23,93;57,58;0,44;"E05F";"devices for moving wings into open or closed posit";13,6;0,14
"NL4";"Civil engineering";23,93;57,58;0,44;"E05G";"safes or strong-rooms for valuables; bank protecti";5,12;0
"NL4";"Civil engineering";23,93;57,58;0,44;"E06B";"fixed or movable closures for openings in building";15,06;0,44
"NL4";"Civil engineering";23,93;57,58;0,44;"E06C";"ladders";34,02;0,74
"NL4";"Civil engineering";23,93;57,58;0,44;"E21B";"earth or rock drilling; obtaining oil, gas, water,";23,27;0,11
"NL4";"Civil engineering";23,93;57,58;0,44;"E21C";"mining or quarrying";15,53;0,24
"NL4";"Civil engineering";23,93;57,58;0,44;"E21D";"shafts; tunnels; galleries; large underground cham";14,37;0
"NL4";"Civil engineering";23,93;57,58;0,44;"E21F";"safety devices, transport, filling-up, rescue, ven";6,61;0
"NL4";"Computer technology";48,51;84,85;2,07;"G06F";"electric digital data processing";55,32;1,8
"NL4";"Computer technology";48,51;84,85;2,07;"G06G";"analogue computers ";76,27;4,53
"NL4";"Computer technology";48,51;84,85;2,07;"G06K";"recognition of data; presentation of data; record ";46,86;1,76
"NL4";"Computer technology";48,51;84,85;2,07;"G06M";"counting mechanisms; counting of objects not other";26,83;0
"NL4";"Computer technology";48,51;84,85;2,07;"G06N";"computer systems based on specific computational m";76,26;0,92
"NL4";"Computer technology";48,51;84,85;2,07;"G06T";"image data processing or generation, in general";61,88;2,95
"NL4";"Computer technology";48,51;84,85;2,07;"G10L";"speech analysis or synthesis; speech recognition; ";35,18;0,87
"NL4";"Computer technology";48,51;84,85;2,07;"G11C";"static stores";79,5;4,56
"NL4";"Control";40,22;51,52;0,65;"G05B";"control or regulating systems in general; function";32,89;0,62
"NL4";"Control";40,22;51,52;0,65;"G05D";"systems for controlling or regulating non-electric";22,4;0,28
"NL4";"Control";40,22;51,52;0,65;"G05F";"systems for regulating electric or magnetic variab";51,56;2,54
"NL4";"Control";40,22;51,52;0,65;"G07B";"ticket-issuing apparatus; taximeters; arrangements";27,15;0,37
"NL4";"Control";40,22;51,52;0,65;"G07C";"time or attendance registers; registering or indic";18,91;0,27
"NL4";"Control";40,22;51,52;0,65;"G07D";"handling‘_of coins or of paper currency or similar";35,52;0,11
"NL4";"Control";40,22;51,52;0,65;"G07F";"coin-freed or like apparatus";24,78;0,36
"NL4";"Control";40,22;51,52;0,65;"G07G";"registering the receipt of cash, valuables, or tok";25,05;0
"NL4";"Control";40,22;51,52;0,65;"G08B";"signalling or calling systems; order telegraphs; a";35,52;1,52
"NL4";"Control";40,22;51,52;0,65;"G08G";"traffic control systems (guiding railway traffic, ";27,88;0,4
"NL4";"Control";40,22;51,52;0,65;"G09B";"educational or demonstration appliances; appliance";39,4;1,39
"NL4";"Digital communication ";49,5;100;1,2;"H04L";"transmission of digital information, e.g. telegrap";55,49;1,14
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"F21K";"light sources not otherwise provided for";83,6;12,99
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"F21L";"lighting devices or systems thereof, being portabl";62,55;0,69
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"F21S";"non-portable lighting devices or systems thereof ";62,36;1,97
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"F21V";"functional features or details of lighting devices";69,55;4,88
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"F21W";"indexing scheme associated with subclasses f21l, f";70,26;3,13
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"F21Y";"indexing scheme associated with subclasses f21l, f";78,4;6
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01C";"resistors";16,8;0,4
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01F";"magnets; inductances; transformers; selection of m";33,88;0,7
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01G";"capacitors; capacitors, rectifiers, detectors, swi";34,36;0,59
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01H";"electric switches; relays; selectors; emergency pr";20,01;0,13
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01J";"electric discharge tubes or discharge lamps";32,81;3,52
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01K";"electric incandescent lamps";83,79;1,7
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01M";"processes or means, e.g. batteries, for the direct";12,45;0,17
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01R";"electrically-conductive connections; structural as";26,49;0,41
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H01T";"spark gaps; overvoltage arresters using spark gaps";7,09;0,19
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02B";"boards, substations, or switching arrangements for";11,7;0,23
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02G";"installation of electric cables or lines, or of co";22,77;0,18
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02H";"emergency protective circuit arrangements";40,49;0,27
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02J";"circuit arrangements or systems for supplying or d";24,23;1,32
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02K";"dynamo-electric machines";13,56;0,28
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02M";"apparatus for conversion between ac and ac, betwee";46,27;1,54
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02N";"electric machines not otherwise provided for";42,91;2,95
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H02P";"control or regulation of electric motors, electric";23,32;0,33
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H05B";"electric heating; electric lighting not otherwise ";38,94;4,59
"NL4";"Electrical machinery, apparatus, energy";37,77;54,55;1,8;"H05F";"static electricity; naturally-occurring electricit";15,06;1,2
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F01B";"machines or engines, in general or of positive-dis";6,8;0,35
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F01C";"rotary-piston or oscillating-piston machines or en";0,38;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F01D";"non-positive-displacement machines or engines, e.g";4,92;0,06
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F01K";"steam engine plants; steam accumulators; engine pl";24,07;0,23
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F01L";"cyclically operating valves for machines or engine";3,77;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F01M";"lubricating of machines or engines in general; lub";2,44;0,18
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F01P";"cooling of machines or engines in general; cooling";6,19;0,44
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02B";"internal-combustion piston engines; combustion eng";2,2;0,06
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02C";"gas-turbine plants; air intakes for jet-propulsion";5,08;0,05
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02D";"controlling combustion engines";3,03;0,18
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02F";"cylinders, pistons, or casings for combustion engi";1,48;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02G";"hot-gas or combustion-product positive-displacemen";12,82;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02K";"jet-propulsion plants";2,42;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02M";"supplying combustion engines in general with combu";3,79;0,15
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02N";"starting of combustion engines; starting aids for ";8,23;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F02P";"ignition, other than compression ignition, for int";4,03;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F03B";"machines or engines for liquids";24,41;0,13
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F03C";"positive-displacement engines driven by liquids";0,69;0,63
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F03D";"wind motors";16,04;0,15
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F03G";"spring, weight, inertia, or like motors; mechanica";20,69;1,48
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F03H";"producing a reactive propulsive thrust, not otherw";28,48;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F04B";"positive-displacement machines for liquids; pumps ";9,14;0,38
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F04C";"rotary-piston, or oscillating-piston, positive-dis";6,69;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F04D";"non-positive-displacement pumps";9,34;0,09
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F04F";"pumping of fluid by direct contact of another flui";4,61;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"F23R";"generating combustion products of high pressure or";1,13;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"G21B";"fusion reactors";4,97;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"G21C";"nuclear reactors ";5,07;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"G21D";"nuclear power plant";17,55;0
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"G21F";"protection against x-radiation, gamma radiation, c";12,09;0,69
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"G21G";"conversion of chemical elements; radioactive sourc";8,48;0,49
"NL4";"Engines, pumps, turbines";26,4;45,45;0,18;"G21K";"techniques for handling particles or ionising‘_rad";58,68;4,03
"NL4";"Environmental technology";15,16;39,39;1,09;"A62C";"fire-fighting ";17,16;0,09
"NL4";"Environmental technology";15,16;39,39;1,09;"A62D";"chemical means for extinguishing fires; processes ";3,87;0
"NL4";"Environmental technology";15,16;39,39;1,09;"B09B";"disposal of solid waste";7,8;0,16
"NL4";"Environmental technology";15,16;39,39;1,09;"B09C";"reclamation of contaminated soil";4,23;0,58
"NL4";"Environmental technology";15,16;39,39;1,09;"B65F";"gathering or removal of domestic or like refuse";18,29;1,08
"NL4";"Environmental technology";15,16;39,39;1,09;"C02F";"treatment of water, waste water, sewage, or sludge";13,96;0,96
"NL4";"Environmental technology";15,16;39,39;1,09;"F01N";"gas-flow silencers or exhaust apparatus for machin";11,86;0,1
"NL4";"Environmental technology";15,16;39,39;1,09;"F23G";"cremation furnaces; consuming waste or low grade f";6,72;0,86
"NL4";"Environmental technology";15,16;39,39;1,09;"F23J";"removal or treatment of combustion products or com";11,52;0,66
"NL4";"Environmental technology";15,16;39,39;1,09;"G01T";"measurement of nuclear or x-radiation";70,19;6,53
"NL4";"Food chemistry";8,23;66,67;1,45;"A01H";"new plants or processes for obtaining them; plant ";35,45;2,9
"NL4";"Food chemistry";8,23;66,67;1,45;"A21D";"treatment, e.g. preservation, of flour or dough fo";46,54;1,59
"NL4";"Food chemistry";8,23;66,67;1,45;"A23B";"preserving, e.g. by canning, meat, fish, eggs, fru";52,59;3,1
"NL4";"Food chemistry";8,23;66,67;1,45;"A23C";"dairy products, e.g. milk, butter, cheese; milk or";43,57;1,09
"NL4";"Food chemistry";8,23;66,67;1,45;"A23D";"edible oils or fats, e.g. margarines, shortenings,";32,49;0
"NL4";"Food chemistry";8,23;66,67;1,45;"A23F";"coffee; tea; their substitutes; manufacture, prepa";71,89;2,4
"NL4";"Food chemistry";8,23;66,67;1,45;"A23G";"cocoa; cocoa products, e.g. chocolate; substitutes";53,55;0,45
"NL4";"Food chemistry";8,23;66,67;1,45;"A23J";"protein compositions for foodstuffs; working-up pr";48,32;1,3
"NL4";"Food chemistry";8,23;66,67;1,45;"A23K";"feeding-stuffs specially adapted for animals; meth";44,59;0,59
"NL4";"Food chemistry";8,23;66,67;1,45;"A23L";"foods, foodstuffs, or non-alcoholic beverages, not";42,35;1,6
"NL4";"Food chemistry";8,23;66,67;1,45;"C12C";"brewing of beer";30,73;1,04
"NL4";"Food chemistry";8,23;66,67;1,45;"C12F";"recovery of by-products of fermented solutions; de";44,85;0
"NL4";"Food chemistry";8,23;66,67;1,45;"C12G";"wine; other alcoholic beverages; preparation there";49,22;0,34
"NL4";"Food chemistry";8,23;66,67;1,45;"C12H";"pasteurisation, sterilisation, preservation, purif";35,22;2,07
"NL4";"Food chemistry";8,23;66,67;1,45;"C13B";"production of sucrose; apparatus specially adapted";74,16;0
"NL4";"Food chemistry";8,23;66,67;1,45;"C13K";"saccharides, other than sucrose, obtained from nat";17,13;2,7
"NL4";"Furniture, games";29,91;60,61;0,73;"A47B";"tables; desks; office furniture; cabinets; drawers";12,75;0,1
"NL4";"Furniture, games";29,91;60,61;0,73;"A47C";"chairs";25,96;0,21
"NL4";"Furniture, games";29,91;60,61;0,73;"A47D";"furniture specially adapted for children";37,6;0,82
"NL4";"Furniture, games";29,91;60,61;0,73;"A47F";"special furniture, fittings, or accessories for sh";21,32;0,28
"NL4";"Furniture, games";29,91;60,61;0,73;"A47G";"household or table equipment";22,23;0,55
"NL4";"Furniture, games";29,91;60,61;0,73;"A47H";"furnishings for windows or doors";10,66;0
"NL4";"Furniture, games";29,91;60,61;0,73;"A47J";"kitchen equipment; coffee mills; spice mills; appa";40,66;1,51
"NL4";"Furniture, games";29,91;60,61;0,73;"A47K";"sanitary equipment not otherwise provided for ";29,03;0,32
"NL4";"Furniture, games";29,91;60,61;0,73;"A47L";"domestic washing or cleaning ; suction cleaners in";41,94;0,61
"NL4";"Furniture, games";29,91;60,61;0,73;"A63B";"apparatus for physical training, gymnastics, swimm";38,47;0,74
"NL4";"Furniture, games";29,91;60,61;0,73;"A63C";"skates; skis; roller skates; design or layout of c";17,54;0
"NL4";"Furniture, games";29,91;60,61;0,73;"A63F";"card, board or roulette games; indoor games using ";48,51;0,7
"NL4";"Furniture, games";29,91;60,61;0,73;"A63G";"merry-go-rounds; swings; rocking-horses; chutes; s";15;1,26
"NL4";"Furniture, games";29,91;60,61;0,73;"A63H";"toys, e.g. tops, dolls, hoops, building blocks";30,6;0,2
"NL4";"Furniture, games";29,91;60,61;0,73;"A63J";"devices for theatres, circuses, or the like; conju";46,27;0
"NL4";"Handling";37,11;36,36;0,69;"B25J";"manipulators; chambers provided with manipulation ";15,73;0,35
"NL4";"Handling";37,11;36,36;0,69;"B65B";"machines, apparatus or devices for, or methods of,";22,37;0,59
"NL4";"Handling";37,11;36,36;0,69;"B65C";"labelling or tagging machines, apparatus, or proce";20,87;1,13
"NL4";"Handling";37,11;36,36;0,69;"B65D";"containers for storage or transport of articles or";25,4;0,55
"NL4";"Handling";37,11;36,36;0,69;"B65G";"transport or storage devices, e.g. conveyors for l";23,09;0,52
"NL4";"Handling";37,11;36,36;0,69;"B65H";"handling thin or filamentary material, e.g. sheets";21,71;2,02
"NL4";"Handling";37,11;36,36;0,69;"B66B";"elevators; escalators or moving walkways";37,29;0,04
"NL4";"Handling";37,11;36,36;0,69;"B66C";"cranes; load-engaging elements or devices for cran";39,03;1,13
"NL4";"Handling";37,11;36,36;0,69;"B66D";"capstans; winches; tackles, e.g. pulley blocks; ho";44,2;1,72
"NL4";"Handling";37,11;36,36;0,69;"B66F";"hoisting, lifting, hauling, or pushing, not otherw";37,96;0,37
"NL4";"Handling";37,11;36,36;0,69;"B67B";"applying closure members to bottles, jars, or simi";23,95;0
"NL4";"Handling";37,11;36,36;0,69;"B67C";"filling with liquids or semiliquids, or emptying, ";28,91;0
"NL4";"Handling";37,11;36,36;0,69;"B67D";"dispensing, delivering, or transferring liquids, n";22,71;0,36
"NL4";"IT methods for management";54,55;81,82;0,77;"G06Q";"data processing systems or methods, specially adap";38,47;0,73
"NL4";"Macomolecular chemistry, polymers";19,07;24,24;1,48;"C08B";"polysaccharides; derivatives thereof";33,15;0,76
"NL4";"Macomolecular chemistry, polymers";19,07;24,24;1,48;"C08C";"treatment or chemical modification of rubbers";44,27;0,44
"NL4";"Macomolecular chemistry, polymers";19,07;24,24;1,48;"C08F";"macromolecular compounds obtained by reactions onl";29,59;1,73
"NL4";"Macomolecular chemistry, polymers";19,07;24,24;1,48;"C08G";"macromolecular compounds obtained otherwise than b";29,78;1,14
"NL4";"Macomolecular chemistry, polymers";19,07;24,24;1,48;"C08H";"derivatives of natural macromolecular compounds ";34,24;0,98
"NL4";"Macomolecular chemistry, polymers";19,07;24,24;1,48;"C08K";"use of inorganic or non-macromolecular organic sub";33,54;1,47
"NL4";"Macomolecular chemistry, polymers";19,07;24,24;1,48;"C08L";"compositions of macromolecular compounds ";36;1,54
"NL4";"Materials, metallurgy";26,58;6,06;0,2;"B22C";"foundry moulding ";9,74;0,24
