,id,Headquarters Location,likes,downloads,downloads_all_time,country
385,Freepik,"Málaga, Andalucia, Spain",383,46217,59955,Spain
386,speakleash,"Poland, Poland, Poland",382,53302,325528,Poland
387,mobiuslabsgmbh,"Berlin, Berlin, Germany",382,6380,41325,Germany
391,aipicasso,"Tokyo, Tokyo, Japan",375,284169,1700262,Japan
394,amphion,"Shenzhen，China, China",369,101,284,China
395,csebuetnlp,"Dhaka, Bangladesh, Bangladesh",369,843644,6883614,Bangladesh
402,OFA-Sys,"China, China, China",359,31823,607071,China
406,ibm-nasa-geospatial,"United States, United States, United States",354,5,10,United States
408,hotshotco,"United States, United States, United States",353,10131,389739,United States
413,Unbabel,"Lisbon, Lisboa, Portugal",348,22568,349488,Portugal
414,fireworks-ai,"Redwood, CA, United States",345,417,22723,United States
415,McGill-NLP,"Montreal, Canada, Canada",344,427495,3650768,Canada
417,Tele-AI,"China, China, China",340,1040,5826,China
420,vinai,"Hanoi, NA - Vietnam, Vietnam",336,750990,31522908,Vietnam
422,MLP-KTLim,"Nowon-gu, Seoul, South Korea",335,95475,411817,South Korea
423,qualcomm,"San Diego, California, United States",335,0,0,United States
431,ml6team,"Ghent, Flemish Region, Belgium",323,272410,4477295,Belgium
439,OrionStarAI,"Beijing, Beijing, China",317,326936,432326,China
444,prometheus-eval,"Seoul, Seoul, South Korea",312,39636,244918,South Korea
449,xverse,"Shenzhen, Guangdong, China",309,2371,161890,China
452,nlpaueb,"GR-10434, Athens, Greece",304,340279,14929887,Greece
453,meetkai,"Los Angeles, California, United States",304,95565,365124,United States
454,alibaba-pai,"Hangzhou, Zhejiang, China",303,10256,74984,China
455,yanolja,"Seoul, Seoul-t'ukpyolsi, South Korea",302,52424,750885,South Korea
456,ise-uiuc,"University of Illinois Urbana-Champaign, IL, United States",302,4456,135378,United States
458,MIT,"Cambridge, MA, United States",300,3526478,2168005034,United States
465,tokyotech-llm,"Tokyo, Tokyo,Japan",296,125641,915878,Japan
470,TIGER-Lab,"Waterloo, Ontario, Canada",291,134948,514956,Canada
476,MahmoodLab,"Boston, MA, United States",289,145415,1161453,United States
477,SeaLLMs,"Singapore, Signapore, SIngapore",288,31832,257212,Singapore
479,amd,"Santa Clara, California, United States",287,73639,118137,United States
480,ytu-ce-cosmos,"Esenler, İstanbul, Turkey",286,26224,234144,Turkey
481,UCLA-AGI,"Los Angeles, CA, United States",286,63500,289576,United States
489,Laxhar,"Hong Kong, China, China",281,12513,13557,China
493,jetmoe,"United States, United States, United States",278,2525,15710,United States
499,Skywork,"China, China, China",272,139054,554014,China
