id,crunchbase,Headquarters Location,Headquarters Regions,Industries
mlabonne,"London, London, United Kingdom","London, London, United Kingdom",,
allenai,"Seattle, Washington, United States","Seattle, Washington, United States",,
MaziyarPanahi,"Paris, Île-de-France, France","Paris, Île-de-France, France",,
jinaai,https://www.crunchbase.com/organization/jina-ai,"Berlin, Berlin, Germany",,"Artificial Intelligence (AI), Cloud Data Services, Machine Learning, Open Source, Software"
xai-org,https://www.crunchbase.com/organization/xai,"Burlingame, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning"
Shakker-Labs,,,,
xinsir,,,,
unsloth,https://www.crunchbase.com/organization/unsloth-ai,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Generative AI, Machine Learning, Open Source, Software"
mattshumer,https://www.crunchbase.com/person/matt-shumer,https://www.crunchbase.com/person/matt-shumer,,
facebook,https://www.crunchbase.com/organization/facebook,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Augmented Reality, Metaverse, Social Media, Social Network, Virtual Reality"
InstantX,,,,
alvdansen,,,,
OpenGVLab,"Beijing, Beijing, China","Beijing, Beijing, China",,
databricks,https://www.crunchbase.com/organization/databricks,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning"
Lewdiculous,,,,
HuggingFaceTB,https://www.crunchbase.com/organization/hugging-face,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Open Source, Software"
ai21labs,https://www.crunchbase.com/organization/ai21,"Tel Aviv, Tel Aviv, Israel","Europe, Middle East, and Africa (EMEA), Middle East","Artificial Intelligence (AI), Generative AI, Machine Learning, Software"
mlx-community,,,,
NexaAIDev,https://www.crunchbase.com/organization/nexa-ai,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Apps, Artificial Intelligence (AI), Software"
internlm,"Shanghai, Shanghai, China","Shanghai, Shanghai, China",,
TheDrummer,,,,
mistral-community,https://www.crunchbase.com/organization/mistral-ai,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software"
prithivMLmods,"Erode, Tamil Nadu, India","Erode, Tamil Nadu, India",,
fal,https://www.crunchbase.com/organization/fal-7958,https://www.crunchbase.com/organization/fal-7958,,"Artificial Intelligence (AI), Cloud Management, Information Technology, Machine Learning, Software, Web Development"
Kijai,"Äänekoski, Central Finland, Finland","Äänekoski, Central Finland, Finland",,
shenzhi-wang,,,,
openai,https://www.crunchbase.com/organization/openai,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software"
2Noise,,,,
LoneStriker,,,,
lmstudio-community,,,,
abacusai,https://www.crunchbase.com/organization/realityengines,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Cloud Data Services, Information Technology, Machine Learning"
city96,,,,
HuggingFaceM4,https://www.crunchbase.com/organization/hugging-face,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Open Source, Software"
John6666,,,,
vikhyatk,,,,
gradientai,https://www.crunchbase.com/organization/gradient-a-i,"Boston, Massachusetts, United States",,"Artificial Intelligence (AI), Health Care, Insurance, InsurTech, Machine Learning"
stepfun-ai,"Shanghai, Shanghai, China","Shanghai, Shanghai, China",,
ibm-granite,https://www.crunchbase.com/organization/ibm,"Armonk, New York, United States","Greater New York Area, East Coast, Northeastern US","Business Development, Business Information Systems, CRM, Data Management, Software"
01-ai,https://www.crunchbase.com/organization/01-ai,"Beijing, Beijing, China",Asia-Pacific (APAC),"Artificial Intelligence (AI), Information Technology, Software"
Salesforce,https://www.crunchbase.com/organization/salesforce,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Cloud Computing, CRM, SaaS, Sales Enablement, Software"
TencentARC,"Shenzhen, Guangdong, China","Shenzhen, Guangdong, China",,
Sao10K,,,,
nomic-ai,https://www.crunchbase.com/organization/nomic-ai,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Artificial Intelligence (AI), Information Technology"
myshell-ai,https://www.crunchbase.com/organization/myshell,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Human Computer Interaction, Mobile Apps, Software"
lllyasviel,,,,
Kwai-Kolors,"Beijing ,Beijing, China","Beijing ,Beijing, China",,
ostris,"Littleton, Colorado, United States","Littleton, Colorado, United States",,
genmo,https://www.crunchbase.com/organization/genmo,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Content, Digital Entertainment"
miqudev,"Paris, Île-de-France, France","Paris, Île-de-France, France",,
fishaudio,"Santa Clara, CA, United States","Santa Clara, CA, United States",,
arcee-ai,"San Francisco, CA, United States","San Francisco, CA, United States",,
dataautogpt3,,,,
Alibaba-NLP,"Hangzhou, Zhejiang Province, China","Hangzhou, Zhejiang Province, China",,
rain1011,,,,
alimama-creative,"Hangzhou, Zhejiang Province, China","Hangzhou, Zhejiang Province, China",,
anthracite-org,,,,
NeverSleep,https://www.crunchbase.com/organization/neversleep,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Information Technology, Infrastructure, Service Industry"
mixedbread-ai,https://www.crunchbase.com/organization/mixedbread-ai,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Semantic Search, Software, Visual Search"
rhymes-ai,"Sunnyvale, CA, United States","Sunnyvale, CA, United States",,
DavidAU,,,,
AIDC-AI,"Hangzhou, Zhejiang, China","Hangzhou, Zhejiang, China",,
bigcode,"Santa Clara, CA, United States","Santa Clara, CA, United States",,
parler-tts,"New York, NY, United States","New York, NY, United States",,
tencent,"Shenzhen, Guangdong, China","Shenzhen, Guangdong, China",,
Nexusflow,https://www.crunchbase.com/organization/nexusflow,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Cyber Security"
SWivid,"Shanghai, Shanghai, China","Shanghai, Shanghai, China",,
jasperai,https://www.crunchbase.com/organization/jasper-ai,"Montréal, Quebec, Canada",,"Artificial Intelligence (AI), Content, Content Creators"
NikolayKozloff,,,,
metavoiceio,https://www.crunchbase.com/organization/metavoice,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Generative AI, Real Time, Speech Recognition"
Snowflake,https://www.crunchbase.com/organization/snowflake-computing,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Analytics, Artificial Intelligence (AI), Cloud Data Services, Data Management, Enterprise Software, Software"
Comfy-Org,"San Francisco, CA, United States","San Francisco, CA, United States",,
Orenguteng,,,,
comfyanonymous,,,,
numind,https://www.crunchbase.com/organization/numind,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England","Artificial Intelligence (AI), Machine Learning, SaaS"
Tencent-Hunyuan,"Shenzhen, Guangdong, China","Shenzhen, Guangdong, China",,
liuhaotian,"Madison, Wisconsin, United States","Madison, Wisconsin, United States",,
defog,https://www.crunchbase.com/organization/defog,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Developer Tools, Information Technology, Machine Learning"
Mozilla,https://www.crunchbase.com/organization/mozilla,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Browser Extensions, Internet, Open Source, Software, Web Browsers"
