"reg","tech","rca","countpub","reldens","comp","count","dutch.reg"
"west","Electrical machinery, apparatus, energy",0.83,8921,38.8667524115756,30.49,311,"west"
"west","Engines, pumps, turbines",0.42,121,39.0117361111111,25.2,144,"west"
"west","Environmental technology",1.22,23368,54.4994117647059,24.65,153,"west"
"west","Food chemistry",0.5,2628,72.5833985330073,20.91,409,"west"
"west","Furniture, games",1.83,148,40.5134975369458,18.02,203,"west"
"west","Green technologies",0.8,1508,36.7214848484848,27.17,660,"west"
"west","Handling",1.69,579,32.8661989795918,3.8,392,"west"
"west","IT methods for management",0.95,26,26.34609375,55.98,64,"west"
"west","Machine tools",0.09,5,44.7347727272727,1.93,88,"west"
"west","Macromolecular chemistry, polymers",0.88,295,59.9776433121019,4.28,157,"west"
"west","Materials, metallurgy",0.58,4714,47.2312903225806,19.33,186,"west"
"west","Measurement",1.44,1427,46.8146722689076,54.84,595,"west"
"west","Mechanical elements",0.91,890,36.6183856502242,14.17,223,"west"
"west","Medical technology",1.24,3092,46.8770448548813,41.08,379,"west"
"west","Micro-structural and nano-technology",0.6,6520,50.5505714285714,42,35,"west"
"west","Optics",1.07,17929,33.2074691358025,45.39,162,"west"
"west","Organic fine chemistry",0.73,17272,74.1394382022472,28.13,267,"west"
"west","Other consumer goods",1.19,25,40.0659854014599,23.01,137,"west"
"west","Other special machines",0.3,13,39.3481934306569,0,548,"west"
"west","Pharmaceuticals",1.2,7223,73.1471578947368,40.46,665,"west"
"west","Semiconductors",0.61,276,44.8083333333333,55.41,108,"west"
"west","Surface technology, coating",0.49,395,43.2074371859296,3.88,199,"west"
"west","Telecommunications",0.93,8432,31.633125,97.24,128,"west"
"west","Textile and paper machines",0.42,71,45.088,5.66,65,"west"
"west","Thermal processes and apparatus",0.78,8096,39.711472392638,9.58,163,"west"
"west","Transport",1.39,2155,33.8973548387097,23.23,465,"west"
