"reg";"tech";"count";"rca";"reldens";"comp"
"ITH3";"Beeldvormingstechnologie";25;0,42;15,1;79,96
"ITC1";"Beeldvormingstechnologie";35;0,7;17,11;79,96
"RO31";"Beeldvormingstechnologie";0;0;20,81;79,96
"UKK3";"Beeldvormingstechnologie";0;0;13,53;79,96
"ITH4";"Beeldvormingstechnologie";8;0,45;11,86;79,96
"ES13";"Beeldvormingstechnologie";2;0,81;14,88;79,96
"NL23";"Beeldvormingstechnologie";0;0;8,61;79,96
"CZ01";"Beeldvormingstechnologie";14;1,15;44,3;79,96
"PL32";"Beeldvormingstechnologie";0;0;23,71;79,96
"DK03";"Beeldvormingstechnologie";8;0,2;23,49;79,96
"MTZZ";"Beeldvormingstechnologie";0;0;18,34;79,96
"PTZZ";"Beeldvormingstechnologie";0;0;20,47;79,96
"CZ07";"Beeldvormingstechnologie";8;1,17;38,03;79,96
"DEB1";"Beeldvormingstechnologie";16;0,57;12,64;79,96
"CZ08";"Beeldvormingstechnologie";1;0,24;18,79;79,96
"FRZZ";"Beeldvormingstechnologie";2;2,45;32,89;79,96
"DE50";"Beeldvormingstechnologie";17;1,23;40,04;79,96
"DED4";"Beeldvormingstechnologie";15;0,78;27,29;79,96
"NL41";"Beeldvormingstechnologie";1203;5,06;74,72;79,96
"FR24";"Beeldvormingstechnologie";17;0,55;18,01;79,96
"SE31";"Beeldvormingstechnologie";3;0,14;18,57;79,96
"UKJ4";"Beeldvormingstechnologie";13;0,96;27,63;79,96
"DEF0";"Beeldvormingstechnologie";49;0,89;41,16;79,96
"BEZZ";"Beeldvormingstechnologie";0;0;27,07;79,96
"DE22";"Beeldvormingstechnologie";31;0,63;26,06;79,96
"UKM2";"Beeldvormingstechnologie";42;1,36;69,8;79,96
"FI1D";"Beeldvormingstechnologie";20;0,53;29,64;79,96
"NL34";"Beeldvormingstechnologie";2;0,28;6,82;79,96
"SE11";"Beeldvormingstechnologie";181;0,88;48,1;79,96
"UKE4";"Beeldvormingstechnologie";11;0,69;17,79;79,96
"ITC2";"Beeldvormingstechnologie";0;0;30,2;79,96
"FR53";"Beeldvormingstechnologie";4;0,35;18,46;79,96
"DEB2";"Beeldvormingstechnologie";22;2,05;28,3;79,96
"ES21";"Beeldvormingstechnologie";16;0,92;50,78;79,96
"FI1C";"Beeldvormingstechnologie";20;0,62;25,39;79,96
"DE11";"Beeldvormingstechnologie";474;1,4;54,81;79,96
"HR04";"Beeldvormingstechnologie";2;0,46;21,59;79,96
"CH07";"Beeldvormingstechnologie";7;0,42;11,19;79,96
"SE21";"Beeldvormingstechnologie";10;0,5;20,13;79,96
"CH02";"Beeldvormingstechnologie";41;0,49;25,95;79,96
"DE13";"Beeldvormingstechnologie";78;0,69;44,3;79,96
"EL30";"Beeldvormingstechnologie";7;0,52;25,95;79,96
"ES61";"Beeldvormingstechnologie";22;0,94;49,55;79,96
"DEZZ";"Beeldvormingstechnologie";6;0,99;17,67;79,96
"DE14";"Beeldvormingstechnologie";154;1,19;40,6;79,96
"EL41";"Beeldvormingstechnologie";3;12,85;44,3;79,96
"FR23";"Beeldvormingstechnologie";5;0,17;7,38;79,96
"CH04";"Beeldvormingstechnologie";128;1,04;67,9;79,96
"FR62";"Beeldvormingstechnologie";67;1,1;32,77;79,96
"ES23";"Beeldvormingstechnologie";1;0,78;8,17;79,96
"AT33";"Beeldvormingstechnologie";10;0,63;17,79;79,96
"NL33";"Beeldvormingstechnologie";80;0,98;29,42;79,96
"DED2";"Beeldvormingstechnologie";37;0,86;24,61;79,96
"SK01";"Beeldvormingstechnologie";1;0,23;56,04;79,96
"HU21";"Beeldvormingstechnologie";1;0,26;33,45;79,96
"SK02";"Beeldvormingstechnologie";0;0;8,17;79,96
"SI03";"Beeldvormingstechnologie";8;0,62;10,51;79,96
"ITG1";"Beeldvormingstechnologie";6;0,65;40,04;79,96
"PT18";"Beeldvormingstechnologie";0;0;7,49;79,96
"FR71";"Beeldvormingstechnologie";220;1,09;29,19;79,96
"NO02";"Beeldvormingstechnologie";3;1,67;36,02;79,96
"UKK4";"Beeldvormingstechnologie";13;1,82;59,4;79,96
"FR43";"Beeldvormingstechnologie";5;0,28;18,01;79,96
"PT30";"Beeldvormingstechnologie";0;0;4,25;79,96
"PL42";"Beeldvormingstechnologie";0;0;18,46;79,96
"FR82";"Beeldvormingstechnologie";75;1,12;36,35;79,96
"ITC4";"Beeldvormingstechnologie";73;0,51;12,19;79,96
"UKJ1";"Beeldvormingstechnologie";149;1,35;61,97;79,96
"SEZZ";"Beeldvormingstechnologie";1;0,54;37,7;79,96
"DEA2";"Beeldvormingstechnologie";88;0,46;15,32;79,96
"ES51";"Beeldvormingstechnologie";53;0,58;34,23;79,96
"BE24";"Beeldvormingstechnologie";48;0,89;22,82;79,96
"PL43";"Beeldvormingstechnologie";0;0;5,37;79,96
"CZ04";"Beeldvormingstechnologie";2;0,78;25,28;79,96
"SK04";"Beeldvormingstechnologie";1;0,44;24,61;79,96
"IS01";"Beeldvormingstechnologie";2;0,63;33,67;79,96
"CH06";"Beeldvormingstechnologie";31;0,78;51,57;79,96
"RO41";"Beeldvormingstechnologie";0;0;6,38;79,96
"ES70";"Beeldvormingstechnologie";4;1,32;46,98;79,96
"PL11";"Beeldvormingstechnologie";2;0,37;16,89;79,96
"AT21";"Beeldvormingstechnologie";4;0,46;27,18;79,96
"NO06";"Beeldvormingstechnologie";28;1,61;46,76;79,96
"NL11";"Beeldvormingstechnologie";1;0,12;14,77;79,96
"BG42";"Beeldvormingstechnologie";0;0;16,89;79,96
"ESZZ";"Beeldvormingstechnologie";0;0;19,91;79,96
"FIZZ";"Beeldvormingstechnologie";0;0;4,03;79,96
"ITF4";"Beeldvormingstechnologie";11;1,05;43,4;79,96
"SI04";"Beeldvormingstechnologie";3;0,66;14,54;79,96
"BE25";"Beeldvormingstechnologie";11;0,48;13,76;79,96
"SKZZ";"Beeldvormingstechnologie";0;0;4,47;79,96
"NO01";"Beeldvormingstechnologie";38;1,05;47,65;79,96
"PT17";"Beeldvormingstechnologie";6;0,54;29,42;79,96
"SE33";"Beeldvormingstechnologie";15;0,74;42,06;79,96
"IE01";"Beeldvormingstechnologie";44;2,63;59,84;79,96
"BGZZ";"Beeldvormingstechnologie";0;0;0,34;79,96
"LU00";"Beeldvormingstechnologie";27;1,65;43,62;79,96
"PLZZ";"Beeldvormingstechnologie";0;0;1,34;79,96
"FR30";"Beeldvormingstechnologie";27;0,86;21,03;79,96
"ES53";"Beeldvormingstechnologie";2;0,97;38,93;79,96
"CH01";"Beeldvormingstechnologie";107;0,92;37,7;79,96
"BG33";"Beeldvormingstechnologie";0;0;7,05;79,96
"CHZZ";"Beeldvormingstechnologie";1;1,5;43,06;79,96
"ISZZ";"Beeldvormingstechnologie";0;0;2,01;79,96
"ES22";"Beeldvormingstechnologie";3;0,35;16,44;79,96
"NO03";"Beeldvormingstechnologie";10;0,55;26,96;79,96
"ES42";"Beeldvormingstechnologie";7;1,81;46,31;79,96
"CY00";"Biotechnologie gericht op moleculen en cellen";19;2,92;67,37;15,1
"BG34";"Biotechnologie gericht op moleculen en cellen";0;0;9,08;15,1
"UKM5";"Biotechnologie gericht op moleculen en cellen";48;1,29;54,67;15,1
"DE14";"Biotechnologie gericht op moleculen en cellen";235;0,74;1,76;15,1
"EL30";"Biotechnologie gericht op moleculen en cellen";18;0,55;32,98;15,1
"CZ05";"Biotechnologie gericht op moleculen en cellen";8;0,41;29,1;15,1
