"prio";"reg";"from";"to";"binary.pat";"binary.pub";"NEW.binary.pub"
"3D-printing/additive productie";"south-nl";"NL31";"IE05";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"IE06";NA;4;4
"3D-printing/additive productie";"south-nl";"NL31";"ITF3";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"ITF4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"ITI2";NA;2;2
"3D-printing/additive productie";"south-nl";"NL31";"NL13";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL31";"NL21";1;3;3
"3D-printing/additive productie";"south-nl";"NL31";"NL22";2;20;20
"3D-printing/additive productie";"south-nl";"NL31";"NL31";10;NA;NA
"3D-printing/additive productie";"south-nl";"NL31";"NL32";2;42;42
"3D-printing/additive productie";"south-nl";"NL31";"NL33";2;63;63
"3D-printing/additive productie";"south-nl";"NL31";"NL41";2;12;12
"3D-printing/additive productie";"south-nl";"NL31";"NO05";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"NO06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"PT11";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL31";"PT16";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"RO11";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"SE12";NA;1;1
"3D-printing/additive productie";"south-nl";"NL31";"SK03";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"BE23";NA;3;3
"3D-printing/additive productie";"south-nl";"NL32";"BE24";1;1;1
"3D-printing/additive productie";"south-nl";"NL32";"CH01";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"CH02";NA;9;9
"3D-printing/additive productie";"south-nl";"NL32";"CH03";NA;9;9
"3D-printing/additive productie";"south-nl";"NL32";"CH04";NA;4;4
"3D-printing/additive productie";"south-nl";"NL32";"CH05";NA;9;9
"3D-printing/additive productie";"south-nl";"NL32";"DE11";NA;4;4
"3D-printing/additive productie";"south-nl";"NL32";"DE13";NA;3;3
"3D-printing/additive productie";"south-nl";"NL32";"DE21";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL32";"DE24";NA;3;3
"3D-printing/additive productie";"south-nl";"NL32";"DE26";NA;5;5
"3D-printing/additive productie";"south-nl";"NL32";"DE60";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"DE71";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"DEA1";NA;4;4
"3D-printing/additive productie";"south-nl";"NL32";"DEA2";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"DEA3";NA;4;4
"3D-printing/additive productie";"south-nl";"NL32";"DK01";NA;2;2
"3D-printing/additive productie";"south-nl";"NL32";"DK02";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"DK03";3;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ES21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL32";"ES30";NA;1;1
