"from";"to";"prio";"reg";"binary.pat";"binary.pub"
"NL11";"BE33";"Innovaties voor preventie - Imaging";"east-nl";NA;3
"NL11";"BE33";"Life sciences - Biotechnology";"west-nl";1;NA
"NL11";"BE33";"Medtech/beeldvorming";"south-nl";NA;3
"NL11";"BE33";"NANO";"west-nl";NA;1
"NL11";"BE33";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;1
"NL11";"BE33";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;1
"NL11";"BE33";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"BE35";"Aerospace";"west-nl";NA;2
"NL11";"BE35";"Artificial intelligence";"south-nl";NA;6
"NL11";"BE35";"CO2 vrije elektriciteit";"west-nl";NA;1
"NL11";"BE35";"Data technology";"north-nl";NA;6
"NL11";"BE35";"E-health";"west-nl";NA;1
"NL11";"BE35";"Gepersonaliseerde gezondheidszorg & voeding";"east-nl";NA;1
"NL11";"BE35";"Hernieuwbare energie - Composieten";"south-nl";NA;1
"NL11";"BE35";"Hernieuwbare energie - Windturbines";"south-nl";NA;2
"NL11";"BE35";"Imaging";"west-nl";NA;3
"NL11";"BE35";"Innovaties voor preventie - Imaging";"east-nl";NA;3
"NL11";"BE35";"Medtech/beeldvorming";"south-nl";NA;3
"NL11";"BE35";"NANO";"west-nl";NA;1
"NL11";"BE35";"Nanotechnologie en fotonica - Nanotechnologies";"east-nl";NA;1
"NL11";"BE35";"Nieuwe, duurzame en geavanceerde materialen - Composite materials";"east-nl";NA;1
"NL11";"BE35";"Personalised/precision medicine";"south-nl";NA;1
"NL11";"BG41";"Artificial intelligence";"south-nl";NA;3
"NL11";"BG41";"Data technology";"north-nl";NA;2
"NL11";"BG41";"MedTech en Connected Health";"east-nl";NA;1
"NL11";"BG41";"Tracing";"west-nl";NA;1
"NL11";"BG42";"Data technology";"north-nl";NA;1
"NL11";"CH01";"Aerospace";"west-nl";NA;1
"NL11";"CH01";"Artificial intelligence";"south-nl";NA;87
"NL11";"CH01";"CO2 vrije elektriciteit";"west-nl";NA;2
"NL11";"CH01";"Cybersecurity";"west-nl";NA;2
"NL11";"CH01";"Data technology";"north-nl";NA;15
"NL11";"CH01";"Digitale veiligheid";"south-nl";NA;2
"NL11";"CH01";"E-health";"west-nl";NA;1
