"geo","domain","count","rca","reldens","comp"
"1612","Analysis of biological materials",1,2.06,25.79,20.42
"987","Analysis of biological materials",0,0,50.72,20.42
"706","Analysis of biological materials",31,3.35,88.76,20.42
"334","Analysis of biological materials",47,1.76,70.46,20.42
"1601","Analysis of biological materials",8,1.41,19.02,20.42
"870","Analysis of biological materials",0,0,40.63,20.42
"685","Analysis of biological materials",5,1.96,80.4,20.42
"975","Analysis of biological materials",0,0,2.88,20.42
"1484","Analysis of biological materials",0,0,44.52,20.42
"769","Analysis of biological materials",0,0,18.73,20.42
"662","Analysis of biological materials",0,0,2.31,20.42
"946","Analysis of biological materials",0,0,24.93,20.42
"1387","Analysis of biological materials",22,1.08,53.31,20.42
"123","Analysis of biological materials",0,0,1.15,20.42
"640","Analysis of biological materials",0,0,12.1,20.42
"935","Analysis of biological materials",0,0,7.64,20.42
"76","Analysis of biological materials",0,0,14.55,20.42
"122","Analysis of biological materials",0,0,18.16,20.42
"511","Analysis of biological materials",0,0,6.63,20.42
"838","Analysis of biological materials",1,1.57,24.64,20.42
"745","Analysis of biological materials",124,0.58,43.52,20.42
"1102","Analysis of biological materials",0,0,37.03,20.42
"386","Analysis of biological materials",0,0,5.04,20.42
"251","Analysis of biological materials",71,0.28,4.47,20.42
"736","Analysis of biological materials",11,0.49,16.28,20.42
"1003","Analysis of biological materials",0,0,4.76,20.42
"339","Analysis of biological materials",0,0,8.07,20.42
"235","Analysis of biological materials",0,0,20.17,20.42
"903","Analysis of biological materials",0,0,42.07,20.42
"727","Analysis of biological materials",172,1.93,80.55,20.42
"369","Analysis of biological materials",0,0,70.61,20.42
"1780","Analysis of biological materials",5,0.35,26.37,20.42
"802","Analysis of biological materials",0,0,9.22,20.42
"716","Analysis of biological materials",4,0.29,4.9,20.42
"350","Analysis of biological materials",1,1.28,43.37,20.42
"1697","Analysis of biological materials",2,0.31,8.93,20.42
"1613","Analysis of biological materials",0,0,57.2,20.42
"989","Analysis of biological materials",1,3.13,85.88,20.42
"707","Analysis of biological materials",1,1.48,46.54,20.42
"763","Analysis of biological materials",0,0,44.38,20.42
"1603","Analysis of biological materials",0,0,47.41,20.42
"871","Analysis of biological materials",1,0.82,30.84,20.42
"689","Analysis of biological materials",0,0,4.47,20.42
"976","Analysis of biological materials",0,0,3.17,20.42
"1485","Analysis of biological materials",1,4.45,23.2,20.42
"77","Analysis of biological materials",26,1.39,49.42,20.42
"666","Analysis of biological materials",0,0,0.72,20.42
"948","Analysis of biological materials",0,0,1.87,20.42
"1388","Analysis of biological materials",41,1.23,33.72,20.42
"1237","Analysis of biological materials",0,0,6.63,20.42
"641","Analysis of biological materials",0,0,12.39,20.42
"936","Analysis of biological materials",1,0.32,20.32,20.42
"760","Analysis of biological materials",0,0,0.29,20.42
"1221","Analysis of biological materials",31,1.47,84.73,20.42
"514","Analysis of biological materials",19,0.57,40.06,20.42
"839","Analysis of biological materials",0,0,12.54,20.42
"746","Analysis of biological materials",31,0.34,45.24,20.42
"1104","Analysis of biological materials",0,0,3.31,20.42
"387","Analysis of biological materials",0,0,4.47,20.42
"252","Analysis of biological materials",0,0,3.75,20.42
"737","Analysis of biological materials",48,0.49,18.01,20.42
"1004","Analysis of biological materials",0,0,7.2,20.42
"34","Analysis of biological materials",0,0,36.46,20.42
"236","Analysis of biological materials",4,0.23,16.28,20.42
"904","Analysis of biological materials",0,0,3.03,20.42
"728","Analysis of biological materials",12,0.42,14.99,20.42
"370","Analysis of biological materials",0,0,8.79,20.42
"1781","Analysis of biological materials",33,1.35,69.45,20.42
"803","Analysis of biological materials",2,1.04,63.26,20.42
"717","Analysis of biological materials",7,5.39,83.57,20.42
"355","Analysis of biological materials",4,0.64,83.29,20.42
"1698","Analysis of biological materials",59,1.95,91.5,20.42
"1615","Analysis of biological materials",0,0,43.23,20.42
"99","Analysis of biological materials",0,0,30.84,20.42
"708","Analysis of biological materials",22,1.09,54.32,20.42
"764","Analysis of biological materials",10,1.63,42.51,20.42
"1604","Analysis of biological materials",6,2.19,51.15,20.42
"872","Analysis of biological materials",0,0,7.64,20.42
"693","Analysis of biological materials",0,0,4.18,20.42
"977","Analysis of biological materials",1,10.58,43.08,20.42
"1488","Analysis of biological materials",4,2.45,74.64,20.42
"770","Analysis of biological materials",0,0,15.27,20.42
"672","Analysis of biological materials",64,1.41,54.76,20.42
"955","Analysis of biological materials",0,0,33.72,20.42
"139","Analysis of biological materials",0,0,19.02,20.42
"124","Analysis of biological materials",0,0,45.82,20.42
"642","Analysis of biological materials",0,0,11.24,20.42
"937","Analysis of biological materials",2,2.23,5.62,20.42
"761","Analysis of biological materials",19,1.03,52.16,20.42
"1222","Analysis of biological materials",74,0.52,46.25,20.42
"515","Analysis of biological materials",0,0,43.08,20.42
"84","Analysis of biological materials",0,0,5.76,20.42
"747","Analysis of biological materials",64,0.35,48.41,20.42
"1105","Analysis of biological materials",0,0,3.6,20.42
"388","Analysis of biological materials",0,0,6.34,20.42
"253","Analysis of biological materials",1,0.95,44.52,20.42
"738","Analysis of biological materials",33,0.68,20.03,20.42
"1005","Analysis of biological materials",0,0,13.83,20.42
"340","Analysis of biological materials",0,0,13.69,20.42
"237","Analysis of biological materials",0,0,2.59,20.42
"905","Analysis of biological materials",0,0,44.09,20.42
"729","Analysis of biological materials",6,0.45,17.72,20.42
"373","Analysis of biological materials",0,0,1.01,20.42
"1782","Analysis of biological materials",45,1.25,59.22,20.42
"804","Analysis of biological materials",0,0,4.47,20.42
"718","Analysis of biological materials",4,2.82,86.6,20.42
"356","Analysis of biological materials",3,0.21,8.79,20.42
"1699","Analysis of biological materials",62,1.29,54.47,20.42
"1616","Analysis of biological materials",0,0,52.16,20.42
"990","Analysis of biological materials",1,21.16,37.18,20.42
"709","Analysis of biological materials",14,1.88,45.24,20.42
"765","Analysis of biological materials",0,0,21.33,20.42
"1605","Analysis of biological materials",5,1.74,16.71,20.42
"873","Analysis of biological materials",1,1.28,22.62,20.42
"695","Analysis of biological materials",0,0,36.74,20.42
"978","Analysis of biological materials",0,0,2.31,20.42
"1489","Analysis of biological materials",0,0,13.4,20.42
"771","Analysis of biological materials",0,0,24.5,20.42
"675","Analysis of biological materials",0,0,8.93,20.42
"96","Analysis of biological materials",0,0,31.12,20.42
"1390","Analysis of biological materials",979,1.12,42.51,20.42
"1245","Analysis of biological materials",0,0,27.95,20.42
"643","Analysis of biological materials",0,0,14.84,20.42
"938","Analysis of biological materials",0,0,21.47,20.42
"762","Analysis of biological materials",0,0,0.72,20.42
"1223","Analysis of biological materials",14,1.4,85.01,20.42
"516","Analysis of biological materials",13,1.49,75.94,20.42
"840","Analysis of biological materials",0,0,26.95,20.42
"748","Analysis of biological materials",15,0.65,26.66,20.42
"1106","Analysis of biological materials",0,0,4.61,20.42
"390","Analysis of biological materials",0,0,1.59,20.42
"254","Analysis of biological materials",0,0,16.14,20.42
"739","Analysis of biological materials",24,0.57,46.25,20.42
"1008","Analysis of biological materials",0,0,2.74,20.42
"341","Analysis of biological materials",0,0,73.78,20.42
"24","Analysis of biological materials",7,1.27,43.08,20.42
"908","Analysis of biological materials",0,0,2.74,20.42
"73","Analysis of biological materials",0,0,1.15,20.42
"375","Analysis of biological materials",0,0,4.18,20.42
"1783","Analysis of biological materials",21,1.65,43.52,20.42
"805","Analysis of biological materials",0,0,0.58,20.42
"719","Analysis of biological materials",11,1.26,48.27,20.42
"358","Analysis of biological materials",0,0,0.86,20.42
"170","Analysis of biological materials",70,1.29,88.04,20.42
"1617","Analysis of biological materials",0,0,9.22,20.42
"991","Analysis of biological materials",0,0,9.37,20.42
"71","Analysis of biological materials",0,0,52.02,20.42
"1675","Analysis of biological materials",66,1.65,87.03,20.42
"1606","Analysis of biological materials",0,0,28.53,20.42
"874","Analysis of biological materials",0,0,46.54,20.42
"696","Analysis of biological materials",9,2.75,51.3,20.42
"979","Analysis of biological materials",0,0,13.83,20.42
"149","Analysis of biological materials",0,0,30.84,20.42
"772","Analysis of biological materials",0,0,18.88,20.42
"676","Analysis of biological materials",0,0,3.17,20.42
"962","Analysis of biological materials",0,0,1.15,20.42
"1394","Analysis of biological materials",31,1.31,16.57,20.42
"125","Analysis of biological materials",1,1.63,71.9,20.42
"645","Analysis of biological materials",3,1.28,54.18,20.42
"939","Analysis of biological materials",1,2.49,21.76,20.42
"61","Analysis of biological materials",0,0,21.04,20.42
"1224","Analysis of biological materials",9,0.64,51.73,20.42
"517","Analysis of biological materials",17,0.71,50.43,20.42
"841","Analysis of biological materials",0,0,6.48,20.42
"749","Analysis of biological materials",0,0,43.52,20.42
"1107","Analysis of biological materials",0,0,1.73,20.42
"391","Analysis of biological materials",0,0,13.98,20.42
"258","Analysis of biological materials",0,0,0.58,20.42
"74","Analysis of biological materials",16,0.79,13.83,20.42
"101","Analysis of biological materials",0,0,41.21,20.42
"344","Analysis of biological materials",1,12.09,68.88,20.42
"240","Analysis of biological materials",0,0,38.18,20.42
"909","Analysis of biological materials",0,0,11.38,20.42
"730","Analysis of biological materials",18,0.85,52.74,20.42
"376","Analysis of biological materials",0,0,47.26,20.42
"1784","Analysis of biological materials",388,0.9,33,20.42
"806","Analysis of biological materials",0,0,4.47,20.42
"720","Analysis of biological materials",2,1.27,75.65,20.42
"359","Analysis of biological materials",0,0,1.59,20.42
"1700","Analysis of biological materials",73,1.39,85.16,20.42
"1618","Analysis of biological materials",0,0,17.58,20.42
"993","Analysis of biological materials",0,0,4.18,20.42
"710","Analysis of biological materials",36,1.27,51.87,20.42
"1676","Analysis of biological materials",1,0.47,52.16,20.42
"1607","Analysis of biological materials",0,0,7.78,20.42
"875","Analysis of biological materials",0,0,14.27,20.42
"697","Analysis of biological materials",0,0,51.44,20.42
"98","Analysis of biological materials",5,0.99,52.16,20.42
"1490","Analysis of biological materials",190,1.73,79.83,20.42
"773","Analysis of biological materials",0,0,21.76,20.42
"677","Analysis of biological materials",0,0,25.22,20.42
"969","Analysis of biological materials",0,0,6.2,20.42
"1396","Analysis of biological materials",0,0,45.53,20.42
"1250","Analysis of biological materials",0,0,3.75,20.42
"646","Analysis of biological materials",0,0,33.29,20.42
"94","Analysis of biological materials",0,0,26.8,20.42
"610","Analysis of biological materials",81,1.34,45.97,20.42
"1225","Analysis of biological materials",31,2.21,45.97,20.42
"518","Analysis of biological materials",1,0.64,17.58,20.42
"844","Analysis of biological materials",0,0,40.63,20.42
"75","Analysis of biological materials",20,1.19,46.83,20.42
"111","Analysis of biological materials",1,14.1,70.32,20.42
"392","Analysis of biological materials",0,0,22.33,20.42
"260","Analysis of biological materials",0,0,10.66,20.42
"740","Analysis of biological materials",30,0.55,47.26,20.42
"1015","Analysis of biological materials",0,0,32.13,20.42
"345","Analysis of biological materials",0,0,48.56,20.42
"242","Analysis of biological materials",0,0,40.63,20.42
"91","Analysis of biological materials",0,0,17.58,20.42
"731","Analysis of biological materials",5,0.39,48.41,20.42
"378","Analysis of biological materials",0,0,12.97,20.42
"1785","Analysis of biological materials",638,2.13,81.41,20.42
"808","Analysis of biological materials",21,0.78,32.42,20.42
"721","Analysis of biological materials",34,1.95,79.25,20.42
"362","Analysis of biological materials",2,0.44,7.93,20.42
"1701","Analysis of biological materials",1,0.3,10.52,20.42
"1619","Analysis of biological materials",0,0,2.59,20.42
"994","Analysis of biological materials",1,10.58,43.95,20.42
"711","Analysis of biological materials",30,3.09,85.16,20.42
"1677","Analysis of biological materials",0,0,9.37,20.42
"1608","Analysis of biological materials",0,0,27.81,20.42
"876","Analysis of biological materials",0,0,8.65,20.42
"702","Analysis of biological materials",70,0.92,8.65,20.42
"980","Analysis of biological materials",0,0,24.78,20.42
"1491","Analysis of biological materials",5,2.01,47.26,20.42
"774","Analysis of biological materials",0,0,40.78,20.42
"678","Analysis of biological materials",0,0,29.11,20.42
"97","Analysis of biological materials",0,0,74.5,20.42
"1397","Analysis of biological materials",1,0.6,47.84,20.42
"1251","Analysis of biological materials",0,0,1.44,20.42
"647","Analysis of biological materials",0,0,53.46,20.42
"940","Analysis of biological materials",2,1.47,58.07,20.42
"611","Analysis of biological materials",2,4.03,73.34,20.42
"1226","Analysis of biological materials",19,1.5,29.39,20.42
"519","Analysis of biological materials",0,0,41.64,20.42
"845","Analysis of biological materials",0,0,8.21,20.42
"753","Analysis of biological materials",10,1.5,42.36,20.42
"1110","Analysis of biological materials",1,2.82,49.86,20.42
"397","Analysis of biological materials",0,0,34.87,20.42
"263","Analysis of biological materials",0,0,9.8,20.42
"741","Analysis of biological materials",47,0.9,32.85,20.42
"1016","Analysis of biological materials",0,0,8.65,20.42
"35","Analysis of biological materials",3,1.51,23.78,20.42
"244","Analysis of biological materials",0,0,41.64,20.42
"910","Analysis of biological materials",0,0,10.66,20.42
"732","Analysis of biological materials",21,0.78,17.29,20.42
"205","Analysis of biological materials",1,1.26,27.81,20.42
"1786","Analysis of biological materials",233,0.5,48.85,20.42
"809","Analysis of biological materials",0,0,2.31,20.42
"593","Analysis of biological materials",10,0.71,73.2,20.42
"320","Analysis of biological materials",4,0.24,14.12,20.42
"1702","Analysis of biological materials",3,5.18,58.36,20.42
"162","Analysis of biological materials",26,2.39,87.9,20.42
"887","Analysis of biological materials",0,0,15.85,20.42
"581","Analysis of biological materials",0,0,17.15,20.42
"1678","Analysis of biological materials",91,1,32.42,20.42
"1507","Analysis of biological materials",0,0,3.89,20.42
"877","Analysis of biological materials",0,0,49.14,20.42
"563","Analysis of biological materials",1,1.23,10.23,20.42
"200","Analysis of biological materials",0,0,10.81,20.42
"1497","Analysis of biological materials",0,0,21.04,20.42
"775","Analysis of biological materials",0,0,13.98,20.42
"550","Analysis of biological materials",0,0,5.33,20.42
"314","Analysis of biological materials",0,0,2.02,20.42
"1398","Analysis of biological materials",0,0,49.42,20.42
"1255","Analysis of biological materials",0,0,0.29,20.42
"532","Analysis of biological materials",0,0,6.77,20.42
"857","Analysis of biological materials",0,0,2.88,20.42
"612","Analysis of biological materials",6,1.66,50,20.42
"1123","Analysis of biological materials",0,0,1.73,20.42
"52","Analysis of biological materials",29,1.84,82.28,20.42
"846","Analysis of biological materials",0,0,44.67,20.42
"166","Analysis of biological materials",5,1.21,85.3,20.42
"1112","Analysis of biological materials",0,0,6.34,20.42
"399","Analysis of biological materials",0,0,16.57,20.42
"264","Analysis of biological materials",8,0.15,7.06,20.42
"922","Analysis of biological materials",0,0,48.41,20.42
"102","Analysis of biological materials",0,0,8.65,20.42
"224","Analysis of biological materials",0,0,49.14,20.42
"1797","Analysis of biological materials",19,0.93,47.41,20.42
"911","Analysis of biological materials",1,16.92,37.46,20.42
"573","Analysis of biological materials",0,0,4.9,20.42
"206","Analysis of biological materials",0,0,36.74,20.42
"1787","Analysis of biological materials",8,1.09,45.1,20.42
"81","Analysis of biological materials",0,0,2.31,20.42
"594","Analysis of biological materials",11,4.25,41.93,20.42
"322","Analysis of biological materials",5,0.6,14.99,20.42
"1703","Analysis of biological materials",152,1.2,86.31,20.42
"1620","Analysis of biological materials",4,0.97,28.96,20.42
"888","Analysis of biological materials",1,0.66,28.96,20.42
"582","Analysis of biological materials",0,0,50.14,20.42
"1679","Analysis of biological materials",1,0.32,14.55,20.42
"1509","Analysis of biological materials",0,0,10.81,20.42
"879","Analysis of biological materials",0,0,48.13,20.42
"564","Analysis of biological materials",0,0,59.37,20.42
"203","Analysis of biological materials",0,0,3.75,20.42
"1498","Analysis of biological materials",9,2.65,86.6,20.42
"777","Analysis of biological materials",0,0,28.67,20.42
"551","Analysis of biological materials",8,1.57,37.9,20.42
"315","Analysis of biological materials",5,3.68,40.63,20.42
"1399","Analysis of biological materials",0,0,12.68,20.42
"126","Analysis of biological materials",0,0,3.17,20.42
"533","Analysis of biological materials",0,0,19.16,20.42
"858","Analysis of biological materials",0,0,2.59,20.42
"614","Analysis of biological materials",57,1.43,44.38,20.42
"1125","Analysis of biological materials",0,0,3.6,20.42
"520","Analysis of biological materials",0,0,56.63,20.42
"847","Analysis of biological materials",0,0,4.47,20.42
"1660","Analysis of biological materials",71,0.82,5.19,20.42
"1113","Analysis of biological materials",0,0,4.76,20.42
"40","Analysis of biological materials",0,0,42.51,20.42
"267","Analysis of biological materials",0,0,5.04,20.42
"923","Analysis of biological materials",0,0,77.95,20.42
"1021","Analysis of biological materials",31,1.31,44.38,20.42
"225","Analysis of biological materials",0,0,10.09,20.42
"1798","Analysis of biological materials",2,0.81,21.18,20.42
"913","Analysis of biological materials",0,0,4.18,20.42
"575","Analysis of biological materials",0,0,4.32,20.42
"208","Analysis of biological materials",0,0,19.74,20.42
"1788","Analysis of biological materials",6,1.46,29.54,20.42
"811","Analysis of biological materials",0,0,6.05,20.42
"596","Analysis of biological materials",0,0,42.94,20.42
"323","Analysis of biological materials",0,0,0.58,20.42
"1704","Analysis of biological materials",26,1.38,67.29,20.42
"1622","Analysis of biological materials",0,0,41.35,20.42
"89","Analysis of biological materials",0,0,2.74,20.42
"583","Analysis of biological materials",0,0,20.89,20.42
"168","Analysis of biological materials",1,0.72,53.46,20.42
"151","Analysis of biological materials",0,0,3.31,20.42
"88","Analysis of biological materials",0,0,3.75,20.42
"565","Analysis of biological materials",0,0,28.39,20.42
"204","Analysis of biological materials",424,0.55,6.05,20.42
"1499","Analysis of biological materials",0,0,18.73,20.42
"778","Analysis of biological materials",1,1.11,63.54,20.42
"554","Analysis of biological materials",6,0.64,34.73,20.42
"317","Analysis of biological materials",0,0,34.73,20.42
"140","Analysis of biological materials",0,0,43.23,20.42
"1260","Analysis of biological materials",0,0,24.78,20.42
"534","Analysis of biological materials",0,0,9.94,20.42
"859","Analysis of biological materials",0,0,23.49,20.42
"615","Analysis of biological materials",8,2.67,51.87,20.42
"1126","Analysis of biological materials",0,0,19.74,20.42
"521","Analysis of biological materials",0,0,5.19,20.42
"848","Analysis of biological materials",0,0,16.28,20.42
"1661","Analysis of biological materials",8,4.1,50.86,20.42
"1115","Analysis of biological materials",0,0,0.58,20.42
"400","Analysis of biological materials",1,1.16,9.65,20.42
"268","Analysis of biological materials",0,0,10.23,20.42
"924","Analysis of biological materials",1,0.67,25.5,20.42
"1022","Analysis of biological materials",11,1.84,89.19,20.42
"226","Analysis of biological materials",0,0,22.62,20.42
"1799","Analysis of biological materials",2,0.41,14.55,20.42
"914","Analysis of biological materials",3,0.62,48.41,20.42
"576","Analysis of biological materials",0,0,76.51,20.42
"210","Analysis of biological materials",0,0,2.74,20.42
"1789","Analysis of biological materials",7,1.15,31.84,20.42
"812","Analysis of biological materials",0,0,18.01,20.42
"597","Analysis of biological materials",0,0,73.92,20.42
"325","Analysis of biological materials",6,0.8,55.91,20.42
"1705","Analysis of biological materials",0,0,32.28,20.42
"1624","Analysis of biological materials",0,0,22.77,20.42
"890","Analysis of biological materials",0,0,18.3,20.42
"585","Analysis of biological materials",0,0,1.15,20.42
"1680","Analysis of biological materials",81,1.25,50,20.42
"1510","Analysis of biological materials",1,1.57,27.38,20.42
"880","Analysis of biological materials",0,0,30.12,20.42
"571","Analysis of biological materials",0,0,31.12,20.42
"1671","Analysis of biological materials",23,1.04,16.43,20.42
"1500","Analysis of biological materials",0,0,4.76,20.42
"779","Analysis of biological materials",0,0,11.38,20.42
"555","Analysis of biological materials",0,0,43.95,20.42
"928","Analysis of biological materials",0,0,28.67,20.42
"1400","Analysis of biological materials",0,0,43.37,20.42
"1266","Analysis of biological materials",0,0,4.32,20.42
"537","Analysis of biological materials",0,0,9.65,20.42
"860","Analysis of biological materials",3,12.09,69.74,20.42
"616","Analysis of biological materials",11,1.99,83.29,20.42
"1127","Analysis of biological materials",0,0,12.82,20.42
"522","Analysis of biological materials",3,4.79,69.16,20.42
"849","Analysis of biological materials",0,0,3.31,20.42
"1662","Analysis of biological materials",1,0.37,39.19,20.42
"1116","Analysis of biological materials",3,1.01,28.24,20.42
"402","Analysis of biological materials",0,0,8.07,20.42
"269","Analysis of biological materials",0,0,9.22,20.42
"925","Analysis of biological materials",0,0,39.48,20.42
"1023","Analysis of biological materials",57,1.59,79.97,20.42
"227","Analysis of biological materials",75,1.87,77.23,20.42
"180","Analysis of biological materials",0,0,70.32,20.42
"915","Analysis of biological materials",0,0,26.51,20.42
"578","Analysis of biological materials",0,0,42.51,20.42
"211","Analysis of biological materials",1,2.23,47.26,20.42
"1790","Analysis of biological materials",0,0,56.48,20.42
"814","Analysis of biological materials",0,0,42.8,20.42
"600","Analysis of biological materials",29,0.65,5.04,20.42
"326","Analysis of biological materials",2,0.95,36.6,20.42
"1706","Analysis of biological materials",9,0.78,13.54,20.42
"1625","Analysis of biological materials",0,0,0.29,20.42
"893","Analysis of biological materials",0,0,37.32,20.42
"586","Analysis of biological materials",1,0.96,29.54,20.42
"1681","Analysis of biological materials",1,0.41,17.29,20.42
"1511","Analysis of biological materials",0,0,13.98,20.42
"881","Analysis of biological materials",0,0,2.02,20.42
"854","Analysis of biological materials",1,0.53,16.71,20.42
"1672","Analysis of biological materials",23,1.05,56.34,20.42
"1501","Analysis of biological materials",0,0,11.53,20.42
"78","Analysis of biological materials",16,2.33,85.16,20.42
"556","Analysis of biological materials",0,0,42.07,20.42
"929","Analysis of biological materials",0,0,4.76,20.42
"1401","Analysis of biological materials",1,7.05,40.78,20.42
"127","Analysis of biological materials",0,0,30.12,20.42
"539","Analysis of biological materials",0,0,1.87,20.42
"861","Analysis of biological materials",4,1.12,46.25,20.42
"619","Analysis of biological materials",7,0.48,2.45,20.42
"1128","Analysis of biological materials",0,0,4.03,20.42
"523","Analysis of biological materials",0,0,3.6,20.42
