"country";"fua_id";"fua_name";"city";"tech";"index";"rankindex";"pat";"rankpat";"rel";"rankrel";"rca";"rankrca"
"VN";"VN7";"Can Tho";"Can Tho";"Autonomous vehicles";24,2;73;0;96;10,6;64;0;96
"VN";"VN9";"Da Nang";"Da Nang";"Autonomous vehicles";1,83;122;0;96;0,01;122;0;96
"CN";"CN12";"Beijing";"Beijing";"Autonomous robots";91,43;12;161;5;43,35;23;1,09;16
"CN";"CN126";"Nanchang";"Nanchang";"Autonomous robots";70,95;37;2;44;33,7;28;0,69;32
"CN";"CN128";"Nanning";"Nanning";"Autonomous robots";32,38;58;0;91;26,05;36;0;91
"CN";"CN153";"Shijiazhuang";"Shijiazhuang";"Autonomous robots";84,76;18;6;29;62,42;3;1,08;17
"CN";"CN161";"Taiyuan";"Taiyuan";"Autonomous robots";72,38;34;2;44;55,69;12;0,8;29
"CN";"CN164";"Urumqi";"Urumqi";"Autonomous robots";34,76;56;0;91;36,64;27;0;91
"CN";"CN167";"Wuhan";"Wuhan";"Autonomous robots";63,81;44;6;29;8,73;72;0,28;48
"CN";"CN169";"Xian";"Xian";"Autonomous robots";70;38;4;35;27,54;34;0,64;36
"CN";"CN17";"Changsha";"Changsha";"Autonomous robots";76,67;26;6;29;28,32;33;0,82;28
"CN";"CN191";"Shenzhen";"Shenzhen";"Autonomous robots";87,62;16;317;3;19,15;46;1,05;19
"CN";"CN20";"Chengdu";"Chengdu";"Autonomous robots";68,57;42;6;29;14,99;52;0,56;40
"CN";"CN23";"Chongqing";"Chongqing";"Autonomous robots";71,43;36;6;29;14,37;55;0,99;21
"CN";"CN238";"Changchun";"Changchun";"Autonomous robots";74,76;28;2;44;51,54;17;1,03;20
"CN";"CN277";"Hangzhou";"Hangzhou";"Autonomous robots";80;20;35;12;26,62;35;0,6;38
"CN";"CN280";"Harbin";"Harbin";"Autonomous robots";90,48;14;7;24;57,57;10;5,34;1
"CN";"CN282";"Hefei";"Hefei";"Autonomous robots";82,86;19;6;29;59,22;6;0,86;26
"CN";"CN335";"Nanjing";"Nanjing";"Autonomous robots";100;1;152;6;73,59;1;1,68;7
"CN";"CN357";"Shanghai";"Shanghai";"Autonomous robots";91,43;12;100;7;38,16;26;1,25;12
"CN";"CN362";"Shenyang";"Shenyang";"Autonomous robots";92,86;8;16;18;58,86;7;1,76;6
"CN";"CN383";"Tianjin";"Tianjin";"Autonomous robots";63,81;44;3;38;17,21;50;0,45;43
"CN";"CN393";"Weifang";"Weifang";"Autonomous robots";80;20;23;13;25,62;38;0,65;34
"CN";"CN400";"Xiamen";"Xiamen";"Autonomous robots";55,24;53;2;44;11,55;68;0,12;54
"CN";"CN48";"Guangzhou";"Guangzhou";"Autonomous robots";85,24;17;95;8;23,33;41;0,87;24
"CN";"CN50";"Guiyang";"Guiyang";"Autonomous robots";62,86;46;1;52;13,53;58;1,35;10
"CN";"CN64";"Inner Mongolia";"Hohhot";"Autonomous robots";69,05;40;1;52;52,99;15;0,87;24
"CN";"CN95";"Kunming";"Kunming";"Autonomous robots";31,9;59;0;91;23,77;40;0;91
"CN";"CN98";"Lanzhou";"Lanzhou";"Autonomous robots";72,38;34;1;52;43,42;22;1,42;8
"HK";"HK000";"Hong Kong";"Hong Kong";"Autonomous robots";78,1;24;11;21;30,61;31;0,64;36
"ID";"ID102";"Tasikmalaya";"Tasikmalaya";"Autonomous robots";0;126;0;91;0;126;0;91
"ID";"ID107";"Yogyakarta";"Yogyakarta";"Autonomous robots";3,81;118;0;91;0,05;118;0;91
"ID";"ID2";"Balikpapan";"Balikpapan";"Autonomous robots";5,71;114;0;91;0,12;114;0;91
"ID";"ID27";"Denpasar";"Denpasar";"Autonomous robots";18,1;88;0;91;1,91;88;0;91
"ID";"ID33";"Jakarta";"Jakarta";"Autonomous robots";24,76;74;0;91;8,48;73;0;91
"ID";"ID4";"Bandung";"Bandung";"Autonomous robots";10,48;104;0;91;0,49;104;0;91
"ID";"ID52";"Malang";"Malang";"Autonomous robots";9,52;106;0;91;0,46;106;0;91
"ID";"ID55";"Medan";"Medan";"Autonomous robots";1,9;122;0;91;0,02;122;0;91
"ID";"ID7";"Batam";"Batam";"Autonomous robots";12,38;100;0;91;0,68;100;0;91
"ID";"ID70";"Pemalang";"Padang";"Autonomous robots";11,9;101;0;91;0,67;101;0;91
"ID";"ID85";"Semarang";"Palembang";"Autonomous robots";8,1;109;0;91;0,3;109;0;91
"ID";"ID85";"Semarang";"Semarang";"Autonomous robots";8,1;109;0;91;0,3;109;0;91
"ID";"ID88";"Sidoarjo";"Pekalongan";"Autonomous robots";0;126;0;91;0;126;0;91
"ID";"ID91";"Subang";"Pekan Baru";"Autonomous robots";22,86;78;0;91;5,75;78;0;91
"ID";"ID92";"Sukabumi";"Sukabumi";"Autonomous robots";0,95;124;0;91;0,01;124;0;91
"ID";"ID95";"Surabaya";"Surabaya";"Autonomous robots";17,62;89;0;91;1,78;89;0;91
"JP";"JPA01";"Hokkaido";"Sapporo";"Autonomous robots";61,9;48;2;44;19,55;44;0,49;41
"JP";"JPB04";"Miyagi";"Sendai";"Autonomous robots";54,76;54;1;52;14,01;57;0,18;52
"JP";"JPB05";"Akita";"Akita";"Autonomous robots";25,24;73;0;91;9,5;71;0;91
"JP";"JPB07";"Fukushima";"Koriyama";"Autonomous robots";30,48;62;0;91;14,45;54;0;91
"JP";"JPC09";"Tochigi";"Utsunomiya";"Autonomous robots";73,81;32;4;35;46,64;19;0,47;42
"JP";"JPC10";"Gumma";"Maebashi-Takasaki";"Autonomous robots";55,71;52;2;44;11,13;70;0,19;51
"JP";"JPC20";"Nagano";"Nagano";"Autonomous robots";95,71;4;20;14;58,66;8;2,42;2
