"id","x","y","parent","color"
"Quantum computers",2012,0.81,"Digital transition","blue"
"Cybersecurity",2012,0.79,"Digital transition","blue"
"Autonomous vehicles",2017,0.47,"Digital transition","blue"
"Autonomous vehicles",2015,0.63,"Digital transition","blue"
"Blockchain",2016,0.57,"Digital transition","blue"
"Solar energy",2017,0.46,"Green transition","green"
"Waste management",2018,0.43,"Green transition","green"
"Waste management",2017,0.45,"Green transition","green"
"Blockchain",2021,0.76,"Digital transition","blue"
"Quantum computers",2017,0.43,"Digital transition","blue"
"Additive manufacturing",2010,0.76,"Digital transition","blue"
"Recycling technologies",2014,0.58,"Green transition","green"
"Waste management",2016,0.5,"Green transition","green"
"Autonomous robots",2010,0.75,"Digital transition","blue"
"Autonomous vehicles",2016,0.49,"Digital transition","blue"
"Cloud computing",2012,0.68,"Digital transition","blue"
"Blockchain",2014,0.55,"Digital transition","blue"
"Green buildings",2016,0.48,"Green transition","green"
"Quantum computers",2013,0.64,"Digital transition","blue"
"Green buildings",2017,0.39,"Green transition","green"
"Quantum computers",2011,0.7,"Digital transition","blue"
"Waste management",2014,0.54,"Green transition","green"
"Quantum computers",2018,0.35,"Digital transition","blue"
"Solar energy",2018,0.35,"Green transition","green"
"Waste management",2020,0.36,"Green transition","green"
"Hydrogen",2018,0.34,"Green transition","green"
"Recycling technologies",2010,0.67,"Green transition","green"
"Autonomous robots",2011,0.64,"Digital transition","blue"
"Cloud computing",2021,0.64,"Digital transition","blue"
"Solar energy",2019,0.3,"Green transition","green"
"Solar energy",2012,0.6,"Green transition","green"
"Cybersecurity",2010,0.64,"Digital transition","blue"
"Solar energy",2015,0.47,"Green transition","green"
"Green buildings",2019,0.29,"Green transition","green"
"Hydrogen",2019,0.29,"Green transition","green"
"Recycling technologies",2016,0.41,"Green transition","green"
"Recycling technologies",2015,0.46,"Green transition","green"
"Solar energy",2014,0.47,"Green transition","green"
"Autonomous vehicles",2014,0.45,"Digital transition","blue"
"Biofuels",2011,0.59,"Green transition","green"
"Green buildings",2018,0.31,"Green transition","green"
"Recycling technologies",2013,0.53,"Green transition","green"
"Waste management",2013,0.53,"Green transition","green"
"Recycling technologies",2018,0.3,"Green transition","green"
"Recycling technologies",2017,0.32,"Green transition","green"
"Waste management",2011,0.57,"Green transition","green"
"Waste management",2012,0.51,"Green transition","green"
"Autonomous robots",2012,0.5,"Digital transition","blue"
"Hydrogen",2017,0.3,"Green transition","green"
"Green buildings",2020,0.27,"Green transition","green"
"Recycling technologies",2019,0.24,"Green transition","green"
"Waste management",2010,0.53,"Green transition","green"
"Biofuels",2013,0.43,"Green transition","green"
"Green buildings",2015,0.36,"Green transition","green"
"Quantum computers",2020,0.25,"Digital transition","blue"
"Recycling technologies",2011,0.48,"Green transition","green"
"Solar energy",2013,0.43,"Green transition","green"
"Biofuels",2018,0.24,"Green transition","green"
"Cloud computing",2010,0.47,"Digital transition","blue"
"Cybersecurity",2011,0.47,"Digital transition","blue"
"Green buildings",2013,0.42,"Green transition","green"
"Quantum computers",2010,0.47,"Digital transition","blue"
"Autonomous vehicles",2013,0.4,"Digital transition","blue"
"Autonomous vehicles",2021,0.44,"Digital transition","blue"
"Quantum computers",2015,0.32,"Digital transition","blue"
"Biofuels",2010,0.42,"Green transition","green"
"Biofuels",2015,0.31,"Green transition","green"
"Cloud computing",2011,0.41,"Digital transition","blue"
"Green buildings",2012,0.38,"Green transition","green"
"Green buildings",2014,0.32,"Green transition","green"
"Hydrogen",2015,0.31,"Green transition","green"
"Smart grids",2020,0.22,"Digital transition","blue"
"Biofuels",2014,0.3,"Green transition","green"
"Blockchain",2013,0.35,"Digital transition","blue"
"Recycling technologies",2020,0.21,"Green transition","green"
"Biofuels",2012,0.35,"Green transition","green"
"Green transports",2015,0.28,"Green transition","green"
"Recycling technologies",2012,0.35,"Green transition","green"
"Solar energy",2011,0.38,"Green transition","green"
"Waste management",2021,0.37,"Green transition","green"
"Biofuels",2017,0.2,"Green transition","green"
"Water related adaptation technologies",2018,0.19,"Green transition","green"
"Green transports",2018,0.18,"Green transition","green"
"Green buildings",2010,0.33,"Green transition","green"
"Waste management",2015,0.24,"Green transition","green"
"Biofuels",2019,0.14,"Green transition","green"
"Quantum computers",2021,0.3,"Digital transition","blue"
"Autonomous vehicles",2012,0.26,"Digital transition","blue"
"Blockchain",2012,0.26,"Digital transition","blue"
"Hydrogen",2011,0.29,"Green transition","green"
