"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"809","South Sudan","Ukraine","Energy",6540,2760529066439,388093375,"0.0141 %","0.0396 %",0.0255,6540,0.0396,"Africa",16528279,2024,0.0017,"$6.54k",2.81,"#468946","South Sudan",6540,2024
"810","Spain","Ukraine","Energy",143317,2760529066439,388093375,"0.0141 %","2e-04 %",-0.0138,143317,2e-04,"Europe",59760448218,2024,0.0369,"$143.32k",0.02,"#951E1E","Spain",143317,2024
"811","St Kitts and Nevis","Ukraine","Energy",152242,2760529066439,388093375,"0.0141 %","0.4807 %",0.4666,152242,0.4807,"North America",31673869,2024,0.0392,"$152.24k",34.19,"#006400","St Kitts and Nevis",152242,2024
"812","Sweden","Ukraine","Energy",80720,2760529066439,388093375,"0.0141 %","4e-04 %",-0.0136,80720,4e-04,"Europe",19140550664,2024,0.0208,"$80.72k",0.03,"#972525","Sweden",80720,2024
"813","Switzerland","Ukraine","Energy",14210,2760529066439,388093375,"0.0141 %","1e-04 %",-0.0139,14210,1e-04,"Europe",11940114846,2024,0.0037,"$14.21k",0.01,"#921515","Switzerland",14210,2024
"814","Tajikistan","Ukraine","Energy",106109,2760529066439,388093375,"0.0141 %","0.0496 %",0.0356,106109,0.0496,"Asia",213876553,2024,0.0273,"$106.11k",3.53,"#378137","Tajikistan",106109,2024
"815","Tanzania","Ukraine","Energy",79970,2760529066439,388093375,"0.0141 %","0.0015 %",-0.0126,79970,0.0015,"Africa",5308085218,2024,0.0206,"$79.97k",0.11,"#A34646","Tanzania",79970,2024
"816","Thailand","Ukraine","Energy",111902,2760529066439,388093375,"0.0141 %","2e-04 %",-0.0138,111902,2e-04,"Asia",48073450199,2024,0.0288,"$111.9k",0.02,"#951E1E","Thailand",111902,2024
"817","The Netherlands","Ukraine","Energy",264601,2760529066439,388093375,"0.0141 %","2e-04 %",-0.0139,264601,2e-04,"Europe",129452315645,2024,0.0682,"$264.6k",0.01,"#921515","The Netherlands",264601,2024
"818","Togo","Ukraine","Energy",32945,2760529066439,388093375,"0.0141 %","8e-04 %",-0.0133,32945,8e-04,"Africa",4118726786,2024,0.0085,"$32.94k",0.06,"#9D3434","Togo",32945,2024
"819","Tunisia","Ukraine","Energy",10,2760529066439,388093375,"0.0141 %","0 %",-0.0141,10,2.2366e-07,"Africa",4471021223,2024,2.5767e-06,"$0.01k",0,"darkred","Tunisia",10,2024
"820","Turkiye","Ukraine","Energy",2815556,2760529066439,388093375,"0.0141 %","0.0099 %",-0.0042,2815556,0.0099,"Asia",28508910387,2024,0.7255,"$2.82M",0.7,"#C7B1B1","Turkiye",2815556,2024
"821","Tuvalu","Ukraine","Energy",14101,2760529066439,388093375,"0.0141 %","0.0901 %",0.076,14101,0.0901,"Oceania",15651511,2024,0.0036,"$14.1k",6.41,"#156F15","Tuvalu",14101,2024
"822","Uganda","Ukraine","Energy",15522,2760529066439,388093375,"0.0141 %","7e-04 %",-0.0133,15522,7e-04,"Africa",2179988224,2024,0.004,"$15.52k",0.05,"#9B2F2F","Uganda",15522,2024
"823","United Arab Emirates","Ukraine","Energy",121820,2760529066439,388093375,"0.0141 %","0.001 %",-0.013,121820,0.001,"Asia",11691181899,2024,0.0314,"$121.82k",0.07,"#9E3838","United Arab Emirates",121820,2024
"824","United Kingdom","Ukraine","Energy",160532,2760529066439,388093375,"0.0141 %","2e-04 %",-0.0139,160532,2e-04,"Europe",79522234912,2024,0.0414,"$160.53k",0.01,"#921515","United Kingdom",160532,2024
"825","United States","Ukraine","Energy",3783816,2760529066439,388093375,"0.0141 %","0.0015 %",-0.0125,3783816,0.0015,"North America",246267471541,2024,0.975,"$3.78M",0.11,"#A34646","United States",3783816,2024
"826","Uruguay","Ukraine","Energy",42393,2760529066439,388093375,"0.0141 %","0.003 %",-0.0111,42393,0.003,"South America",1434796491,2024,0.0109,"$42.39k",0.21,"#AC6161","Uruguay",42393,2024
"827","Uzbekistan","Ukraine","Energy",243197,2760529066439,388093375,"0.0141 %","0.0066 %",-0.0075,243197,0.0066,"Asia",3680328125,2024,0.0627,"$243.2k",0.47,"#BC9191","Uzbekistan",243197,2024
"828","Vanuatu","Ukraine","Energy",13132,2760529066439,388093375,"0.0141 %","0.0106 %",-0.0034,13132,0.0106,"Oceania",123339550,2024,0.0034,"$13.13k",0.76,"#CAB8B8","Vanuatu",13132,2024
"829","Venezuela","Ukraine","Energy",1387884,2760529066439,388093375,"0.0141 %","0.0597 %",0.0456,1387884,0.0597,"South America",2325047491,2024,0.3576,"$1.39M",4.25,"#2C7B2C","Venezuela",1387884,2024
"830","Vietnam","Ukraine","Energy",1543870,2760529066439,388093375,"0.0141 %","0.0125 %",-0.0016,1543870,0.0125,"Asia",12379961495,2024,0.3978,"$1.54M",0.89,"#CFC7C7","Vietnam",1543870,2024
"831","Albania","Ukraine","GreenTech",4143,26004654641,3547464,"0.0136 %","0.0258 %",0.0121,4143,0.0258,"Europe",16081565,2024,0.1168,"$4.14k",1.89,"#649964","Albania",4143,2024
"832","Armenia","Ukraine","GreenTech",1429298,26004654641,3547464,"0.0136 %","5.5459 %",5.5323,1429298,5.5459,"Asia",25772010,2024,40.2907,"$1.43M",406.54,"darkgreen","Armenia",1429298,2024
"833","Azerbaijan","Ukraine","GreenTech",100,26004654641,3547464,"0.0136 %","1e-04 %",-0.0135,100,1e-04,"Asia",90611149,2024,0.0028,"$0.1k",0.01,"#921515","Azerbaijan",100,2024
"834","Belgium","Ukraine","GreenTech",25698,26004654641,3547464,"0.0136 %","0.0154 %",0.0017,25698,0.0154,"Europe",167139664,2024,0.7244,"$25.7k",1.13,"#A2B9A2","Belgium",25698,2024
"835","Bulgaria","Ukraine","GreenTech",336372,26004654641,3547464,"0.0136 %","1.0954 %",1.0818,336372,1.0954,"Europe",30707474,2024,9.482,"$336.37k",80.3,"#006400","Bulgaria",336372,2024
"836","Burkina Faso","Ukraine","GreenTech",89366,26004654641,3547464,"0.0136 %","0.3825 %",0.3689,89366,0.3825,"Africa",23363353,2024,2.5192,"$89.37k",28.04,"#006400","Burkina Faso",89366,2024
"837","Central African Republic","Ukraine","GreenTech",11913,26004654641,3547464,"0.0136 %","0.2394 %",0.2257,11913,0.2394,"Africa",4976835,2024,0.3358,"$11.91k",17.55,"#006400","Central African Republic",11913,2024
"838","Costa Rica","Ukraine","GreenTech",6448,26004654641,3547464,"0.0136 %","0.0413 %",0.0276,6448,0.0413,"North America",15626400,2024,0.1818,"$6.45k",3.02,"#418641","Costa Rica",6448,2024
"839","Cyprus","Ukraine","GreenTech",60,26004654641,3547464,"0.0136 %","1e-04 %",-0.0135,60,1e-04,"Europe",40366716,2024,0.0017,"$0.06k",0.01,"#921515","Cyprus",60,2024
"840","Denmark","Ukraine","GreenTech",51,26004654641,3547464,"0.0136 %","0 %",-0.0136,51,0,"Europe",309186017,2024,0.0014,"$0.05k",0,"darkred","Denmark",51,2024
"841","Egypt","Ukraine","GreenTech",135120,26004654641,3547464,"0.0136 %","0.0421 %",0.0284,135120,0.0421,"Africa",321240277,2024,3.8089,"$135.12k",3.08,"#408540","Egypt",135120,2024
"842","France","Ukraine","GreenTech",25120,26004654641,3547464,"0.0136 %","0.0054 %",-0.0082,25120,0.0054,"Europe",464312411,2024,0.7081,"$25.12k",0.4,"#B98585","France",25120,2024
"843","Georgia","Ukraine","GreenTech",31882,26004654641,3547464,"0.0136 %","0.1131 %",0.0995,31882,0.1131,"Asia",28183055,2024,0.8987,"$31.88k",8.29,"#096909","Georgia",31882,2024
"844","Germany","Ukraine","GreenTech",63283,26004654641,3547464,"0.0136 %","0.0066 %",-0.0071,63283,0.0066,"Europe",963392234,2024,1.7839,"$63.28k",0.48,"#BD9292","Germany",63283,2024
"845","Ghana","Ukraine","GreenTech",53080,26004654641,3547464,"0.0136 %","0.0765 %",0.0628,53080,0.0765,"Africa",69420953,2024,1.4963,"$53.08k",5.6,"#1C731C","Ghana",53080,2024
"846","Hungary","Ukraine","GreenTech",33590,26004654641,3547464,"0.0136 %","0.0826 %",0.069,33590,0.0826,"Europe",40644731,2024,0.9469,"$33.59k",6.06,"#187118","Hungary",33590,2024
"847","Israel","Ukraine","GreenTech",1000,26004654641,3547464,"0.0136 %","4e-04 %",-0.0132,1000,4e-04,"Asia",238119465,2024,0.0282,"$1k",0.03,"#972525","Israel",1000,2024
"848","Ivory Coast","Ukraine","GreenTech",4393,26004654641,3547464,"0.0136 %","0.0054 %",-0.0083,4393,0.0054,"Africa",81619535,2024,0.1238,"$4.39k",0.39,"#B88484","Ivory Coast",4393,2024
"849","Jordan","Ukraine","GreenTech",144184,26004654641,3547464,"0.0136 %","0.3567 %",0.3431,144184,0.3567,"Asia",40421697,2024,4.0644,"$144.18k",26.15,"#006400","Jordan",144184,2024
"850","Lebanon","Ukraine","GreenTech",114520,26004654641,3547464,"0.0136 %","0.3687 %",0.3551,114520,0.3687,"Asia",31058145,2024,3.2282,"$114.52k",27.03,"#006400","Lebanon",114520,2024
"851","Lithuania","Ukraine","GreenTech",74590,26004654641,3547464,"0.0136 %","0.1118 %",0.0981,74590,0.1118,"Europe",66746702,2024,2.1026,"$74.59k",8.19,"#096909","Lithuania",74590,2024
"852","Madagascar","Ukraine","GreenTech",20055,26004654641,3547464,"0.0136 %","0.0696 %",0.056,20055,0.0696,"Africa",28808702,2024,0.5653,"$20.06k",5.1,"#227622","Madagascar",20055,2024
"853","Moldova","Ukraine","GreenTech",54204,26004654641,3547464,"0.0136 %","0.337 %",0.3233,54204,0.337,"Europe",16084978,2024,1.528,"$54.2k",24.7,"#006400","Moldova",54204,2024
"854","Pakistan","Ukraine","GreenTech",1453,26004654641,3547464,"0.0136 %","0.0018 %",-0.0119,1453,0.0018,"Asia",82977301,2024,0.041,"$1.45k",0.13,"#A54C4C","Pakistan",1453,2024
"855","Poland","Ukraine","GreenTech",134931,26004654641,3547464,"0.0136 %","0.0445 %",0.0309,134931,0.0445,"Europe",303081880,2024,3.8036,"$134.93k",3.26,"#3C833C","Poland",134931,2024
"856","Portugal","Ukraine","GreenTech",1668,26004654641,3547464,"0.0136 %","0.0031 %",-0.0105,1668,0.0031,"Europe",53651562,2024,0.047,"$1.67k",0.23,"#AE6565","Portugal",1668,2024
"857","Romania","Ukraine","GreenTech",192705,26004654641,3547464,"0.0136 %","0.1545 %",0.1409,192705,0.1545,"Europe",124699277,2024,5.4322,"$192.71k",11.33,"#006400","Romania",192705,2024
"858","Slovakia","Ukraine","GreenTech",228633,26004654641,3547464,"0.0136 %","0.5902 %",0.5766,228633,0.5902,"Europe",38735560,2024,6.445,"$228.63k",43.27,"#006400","Slovakia",228633,2024
"859","South Korea","Ukraine","GreenTech",68595,26004654641,3547464,"0.0136 %","0.0168 %",0.0032,68595,0.0168,"Asia",407575163,2024,1.9336,"$68.6k",1.23,"#94B294","South Korea",68595,2024
"860","Spain","Ukraine","GreenTech",128229,26004654641,3547464,"0.0136 %","0.0296 %",0.016,128229,0.0296,"Europe",433243279,2024,3.6147,"$128.23k",2.17,"#599359","Spain",128229,2024
"861","The Netherlands","Ukraine","GreenTech",2951,26004654641,3547464,"0.0136 %","0.001 %",-0.0127,2951,0.001,"Europe",302575974,2024,0.0832,"$2.95k",0.07,"#9E3838","The Netherlands",2951,2024
"862","Turkiye","Ukraine","GreenTech",113518,26004654641,3547464,"0.0136 %","0.0131 %",-5e-04,113518,0.0131,"Asia",864176769,2024,3.2,"$113.52k",0.96,"#D2CFCF","Turkiye",113518,2024
"863","Uganda","Ukraine","GreenTech",1340,26004654641,3547464,"0.0136 %","0.0048 %",-0.0089,1340,0.0048,"Africa",27966034,2024,0.0378,"$1.34k",0.35,"#B67D7D","Uganda",1340,2024
"864","United Arab Emirates","Ukraine","GreenTech",13270,26004654641,3547464,"0.0136 %","0.0028 %",-0.0109,13270,0.0028,"Asia",478576386,2024,0.3741,"$13.27k",0.2,"#AB5E5E","United Arab Emirates",13270,2024
"865","United States","Ukraine","GreenTech",1701,26004654641,3547464,"0.0136 %","1e-04 %",-0.0136,1701,1e-04,"North America",2111518114,2024,0.0479,"$1.7k",0.01,"#921515","United States",1701,2024
"866","Albania","Ukraine","MedTech",19924,378908858956,53224517,"0.014 %","0.0194 %",0.0053,19924,0.0194,"Europe",102962278,2024,0.0374,"$19.92k",1.38,"#84A984","Albania",19924,2024
"867","Algeria","Ukraine","MedTech",63220,378908858956,53224517,"0.014 %","0.0107 %",-0.0034,63220,0.0107,"Africa",592071855,2024,0.1188,"$63.22k",0.76,"#CAB8B8","Algeria",63220,2024
"868","Angola","Ukraine","MedTech",3857,378908858956,53224517,"0.014 %","0.0029 %",-0.0112,3857,0.0029,"Africa",133823096,2024,0.0072,"$3.86k",0.21,"#AC6161","Angola",3857,2024
"869","Argentina","Ukraine","MedTech",164802,378908858956,53224517,"0.014 %","0.0171 %",0.0031,164802,0.0171,"South America",961389522,2024,0.3096,"$164.8k",1.22,"#95B295","Argentina",164802,2024
"870","Armenia","Ukraine","MedTech",92141,378908858956,53224517,"0.014 %","0.0427 %",0.0287,92141,0.0427,"Asia",215536417,2024,0.1731,"$92.14k",3.04,"#408640","Armenia",92141,2024
"871","Australia","Ukraine","MedTech",120627,378908858956,53224517,"0.014 %","0.0019 %",-0.0121,120627,0.0019,"Oceania",6334138814,2024,0.2266,"$120.63k",0.14,"#A64F4F","Australia",120627,2024
"872","Austria","Ukraine","MedTech",108223,378908858956,53224517,"0.014 %","0.0031 %",-0.0109,108223,0.0031,"Europe",3467721234,2024,0.2033,"$108.22k",0.22,"#AD6363","Austria",108223,2024
"873","Azerbaijan","Ukraine","MedTech",333375,378908858956,53224517,"0.014 %","0.1342 %",0.1202,333375,0.1342,"Asia",248404353,2024,0.6264,"$333.38k",9.55,"#026502","Azerbaijan",333375,2024
"874","Bahrain","Ukraine","MedTech",14653,378908858956,53224517,"0.014 %","0.0122 %",-0.0019,14653,0.0122,"Asia",120459643,2024,0.0275,"$14.65k",0.87,"#CEC5C5","Bahrain",14653,2024
"875","Bangladesh","Ukraine","MedTech",38172,378908858956,53224517,"0.014 %","0.0122 %",-0.0019,38172,0.0122,"Asia",313342300,2024,0.0717,"$38.17k",0.87,"#CEC5C5","Bangladesh",38172,2024
"876","Barbados","Ukraine","MedTech",1215,378908858956,53224517,"0.014 %","0.0063 %",-0.0078,1215,0.0063,"North America",19360548,2024,0.0023,"$1.22k",0.45,"#BB8E8E","Barbados",1215,2024
"877","Belgium","Ukraine","MedTech",17830,378908858956,53224517,"0.014 %","2e-04 %",-0.0139,17830,2e-04,"Europe",11528021250,2024,0.0335,"$17.83k",0.01,"#921515","Belgium",17830,2024
"878","Belize","Ukraine","MedTech",585,378908858956,53224517,"0.014 %","0.0027 %",-0.0114,585,0.0027,"North America",21787437,2024,0.0011,"$0.58k",0.19,"#AA5C5C","Belize",585,2024
"879","Bolivia","Ukraine","MedTech",40573,378908858956,53224517,"0.014 %","0.044 %",0.0299,40573,0.044,"South America",92248110,2024,0.0762,"$40.57k",3.13,"#3E853E","Bolivia",40573,2024
"880","Bosnia and Herzegovina","Ukraine","MedTech",11243,378908858956,53224517,"0.014 %","0.0066 %",-0.0074,11243,0.0066,"Europe",169583270,2024,0.0211,"$11.24k",0.47,"#BC9191","Bosnia and Herzegovina",11243,2024
"881","Brazil","Ukraine","MedTech",916206,378908858956,53224517,"0.014 %","0.0223 %",0.0083,916206,0.0223,"South America",4108639319,2024,1.7214,"$916.21k",1.59,"#74A174","Brazil",916206,2024
"882","Brunei","Ukraine","MedTech",18350,378908858956,53224517,"0.014 %","0.0386 %",0.0245,18350,0.0386,"Asia",47566940,2024,0.0345,"$18.35k",2.75,"#478947","Brunei",18350,2024
"883","Bulgaria","Ukraine","MedTech",196095,378908858956,53224517,"0.014 %","0.0353 %",0.0212,196095,0.0353,"Europe",556162088,2024,0.3684,"$196.1k",2.51,"#4E8D4E","Bulgaria",196095,2024
"884","Cameroon","Ukraine","MedTech",45,378908858956,53224517,"0.014 %","1e-04 %",-0.0139,45,1e-04,"Africa",32727909,2024,1e-04,"$0.04k",0.01,"#921515","Cameroon",45,2024
"885","Canada","Ukraine","MedTech",608033,378908858956,53224517,"0.014 %","0.007 %",-0.0071,608033,0.007,"North America",8743087291,2024,1.1424,"$608.03k",0.5,"#BE9595","Canada",608033,2024
"886","Cayman Islands","Ukraine","MedTech",45,378908858956,53224517,"0.014 %","1e-04 %",-0.0139,45,1e-04,"North America",36041980,2024,1e-04,"$0.04k",0.01,"#921515","Cayman Islands",45,2024
"887","Central African Republic","Ukraine","MedTech",8852,378908858956,53224517,"0.014 %","0.0894 %",0.0754,8852,0.0894,"Africa",9898499,2024,0.0166,"$8.85k",6.37,"#166F16","Central African Republic",8852,2024
"888","Chile","Ukraine","MedTech",140474,378908858956,53224517,"0.014 %","0.0127 %",-0.0013,140474,0.0127,"South America",1105244090,2024,0.2639,"$140.47k",0.9,"#CFC8C8","Chile",140474,2024
"889","China","Ukraine","MedTech",1440057,378908858956,53224517,"0.014 %","0.006 %",-0.008,1440057,0.006,"Asia",23923214653,2024,2.7056,"$1.44M",0.43,"#BA8A8A","China",1440057,2024
"890","Colombia","Ukraine","MedTech",53188,378908858956,53224517,"0.014 %","0.004 %",-0.0101,53188,0.004,"South America",1345663115,2024,0.0999,"$53.19k",0.28,"#B17070","Colombia",53188,2024
"891","Comoros","Ukraine","MedTech",495,378908858956,53224517,"0.014 %","0.0491 %",0.0351,495,0.0491,"Africa",1008026,2024,9e-04,"$0.5k",3.5,"#378137","Comoros",495,2024
"892","Costa Rica","Ukraine","MedTech",366,378908858956,53224517,"0.014 %","0 %",-0.014,366,0,"North America",1145441391,2024,7e-04,"$0.37k",0,"darkred","Costa Rica",366,2024
"893","Croatia","Ukraine","MedTech",83779,378908858956,53224517,"0.014 %","0.0142 %",1e-04,83779,0.0142,"Europe",591978305,2024,0.1574,"$83.78k",1.01,"#C5CCC5","Croatia",83779,2024
"894","Cyprus","Ukraine","MedTech",127975,378908858956,53224517,"0.014 %","0.0611 %",0.0471,127975,0.0611,"Europe",209329921,2024,0.2404,"$127.97k",4.35,"#2A7A2A","Cyprus",127975,2024
"895","Czechia","Ukraine","MedTech",1900068,378908858956,53224517,"0.014 %","0.0846 %",0.0705,1900068,0.0846,"Europe",2247029934,2024,3.5699,"$1.9M",6.02,"#197119","Czechia",1900068,2024
"896","Denmark","Ukraine","MedTech",104845,378908858956,53224517,"0.014 %","0.0048 %",-0.0092,104845,0.0048,"Europe",2180806895,2024,0.197,"$104.84k",0.34,"#B57B7B","Denmark",104845,2024
"897","Djibouti","Ukraine","MedTech",2778,378908858956,53224517,"0.014 %","0.0072 %",-0.0069,2778,0.0072,"Africa",38794483,2024,0.0052,"$2.78k",0.51,"#BE9797","Djibouti",2778,2024
"898","Dominican Republic","Ukraine","MedTech",20496,378908858956,53224517,"0.014 %","0.0045 %",-0.0096,20496,0.0045,"North America",460510541,2024,0.0385,"$20.5k",0.32,"#B47777","Dominican Republic",20496,2024
"899","DR Congo","Ukraine","MedTech",13961,378908858956,53224517,"0.014 %","0.0284 %",0.0143,13961,0.0284,"Africa",49170904,2024,0.0262,"$13.96k",2.02,"#5E965E","DR Congo",13961,2024
"900","Ecuador","Ukraine","MedTech",20641,378908858956,53224517,"0.014 %","0.0051 %",-0.009,20641,0.0051,"South America",405416580,2024,0.0388,"$20.64k",0.36,"#B67F7F","Ecuador",20641,2024
"901","Egypt","Ukraine","MedTech",70509,378908858956,53224517,"0.014 %","0.0078 %",-0.0063,70509,0.0078,"Africa",904649581,2024,0.1325,"$70.51k",0.55,"#C09C9C","Egypt",70509,2024
"902","El Salvador","Ukraine","MedTech",8612,378908858956,53224517,"0.014 %","0.0059 %",-0.0082,8612,0.0059,"North America",146560968,2024,0.0162,"$8.61k",0.42,"#BA8989","El Salvador",8612,2024
"903","Equatorial Guinea","Ukraine","MedTech",2194,378908858956,53224517,"0.014 %","0.0527 %",0.0387,2194,0.0527,"Africa",4163301,2024,0.0041,"$2.19k",3.75,"#337F33","Equatorial Guinea",2194,2024
"904","Estonia","Ukraine","MedTech",146933,378908858956,53224517,"0.014 %","0.049 %",0.035,146933,0.049,"Europe",299669051,2024,0.2761,"$146.93k",3.49,"#388138","Estonia",146933,2024
"905","Finland","Ukraine","MedTech",110970,378908858956,53224517,"0.014 %","0.0084 %",-0.0057,110970,0.0084,"Europe",1322834113,2024,0.2085,"$110.97k",0.6,"#C3A3A3","Finland",110970,2024
"906","France","Ukraine","MedTech",860977,378908858956,53224517,"0.014 %","0.006 %",-0.0081,860977,0.006,"Europe",14421925455,2024,1.6176,"$860.98k",0.43,"#BA8A8A","France",860977,2024
"907","Georgia","Ukraine","MedTech",293008,378908858956,53224517,"0.014 %","0.1689 %",0.1548,293008,0.1689,"Asia",173517031,2024,0.5505,"$293.01k",12.02,"#006400","Georgia",293008,2024
"908","Germany","Ukraine","MedTech",8752035,378908858956,53224517,"0.014 %","0.0337 %",0.0197,8752035,0.0337,"Europe",25950581296,2024,16.4436,"$8.75M",2.4,"#518F51","Germany",8752035,2024
"909","Ghana","Ukraine","MedTech",5035,378908858956,53224517,"0.014 %","0.0062 %",-0.0079,5035,0.0062,"Africa",81642905,2024,0.0095,"$5.04k",0.44,"#BB8C8C","Ghana",5035,2024
"910","Greece","Ukraine","MedTech",28769,378908858956,53224517,"0.014 %","0.0024 %",-0.0116,28769,0.0024,"Europe",1174386970,2024,0.0541,"$28.77k",0.17,"#A95757","Greece",28769,2024
"911","Guatemala","Ukraine","MedTech",5570,378908858956,53224517,"0.014 %","0.0024 %",-0.0116,5570,0.0024,"North America",229423448,2024,0.0105,"$5.57k",0.17,"#A95757","Guatemala",5570,2024
"912","Guinea","Ukraine","MedTech",6959,378908858956,53224517,"0.014 %","0.0329 %",0.0189,6959,0.0329,"Africa",21148019,2024,0.0131,"$6.96k",2.34,"#539053","Guinea",6959,2024
"913","Guinea-Bissau","Ukraine","MedTech",135,378908858956,53224517,"0.014 %","0.0066 %",-0.0074,135,0.0066,"Africa",2033791,2024,3e-04,"$0.14k",0.47,"#BC9191","Guinea-Bissau",135,2024
"914","Guyana","Ukraine","MedTech",11125,378908858956,53224517,"0.014 %","0.0156 %",0.0016,11125,0.0156,"South America",71163338,2024,0.0209,"$11.12k",1.11,"#A6BBA6","Guyana",11125,2024
"915","Hong Kong","Ukraine","MedTech",16354,378908858956,53224517,"0.014 %","3e-04 %",-0.0137,16354,3e-04,"Asia",4999768777,2024,0.0307,"$16.35k",0.02,"#951E1E","Hong Kong",16354,2024
"916","Hungary","Ukraine","MedTech",838477,378908858956,53224517,"0.014 %","0.0695 %",0.0554,838477,0.0695,"Europe",1206576316,2024,1.5754,"$838.48k",4.95,"#237623","Hungary",838477,2024
"917","Iceland","Ukraine","MedTech",2913,378908858956,53224517,"0.014 %","0.0023 %",-0.0117,2913,0.0023,"Europe",125982472,2024,0.0055,"$2.91k",0.16,"#A85454","Iceland",2913,2024
"918","India","Ukraine","MedTech",2592459,378908858956,53224517,"0.014 %","0.0411 %",0.0271,2592459,0.0411,"Asia",6300576548,2024,4.8708,"$2.59M",2.93,"#438743","India",2592459,2024
"919","Indonesia","Ukraine","MedTech",254090,378908858956,53224517,"0.014 %","0.0153 %",0.0013,254090,0.0153,"Asia",1655570212,2024,0.4774,"$254.09k",1.09,"#AABEAA","Indonesia",254090,2024
"920","Iraq","Ukraine","MedTech",183325,378908858956,53224517,"0.014 %","0.0324 %",0.0183,183325,0.0324,"Asia",565974216,2024,0.3444,"$183.32k",2.31,"#549054","Iraq",183325,2024
"921","Ireland","Ukraine","MedTech",18585,378908858956,53224517,"0.014 %","4e-04 %",-0.0136,18585,4e-04,"Europe",4583579679,2024,0.0349,"$18.59k",0.03,"#972525","Ireland",18585,2024
"922","Israel","Ukraine","MedTech",142092,378908858956,53224517,"0.014 %","0.0066 %",-0.0074,142092,0.0066,"Asia",2139216206,2024,0.267,"$142.09k",0.47,"#BC9191","Israel",142092,2024
"923","Italy","Ukraine","MedTech",591151,378908858956,53224517,"0.014 %","0.006 %",-0.0081,591151,0.006,"Europe",9933322369,2024,1.1107,"$591.15k",0.42,"#BA8989","Italy",591151,2024
"924","Japan","Ukraine","MedTech",90525,378908858956,53224517,"0.014 %","6e-04 %",-0.0134,90525,6e-04,"Asia",14214411067,2024,0.1701,"$90.53k",0.05,"#9B2F2F","Japan",90525,2024
"925","Jordan","Ukraine","MedTech",47661,378908858956,53224517,"0.014 %","0.0175 %",0.0035,47661,0.0175,"Asia",271817479,2024,0.0895,"$47.66k",1.25,"#91B091","Jordan",47661,2024
"926","Kazakhstan","Ukraine","MedTech",3696349,378908858956,53224517,"0.014 %","0.4058 %",0.3918,3696349,0.4058,"Asia",910878172,2024,6.9448,"$3.7M",28.89,"#006400","Kazakhstan",3696349,2024
"927","Kenya","Ukraine","MedTech",1274,378908858956,53224517,"0.014 %","7e-04 %",-0.0133,1274,7e-04,"Africa",171649980,2024,0.0024,"$1.27k",0.05,"#9B2F2F","Kenya",1274,2024
"928","Kuwait","Ukraine","MedTech",71334,378908858956,53224517,"0.014 %","0.0126 %",-0.0015,71334,0.0126,"Asia",567222010,2024,0.134,"$71.33k",0.9,"#CFC8C8","Kuwait",71334,2024
"929","Kyrgyzstan","Ukraine","MedTech",176540,378908858956,53224517,"0.014 %","0.1051 %",0.091,176540,0.1051,"Asia",167998191,2024,0.3317,"$176.54k",7.48,"#0E6B0E","Kyrgyzstan",176540,2024
"930","Laos","Ukraine","MedTech",25600,378908858956,53224517,"0.014 %","0.0957 %",0.0817,25600,0.0957,"Asia",26750039,2024,0.0481,"$25.6k",6.81,"#126E12","Laos",25600,2024
"931","Latvia","Ukraine","MedTech",119291,378908858956,53224517,"0.014 %","0.0504 %",0.0363,119291,0.0504,"Europe",236865677,2024,0.2241,"$119.29k",3.59,"#368036","Latvia",119291,2024
"932","Lebanon","Ukraine","MedTech",4117,378908858956,53224517,"0.014 %","0.002 %",-0.012,4117,0.002,"Asia",202287368,2024,0.0077,"$4.12k",0.14,"#A64F4F","Lebanon",4117,2024
"933","Liberia","Ukraine","MedTech",1360,378908858956,53224517,"0.014 %","0.0179 %",0.0039,1360,0.0179,"Africa",7598195,2024,0.0026,"$1.36k",1.27,"#8FAF8F","Liberia",1360,2024
"934","Libya","Ukraine","MedTech",223284,378908858956,53224517,"0.014 %","0.1032 %",0.0892,223284,0.1032,"Africa",216266734,2024,0.4195,"$223.28k",7.35,"#0F6C0F","Libya",223284,2024
"935","Lithuania","Ukraine","MedTech",817233,378908858956,53224517,"0.014 %","0.1644 %",0.1503,817233,0.1644,"Europe",497211370,2024,1.5354,"$817.23k",11.7,"#006400","Lithuania",817233,2024
"936","Luxembourg","Ukraine","MedTech",14661,378908858956,53224517,"0.014 %","0.0064 %",-0.0077,14661,0.0064,"Europe",229611276,2024,0.0275,"$14.66k",0.45,"#BB8E8E","Luxembourg",14661,2024
"937","Malaysia","Ukraine","MedTech",110321,378908858956,53224517,"0.014 %","0.0028 %",-0.0113,110321,0.0028,"Asia",4004981633,2024,0.2073,"$110.32k",0.2,"#AB5E5E","Malaysia",110321,2024
"938","Malta","Ukraine","MedTech",14862,378908858956,53224517,"0.014 %","0.016 %",0.0019,14862,0.016,"Europe",93106326,2024,0.0279,"$14.86k",1.14,"#A1B9A1","Malta",14862,2024
"939","Marshall Islands","Ukraine","MedTech",772,378908858956,53224517,"0.014 %","0.0271 %",0.013,772,0.0271,"Oceania",2849097,2024,0.0015,"$0.77k",1.93,"#629862","Marshall Islands",772,2024
