"","to","from","domain","count","world_domain_total","from_domain_total","export_share","import_share","deviation","importer_total","import_share_2","parent","buyer_total","year","share","count_M","rca","color","id","value","period"
"50","Malaysia","Ukraine","Aerospace",153775,117868099471,34593620,"0.0293 %","0.0085 %",-0.0209,153775,0.0085,"Asia",1816664651,2024,0.4445,"$153.78k",0.29,"#B27272","Malaysia",153775,2024
"51","Mali","Ukraine","Aerospace",1500,117868099471,34593620,"0.0293 %","0.0601 %",0.0307,1500,0.0601,"Africa",2496422,2024,0.0043,"$1.5k",2.05,"#5D955D","Mali",1500,2024
"52","Moldova","Ukraine","Aerospace",56788,117868099471,34593620,"0.0293 %","0.7227 %",0.6934,56788,0.7227,"Europe",7857505,2024,0.1642,"$56.79k",24.62,"#006400","Moldova",56788,2024
"53","Montenegro","Ukraine","Aerospace",13092,117868099471,34593620,"0.0293 %","0.3112 %",0.2819,13092,0.3112,"Europe",4206529,2024,0.0378,"$13.09k",10.6,"#006400","Montenegro",13092,2024
"54","Morocco","Ukraine","Aerospace",8653,117868099471,34593620,"0.0293 %","5e-04 %",-0.0289,8653,5e-04,"Africa",1887807914,2024,0.025,"$8.65k",0.02,"#951E1E","Morocco",8653,2024
"55","Namibia","Ukraine","Aerospace",108,117868099471,34593620,"0.0293 %","4e-04 %",-0.029,108,4e-04,"Africa",27427989,2024,3e-04,"$0.11k",0.01,"#921515","Namibia",108,2024
"56","Nepal","Ukraine","Aerospace",3898,117868099471,34593620,"0.0293 %","0.0187 %",-0.0106,3898,0.0187,"Asia",20824663,2024,0.0113,"$3.9k",0.64,"#C5A9A9","Nepal",3898,2024
"57","New Zealand","Ukraine","Aerospace",283,117868099471,34593620,"0.0293 %","1e-04 %",-0.0292,283,1e-04,"Oceania",280967220,2024,8e-04,"$0.28k",0,"darkred","New Zealand",283,2024
"58","North Macedonia","Ukraine","Aerospace",10558,117868099471,34593620,"0.0293 %","0.0903 %",0.0609,10558,0.0903,"Europe",11693214,2024,0.0305,"$10.56k",3.08,"#408540","North Macedonia",10558,2024
"59","Norway","Ukraine","Aerospace",19147,117868099471,34593620,"0.0293 %","0.0032 %",-0.0261,19147,0.0032,"Europe",597176091,2024,0.0553,"$19.15k",0.11,"#A34646","Norway",19147,2024
"60","Pakistan","Ukraine","Aerospace",247,117868099471,34593620,"0.0293 %","1e-04 %",-0.0292,247,1e-04,"Asia",178485896,2024,7e-04,"$0.25k",0,"darkred","Pakistan",247,2024
"61","Panama","Ukraine","Aerospace",2750,117868099471,34593620,"0.0293 %","0.0103 %",-0.0191,2750,0.0103,"North America",26728540,2024,0.0079,"$2.75k",0.35,"#B67D7D","Panama",2750,2024
"62","Peru","Ukraine","Aerospace",130797,117868099471,34593620,"0.0293 %","0.1594 %",0.13,130797,0.1594,"South America",82065736,2024,0.3781,"$130.8k",5.43,"#1E741E","Peru",130797,2024
"63","Philippines","Ukraine","Aerospace",2786,117868099471,34593620,"0.0293 %","6e-04 %",-0.0287,2786,6e-04,"Asia",432802674,2024,0.0081,"$2.79k",0.02,"#951E1E","Philippines",2786,2024
