Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Hyperbots,https://www.crunchbase.com/funding_round/hyperbots-inc-seed--e20abc14,Hyperbots,https://www.crunchbase.com/organization/hyperbots-inc,Seed,2000000,USD,2000000,2024-08-06,Seed,,,,Yes,Hyperbots specializes in developing AI-powered finance assistants that automate and transform repetitive tasks.,"Artificial Intelligence (AI), Business Intelligence",,"Dover, Delaware, United States, North America",https://www.hyperbots.com/,,2000000,USD,2000000,Seed,1,Kalaari Capital,"Athera Venture Partners, Kalaari Capital, SunICON Ventures",3,3,48
Series A - DevRev,https://www.crunchbase.com/funding_round/devrev-series-a--f23a57f2,DevRev,https://www.crunchbase.com/organization/devrev,Series A,100825173,USD,100825173,2024-08-09,Early Stage Venture,1049174827,USD,1049174827,Yes,DevRev offers a cloud-based solution for both customer support and software development.,"Artificial Intelligence (AI), CRM, Customer Service, Developer APIs, Developer Platform, Software",,"Palo Alto, California, United States, North America",https://devrev.ai,$10M to $50M,150825173,USD,150825173,Early Stage Venture,3,"Khosla Ventures, Mayfield Fund, Param Hansa Values","Khosla Ventures, Mayfield Fund, Param Hansa Values",3,2,56
Series B - ModelOp,https://www.crunchbase.com/funding_round/modelop-series-b--1af33c86,ModelOp,https://www.crunchbase.com/organization/modelop,Series B,10000000,USD,10000000,2024-08-19,Early Stage Venture,,,,Yes,"ModelOp provides AI Governance software for enterprises, safeguarding all AI initiatives.","Analytics, Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, Software",,"Chicago, Illinois, United States, North America",http://modelop.com,$1M to $10M,16000000,USD,16000000,Early Stage Venture,3,Baird Capital,Baird Capital,1,1,57
Series D - Cohere,https://www.crunchbase.com/funding_round/cohere-82b8-series-d--cd52d135,Cohere,https://www.crunchbase.com/organization/cohere-82b8,Series D,500000000,USD,500000000,2024-07-22,Late Stage Venture,5000000000,USD,5000000000,Yes,Cohere provides access to advanced Large Language Models and NLP tools through one easy-to-use API.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing",,"Toronto, Ontario, Canada, North America",https://cohere.com,,942946073,USD,942946073,Late Stage Venture,6,PSP Investments,"AMD Ventures, Cisco Investments, Export Development Canada, Fujitsu, NVIDIA, PSP Investments, Salesforce Ventures",7,1,60
Venture Round - Placer.ai,https://www.crunchbase.com/funding_round/placer-series-unknown--b7b2cbc4,Placer.ai,https://www.crunchbase.com/organization/placer,Venture - Series Unknown,75000000,USD,75000000,2024-07-23,,1425000000,USD,1425000000,Yes,Placer.ai offers a traffic analytics platform that allows anyone to generate insights into any property.,"Analytics, Artificial Intelligence (AI), Consumer, Geospatial, Software",,"Los Altos, California, United States, North America",https://www.placer.ai,$100M to $500M,267505641,USD,267505641,,10,,GEM REALTY CAPITAL,1,,62
Series B - Protect AI,https://www.crunchbase.com/funding_round/protect-ai-series-b--1dc8e9c5,Protect AI,https://www.crunchbase.com/organization/protect-ai,Series B,60000000,USD,60000000,2024-08-02,Early Stage Venture,340000000,USD,340000000,Yes,Protect AI offers a cybersecurity platform that specializes in protecting machine learning models and artificial intelligence systems.,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Security, Software",,"Seattle, Washington, United States, North America",https://protectai.com,$1M to $10M,108500000,USD,108500000,Early Stage Venture,3,Evolution Equity Partners,"01 Advisors, Acrew Capital, boldstart ventures, Evolution Equity Partners, Knollwood Capital, Pelion Venture Partners, Salesforce Ventures, Samsung Electronics, StepStone Group",9,3,68
Series C - Caresyntax,https://www.crunchbase.com/funding_round/caresyntax-series-c--2c6179e6,Caresyntax,https://www.crunchbase.com/organization/caresyntax,Series C,80000000,USD,80000000,2024-08-15,Late Stage Venture,,,,Yes,Caresyntax is a vendor neutral data-driven surgery platform that makes surgery smarter by reducing variability and improving efficency.,"Analytics, Artificial Intelligence (AI), Data Visualization, Health Care, Medical, Software",,"Boston, Massachusetts, United States, North America",https://caresyntax.com/,$1M to $10M,387500000,USD,387500000,Late Stage Venture,7,,"Aescuvest, Bioniq, BlackRock Innovation Capital, Lauxera Capital Partners, MTIP AG, Optum Ventures, PFM Health Sciences, Pictet Alternative Advisors, Plug and Play, ProAssurance, Relyens, surgical.ai, Symbiotic Capital, Vesalius Biocapital Partners",14,,69
Series B - Credo AI,https://www.crunchbase.com/funding_round/credo-ai-series-b--3b7e7c13,Credo AI,https://www.crunchbase.com/organization/credo-ai,Series B,21000000,USD,21000000,2024-07-30,Early Stage Venture,80000000,USD,80000000,Yes,Responsible AI Governance Platform,"Artificial Intelligence (AI), Machine Learning, SaaS","Women Founded, Women Led","Palo Alto, California, United States, North America",https://www.credo.ai/,$1M to $10M,41300000,USD,41300000,Early Stage Venture,3,"Crimsonox Capital, FPV Ventures, Mozilla Ventures","AI Fund, Booz Allen Hamilton, Crimsonox Capital, Decibel Partners, FPV Ventures, Mozilla Ventures, Sands Capital Ventures",7,5,70
Series C - Gradient AI,https://www.crunchbase.com/funding_round/gradient-a-i-series-c--51e43963,Gradient AI,https://www.crunchbase.com/organization/gradient-a-i,Series C,56100000,USD,56100000,2024-07-30,Late Stage Venture,,,,Yes,"Gradient AI provides AI solutions for the insurance industry, leveraging vast industry data for accurate predictions.","Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning",,"Boston, Massachusetts, United States, North America",https://www.gradientai.com,$10M to $50M,123184323,USD,123184323,Late Stage Venture,5,Centana Growth Partners,"Centana Growth Partners, Forté Ventures, MassMutual Ventures, Sandbox Insurtech Ventures",4,1,76
Series A - Gcore,https://www.crunchbase.com/funding_round/g-core-labs-series-a--4009dcf5,Gcore,https://www.crunchbase.com/organization/g-core-labs,Series A,60000000,USD,60000000,2024-07-22,Early Stage Venture,,,,Yes,"Gcore is a cloud and edge computing company that offers content delivery, hosting, and security solutions for various businesses.","Artificial Intelligence (AI), Cloud Data Services, Content Delivery Network, IaaS, Software, Web Hosting",,"Luxembourg, Luxembourg, Luxembourg, Europe",https://gcore.com,$1M to $10M,60000000,USD,60000000,Early Stage Venture,1,Wargaming,"Constructor Capital, HRZ, Wargaming",3,3,77
Seed Round - YeagerAI,https://www.crunchbase.com/funding_round/yeagerai-seed--c8a269f0,YeagerAI,https://www.crunchbase.com/organization/yeagerai,Seed,7500000,USD,7500000,2024-08-20,Seed,,,,Yes,"YeagerAI is a pioneering AI research lab focused on developing technology that promotes sovereignty, transparency, and decentralization.","Generative AI, Information Technology, Marketplace",,"New York, New York, United States, North America",https://yeager.ai/,,7500000,USD,7500000,Seed,1,North Island Ventures,"Arrington Capital, Block Builders, Cogitent Ventures, DCF Capital Partners, Maelstrom, Magnus Capital, MH Ventures, Ms2 Capital, Node Capital, North Island Ventures, Samara Asset Group, Sigma Capital Holding, Tykhe Block Ventures, WAGMI Ventures, zk Capital",15,2,78
Venture Round - KNIME,https://www.crunchbase.com/funding_round/knime-series-unknown--e8c73020,KNIME,https://www.crunchbase.com/organization/knime,Venture - Series Unknown,30000000,USD,30000000,2024-08-06,,,,,Yes,KNIME provides a platform for end-to-end data science and analytics.,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Machine Learning",,"Zürich, Zurich, Switzerland, Europe",http://www.knime.com,$10M to $50M,51474942,USD,51474942,,2,Invus,Invus,1,1,80
Series A - CodeRabbit,https://www.crunchbase.com/funding_round/coderabbit-series-a--620782c9,CodeRabbit,https://www.crunchbase.com/organization/coderabbit,Series A,16000000,USD,16000000,2024-08-14,Early Stage Venture,,,,Yes,"CodeRabbit is an artificial intelligence company that offers detailed, line-by-line code suggestions and reviews within lines of code.","Artificial Intelligence (AI), SaaS, Software",,"Walnut Creek, California, United States, North America",https://coderabbit.ai/,,19605233,USD,19605233,Early Stage Venture,2,CRV,"CRV, Engineering Capital, Flex Capital, Olivier Pomel",4,3,86
Series B - osapiens,https://www.crunchbase.com/funding_round/osapiens-series-b--22020324,osapiens,https://www.crunchbase.com/organization/osapiens,Series B,110700000,EUR,120225725,2024-07-29,Early Stage Venture,,,,Yes,Osapiens provides an ESG platform and Software-as-a-Service solutions for companies.,"Artificial Intelligence (AI), Compliance, SaaS, Software",,"Mannheim, Baden-Wurttemberg, Germany, Europe",https://www.osapiens.com,$1M to $10M,135700000,EUR,147651989,Early Stage Venture,2,Goldman Sachs Alternatives,"Armira, Goldman Sachs Alternatives",2,2,84
Series A - SleekFlow,https://www.crunchbase.com/funding_round/sleekflow-series-a--e630ba25,SleekFlow,https://www.crunchbase.com/organization/sleekflow,Series A,7000000,USD,7000000,2024-08-21,Early Stage Venture,,,,Yes,Automate Your Growth. The Omnichannel Conversational AI Suite for 10k+ business users worldwide.,"Artificial Intelligence (AI), Customer Service, E-Commerce, Marketing Automation, SaaS, Sales Automation, Social Media Management, Software",,"Singapore, Central Region, Singapore, Asia",https://sleekflow.io,,15000000,USD,15000000,Early Stage Venture,3,Atinum Partners,"AEF Greater Bay Area Fund, Atinum Partners, Moses Tsang, Transcend Capital Partners",4,1,91
Seed Round - Reforged Labs,https://www.crunchbase.com/funding_round/reforged-labs-seed--fce43f41,Reforged Labs,https://www.crunchbase.com/organization/reforged-labs,Seed,3900000,USD,3900000,2024-08-08,Seed,,,,Yes,GenAI video ad and creative intelligence platform for game marketing,"Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Gaming",,"San Francisco, California, United States, North America",https://reforgedlabs.com/,,3900000,USD,3900000,Seed,3,DCM Ventures,"Asymmetry Ventures, DCM Ventures, Epakon Capital, Goodwater Capital, Phoenix Fund, Sebastian Knutsson, Y Combinator",7,1,109
Series C - Healx,https://www.crunchbase.com/funding_round/healx-series-c--7b64329d,Healx,https://www.crunchbase.com/organization/healx,Series C,47000000,USD,47000000,2024-08-01,Late Stage Venture,,,,Yes,Healx is a rare disease biotechnology company that uses generative AI for drug discovery.,"Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Life Science, Medical",,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://healx.ai,$10M to $50M,114909855,USD,114909855,Late Stage Venture,7,"Atomico, R42 Group","Atomico, Ayana capital, b2venture, Balderton Capital, Global Brain Corporation, Jonathan Milner, O2h Ventures, R42 Group, VU Venture Partners",9,4,113
Seed Round - Ragie AI,https://www.crunchbase.com/funding_round/ragie-ai-seed--f3456e4d,Ragie AI,https://www.crunchbase.com/organization/ragie-ai,Seed,5500000,USD,5500000,2024-07-01,Seed,,,,Yes,Ragie provides fully managed RAG-as-a-Service for developers,Artificial Intelligence (AI),,,https://www.ragie.ai/,,5500000,USD,5500000,Seed,1,Craft Ventures,"Chapter One Ventures, Craft Ventures, Saga VC, Valor Equity Partners",4,,114
Series C - Monarch Tractor,https://www.crunchbase.com/funding_round/monarch-tractors-series-c--d170e85f,Monarch Tractor,https://www.crunchbase.com/organization/monarch-tractors,Series C,133000000,USD,133000000,2024-07-22,Late Stage Venture,385000000,USD,385000000,Yes,"Monarch Tractor creates fully electric, autonomous tractors designed to enhance productivity, sustainability, and safety in agriculture.","Agriculture, AgTech, Analytics, Artificial Intelligence (AI), Electric Vehicle, Farming",Women Founded,"Livermore, California, United States, North America",https://monarchtractor.com,$1M to $10M,214000000,USD,214000000,Late Stage Venture,5,"Astanor Ventures, HH-CTBC Partnership","Astanor Ventures, At One Ventures, HH-CTBC Partnership, PMV, Welvaartsfonds",5,1,129
Series A - Intelmatix,https://www.crunchbase.com/funding_round/intelmatix-series-a--b4d1bafe,Intelmatix,https://www.crunchbase.com/organization/intelmatix,Series A,20000000,USD,20000000,2024-07-31,Early Stage Venture,,,,Yes,Intelmatix is a deep-tech AI company with capabilities that address sector challenges by providing tailored solutions and unique products.,"Artificial Intelligence (AI), Software",,"Riyadh, Ar Riyad, Saudi Arabia, Asia",https://intelmatix.ai/,$1M to $10M,20000000,USD,20000000,Early Stage Venture,2,Shorooq Partners,"Rua Growth Fund, Saudi Venture Capital Company, Shorooq Partners, STV, Sultan Holdings, The Olayan Group, Zain Ventures",7,6,130
Series A - Sybill AI,https://www.crunchbase.com/funding_round/sybill-series-a--8bd85d82,Sybill AI,https://www.crunchbase.com/organization/sybill,Series A,11000000,USD,11000000,2024-07-30,Early Stage Venture,,,,Yes,"Sybill analyzes verbal and non-verbal cues to generate meeting summaries, crafting deal notes and CRM updates using AI models.","Artificial Intelligence (AI), CRM, Enterprise, Machine Learning, SaaS, Sales, Software",Women Founded,"Mountain View, California, United States, North America",https://www.sybill.ai,$1M to $10M,14600000,USD,14600000,Early Stage Venture,3,Greycroft,"Greycroft, Neotribe Ventures, Powerhouse Ventures, Uncorrelated Ventures",4,2,132
Venture Round - Vanilla,https://www.crunchbase.com/funding_round/vanilla-ed56-series-unknown--fb758e6f,Vanilla,https://www.crunchbase.com/organization/vanilla-ed56,Venture - Series Unknown,,,,2024-08-15,,,,,Yes,Vanilla offers an estate planning platform that enhances the experience for wealth management firms and their clients.,"Artificial Intelligence (AI), Financial Services, FinTech, Information Technology, Software, Wealth Management",,"Salt Lake City, Utah, United States, North America",https://www.justvanilla.com,$1M to $10M,46399977,USD,46399977,,4,Insight Partners,"Alumni Ventures, Edward Jones, Insight Partners, Vanguard, Venrock",5,2,140
Seed Round - Hyperbolic,https://www.crunchbase.com/funding_round/hyperbolic-seed--7f851e3c,Hyperbolic,https://www.crunchbase.com/organization/hyperbolic,Seed,7000000,USD,7000000,2024-07-30,Seed,,,,Yes,Hyperbolic is a software development company that provides web and networking solutions to build decentralized computing platforms.,"Cloud Computing, Information Technology, Machine Learning, Software",,"New York, New York, United States, North America",https://www.hyperbolic.xyz/,,7000000,USD,7000000,Seed,2,"Lightspeed Faction, Polychain","Balaji Srinivasan, Bankless Ventures, Casey Caruso, Chapter One Ventures, CoinSummer, Illia Polosukhin, Lightspeed Faction, LongHash Ventures, Nomad Capital, Polychain, Republic Digital, Sandeep Nailwal, Santiago Santo, Tekin Salimi, Third Earth",15,,144
Series A - InvestorAi,https://www.crunchbase.com/funding_round/investorai-25b8-series-a--49ca48c9,InvestorAi,https://www.crunchbase.com/organization/investorai-25b8,Series A,800000000,INR,9534264,2024-08-21,Early Stage Venture,,,,Yes,InvestorAi is an AI tool that provides users with predicted AI-powered insights to help them make better investing decisions.,"Apps, Artificial Intelligence (AI), Financial Services",,"London, England, United Kingdom, Europe",https://investorai.in,$1M to $10M,800000000,INR,9534264,Early Stage Venture,1,Ashish Kacholia,Ashish Kacholia,1,,146
Seed Round - VoiceLine,https://www.crunchbase.com/funding_round/voiceline-seed--d79b2aee,VoiceLine,https://www.crunchbase.com/organization/voiceline,Seed,2400000,EUR,2625037,2024-08-13,Seed,,,,Yes,VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.,"Artificial Intelligence (AI), Information Technology, Messaging, Sales, Software",,"München, Bayern, Germany, Europe",https://www.getvoiceline.com,$1M to $10M,2400000,EUR,2625037,Seed,2,"SCALEHOUSE Capital, Venture Stars","Alexander Helm, Archimedes New Ventures, Brian Protiva, Cavalry Ventures, Christian Rebernik, Christopher Lohmann, Daniel Jahn, Egora Holding, Felix Grabsch, Florian Huber, Jan Sprengnetter, Jens Bormann, Jens Quadbeck, Jens Rassloff, Jens Schulte Bockum, Julius Göllner, Marc M. Völcker, Marc Stilke, Marcel Rohner, Max Messing, Peter Walz, SCALEHOUSE Capital, Sven Lackinger, Venture Stars",24,9,147
Series B - Pearl,https://www.crunchbase.com/funding_round/pearl-080d-series-b--a9f26b29,Pearl,https://www.crunchbase.com/organization/pearl-080d,Series B,58000000,USD,58000000,2024-07-24,Early Stage Venture,342000000,USD,342000000,Yes,Pearl is an AI-driven company that enhances patient care in dentistry with FDA-cleared AI capable of identifying diseases in dental x-rays.,"Artificial Intelligence (AI), Dental, Health Care, Health Diagnostics",,"West Hollywood, California, United States, North America",https://hellopearl.com,$1M to $10M,69000000,USD,69000000,Early Stage Venture,3,Left Lane Capital,"Alpha Partners, Craft Ventures, Left Lane Capital, Neotribe Ventures, Smash Capital",5,1,161
Series B - Saronic,https://www.crunchbase.com/funding_round/saronic-series-b--4c5f0179,Saronic,https://www.crunchbase.com/organization/saronic,Series B,175000000,USD,175000000,2024-07-19,Early Stage Venture,825000000,USD,825000000,Yes,Saronic designs and manufactures unmanned surface vehicles for maritime security and domain awareness.,"Artificial Intelligence (AI), Manufacturing, Marine Technology, Military, National Security, Security",,"Austin, Texas, United States, North America",https://www.saronic.com,,245000000,USD,245000000,Early Stage Venture,3,Andreessen Horowitz,"8VC, Andreessen Horowitz, Caffeinated Capital, Elad Gil, Lightspeed Venture Partners, NightDragon, Silent Ventures",7,5,166
Seed Round - Talus Bio,https://www.crunchbase.com/funding_round/talus-bio-seed--68e7ae87,Talus Bio,https://www.crunchbase.com/organization/talus-bio,Seed,11200000,USD,11200000,2024-08-20,Seed,,,,Yes,Talus Bio is a drug discovery biotech startup that develops drugs targeting undruggable transcription factors using AI.,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics",Women Founded,"Seattle, Washington, United States, North America",https://www.talus.bio,$1M to $10M,25505831,USD,25505831,Seed,7,Two Bear Capital,"BoxOne Ventures, FundersClub, NFX, Two Bear Capital, WRF Capital, Y Combinator Continuity Fund",6,2,172
Series A - Spline,https://www.crunchbase.com/funding_round/spline-a3e5-series-a--96c5074e,Spline,https://www.crunchbase.com/organization/spline-a3e5,Series A,10000000,USD,10000000,2024-08-14,Early Stage Venture,15000000,USD,15000000,Yes,Spline offers 3D design and collaboration tools to create and manipulate 3D models and environments.,"3D Technology, Artificial Intelligence (AI), Product Design, Software",,"Middletown, Delaware, United States, North America",http://spline.design,$1M to $10M,25000000,USD,25000000,Early Stage Venture,3,Third Point Ventures,"Firestreak Ventures, Gradient Ventures, Guillermo Rauch, Jorn van Dijk, Samsung Electronics, Third Point Ventures, Y Combinator",7,4,183
Series A - Lakera AI,https://www.crunchbase.com/funding_round/lakera-ai-series-a--8e898f1e,Lakera AI,https://www.crunchbase.com/organization/lakera-ai,Series A,20000000,USD,20000000,2024-07-24,Early Stage Venture,,,,Yes,Lakera AI is a real-time GenAI security company that utilizes AI to protect enterprises from LLM vulnerabilities.,"Artificial Intelligence (AI), Cyber Security, Security, Software",,"San Francisco, California, United States, North America",https://lakera.ai,,30000000,USD,30000000,Early Stage Venture,2,Atomico,"Atomico, Citi Ventures, Dropbox Ventures, redalpine",4,4,186
Seed Round - Rivalz Network,https://www.crunchbase.com/funding_round/rivalz-seed--77a78e66,Rivalz Network,https://www.crunchbase.com/organization/rivalz,Seed,9000000,USD,9000000,2024-08-14,Seed,,,,Yes,Rivalz Network is an AI-Driven DePIN RollApp.,Artificial Intelligence (AI),,"Dover, Delaware, United States, North America",https://rivalz.ai/,,11000000,USD,11000000,Seed,3,,"Autonomy Capital, Basics Capital, bitsCrunch, Block Builders, Blocktheory, Caballeros Capital, CFG Labs, Cogitent Ventures, D1 Ventures, Delphi Ventures, DWeb3 Capital, DWF Labs, Emoote, Formless Capital, Fourth Revolution Capital, Gate.io, GSR, iAngels, International Blockchain Consulting, Kyros Ventures, Magnus Capital, Mask Network, Momentum 6, NewTribe Capital, OIG Ventures, Optic Capital, Pragma, Rana Investment, SL2 Capital, StakeWith.Us, The Rollup, Wise3 Ventures, X21 Digital, Zee Prime Capital",34,,189
Series D - FLYR,https://www.crunchbase.com/funding_round/flyr-series-d--606e439e,FLYR,https://www.crunchbase.com/organization/flyr,Series D,225000000,USD,225000000,2024-08-08,Late Stage Venture,675000000,USD,675000000,Yes,FLYR is a technology company that uses AI to help airlines and hospitality businesses.,"Air Transportation, Analytics, Artificial Intelligence (AI), Machine Learning, Predictive Analytics",,"Santa Monica, California, United States, North America",http://flyrlabs.com,,481842686,USD,481842686,Late Stage Venture,12,WestCap,"Abu Dhabi Investment Authority, Avianca, BlackRock, Streamlined Ventures, WestCap",5,3,199
Series B - Eppo,https://www.crunchbase.com/funding_round/eppo-series-b--139bc14d,Eppo,https://www.crunchbase.com/organization/eppo,Series B,28000000,USD,28000000,2024-08-20,Early Stage Venture,,,,Yes,Eppo provides an AB experimentation and feature management platform to make testing accessible to everyone in any organization.,"A/B Testing, Artificial Intelligence (AI), B2B, Developer Tools, Test and Measurement",,"San Francisco, California, United States, North America",https://www.geteppo.com/,,47500000,USD,47500000,Early Stage Venture,3,Innovation Endeavors,"Amplify Partners, Icon Ventures, Innovation Endeavors, Menlo Ventures",4,3,201
