Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Equity Only Funding,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Zingly.ai,https://www.crunchbase.com/funding_round/zingly-3d5c-seed--876ddcdc,Zingly.ai,https://www.crunchbase.com/organization/zingly-3d5c,Seed,10000000,USD,10000000,2024-06-05,Seed,Yes,,,,"Zingly integrates GenAI, humans, and data for seamless, personalized customer interactions, building lasting relationships and improved CX","Customer Service, Generative AI, Software",,"San Ramon, California, United States, North America",https://www.zingly.ai,,Seed,3,15450000,USD,15450000,,"Array Ventures, Burst Capital, Dell Technologies Capital, Firebolt Ventures, Formus Capital, Geekdom Fund, Scribble Ventures, WestWave Capital",8,2,"7,003"
Seed Round - Seven AI,https://www.crunchbase.com/funding_round/seven-ai-seed--612a0f07,Seven AI,https://www.crunchbase.com/organization/seven-ai,Seed,36000000,USD,36000000,2024-06-07,Seed,Yes,64000000,USD,64000000,Seven AI pioneers cybersecurity solutions that use powerful AI technology to defend enterprises from digital attacks.,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Software",,"Boston, Massachusetts, United States, North America",https://www.sevenai.com,,Seed,1,36000000,USD,36000000,Greylock,"CRV, Greylock, Spark Capital",3,,"7,062"
Seed Round - Shinkei Systems,https://www.crunchbase.com/funding_round/shinkei-systems-seed--84c169f8,Shinkei Systems,https://www.crunchbase.com/organization/shinkei-systems,Seed,6000000,USD,6000000,2024-02-05,Seed,Yes,,,,Shinkei Systems is an automation agency that provides automation for fish harvesting.,"Food and Beverage, Food Processing, Intelligent Systems, Seafood, Supply Chain Management",,"New York, New York, United States, North America",https://www.shinkei.systems,,Seed,2,6000000,USD,6000000,Cantos,"8VC, Cantos, Carya Venture Partners, Humba Ventures, Impatient Ventures, Ravelin Capital, Red & Blue Ventures, Undeterred Capital",8,,"7,203"
Seed Round - PVML,https://www.crunchbase.com/funding_round/pvml-seed--145e2f3c,PVML,https://www.crunchbase.com/organization/pvml,Seed,8000000,USD,8000000,2024-04-10,Seed,Yes,,,,PVML is a data access platform that enables companies to unlock fast and secure access for dev teams.,"Machine Learning, Productivity Tools, Software, Web Development",,"Tel Aviv-yafo, Tel Aviv, Israel, Asia",https://pvml.com/,,Seed,3,8000000,USD,8000000,NFX,"Amit On, Erez Yarkoni, FJ Labs, Gefen Capital, Jonathan Lebowitsch, NFX, Ran Nahmias",7,3,"7,312"
Seed Round - Wordsmith AI,https://www.crunchbase.com/funding_round/wordsmith-seed--14940d0e,Wordsmith AI,https://www.crunchbase.com/organization/wordsmith,Seed,5000000,USD,5000000,2024-06-20,Seed,Yes,,,,Advanced legal AI for in house legal teams,"Artificial Intelligence (AI), Information Technology, Legal Tech",,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",https://www.wordsmith.ai,,Seed,1,5000000,USD,5000000,Index Ventures,"Felix Capital, Gareth Williams, General Catalyst, Index Ventures, s16vc, Yellow",6,,"7,797"
Seed Round - Norm AI,https://www.crunchbase.com/funding_round/norm-ai-seed--b0bd62bb,Norm AI,https://www.crunchbase.com/organization/norm-ai,Seed,11100000,USD,11100000,2024-01-23,Seed,Yes,,,,Norm AI provides an AI-powered regulatory compliance platform for the legal and compliance industries.,"Artificial Intelligence (AI), Compliance, Information Technology, Legal Tech",,"New York, New York, United States, North America",https://www.norm.ai/,,Early Stage Venture,2,38100000,USD,38100000,Coatue,"Atypical Ventures, Barry McCardel, Basis Set Ventures, Coatue, Expa, Haystack, Logan Kilpatrick, M13, Oren Etzioni",9,1,"8,208"
Seed Round - Shengshu Technology,https://www.crunchbase.com/funding_round/shengshu-technology-seed--b4c6c012,Shengshu Technology,https://www.crunchbase.com/organization/shengshu-technology,Seed,161700000,CNY,22514620,2024-03-12,Seed,Yes,,,,"Shengshu Technology is a generative AI infrastructure that develops native multi-modal large models such as images, 3D, and video.","Artificial Intelligence (AI), Generative AI",,"Haidian, Beijing, China, Asia",https://www.shengshu-ai.com,,Seed,2,450000000,CNY,62407795,Qiming Venture Partners,"Baidu Ventures, Delta Capital, Hongfu Houde, Qiming Venture Partners, Zhipu AI, Zhuoyuan Capital",6,3,"8,389"
Seed Round - Genspark AI,https://www.crunchbase.com/funding_round/genspark-ai-seed--5c0d9af1,Genspark AI,https://www.crunchbase.com/organization/genspark-ai,Seed,60000000,USD,60000000,2024-06-18,Seed,Yes,200000000,USD,200000000,Genspark AI operates as an artificial intelligence search company.,"Artificial Intelligence (AI), Search Engine, Software",,"Palo Alto, California, United States, North America",https://genspark.ai,,Seed,1,60000000,USD,60000000,Lanchi Ventures,Lanchi Ventures,1,1,"8,487"
Seed Round - Leash Biosciences,https://www.crunchbase.com/funding_round/leash-biosciences-seed--0b54abac,Leash Biosciences,https://www.crunchbase.com/organization/leash-biosciences,Seed,9300000,USD,9300000,2024-04-05,Seed,Yes,,,,Leash Biosciences engages in machine learning to solve medicinal chemistry.,"Health Care, Machine Learning, Medical",,"Salt Lake City, Utah, United States, North America",https://leashbio.cloud/,,Seed,1,9300000,USD,9300000,SpringTide Ventures,"Blake Borgeson, Chris Gibson, Metaplanet, MFV Partners, Mitsui Global Investment, SpringTide Ventures, Top Harvest Capital",7,2,"8,516"
Funding Round - EndlessAI,https://www.crunchbase.com/funding_round/endlessai-undisclosed--452883aa,EndlessAI,https://www.crunchbase.com/organization/endlessai,Funding Round,65000000,USD,65000000,2020-05-31,,Yes,,,,Scaling AI to the Real World.,"Artificial Intelligence (AI), Generative AI",,"Palo Alto, California, United States, North America",https://www.EndlessAI.com,,,1,65000000,USD,65000000,Marker,"Digital Garage (TSE: 4819), Eniac Ventures, Marker, Menlo Ventures, Square Peg Capital, Two Sigma Ventures",6,,"9,032"
Series B - DataSnipper,https://www.crunchbase.com/funding_round/datasnipper-series-b--0a7a42e1,DataSnipper,https://www.crunchbase.com/organization/datasnipper,Series B,100000000,USD,100000000,2024-02-01,Early Stage Venture,Yes,900000000,USD,900000000,DataSnipper is a financial audit company that provides an AI-powered intelligent automation platform in Excel.,"Accounting, Database, Finance, Information Services, Intelligent Systems, Software",,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://www.datasnipper.com,,Early Stage Venture,2,100000000,USD,100000000,Index Ventures,Index Ventures,1,1,"9,575"
Seed Round - EnFi,https://www.crunchbase.com/funding_round/enfi-d0a0-seed--53274a2b,EnFi,https://www.crunchbase.com/organization/enfi-d0a0,Seed,7500000,USD,7500000,2024-06-13,Seed,Yes,,,,EnFi accelerate complex credit analysis and risk monitoring services.,"Artificial Intelligence (AI), FinTech, Risk Management",,"Boston, Massachusetts, United States, North America",https://www.enfi.ai/,,Seed,1,7500000,USD,7500000,Unusual Ventures,"Argon Ventures, Boston Seed Capital, Impellent Ventures, Unusual Ventures",4,,"9,711"
