Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Funding Status,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Mylestone,https://www.crunchbase.com/funding_round/mylestone-seed--d9e5d6fd,Mylestone,https://www.crunchbase.com/organization/mylestone,Seed,1500000,USD,1500000,2016-03-21,Seed,,,,Yes,"Mylestone makes people's memories easily accessible on virtual assistants, like Amazon's Echo.","Artificial Intelligence (AI), Internet, Virtual Assistant",,"Boston, Massachusetts, United States, North America",https://mylestone.com/,,4000000,USD,4000000,2,Seed,Founder Collective,"Bantam Group, Boston Seed Capital, CVP Management, Founder Collective, Joe Caruso",,5,"63,810"
Seed Round - AiFi,https://www.crunchbase.com/funding_round/aifi-c8f8-seed--630c8f2b,AiFi,https://www.crunchbase.com/organization/aifi-c8f8,Seed,4400000,USD,4400000,2016-12-01,Seed,,,,Yes,"AiFi enables reliable, cost-effective, and contactless autonomous shopping with AI-powered computer vision technology.","Artificial Intelligence (AI), Computer Vision, Retail Technology, Shopping, Software","Women Founded, Women Led","Santa Clara, California, United States, North America",https://www.aifi.com,$1M to $10M,80400000,USD,80400000,4,Early Stage Venture,,"Amino Capital, BRC Innovation, CSC Upshot, Greylock, Plug and Play, StartX (Stanford-StartX Fund)",5,6,"64,842"
Series C - FiscalNote,https://www.crunchbase.com/funding_round/fiscalnote-series-c--7bfdff6e,FiscalNote,https://www.crunchbase.com/organization/fiscalnote,Series C,10000000,USD,10000000,2016-02-02,Late Stage Venture,,,,Yes,FiscalNote uses artificial intelligence and big data to deliver predictive analytics on government information to determine its impact.,"Artificial Intelligence (AI), Big Data, GovTech, Predictive Analytics, Software",,"Washington, District of Columbia, United States, North America",http://www.fiscalnote.com,$100M to $500M,631832510,USD,631832510,20,IPO,"Green Visor Capital, Visionnaire Ventures","645 Ventures, AME Cloud Ventures, Conversion Capital, Eastward Capital Partners, Green Visor Capital, GVA Capital, Lyne Capital, Mark Cuban, Mindrock Capital, Moatable, New Enterprise Associates, Omar Darwazah, Perle Ventures, Plug and Play, Saud Al Nowais, SF Capital Group, Visionnaire Ventures",6,17,"66,431"
Venture Round - UpGuard,https://www.crunchbase.com/funding_round/upguard-series-unknown--db9ae8c7,UpGuard,https://www.crunchbase.com/organization/upguard,Venture - Series Unknown,2000000,AUD,1450222,2016-06-01,,,,,Yes,"UpGuard is a cyber resilience platform, designed to proactively assess and manage the business risks posed by technology.","Cyber Security, Enterprise Software, Insurance, Intelligent Systems, SaaS, Software, Test and Measurement",,"San Francisco, California, United States, North America",https://www.upguard.com/,$10M to $50M,47405222,USD,47405222,7,Early Stage Venture,,IAG Firemark Ventures,,1,"66,879"
Seed Round - PAIR Finance,https://www.crunchbase.com/funding_round/pair-2-seed--a124514f,PAIR Finance,https://www.crunchbase.com/organization/pair-2,Seed,1800000,EUR,1990490,2016-11-01,Seed,,,,Yes,PAIR Finance is a leading AI-based Fintech for debt collection and receivables management in Europe.,"Artificial Intelligence (AI), Debt Collections, Financial Services, FinTech",,"Berlin, Berlin, Germany, Europe",https://www.pairfinance.com/en/,$1M to $10M,8300000,EUR,9448424,3,M&A,finleap,finleap,,1,"69,153"
Debt Financing - Didi,https://www.crunchbase.com/funding_round/didi-dache-debt-financing--f1a0691a,Didi,https://www.crunchbase.com/organization/didi-dache,Debt Financing,2500000000,USD,2500000000,2016-06-15,,,,,No,"Didi is a mobility technology platform that offers ride hailing, taxi hailing, food delivery, and financial services.","Artificial Intelligence (AI), InsurTech, Mobile Apps, Public Transportation, Ride Sharing, Transportation",,"Haidian, Beijing, China, Asia",https://www.didiglobal.com,$10B+,23397719538,USD,23397719538,25,IPO,China Merchants Bank,China Merchants Bank,,1,"70,697"
Private Equity Round - Didi,https://www.crunchbase.com/funding_round/didi-dache-private-equity--3a3f949f,Didi,https://www.crunchbase.com/organization/didi-dache,Private Equity,4500000000,USD,4500000000,2016-06-15,Private Equity,23500000000,USD,23500000000,Yes,"Didi is a mobility technology platform that offers ride hailing, taxi hailing, food delivery, and financial services.","Artificial Intelligence (AI), InsurTech, Mobile Apps, Public Transportation, Ride Sharing, Transportation",,"Haidian, Beijing, China, Asia",https://www.didiglobal.com,$10B+,23397719538,USD,23397719538,25,IPO,Apple,"Alibaba Group, Ant Group, Apple, China Life Insurance, China Merchants Bank, SoftBank, Tencent",1,7,"70,986"
Seed Round - Cera,https://www.crunchbase.com/funding_round/cera-seed--6c22daf7,Cera,https://www.crunchbase.com/organization/cera,Seed,1300000,GBP,1624030,2016-11-21,Seed,,,,Yes,Cera is Europe’s largest provider of digital-first home healthcare,"Artificial Intelligence (AI), Elder Care, Health Care, Home Health Care, Mobile Apps, Outpatient Care, Personal Health, Predictive Analytics",,"London, England, United Kingdom, Europe",https://www.cerahq.com/,$500M to $1B,407237366,USD,407237366,9,,,"Credo Ventures, DigitalHealth.London Accelerator",1,2,"71,447"
Seed Round - CENTURY Tech,https://www.crunchbase.com/funding_round/century-seed--2d40be00,CENTURY Tech,https://www.crunchbase.com/organization/century,Seed,1520000,GBP,2182278,2016-05-15,Seed,,,,Yes,"CENTURY is the award-winning artificial intelligence teaching and learning platform for schools, colleges and universities.","Artificial Intelligence (AI), Big Data, E-Learning, EdTech, Education, Personal Development",,"London, England, United Kingdom, Europe",https://www.century.tech/,$1M to $10M,25819476,USD,25819476,8,Early Stage Venture,,"Angel Academe, Dot Matrix Group",,2,"72,970"
Series A - Primagpu,https://www.crunchbase.com/funding_round/primagpu-8add-series-a--178051c9,Primagpu,https://www.crunchbase.com/organization/primagpu-8add,Series A,6000000,USD,6000000,2016-10-11,Early Stage Venture,,,,Yes,Primagpu is an Asian artificial intelligence company focusing on artificial intelligence server solutions,"Artificial Intelligence (AI), IT Infrastructure",,"Singapore, Central Region, Singapore, Asia",https://www.primagpu.com,,96000000,USD,96000000,3,Late Stage Venture,,,,,"72,588"
Seed Round - Neurable,https://www.crunchbase.com/funding_round/neurable-seed--29c9c5b2,Neurable,https://www.crunchbase.com/organization/neurable,Seed,2000000,USD,2000000,2016-12-21,Seed,,,,Yes,Neurable is a neurotechnology company focused on developing AI tools for brain signal translation and brain-computer interface technology.,"Artificial Intelligence (AI), Augmented Reality, Human Computer Interaction, Virtual Reality",,"Boston, Massachusetts, United States, North America",http://neurable.com/,$1M to $10M,22756543,USD,22756543,13,,Boston Syndicates (BOSS),"Boston Syndicates (BOSS), Cold Start Ventures, Loup Ventures, NXT Ventures, PJC, Robert Winter, Wolverine Angels Network",,7,"72,806"
"Seed Round - Electus Global Education Co, Inc.",https://www.crunchbase.com/funding_round/electus-global-education-co-inc-seed--203888eb,"Electus Global Education Co, Inc.",https://www.crunchbase.com/organization/electus-global-education-co-inc,Seed,2500000,USD,2500000,2016-11-01,Seed,,,,Yes,Hybrid Edtech & Fintech social enterprise - FLEC Technology with real income generation & banking tools.,"Artificial Intelligence (AI), EdTech, FinTech","Women Founded, Women Led","Tampa, Florida, United States, North America",https://www.lifehubjobs.com/,$1M to $10M,5000000,USD,5000000,2,Seed,,,,,"73,491"
Seed Round - SoundAI,https://www.crunchbase.com/funding_round/soundai-seed--5c88f0ad,SoundAI,https://www.crunchbase.com/organization/soundai,Seed,160000000,CNY,23988495,2016-10-01,Seed,,,,Yes, SoundAI is an innovation company that specializes in acoustics frontier technology and artificial intelligence interaction.,"Artificial Intelligence (AI), Audio, Speech Recognition",,"Beijing, Beijing, China, Asia",http://www.soundai.com/,,580000000,CNY,86558425,4,Early Stage Venture,Hongtai Capital Holdings,"Frees Fund, Hongtai Capital Holdings",1,2,"75,388"
Series A - Malong Technologies,https://www.crunchbase.com/funding_round/malong-technologies-series-a--70e1d8d9,Malong Technologies,https://www.crunchbase.com/organization/malong-technologies,Series A,62000000,CNY,9253356,2016-10-10,Early Stage Venture,,,,Yes,Malong Technologies (www.malongtech.com) provides state-of-the-art in computer vision and AI for the retail industry. Backed by Accenture.,"Artificial Intelligence (AI), Computer, Computer Vision, Information Technology, Machine Learning, Software",,"Shenzhen, Guangdong, China, Asia",https://www.malongtech.com/,$10M to $50M,294000000,CNY,44309782,5,,,"CITIC Capital Holdings, Greenwoods Asset Management, Jiangmen Venture Capital",,3,"76,058"
Series A - MetroDataTech,https://www.crunchbase.com/funding_round/metrodatatech-series-a--8b4d3bd2,MetroDataTech,https://www.crunchbase.com/organization/metrodatatech,Series A,30000000,CNY,4579593,2016-03-01,Early Stage Venture,,,,Yes,MetroDataTech is a bigdata service provider for real estate developers through data mining and reconstruction.,"Artificial Intelligence (AI), Big Data, Data Mining, Real Estate",,"Shanghai, Shanghai, China, Asia",http://www.metrodata.cn/,,30000000,CNY,4579593,2,Early Stage Venture,N5Capital,N5Capital,,1,"75,205"
Series B - Yongqianbao,https://www.crunchbase.com/funding_round/yongqianbao-series-b--11523bc2,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,Series B,156000000,CNY,23352961,2016-08-30,Early Stage Venture,,,,Yes,"Yongqianbao is an AI-based financial service APP that provides small amount, short term loans to underbanked population in China.","Artificial Intelligence (AI), Financial Services, FinTech, Internet",,"Beijing, Beijing, China, Asia",http://smartfinancegroup.com,,622000000,CNY,90990159,5,Late Stage Venture,,"GX Capital, Hongtai Capital Holdings, Sinovation Ventures, Source Code Capital",,4,"75,209"
Angel Round - Infervision,https://www.crunchbase.com/funding_round/infervision-angel--8daddafb,Infervision,https://www.crunchbase.com/organization/infervision,Angel,12500000,CNY,1901465,2016-02-10,Seed,,,,Yes,Infervision is an AI high-tech company that uses deep learning technology and computer vision to help diagnose cancers.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software",,"Beijing, Beijing, China, Asia",https://global.infervision.com,$1M to $10M,214658586,USD,214658586,6,Late Stage Venture,"Innoangel Fund, Powercloud Venture Capital","Innoangel Fund, Powercloud Venture Capital",,2,"75,238"
Series A - Momenta,https://www.crunchbase.com/funding_round/momenta-ai-series-a--e4082500,Momenta,https://www.crunchbase.com/organization/momenta-ai,Series A,5000000,USD,5000000,2016-11-14,Early Stage Venture,,,,Yes,Momenta is a developer of autonomous driving technology designed to improve efficiency.,"Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Mapping Services, Software",,"Beijing, Beijing, China, Asia",https://www.momenta.cn,$10M to $50M,1203150880,USD,1203150880,10,Late Stage Venture,,"Blue Lake Capital, Sinovation Ventures, ZhenFund",1,3,"76,097"
