Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Series A - Aindo,https://www.crunchbase.com/funding_round/aindo-series-a--0a2dc224,Aindo,https://www.crunchbase.com/organization/aindo,Series A,6000000,EUR,6322678,2023-10-18,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Machine Learning","At Aindo, our mission is to enable Artificial Intelligence (AI) to add value to society while respecting people's rights and freedoms.",,"Trieste, Friuli-Venezia Giulia, Italy, Europe",http://www.aindo.ai/,,8900000,EUR,9598718,Early Stage Venture,3,United Ventures,"United Ventures, Vertis",2,2,"42,766"
Seed Round - LH Systems,https://www.crunchbase.com/funding_round/lh-systems-seed--cb17e8ad,LH Systems,https://www.crunchbase.com/organization/lh-systems,Seed,900000000,JPY,6302808,2023-12-13,Seed,,,,Yes,"3D Technology, Artificial Intelligence (AI)","LH Systems develops innovative 3D modeling technologies internally under the notion of ""bridging the future with human creations""",,"Singapore, Central Region, Singapore, Asia",https://www.lh-s.org,,900000000,JPY,6302808,Seed,1,,,,,"55,229"
Post-IPO Equity - FiscalNote,https://www.crunchbase.com/funding_round/fiscalnote-post-ipo-equity--357f2e4f,FiscalNote,https://www.crunchbase.com/organization/fiscalnote,Post-IPO Equity,6301010,USD,6301010,2023-12-08,,,,,Yes,"Artificial Intelligence (AI), Big Data, GovTech, Predictive Analytics, Software",FiscalNote uses artificial intelligence and big data to deliver predictive analytics on government information to determine its impact.,,"Washington, District of Columbia, United States, North America",http://www.fiscalnote.com,$100M to $500M,631832510,USD,631832510,IPO,20,,,,,"67,305"
Series A - Ai Palette,https://www.crunchbase.com/funding_round/ai-palette-series-a--101e9fd5,Ai Palette,https://www.crunchbase.com/organization/ai-palette,Series A,6300000,USD,6300000,2024-03-04,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Food and Beverage, Machine Learning, Product Management",Ai Palette delivers AI-driven product development solutions to businesses operating in the food and consumer packaged goods (CPG) sectors.,,"Singapore, Central Region, Singapore, Asia",https://www.aipalette.com,$10M to $50M,11781394,USD,11781394,Early Stage Venture,4,Tin Men Capital,"Exfinity Venture Partners, ORZON Ventures, Pi Ventures, Tin Men Capital",2,4,"9,531"
Seed Round - Modulus,https://www.crunchbase.com/funding_round/modulus-feee-seed--981ad8bd,Modulus,https://www.crunchbase.com/organization/modulus-feee,Seed,6300000,USD,6300000,2023-11-01,Seed,,,,Yes,Artificial Intelligence (AI),Modulus uses cryptography to verify that AI results weren't doctored.,,"San Francisco, California, United States, North America",http://modulus.xyz,,6300000,USD,6300000,Seed,1,"1kx, Variant","1kx, Bankless Ventures, Blockchain Builders Fund, Floodgate, Global Coin Research, Inflection.xyz, Variant",1,7,"17,005"
Series A - Heidi Health,https://www.crunchbase.com/funding_round/oscer-series-a--7d1347a9,Heidi Health,https://www.crunchbase.com/organization/oscer,Series A,10000000,AUD,6294007,2023-10-25,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), E-Learning, Health Care, Primary and Urgent Care, Software, Subscription Service",Heidi Health is reinventing primary care with beautiful AI-powered software to increase the quality and accessibility of care.,,"Cremorne, New South Wales, Australia, Oceania",https://www.heidihealth.com,$10M to $50M,15000000,AUD,9950779,Early Stage Venture,2,Blackbird Ventures,"Archangel Ventures, Blackbird Ventures, HESTA, Hostplus, Possible Ventures, Saniel Ventures, Vesta, Wormhole Capital",1,8,"18,847"
Series B - Nuwa Robotics,https://www.crunchbase.com/funding_round/nuwa-robotics-series-b--d2b5b29d,Nuwa Robotics,https://www.crunchbase.com/organization/nuwa-robotics,Series B,200000000,TWD,6262251,2023-08-21,Early Stage Venture,2200000000,TWD,68884756,Yes,"Apps, Artificial Intelligence (AI), EdTech, Health Care, Machine Learning, Robotics, Software","5G Robot, Education Tech, Health Tech, Personal Robot",,"Taipei, T'ai-pei, Taiwan, Asia",https://www.nuwarobotics.com/,$1M to $10M,200000000,TWD,6262251,Early Stage Venture,1,Foxconn Technology Group,Foxconn Technology Group,,1,"92,582"
Seed Round - Rightbot,https://www.crunchbase.com/funding_round/rightbot-seed--93a6f34b,Rightbot,https://www.crunchbase.com/organization/rightbot,Seed,6250000,USD,6250000,2023-12-05,Seed,,,,Yes,"Artificial Intelligence (AI), Robotics, Warehouse Automation, Warehousing",Rightbot's Sherlock automates unloading and loading of floor loaded containers.,,"Newark, New Jersey, United States, North America",https://www.rightbot.com/,,6750000,USD,6750000,Seed,6,Amazon Industrial Innovation Fund,"Amazon Industrial Innovation Fund, Entrepreneur First, Flipkart Ventures, Morphosis Venture Capital, SOSV",5,5,"21,997"
Venture Round - Worthix,https://www.crunchbase.com/funding_round/worthix-series-unknown--e5c49ad7,Worthix,https://www.crunchbase.com/organization/worthix,Venture - Series Unknown,6211491,USD,6211491,2023-10-05,,,,,Yes,"Analytics, Artificial Intelligence (AI), Information Technology, Market Research, Software",Worthix is a self-adaptive survey that uses AI to precisely measure the “why” behind buying decisions.,"Hispanic / Latine Founded, Hispanic / Latine Led","Atlanta, Georgia, United States, North America",https://www.worthix.com/,$1M to $10M,15161491,USD,15161491,,6,,,,,"94,985"
Series A - Retinai,https://www.crunchbase.com/funding_round/retinai-medical-series-a--79954832,Retinai,https://www.crunchbase.com/organization/retinai-medical,Series A,5650000,CHF,6209992,2024-05-02,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Cloud Computing, Health Care, Health Diagnostics, Information Technology, Machine Learning, Software","RetinAI optimises and simplifies clinics, research and pharmaceutical workflows to improve healthcare.",,"Bern, Bern, Switzerland, Europe",http://www.retinai.com,$1M to $10M,8410000,CHF,8992425,Early Stage Venture,7,Topcon Healthcare,"b2venture, Matterwave Ventures, Topcon Healthcare, Verve Ventures, Zürcher Kantonal Bank",,5,"7,315"
Seed Round - ChainML,https://www.crunchbase.com/funding_round/chain-ml-seed--c06c5dc9,ChainML,https://www.crunchbase.com/organization/chain-ml,Seed,6200000,USD,6200000,2024-05-13,Seed,,,,Yes,"Artificial Intelligence (AI), Blockchain, Information Technology, Machine Learning, Web3",a comprehensive solution to integrate customizable generative AI into applications using production-grade AI agents.,,"San Francisco, California, United States, North America",https://www.chainml.net,,10200000,USD,10200000,Seed,2,Hack VC,"Alumni Ventures, Figment Capital, Foresight Ventures, Hack VC, HTX Ventures, Hypersphere Ventures, Inception Capital",,7,"6,786"
Series B - Cyble,https://www.crunchbase.com/funding_round/cyble-series-b--83c28427,Cyble,https://www.crunchbase.com/organization/cyble,Series B,6200000,USD,6200000,2023-11-14,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Risk Management, Software","Cyble is a leading AI-powered threat intelligence company offering comprehensive coverage of adversaries, exposure, weaknesses, and targets.",,"Alpharetta, Georgia, United States, North America",https://cyble.com,$50M to $100M,44807000,USD,44807000,Early Stage Venture,11,"King River Capital, Summit Peak Investments","Blackbird Ventures, CareSuper, King River Capital, Summit Peak Investments",1,4,"19,128"
Venture Round - Circus Group,https://www.crunchbase.com/funding_round/circuskitchens-series-unknown--6712c72a,Circus Group,https://www.crunchbase.com/organization/circuskitchens,Venture - Series Unknown,5500000,EUR,6181387,2023-07-17,,,,,Yes,"Artificial Intelligence (AI), Manufacturing, Robotics",Disrupting food-service operations with the use of AI robotics and proprietary software solutions.,,"Hamburg, Hamburg, Germany, Europe",https://www.circus-group.com/,,26900000,EUR,28967988,IPO,4,BlackMars Capital,"2bX, BlackMars Capital",,2,"97,670"
Venture Round - Craft AI,https://www.crunchbase.com/funding_round/craft-ai-series-unknown--bde8c99f,Craft AI,https://www.crunchbase.com/organization/craft-ai,Venture - Series Unknown,5500000,EUR,6175633,2023-07-18,,,,,Yes,"Artificial Intelligence (AI), Developer APIs, Enterprise Software, Machine Learning, SaaS, Software",The #1 MLOps platform,,"Paris, Ile-de-France, France, Europe",http://craft.ai,$10M to $50M,14500000,EUR,16100838,,4,Talis,"Bpifrance, Talis",,2,"109,032"
Venture Round - Markable Creators(Markable AI),https://www.crunchbase.com/funding_round/markable-series-unknown--84152a4f,Markable Creators(Markable AI),https://www.crunchbase.com/organization/markable,Venture - Series Unknown,6143371,USD,6143371,2024-06-06,,,,,Yes,"Artificial Intelligence (AI), Developer APIs, E-Commerce, Image Recognition, Internet, Visual Search",Markable Creators is the leading AI visual discovery shopping engine that empowers influencers with their own social shops.,"Women Founded, Women Led","New York, New York, United States, North America",https://markable.ai,Less than $1M,21718371,USD,21718371,,7,,,,,"23,195"
Seed Round - InpharmD,https://www.crunchbase.com/funding_round/inpharmd-seed--700bb8d5,InpharmD,https://www.crunchbase.com/organization/inpharmd,Seed,6050000,USD,6050000,2023-12-07,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care, Machine Learning, Mobile Apps, Natural Language Processing","Doctors submit questions, we provide curated, evidence- based answers",,"Atlanta, Georgia, United States, North America",https://www.inpharmd.com/,$1M to $10M,6050000,USD,6050000,Seed,3,645 Ventures,"645 Ventures, Atlanta Ventures, ELC, Qlarant Capital, Y Combinator",1,5,"18,628"
Seed Round - Unchained Robotics,https://www.crunchbase.com/funding_round/unchained-robotics-seed--230ae935,Unchained Robotics,https://www.crunchbase.com/organization/unchained-robotics,Seed,5500000,EUR,6035652,2023-11-29,Seed,,,,Yes,"Artificial Intelligence (AI), Industrial Automation, Robotics, Software",Automation.Simplified.Standardized. Unchained Robotics is the one-stop-platform for industrial automation in SME factories across Europe.,,"Paderborn, Nordrhein-Westfalen, Germany, Europe",https://unchainedrobotics.de/,$1M to $10M,7700000,EUR,8490135,Seed,3,"Future Industry Ventures, Redstone","Archimedes New Ventures, Born2Grow, Christian Hülsewig, Eike Klein, Future Industry Ventures, Marek Lehmann, Redstone, Reinhard Rabenstein, Technologiefonds OWL, Teklas Ventures, vent.io",2,11,"12,462"
Series A - Turbine,https://www.crunchbase.com/funding_round/turbine-2-series-a--01882067,Turbine,https://www.crunchbase.com/organization/turbine-2,Series A,5500000,EUR,6005986,2023-06-20,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Biopharma, Biotechnology",Turbine's platform understands the inner mechanisms of cancer enabling the discovery of novel targets & precision medicinal therapies.,,"Budapest, Budapest, Hungary, Europe",http://turbine.ai/,$1M to $10M,34200000,EUR,36942408,,6,MassMutual Ventures,MassMutual Ventures,1,1,"119,757"
Seed Round - Eyebot,https://www.crunchbase.com/funding_round/eyebot-seed--5f6ec3f6,Eyebot,https://www.crunchbase.com/organization/eyebot,Seed,6000000,USD,6000000,2024-06-06,Seed,,,,Yes,"Artificial Intelligence (AI), Computer Vision, Eyewear, Health Diagnostics, Robotics",Vision care at the touch of a button,,"Boston, Massachusetts, United States, North America",http://www.eyebot.co,$1M to $10M,9730000,USD,9730000,Seed,5,"AlleyCorp, Ubiquity Ventures","AlleyCorp, Baukunst, Humba Ventures, Ravelin Capital, Spacecadet Ventures, Ubiquity Ventures, Village Global",8,7,"1,592"
Initial Coin Offering - WienerAI,https://www.crunchbase.com/funding_round/wienerai-initial-coin-offering--3ff11de7,WienerAI,https://www.crunchbase.com/organization/wienerai,Initial Coin Offering,6000000,USD,6000000,2024-06-04,,,,,Yes,"Artificial Intelligence (AI), Trading Platform",WienerAI is the pinnacle of AI trading technology that combines meme culture with superior AI technology.,,,https://wienerdog.ai/en,,6000000,USD,6000000,,1,,,,,"4,053"
Seed Round - Piction Health,https://www.crunchbase.com/funding_round/lumindx-seed--6c12676b,Piction Health,https://www.crunchbase.com/organization/lumindx,Seed,6000000,USD,6000000,2024-01-16,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care, Medical, mHealth, Telehealth","Piction Health uses telehealth technology to provide dermatology services, focusing on accessible skin care solutions.","Women Founded, Women Led","Boston, Massachusetts, United States, North America",http://www.pictionhealth.com,Less than $1M,8377489,USD,8377489,Seed,4,Alumni Ventures,"Alumni Ventures, Headwater Ventures",1,2,"4,938"
Seed Round - FLock.io,https://www.crunchbase.com/funding_round/flock-io-seed--7fe40e6d,FLock.io,https://www.crunchbase.com/organization/flock-io,Seed,6000000,USD,6000000,2024-03-28,Seed,,,,Yes,"Artificial Intelligence (AI), Blockchain, Machine Learning, Web3",We build Federated Learning Blocks: A native Web3 Data Privacy solution for Artificial Intelligence,,"London, England, United Kingdom, Europe",https://flock.io,,8000000,USD,8000000,Seed,2,"Lightspeed Faction, Tagus Capital","Chao Wang, Digital Currency Group, Ian, Inception Capital, Ken Li, Kenzi Wang, Lightspeed Faction, Martin Köppelmann, OKX Ventures, Protein Capital, Sinhae Lee, Stefan George, Tagus Capital, Volt Capital",1,14,"5,842"
Seed Round - Sahara AI,https://www.crunchbase.com/funding_round/sahara-ai-seed--22795a71,Sahara AI,https://www.crunchbase.com/organization/sahara-ai,Seed,6000000,USD,6000000,2024-03-05,Seed,,,,Yes,"Artificial Intelligence (AI), Blockchain, Decentralized Finance (DeFi), Web3","Sahara AI is a decentralized AI network that enables freely and securely deploy autonomous AI with high-performance, privacy-first network.",,"Los Angeles, California, United States, North America",https://saharalabs.ai,,6000000,USD,6000000,Seed,1,"Alumni Ventures, Polychain","Alumni Ventures, Canonical Crypto, Coho Deeptech, dao5, Dispersion Capital, GeekCartel, Matrix, Nomad Capital, Polychain, Samsung NEXT, Samvardhana Motherson International, Sandeep Nailwal, Sequoia Capital, tangent",1,14,"6,313"
Seed Round - Cyvl.ai,https://www.crunchbase.com/funding_round/cyvl-ai-seed--a576582f,Cyvl.ai,https://www.crunchbase.com/organization/cyvl-ai,Seed,6000000,USD,6000000,2024-03-27,Seed,,,,Yes,"Artificial Intelligence (AI), Asset Management, Civil Engineering, GovTech",Cyvl develops an infrastructure technology platform that enables civil engineers and governments to manage physical infrastructure assets.,,"Somerville, Massachusetts, United States, North America",https://cyvl.ai/,$1M to $10M,9218536,USD,9218536,Seed,3,Companyon Ventures,"Aero X Ventures, Alumni Ventures, Argon Ventures, Companyon Ventures, Hub Angels Investment Group, LaunchCapital, LaunchPad Venture, MassVentures, RiverPark Ventures",1,9,"7,207"
Seed Round - Atlas,https://www.crunchbase.com/funding_round/atlas-6379-seed--cc865344,Atlas,https://www.crunchbase.com/organization/atlas-6379,Seed,6000000,USD,6000000,2023-11-14,Seed,,,,Yes,"3D Technology, Artificial Intelligence (AI)",Atlas builds cutting edge generative 3D AI technology to enable the creation of assets & virtual worlds.,,"Vienna, Wien, Austria, Europe",https://antinomy.ltd/,,10500000,USD,10500000,Seed,2,"6th Man Ventures, Collab+Currency","6th Man Ventures, Abel Mathew, Andreessen Horowitz, BlockBase Ventures, Collab+Currency, Contango Digital Assets, Flamingo DAO, Founders, Inc., Gaingels, Geoff Renaud, GFR Fund, Huasheng Capital, LandVault, Monaverse, Neon DAO, Neon Machine, New Renaissance Ventures, Slope Fund, Square Enix, Timmu Tõke, WAGMI Ventures",2,21,"7,661"
Series A - Monitaur,https://www.crunchbase.com/funding_round/monitaur-series-a--f0c9cb76,Monitaur,https://www.crunchbase.com/organization/monitaur,Series A,6000000,USD,6000000,2024-05-13,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Machine Learning, SaaS, Software","Monitaur is a software company that provides auditability, transparency, and governance for companies using machine learning software.",,"Duxbury, Massachusetts, United States, North America",https://www.monitaur.ai/,$1M to $10M,12655360,USD,12655360,Early Stage Venture,4,Cultivation Capital,"Cultivation Capital, Defy.vc, Rockmont Capital Partners, Studio VC, Techstars",2,5,"7,553"
Seed Round - HumanX,https://www.crunchbase.com/funding_round/humanx-f629-seed--b7f24022,HumanX,https://www.crunchbase.com/organization/humanx-f629,Seed,6000000,USD,6000000,2024-04-15,Seed,,,,Yes,"Artificial Intelligence (AI), Software",HumanX focuses on AI serves as a catalyst for enterprises.,,"Las Vegas, Nevada, United States, North America",https://www.humanx.co,,6000000,USD,6000000,Seed,1,Primary Venture Partners,"Andreessen Horowitz, Foundation Capital, FPV Ventures, Primary Venture Partners",1,4,"10,360"
Seed Round - Dexa AI,https://www.crunchbase.com/funding_round/dexa-ai-seed--3c53b427,Dexa AI,https://www.crunchbase.com/organization/dexa-ai,Seed,6000000,USD,6000000,2024-02-05,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Internet, Podcast, Search Engine",Where curiosity meets credibility.,,"New York, New York, United States, North America",https://dexa.ai,,6000000,USD,6000000,Seed,1,"Abstract Ventures, The General Partnership","Abstract Ventures, Casey Caruso, Guillermo Rauch, Maple VC, Terrence Rohan, The General Partnership",1,6,"10,595"
Series A - AI Arena,https://www.crunchbase.com/funding_round/ai-arena-series-a--ce8c79c6,AI Arena,https://www.crunchbase.com/organization/ai-arena,Series A,6000000,USD,6000000,2024-01-09,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Blockchain, Gaming, Software",AI Arena provides native gaming and train their NFT using artificial intelligence.,,"Toronto, Ontario, Canada, North America",https://aiarena.io,,11000000,USD,11000000,Early Stage Venture,2,Framework Ventures,"Framework Ventures, FunPlus, Moore Strategic Ventures, SevenX Ventures, Xterio",1,5,"11,242"
Seed Round - Hyperplane AI,https://www.crunchbase.com/funding_round/hyperplane-ai-seed--7521d961,Hyperplane AI,https://www.crunchbase.com/organization/hyperplane-ai,Seed,6000000,USD,6000000,2023-12-13,Seed,,,,Yes,"Artificial Intelligence (AI), Finance, Generative AI",Hyperplane AI is an enterprise-grade platform that helps to enhance productivity and efficiency of financial institutions.,,"Palo Alto, California, United States, North America",http://www.hyperplane.ai,,6000000,USD,6000000,M&A,2,Lachy Groom,"Atman Capital, Clocktower Technology Ventures, Crestone Venture Capital, Lachy Groom, Latitud, Liquid 2 Ventures, Norte Ventures, Soma Capital, SV Angel",,9,"11,724"
Pre Seed Round - Opencall.ai,https://www.crunchbase.com/funding_round/opencall-ai-pre-seed--e45a0108,Opencall.ai,https://www.crunchbase.com/organization/opencall-ai,Pre-Seed,6000000,USD,6000000,2024-02-27,Seed,,,,Yes,"Artificial Intelligence (AI), B2B, Software, Web Development",Opencall.ai provides AI call centers for any business.,,"San Francisco, California, United States, North America",https://opencall.ai,,6000000,USD,6000000,Seed,1,Y Combinator,"CoreNest, Y Combinator",2,2,"13,970"
Seed Round - Loop AI - Delivery Intelligence Platform,https://www.crunchbase.com/funding_round/loop-delivery-intelligence-platform-seed--27c10169,Loop AI - Delivery Intelligence Platform,https://www.crunchbase.com/organization/loop-delivery-intelligence-platform,Seed,6000000,USD,6000000,2024-03-12,Seed,,,,Yes,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, SaaS",A co-pilot for modern food brands,,"San Francisco, California, United States, North America",https://tryloop.ai/,,6000000,USD,6000000,Seed,2,Base10 Partners,"Afore Capital, Base10 Partners, Nkechi Iregbulem",,3,"15,434"
Seed Round - Loop,https://www.crunchbase.com/funding_round/loop-44e6-seed--3a77ebb0,Loop,https://www.crunchbase.com/organization/loop-44e6,Seed,6000000,USD,6000000,2024-03-12,Seed,,,,Yes,"Artificial Intelligence (AI), Food and Beverage, Food Delivery, Information Technology, SaaS, Software",Loop is a pioneering SaaS solution focused in optimizing profitability and operational excellence for restaurants.,,"San Francisco, California, United States, North America",https://www.tryloop.ai/,,6000000,USD,6000000,Seed,2,Base10 Partners,"Afore Capital, Base10 Partners",1,2,"15,353"
Seed Round - CARPL.ai,https://www.crunchbase.com/funding_round/carpl-ai-seed--1570f538,CARPL.ai,https://www.crunchbase.com/organization/carpl-ai,Seed,6000000,USD,6000000,2024-02-01,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Medical","CARPL.ai is a discovery, exploration, validation, and deployment platform for medical imaging AI.",,"San Francisco, California, United States, North America",https://carpl.ai,$1M to $10M,6000000,USD,6000000,Seed,1,Stellaris Venture Partners,Stellaris Venture Partners,1,1,"16,644"
Series A - Gero,https://www.crunchbase.com/funding_round/gero-series-a--425256ac,Gero,https://www.crunchbase.com/organization/gero,Series A,6000000,USD,6000000,2023-10-18,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Biotechnology, Genetics, InsurTech, Pharmaceutical",Gero is a biotechnology company that provides therapeutics against chronic diseases.,,"Singapore, Central Region, Singapore, Asia",https://www.gero.ai,$1M to $10M,6000000,USD,6000000,Early Stage Venture,3,Melnichek Investments,"Leo Lozner, Melnichek Investments, VitaDAO",1,3,"23,186"
Seed Round - Paxton AI,https://www.crunchbase.com/funding_round/paxton-ai-seed--352d773d,Paxton AI,https://www.crunchbase.com/organization/paxton-ai,Seed,6000000,USD,6000000,2023-09-19,Seed,,,,Yes,"Artificial Intelligence (AI), Legal, Legal Tech","Paxton AI is a legal tech company that employs generative AI for precise, comprehensive regulatory insights.",,"Portland, Oregon, United States, North America",https://paxton.ai,$1M to $10M,6000000,USD,6000000,Seed,2,"25madison, Kyber Knight Capital, WVV Capital","25madison, AI Fund, Gaingels, identity.vc, Kyber Knight Capital, Plug and Play, R&R Ventures, Unusual Ventures, Voyager Capital, WVV Capital",8,10,"25,025"
Seed Round - Spiffy AI,https://www.crunchbase.com/funding_round/spiffy-ai-seed--39c1e71d,Spiffy AI,https://www.crunchbase.com/organization/spiffy-ai,Seed,6000000,USD,6000000,2023-12-04,Seed,,,,Yes,"Artificial Intelligence (AI), Software","Spiffy is working on Outcome-Oriented Models (OOMs), a new type of AI that improves over time toward a specific goal.",,"Seattle, Washington, United States, North America",https://www.spiffy.ai/,,6000000,USD,6000000,Seed,1,Point72 Ventures,"AI2 Incubator, Ascend, J4.Ventures, Point72 Ventures, Sorenson Ventures",1,5,"25,735"
