Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Supio,https://www.crunchbase.com/funding_round/supio-series-a--ab1237ef,Supio,https://www.crunchbase.com/organization/supio,Series A,25000000,USD,25000000,2024-08-27,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Marketing, Software Engineering",Supio is an accurate and dependable AI that assists attorneys in finding crucial information.,,"Seattle, Washington, United States, North America",https://www.supio.com/,,25000000,USD,25000000,Early Stage Venture,1,Sapphire Ventures,"Bonfire Ventures, Foothill Ventures, Sapphire Ventures",3,1,255
Series A - Rep AI,https://www.crunchbase.com/funding_round/voicefront-series-a--d35311da,Rep AI,https://www.crunchbase.com/organization/voicefront,Series A,8200000,USD,8200000,2024-08-27,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), E-Commerce, Machine Learning, Marketing, Sales, Software",Rep AI offers AI concierge that enhances the performance of eCommerce businesses by boosting traffic conversions and driving sales growth.,,"Middletown, Delaware, United States, North America",https://www.hellorep.ai,$1M to $10M,8200000,USD,8200000,Early Stage Venture,1,Osage Venture Partners,"Flashpoint, Oryzn Capital, Osage Venture Partners",3,3,256
Series A - Revefi,https://www.crunchbase.com/funding_round/revefi-series-a--11a69114,Revefi,https://www.crunchbase.com/organization/revefi,Series A,20000000,USD,20000000,2024-09-04,Early Stage Venture,,,,Yes,"Analytics, Artificial Intelligence (AI), Data Management, Enterprise Software, Generative AI",Revefi is an AI data engineering company that uses generative AI and automation to help customers maximize ROI from data warehouse tools.,,"Redmond, Washington, United States, North America",https://www.revefi.com,$1M to $10M,30500000,USD,30500000,Early Stage Venture,2,Icon Ventures,"GTM Capital, Icon Ventures, Mayfield Fund, StepStone Group",4,2,281
Series C - Wayve,https://www.crunchbase.com/funding_round/wayve-9739-series-c--db88a9c0,Wayve,https://www.crunchbase.com/organization/wayve-9739,Series C,,,,2024-08-29,Late Stage Venture,,,,Yes,"Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Machine Learning","Wayve develops Embodied AI technology for autonomous driving, focusing on vehicle navigation and control.",,"London, England, United Kingdom, Europe",https://wayve.ai,$1M to $10M,1257298451,USD,1257298451,Late Stage Venture,8,Uber,Uber,1,,286
Seed Round - just words,https://www.crunchbase.com/funding_round/just-words-seed--a350dafe,just words,https://www.crunchbase.com/organization/just-words,Seed,1700000,USD,1700000,2024-08-27,Seed,,,,Yes,"Artificial Intelligence (AI), Personalization, Software",Just words is a software company that makes it simple to create self-optimized content variations for emails and advertisements.,Women Founded,"San Francisco, California, United States, North America",https://justwords.ai,,2200000,USD,2200000,Seed,2,"Peak XV Partners, Y Combinator","Cloud Capital, Peak XV Partners, Y Combinator",3,,288
Series C - Miko,https://www.crunchbase.com/funding_round/emotix-series-c--ff945ec5,Miko,https://www.crunchbase.com/organization/emotix,Series C,205500000,INR,2449481,2024-08-29,Late Stage Venture,16904500000,INR,201495103,Yes,"Artificial Intelligence (AI), Consumer Electronics, EdTech, Robotics",Miko is a consumer robotics lab that develops artificial intelligence robots to educate and entertain children.,,"Mumbai, Maharashtra, India, Asia",https://www.miko.ai,$1M to $10M,64871088,USD,64871088,Late Stage Venture,8,Moneycrew Fintech,"Amit Jain, Amrapali B Doshi, Inderjeet kaur Arora, Moneycrew Fintech, Sanjiv Sarita, Satyam Sinha",6,,304
Seed Round - Root Signals,https://www.crunchbase.com/funding_round/root-signals-seed--eefcf6cf,Root Signals,https://www.crunchbase.com/organization/root-signals,Seed,2800000,USD,2800000,2024-09-04,Seed,,,,Yes,"E-Commerce, Generative AI, Telecommunications","Root Signals control platform, teams deliver reliable, measurable and auditable LLM automations at scale.",,"Helsinki, Southern Finland, Finland, Europe",https://www.rootsignals.ai/,,2800000,USD,2800000,Seed,1,Angular Ventures,"Angular Ventures, Business Finland",2,1,340
Seed Round - Vybe,https://www.crunchbase.com/funding_round/vybe-1569-seed--b3f96448,Vybe,https://www.crunchbase.com/organization/vybe-1569,Seed,4750000,USD,4750000,2024-08-28,Seed,,,,Yes,"Apps, Artificial Intelligence (AI), Information Technology, Media and Entertainment, Social Media",Vybe is an AI-generated photos social media app provider.,,"New York, New York, United States, North America",https://thevybeapp.com,,4750000,USD,4750000,Seed,1,Stellation Capital,"Ali Partovi, Blueprint For The Culture, Coalition Operators, Kelvin Beachum Jr., Kevin Weil, Neo, Scribble Ventures, Stellar Capital, Stellation Capital",9,1,405
Seed Round - Blitzy,https://www.crunchbase.com/funding_round/blitzy-seed--a571a3b7,Blitzy,https://www.crunchbase.com/organization/blitzy,Seed,4400000,USD,4400000,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), Software",Blitzy is a Generative AI software platform that aims to automate custom software development.,,"Boston, Massachusetts, United States, North America",https://blitzy.com/,,4400000,USD,4400000,Seed,1,,"Asymmetric, Bessemer Venture Partners, Flybridge, Link Ventures, NFX, Picus Capital",6,,447
Pre Seed Round - Skillvue,https://www.crunchbase.com/funding_round/algo-ai-s-r-l-pre-seed--baab59d9,Skillvue,https://www.crunchbase.com/organization/algo-ai-s-r-l,Pre-Seed,2500000,EUR,2763888,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Software",Skillvue is based on behavioral event interviews widely used by HR professionals to assess candidate’s skills.,,"Milan, Lombardia, Italy, Europe",https://www.skillvue.ai,,3331888,USD,3331888,Seed,2,"14Peaks Capital, Italian Founders Fund","14Peaks Capital, Italian Founders Fund, Ithaca 3, K Fund, Orbita Verticale",5,2,449
Pre Seed Round - Steerlab,https://www.crunchbase.com/funding_round/steerlab-pre-seed--33736037,Steerlab,https://www.crunchbase.com/organization/steerlab,Pre-Seed,1900000,USD,1900000,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), B2B, Enterprise Software, Real Time","Steerlab is an AI-first solution that automates your responses to RFPs, elevates quality, and delivers insights on how to win.",,"Paris, Ile-de-France, France, Europe",https://steerlab.ai,,1900000,USD,1900000,Seed,1,Dreamcraft Ventures,"Dreamcraft Ventures, HEARTFELT, Lumière AI Ventures, STATION F",4,1,544
Seed Round - ChampionHQ,https://www.crunchbase.com/funding_round/championhq-seed--a9aad071,ChampionHQ,https://www.crunchbase.com/organization/championhq,Seed,3300000,USD,3300000,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), Information Services, Marketing",ChampionHQ operates as a customer marketing platform.,,"Indianapolis, Indiana, United States, North America",https://www.championhq.com/,,3300000,USD,3300000,Seed,1,Flyover Capital,"Bread and Butter Ventures, Flyover Capital, High Alpha, Stage 2 Capital",4,2,545
Seed Round - IdentifAI,https://www.crunchbase.com/funding_round/identifai-693b-seed--d15f93ea,IdentifAI,https://www.crunchbase.com/organization/identifai-693b,Seed,2200000,EUR,2435202,2024-09-02,Seed,,,,Yes,"Artificial Intelligence (AI), Machine Learning",IdentifAI specializes in designing and training (de)generative models for detecting content.,,"Cesena, Emilia-Romagna, Italy, Europe",https://identifai.net/,,2200000,EUR,2435202,Seed,1,United Ventures,"Edoardo Alessandri, Matteo Fago, Umberto Paolucci, United Ventures",4,1,563
Seed Round - Monda,https://www.crunchbase.com/funding_round/monda-seed--477c3087,Monda,https://www.crunchbase.com/organization/monda,Seed,5000000,USD,5000000,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), B2B, Data Management, Information Services, SaaS, Software",The all-in-one data monetization platform.,,"Dover, Delaware, United States, North America",https://www.monda.ai,,5000000,USD,5000000,Seed,1,"Acrobator Ventures | Acrobator.vc, Senovo","Acrobator Ventures | Acrobator.vc, Senovo, Techstars",3,1,596
Seed Round - Holiday Robotics,https://www.crunchbase.com/funding_round/holiday-robotics-seed--05021057,Holiday Robotics,https://www.crunchbase.com/organization/holiday-robotics,Seed,17500000000,KRW,13143970,2024-08-27,Seed,,,,Yes,"Artificial Intelligence (AI), Intelligent Systems, Robotics",Holiday Robotics is a robotics company that specializes in the development and commercialization of humanoid robots.,,"Gangneung, Kangwon-do, South Korea, Asia",https://holiday-robotics.com,,17500000000,KRW,13143970,Seed,1,Stone Bridge Ventures,"Atinum Partners, InterVest Co., Spring Camp, Stone Bridge Ventures, ZER01NE",5,1,632
Series A - Opus Clip,https://www.crunchbase.com/funding_round/opus-clip-series-a--05aab678,Opus Clip,https://www.crunchbase.com/organization/opus-clip,Series A,30000000,USD,30000000,2024-08-28,Early Stage Venture,,,,Yes,"Artificial Intelligence (AI), Generative AI, Information Technology, Software, Video Editing",Opus Clip is a software company that provides generative AI video editing tools.,,"Redwood City, California, United States, North America",https://www.opus.pro,,30000000,USD,30000000,Early Stage Venture,2,Millennium New Horizons,"DCM Ventures, GTMfund, Millennium New Horizons, Samsung NEXT",4,,643
Series D - Ceres AI,https://www.crunchbase.com/funding_round/ceres-imaging-series-d--62c698a3,Ceres AI,https://www.crunchbase.com/organization/ceres-imaging,Series D,,,,2024-09-04,Late Stage Venture,,,,Yes,"Agriculture, AgTech, Analytics, Artificial Intelligence (AI), Machine Learning, SaaS, Software","Ceres AI is a data analytics platform designed for agriculture, assisting growers, lenders, and insurers in minimizing farming risks.",,"Oakland, California, United States, North America",https://ceres.ai,$10M to $50M,83836385,USD,83836385,Late Stage Venture,8,REMUS Capital,REMUS Capital,1,1,688
Seed Round - Startup House Riga,https://www.crunchbase.com/funding_round/startup-house-riga-seed--cbce0c47,Startup House Riga,https://www.crunchbase.com/organization/startup-house-riga,Seed,,,,2024-08-29,Seed,,,,Yes,"Artificial Intelligence (AI), IT Management","Startup House is a community that unites entrepreneurs, investors, and other stakeholders, rather than merely a physical location.",,"Riga, Riga, Latvia, Europe",https://www.startuphouse.lv/,,,,,Seed,1,LIVE RīGA,LIVE RīGA,1,,712
Pre Seed Round - Placy,https://www.crunchbase.com/funding_round/placy-23dc-pre-seed--7900693e,Placy,https://www.crunchbase.com/organization/placy-23dc,Pre-Seed,1000000,EUR,1105555,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Lead Generation, Machine Learning, PropTech, Real Estate Brokerage",AI Real Estate Assistant and a Platform where AI Assistants team up with Real Estate Professionals,,"Limassol, Limassol, Cyprus, Europe",https://placy.ai,,1250000,EUR,1375666,Seed,2,Zubr Capital,Zubr Capital,1,1,733
