Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Industries,Organization Description,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Voy Finance,https://www.crunchbase.com/funding_round/voy-finance-seed--a0c1d16c,Voy Finance,https://www.crunchbase.com/organization/voy-finance,Seed,,,,2024-08-31,Seed,10000000,USD,10000000,Yes,"Artificial Intelligence (AI), Finance, Financial Services, Information Technology",Voy Finance - RWA protocol debt & asset tokenisation & fast securitised liquidity unlocking fractional secondary markets,,"Tallinn, Harjumaa, Estonia, Europe",https://voy.finance,,1400000,USD,1400000,Seed,2,,,,,"65,714"
Seed Round - AIFlow,https://www.crunchbase.com/funding_round/aiflow-19c7-seed--4d5ddd25,AIFlow,https://www.crunchbase.com/organization/aiflow-19c7,Seed,,,,2024-09-01,Seed,,,,Yes,"Artificial Intelligence (AI), Software","AIFlow automates business tasks across nearly every field, significantly reducing costs and greatly improving profitability.",,"Piove Di Sacco, Veneto, Italy, Europe",https://www.aiflow.ml,,,,,Seed,1,,,,,"65,698"
Seed Round - Fortuna Media Group,https://www.crunchbase.com/funding_round/fortuna-media-group-406c-seed--dde1aa3e,Fortuna Media Group,https://www.crunchbase.com/organization/fortuna-media-group-406c,Seed,500000,USD,500000,2024-08-30,Seed,,,,Yes,"Artificial Intelligence (AI), E-Commerce, Financial Services, Information Technology, Marketing, Social Media, Social Media Management, Social Network, Social News, Web Development",eCommerce • Social Media • Sports,,"Seattle, Washington, United States, North America",https://www.fortunamediagroup.com,Less than $1M,1020000,USD,1020000,Seed,8,,,,,"65,891"
Grant - ThirdCognition,https://www.crunchbase.com/funding_round/thirdcognition-grant--f08ddf9d,ThirdCognition,https://www.crunchbase.com/organization/thirdcognition,Grant,60000,EUR,67063,2024-08-28,,,,,No,"Artificial Intelligence (AI), Employment, Staffing Agency",B2B SaaS - AI-powered Onboarding and Continuous Learning,,"Helsinki, Southern Finland, Finland, Europe",https://thirdcognition.com/,,210000,EUR,228789,Seed,2,,,,,"66,200"
Seed Round - Provenioai,https://www.crunchbase.com/funding_round/provenioai-seed--14c1909e,Provenioai,https://www.crunchbase.com/organization/provenioai,Seed,,,,2024-09-26,Seed,15000000,AUD,10180984,Yes,"Artificial Intelligence (AI), Logistics, Machine Learning, Supply Chain Management",Provenioai is an AI-powered platform that simplifies the way of doing business and increases productivity.,,"Sydney, New South Wales, Australia, Oceania",https://provenio.ai/,Less than $1M,,,,Seed,1,,,,,"66,365"
Seed Round - iXiOO.com,https://www.crunchbase.com/funding_round/ixioo-com-seed--01af1df3,iXiOO.com,https://www.crunchbase.com/organization/ixioo-com,Seed,,,,2024-09-01,Seed,6560000,USD,6560000,Yes,"Artificial Intelligence (AI), Generative AI, SaaS, Software","iXiOO is a Swiss AI platform that streamlines work by automating tasks, boosting efficiency, and simplifying complex processes.",,"Lausanne, Vaud, Switzerland, Europe",https://ixioo.com/,,,,,Seed,1,,,,,"67,153"
Pre Seed Round - Cognitivo,https://www.crunchbase.com/funding_round/cognitivo-7cf2-pre-seed--508c60ae,Cognitivo,https://www.crunchbase.com/organization/cognitivo-7cf2,Pre-Seed,,,,2024-09-01,Seed,,,,Yes,"Artificial Intelligence (AI), Big Data, Consulting, Machine Learning, Software",Cognitivo's AI Factory is the UI of AI,,"Sydney, New South Wales, Australia, Oceania",http://www.cognitivo.com.au,,,,,Seed,1,,,,,"69,268"
Series A - RAI,https://www.crunchbase.com/funding_round/rai-inc-florida-series-a--9ccc34ed,RAI,https://www.crunchbase.com/organization/rai-inc-florida,Series A,,,,2024-08-29,Early Stage Venture,50000000,USD,50000000,Yes,"Augmented Reality, Blockchain, Cloud Computing, Computer Vision, Generative AI, Information Technology, Machine Learning, Metaverse, Natural Language Processing, Virtual Reality","RAI is a mixed reality, generative AI, metaverse, multiverse software solutions, platforms, and services provider.",,"Orlando, Florida, United States, North America",https://www.rai-inc.com,,9500000,USD,9500000,Early Stage Venture,4,Del Morgan & Co,Del Morgan & Co,1,,"102,312"
Seed Round - Galaxies,https://www.crunchbase.com/funding_round/galaxies-gaming-seed--4689534c,Galaxies,https://www.crunchbase.com/organization/galaxies-gaming,Seed,,,,2024-10-01,Seed,,,,Yes,"Artificial Intelligence (AI), Big Data, Consumer Research, Software","Synthetic Personas, AI-powered fictional profiles based in real behavior data for fast and scalable customer insights.",,"São Paulo, Sao Paulo, Brazil, South America",https://www.galaxies.gg/,,800000,USD,800000,Seed,2,,,,,"115,830"
Pre Seed Round - DevisionX,https://www.crunchbase.com/funding_round/devisionx-pre-seed--d58951ff,DevisionX,https://www.crunchbase.com/organization/devisionx,Pre-Seed,25000,EUR,27653,2024-08-30,Seed,,,,Yes,"Artificial Intelligence (AI), Computer Vision, Machine Learning","Simplify your AI Computer Vision journey with Tuba.AI, the one-stop platform to build AI Vision applications seamlessly",,"London, England, United Kingdom, Europe",https://devisionx.com,Less than $1M,25000,EUR,27653,Seed,2,,,,,"458,040"
Seed Round - Xamun,https://www.crunchbase.com/funding_round/xamun-seed--81711e94,Xamun,https://www.crunchbase.com/organization/xamun,Seed,,,,2024-09-01,Seed,,,,Yes,"Artificial Intelligence (AI), Developer Platform, Developer Tools, Machine Learning, SaaS, Software, Software Engineering",Automated software development platform powered by AI to launch your mobile or web apps 10X faster.,,"London, England, United Kingdom, Europe",http://www.xamun.ai,$1M to $10M,,,,Seed,1,,,,,"478,209"
Seed Round - UniFox,https://www.crunchbase.com/funding_round/unifox-seed--230c7a09,UniFox,https://www.crunchbase.com/organization/unifox,Seed,,,,2024-09-03,Seed,4000000,USD,4000000,Yes,"Artificial Intelligence (AI), Bitcoin, Cryptocurrency, Decentralized Finance (DeFi), Ethereum, Finance, FinTech, GreenTech, Sharing Economy, Web3",UniFox is a sustainable investment ecosystem and trading platform powered by a sustainable AI.,,"Bordeaux, Aquitaine, France, Europe",http://unifox.ai,,27000,EUR,29422,Seed,3,,,,,"346,735"
Seed Round - Artorias,https://www.crunchbase.com/funding_round/artorias-seed--027ea7dc,Artorias,https://www.crunchbase.com/organization/artorias,Seed,,,,2024-09-04,Seed,5000000,USD,5000000,Yes,Artificial Intelligence (AI),Artorias blend advanced open-source intelligence with cutting-edge technology to protect and secure our client's physical world.,,"Cambridge, Massachusetts, United States, North America",https://artorias.com,,,,,Seed,1,,,,,
Seed Round - Silicon Everything,https://www.crunchbase.com/funding_round/silicon-everything-seed--05c5156c,Silicon Everything,https://www.crunchbase.com/organization/silicon-everything,Seed,,,,2024-09-04,Seed,,,,Yes,"Apps, Artificial Intelligence (AI), Generative AI",Silicon Everything is an artificial intelligence company that specializes in building AI Agent applications.,,"Shenzhen, Guangdong, China, Asia",,,,,,Seed,1,,,,,
Venture Round - Uviquity,https://www.crunchbase.com/funding_round/uviquity-series-unknown--18375d06,Uviquity,https://www.crunchbase.com/organization/uviquity,Venture - Series Unknown,6674620,USD,6674620,2024-09-05,,,,,Yes,"Artificial Intelligence (AI), Cyber Security, SaaS",Uviquity is a firm that wants to encourage safety for their clients.,,"Raleigh, North Carolina, United States, North America",https://uviquity.ai,,6674620,USD,6674620,,1,,,,,
Seed Round - Livetoon,https://www.crunchbase.com/funding_round/livetoon-seed--2d7252a4,Livetoon,https://www.crunchbase.com/organization/livetoon,Seed,50000000,JPY,341985,2024-08-30,Seed,,,,Yes,"Artificial Intelligence (AI), Information Technology, Media and Entertainment",Livetoon creates intellectual property characters to access various content,,"Tokyo, Tokyo, Japan, Asia",,,60000000,JPY,406452,Seed,2,,"ANOBAKA, Mitsubishi UFJ Capital, STPR Co",3,,
Venture Round - OpenCity,https://www.crunchbase.com/funding_round/opencity-inc-series-unknown--42906485,OpenCity,https://www.crunchbase.com/organization/opencity-inc,Venture - Series Unknown,5592266,USD,5592266,2024-09-05,,,,,Yes,"Artificial Intelligence (AI), Hospitality, Messaging, Restaurants",OpenCity is an AI platform for automating restaurant drive-thru order taking.,,"Boston, Massachusetts, United States, North America",https://www.opencity.co/,Less than $1M,16464307,USD,16464307,,5,,,,,
Funding Round - Sorsera,https://www.crunchbase.com/funding_round/sorsera-undisclosed--4946811f,Sorsera,https://www.crunchbase.com/organization/sorsera,Funding Round,1270000,EUR,1402861,2024-09-04,,,,,Yes,"Artificial Intelligence (AI), Collaboration, Procurement","Sorsera provides enhanced intelligence and collaboration capabilities to suppliers & buyers, involved in the procurement process.",,"Marupe, Rigas, Latvia, Europe",https://www.sorsera.com/,,1270000,EUR,1402861,,1,,,,,
Corporate Round - Seez ApS,https://www.crunchbase.com/funding_round/seez-corporate-round--a1dce6b6,Seez ApS,https://www.crunchbase.com/organization/seez,Corporate Round,4200000,USD,4200000,2024-09-04,,,,,Yes,"Artificial Intelligence (AI), Automotive, E-Commerce, Machine Learning, Search Engine",Seez is a full online buying platform for dealers to sell their cars fully online.,,"Copenhagen, Hovedstaden, Denmark, Europe",https://www.seez.co/,$1M to $10M,18000000,USD,18000000,,6,Pinewood Technologies PLC,Pinewood Technologies PLC,1,,
Venture Round - Nayya,https://www.crunchbase.com/funding_round/nayya-series-unknown--b170bfc4,Nayya,https://www.crunchbase.com/organization/nayya,Venture - Series Unknown,,,,2024-09-05,,,,,Yes,"Artificial Intelligence (AI), Employee Benefits, Finance, Health Insurance, InsurTech, Software","Nayya is a benefits experience platform that provides decision support and guidance during enrollment, and new employee onboarding.",,"New York, New York, United States, North America",http://www.nayya.com,$10M to $50M,105700000,USD,105700000,,7,Workday Ventures,Workday Ventures,1,1,
Grant - Dealerverse,https://www.crunchbase.com/funding_round/dealerverse-grant--c0b0334f,Dealerverse,https://www.crunchbase.com/organization/dealerverse,Grant,25000,USD,25000,2024-09-04,,,,,No,"Advertising, Artificial Intelligence (AI), Digital Marketing, Marketing, SaaS","Dealerverse is a single Al-driven, precision decision-making platform.",,"Greenville, South Carolina, United States, North America",https://dealerverse.com,,25000,USD,25000,,2,South Carolina Research Authority,South Carolina Research Authority,1,,
Venture Round - Zhipu AI,https://www.crunchbase.com/funding_round/zhipu-ai-series-unknown--c0fe596b,Zhipu AI,https://www.crunchbase.com/organization/zhipu-ai,Venture - Series Unknown,,,,2024-09-05,,20000000000,CNY,2819840397,Yes,"Artificial Intelligence (AI), Data Integration, Machine Learning, Software",Zhipu AI is a data and knowledge two wheel drive artificial intelligence company.,,"Haidian, Beijing, China, Asia",https://www.zhipuai.cn,,400000000,USD,400000000,,7,Zhongguancun Science City Science,"Alibaba Group, GL Ventures LLC, Legend Capital, Meituan, Qiming Venture Partners, Tencent, Zhongguancun Science City Science",7,,
Corporate Round - Gideon,https://www.crunchbase.com/funding_round/GideonRobotics-corporate-round--c499f5ba,Gideon,https://www.crunchbase.com/organization/GideonRobotics,Corporate Round,,,,2024-09-05,,,,,Yes,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Internet of Things, Machine Learning, Mobile Apps, Robotics, Smart Building, Smart Home, Software",Gideon Brothers solves industrial problems with autonomous mobile robots powered by AI & Visual Perception.,,"Zagreb, Grad Zagreb, Croatia, Europe",http://www.gideon.ai,$1M to $10M,42311327,USD,42311327,,12,Toyota Industries Corp,Toyota Industries Corp,1,,
Seed Round - Paradigm,https://www.crunchbase.com/funding_round/paradigm-6409-seed--c7f31e58,Paradigm,https://www.crunchbase.com/organization/paradigm-6409,Seed,2000000,USD,2000000,2024-09-04,Seed,,,,Yes,"Artificial Intelligence (AI), Productivity Tools, Software","Paradigm is a tool-driven AI platform that integrates with existing tools and workflows to automate tasks in sales, recruiting, and data.",Women Founded,"San Francisco, California, United States, North America",https://www.paradigmai.com/,,2500000,USD,2500000,Seed,2,,"Arash Ferdowsi, Eoghan McCabe, Harrison Chase, Jordan Singer, Pioneer Fund, Soma Capital, Y Combinator",7,1,
Debt Financing - Climax Foods,https://www.crunchbase.com/funding_round/climax-foods-debt-financing--d188ac20,Climax Foods,https://www.crunchbase.com/organization/climax-foods,Debt Financing,,,,2024-09-04,,,,,No,"Biotechnology, Food and Beverage, Food Processing, Machine Learning, Sustainability",Climax Foods creates plant-based ingredients and products using data-driven technology and culinary expertise.,,"Berkeley, California, United States, North America",https://climax.bio,$1M to $10M,26600000,USD,26600000,Seed,6,,,,,
Angel Round - Huaqing Weiyang,https://www.crunchbase.com/funding_round/huaqing-weiyang-angel--dc7ade52,Huaqing Weiyang,https://www.crunchbase.com/organization/huaqing-weiyang,Angel,,,,2024-09-03,Seed,,,,Yes,"Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Software",Huaqing Weiyang is a large-scale machine language model platform that provides intelligent solutions for software function development.,,"Haidian, Beijing, China, Asia",https://huaqing.org.cn,,,,,Seed,1,,,,,
Seed Round - Kokuai,https://www.crunchbase.com/funding_round/kokuai-seed--dc8fd142,Kokuai,https://www.crunchbase.com/organization/kokuai,Seed,260000,EUR,287200,2024-09-04,Seed,,,,Yes,"Artificial Intelligence (AI), Health Care, Software",Kokuai is an AI-powered platform that helps healthcare centers maximize revenue and improve client engagement.,,"Barcelona, Catalonia, Spain, Europe",https://kokuai.com,,260000,EUR,287200,Seed,1,Blast Spain,"Blast Spain, Elisabeth Martinez Guardiola, Oriol Vila",3,1,
Seed Round - Onda Fashion,https://www.crunchbase.com/funding_round/onda-fashion-seed--e8cd891a,Onda Fashion,https://www.crunchbase.com/organization/onda-fashion,Seed,,,,2024-08-30,Seed,,,,Yes,"Artificial Intelligence (AI), Fashion, Fraud Detection",Quaza is a company that develops a solution using artificial intelligence (AI) to swiftly and accurately detect counterfeit luxury items.,,"Anyang, Kyonggi-do, South Korea, Asia",http://ondafashion.co.kr,,,,,Seed,1,"Incheon Center for Creative Economy and Innovation, Newborn Ventures","Incheon Center for Creative Economy and Innovation, Newborn Ventures",2,2,
