Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Pitstop,https://www.crunchbase.com/funding_round/pitstop-pre-seed--5cdf3fc6,Pitstop,https://www.crunchbase.com/organization/pitstop,Pre-Seed,750000,CAD,575809,2016-07-08,Seed,,,,Yes,PitStop is a platform that aggregates data and uses machine learning to perform predictive maintenance for vehicles. ,,"Analytics, Artificial Intelligence (AI), Automotive, Big Data, Machine Learning","Toronto, Ontario, Canada, North America",https://pitstopconnect.com/,$50M to $100M,5604248,USD,5604248,Seed,7,,"BDC Venture Capital, Extreme Venture Partners, MaRS Investment Accelerator Fund, Ontario Centres of Excellence, Techstars, Verizon Ventures",6,1,"85,179"
Seed Round - Validere,https://www.crunchbase.com/funding_round/validere-technologies-seed--dd87ce4a,Validere,https://www.crunchbase.com/organization/validere-technologies,Seed,1000000,USD,1000000,2016-04-11,Seed,,,,Yes,Validere is on a mission to better human prosperity by making the energy supply chain efficient and sustainable.,,"Artificial Intelligence (AI), Energy, Internet of Things, Oil and Gas, Software","Calgary, Alberta, Canada, North America",http://validere.com/,Less than $1M,69261264,USD,69261264,Early Stage Venture,9,,"BDC Venture Capital, Dennis Bennie, George Whitesides, Lisa Shields, Shahram Tafazoli, T. Chen Fong, Y Combinator",7,1,"84,785"
Angel Round - ACTO,https://www.crunchbase.com/funding_round/ACTO-angel--6b75d769,ACTO,https://www.crunchbase.com/organization/ACTO,Angel,500000,USD,500000,2016-01-01,Seed,,,,Yes,ACTO is an omnichannel education platform for life sciences companies.,,"Business Intelligence, Education, Health Care, Life Science, Machine Learning, Predictive Analytics, SaaS","Toronto, Ontario, Canada, North America",https://acto.com,$10M to $50M,32100000,USD,32100000,Early Stage Venture,7,,China Canada Angel Alliance,1,,"85,599"
Series A - DeepSearch,https://www.crunchbase.com/funding_round/deepsearch-28b1-series-a--7d449085,DeepSearch,https://www.crunchbase.com/organization/deepsearch-28b1,Series A,1500000000,KRW,1314183,2016-11-01,Early Stage Venture,,,,Yes,"DeepSearch offers a vast financial, corporate, and industrial data and data analysis engine.",,"Analytics, Artificial Intelligence (AI), Big Data, Financial Services, FinTech, Information Services, Real Time, Robotics, Search Engine, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.deepsearch.com/,$1M to $10M,7500000000,KRW,6722401,Late Stage Venture,3,Stonebridge Capital,Stonebridge Capital,1,,"88,722"
Pre Seed Round - ForwardLane,https://www.crunchbase.com/funding_round/forwardlane-pre-seed--12b0ec0e,ForwardLane,https://www.crunchbase.com/organization/forwardlane,Pre-Seed,575000,USD,575000,2016-01-30,Seed,7000000,USD,7000000,Yes,ForwardLane is the essential insights platform used by financial professionals for personalized conversations,,"Artificial Intelligence (AI), Asset Management, Finance, Financial Services, FinTech, Machine Learning, Natural Language Processing, PaaS, Wealth Management","New York, New York, United States, North America",http://www.forwardlane.com,$1M to $10M,8125000,USD,8125000,Seed,7,,"Greg Williams, Partnership Fund for New York City, Techstars",3,1,"88,581"
Debt Financing - Knightscope,https://www.crunchbase.com/funding_round/knightscope-inc-debt-financing--4e9b7495,Knightscope,https://www.crunchbase.com/organization/knightscope-inc,Debt Financing,1100000,USD,1100000,2016-11-07,,,,,No,Knightscope specializes in developing autonomous security robots.,,"Artificial Intelligence (AI), Hardware, Predictive Analytics, Robotics, Security","Mountain View, California, United States, North America",http://www.knightscope.com,$10M to $50M,99965000,USD,99965000,IPO,24,Structure Capital,Structure Capital,1,,"88,643"
Grant - ​Brainminer Ltd,https://www.crunchbase.com/funding_round/brainminer-ltd-grant--ee30e61d,​Brainminer Ltd,https://www.crunchbase.com/organization/brainminer-ltd,Grant,914878,GBP,1328045,2016-06-03,,,,,No,​Brainminer Ltd has developed an automated system for analysing MR brain scans.,,"Health Care, Machine Learning, Medical Device, Software","London, England, United Kingdom, Europe",http://www.brainminer.co.uk,$1M to $10M,914878,GBP,1328045,Seed,2,SBRI Healthcare,SBRI Healthcare,1,,"92,646"
Seed Round - Quadrant,https://www.crunchbase.com/funding_round/quadrant-seed--8feef56d,Quadrant,https://www.crunchbase.com/organization/quadrant,Seed,471000,USD,471000,2016-07-10,Seed,,,,Yes,Quadrant provides an online platform that helps users to find charts and share economic data in a faster and more convenient way.,,"Artificial Intelligence (AI), Big Data, Blockchain, Compliance, Enterprise Applications, Geospatial, Information Technology, Location Based Services, Real Time, Software","Singapore, Central Region, Singapore, Asia",https://quadrant.io/,$1M to $10M,1716300,USD,1716300,M&A,6,Wavemaker Partners,Wavemaker Partners,1,1,"91,524"
Grant - NquiringMinds,https://www.crunchbase.com/funding_round/nquiringminds-grant--d7f57b69,NquiringMinds,https://www.crunchbase.com/organization/nquiringminds,Grant,183333,GBP,243342,2016-09-01,,,,,No,NquiringMinds data sharing and data analytics company,,"Analytics, Artificial Intelligence (AI), Internet of Things, Security","Southampton, Southampton, United Kingdom, Europe",http://nquiringminds.com/,Less than $1M,183333,GBP,243342,,1,SBRI Healthcare,SBRI Healthcare,1,,"91,832"
Venture Round - EdgeTheory,https://www.crunchbase.com/funding_round/edge-theory-series-unknown--b4edb7ba,EdgeTheory,https://www.crunchbase.com/organization/edge-theory,Venture - Series Unknown,900000,USD,900000,2016-01-27,,,,,Yes,Our tech combines human+ artificial intelligence to help organizations understand/participate in the conversations that shape their world.,,"Artificial Intelligence (AI), Content Creators, GovTech, Information Services, Machine Learning, Reputation, SaaS, Software","Oxford, Mississippi, United States, North America",https://edgetheory.com,Less than $1M,9075000,USD,9075000,,9,,,,,"94,044"
Seed Round - Vermeer,https://www.crunchbase.com/funding_round/vermeer-ff96-seed--eef51e91,Vermeer,https://www.crunchbase.com/organization/vermeer-ff96,Seed,1100000,USD,1100000,2016-08-01,Seed,,,,Yes,Vermeer is a mixed reality and AI-enabled visualization planning tool.,,"Aerospace, Artificial Intelligence (AI), Augmented Reality, B2B, Computer Vision, Drones, Software, Virtual Reality","New York, New York, United States, North America",https://getvermeer.com,$1M to $10M,2589127,USD,2589127,Seed,5,,"SeedInvest, Super Ventures",2,,"97,419"
Venture Round - AppThis,https://www.crunchbase.com/funding_round/appthis-series-unknown--fc14b61a,AppThis,https://www.crunchbase.com/organization/appthis,Venture - Series Unknown,1037259,USD,1037259,2016-05-11,,,,,Yes,AppThis is an international mobile ad tech company focused on the global app ecosystem.,,"Advertising, Advertising Platforms, Apps, Internet, Machine Learning, Mobile","Denver, Colorado, United States, North America",http://www.appthis.com,$10M to $50M,1837259,USD,1837259,,2,,Montage Capital,1,,"97,254"
Pre Seed Round - V-Count,https://www.crunchbase.com/funding_round/v-count-pre-seed--8f9679d6,V-Count,https://www.crunchbase.com/organization/v-count,Pre-Seed,1400000,USD,1400000,2016-07-16,Seed,,,,Yes,"V-Count is a AI powered visitor analytics solution that specializes in people counting, queue management, demographics, and zone analytics.",,"Analytics, Artificial Intelligence (AI), Information Technology, Software","London, England, United Kingdom, Europe",https://v-count.com,$10M to $50M,2600000,USD,2600000,Seed,2,Revo Capital,Revo Capital,1,,"98,579"
Seed Round - Loom.ai,https://www.crunchbase.com/funding_round/loomai-seed--14e46298,Loom.ai,https://www.crunchbase.com/organization/loomai,Seed,1350000,USD,1350000,2016-06-01,Seed,,,,Yes,"Loom.ai's technology combines deep learning, computer vision and VFX to transform a single selfie into a fully expressive 3D avatar.",,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Computer Vision, Machine Learning, Virtual Reality","San Francisco, California, United States, North America",https://www.loomai.com/,$1M to $10M,5850000,USD,5850000,M&A,4,,"Alex Adelman, Anorak Ventures, CSC Upshot, DHVC, Joe Kraus, Presence Capital, Y Combinator, Zach Coelius",8,2,"99,250"
Venture Round - Synthego,https://www.crunchbase.com/funding_round/stealthy-series-unknown--8bdb351f,Synthego,https://www.crunchbase.com/organization/stealthy,Venture - Series Unknown,1000000,CNY,150437,2016-08-19,,,,,Yes,Synthego is a genome engineering company that enables access to CRISPR to accelerate life science research and development.,,"Artificial Intelligence (AI), Biotechnology, Genetics, Industrial Automation, Innovation Management, Life Science, Machine Learning, Software","Redwood City, California, United States, North America",http://www.synthego.com,$10M to $50M,459694663,USD,459694663,Late Stage Venture,9,,"Open Field Capital, ZhenFund",2,,"103,867"
Pre Seed Round - Liner,https://www.crunchbase.com/funding_round/liner-inc-pre-seed--5f96a8dd,Liner,https://www.crunchbase.com/organization/liner-inc,Pre-Seed,121100,USD,121100,2016-05-09,Seed,,,,Yes,Liner is Asia’s first AI Agent that helps users accomplish more with less time and effort.,,"Apps, Artificial Intelligence (AI), Mobile Apps","San Francisco, California, United States, North America",https://getliner.com/,$1M to $10M,14728902,USD,14728902,Early Stage Venture,5,Magellan Technology Investment,Magellan Technology Investment,1,,"104,605"
Debt Financing - Verdigris Technologies,https://www.crunchbase.com/funding_round/verdigris-technologies-debt-financing--6b584cb2,Verdigris Technologies,https://www.crunchbase.com/organization/verdigris-technologies,Debt Financing,800000,USD,800000,2016-04-25,,,,,No,Verdigris Technologies is a SaaS-based platform that develops artificial intelligence in order to optimize energy consumption.,,"Artificial Intelligence (AI), Big Data, Energy, Internet of Things, SaaS","Moffett Field, California, United States, North America",http://www.verdigris.co,$1M to $10M,51532958,USD,51532958,,14,,,,,"110,119"
Pre Seed Round - Pathmind,https://www.crunchbase.com/funding_round/pathmind-pre-seed--4cc8d514,Pathmind,https://www.crunchbase.com/organization/pathmind,Pre-Seed,120000,USD,120000,2016-03-22,Seed,,,,Yes,Pathmind helps simulation modelers optimize industrial operations and supply chains with deep reinforcement learning.,,"Analytics, Artificial Intelligence (AI), Industrial Automation, Logistics, Machine Learning, Supply Chain Management","San Francisco, California, United States, North America",https://pathmind.com,$1M to $10M,17820000,USD,17820000,Early Stage Venture,7,,Y Combinator,1,,"114,274"
Venture Round - Cortical.io,https://www.crunchbase.com/funding_round/cept-systems-series-unknown--dc5a001a,Cortical.io,https://www.crunchbase.com/organization/cept-systems,Venture - Series Unknown,1200000,USD,1200000,2016-03-15,,18000000,USD,18000000,Yes,Cortical.io offers AI-based solutions for intelligent document processing leveraging a proprietary technology inspired by neuroscience.,,"Artificial Intelligence (AI), Big Data, Enterprise Software, Information Technology, InsurTech, Machine Learning, Natural Language Processing, Software","Vienna, Wien, Austria, Europe",https://www.cortical.io,$1M to $10M,21318717,USD,21318717,Early Stage Venture,7,,"Numenta, Open Field Capital, REVENTON",3,,"115,045"
Venture Round - Prolira makers of DeltaScan®,https://www.crunchbase.com/funding_round/prolira-bv-series-unknown--da95979e,Prolira makers of DeltaScan®,https://www.crunchbase.com/organization/prolira-bv,Venture - Series Unknown,1100000,EUR,1234014,2016-09-27,,,,,Yes,DeltaScan® Brain State Monitor is an EEG bedside device with a validated algorithm to support clinicians to optimize patient recovery.,,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Hospital, Medical, Medical Device, Neuroscience","Utrecht, Utrecht, The Netherlands, Europe",https://prolira.com/en/,$1M to $10M,6800000,EUR,7683058,,3,Holland Capital,"Health Innovation Fund, Holland Capital",2,,"115,542"
Seed Round - Mycroft,https://www.crunchbase.com/funding_round/mycroft-ai-inc-seed--a2d561e5,Mycroft,https://www.crunchbase.com/organization/mycroft-ai-inc,Seed,120000,USD,120000,2016-02-22,Seed,333333,USD,333333,Yes,Mycroft is a developer of an open source voice assistant platform designed to handle operating systems.,Women Founded,"Artificial Intelligence (AI), Consumer Electronics, Internet of Things, Machine Learning, Open Source, Software","Kansas City, Missouri, United States, North America",http://mycroft.ai,$1M to $10M,5089485,USD,5089485,,17,Techstars,"Haitao Capital, Sprint Accelerator, Techstars",3,1,"214,112"
