Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Investor Names,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Brieffy,https://www.crunchbase.com/funding_round/brieffy-pre-seed--7530b8bf,Brieffy,https://www.crunchbase.com/organization/brieffy,Pre-Seed,200000,USD,200000,2019-11-01,Seed,,,,Yes,To create a brilliant mind in every home in the world through the use of artificial intelligence (AI).,"Artificial Intelligence (AI), Business Intelligence, EdTech",,"Guadalajara, Jalisco, Mexico, North America",http://www.brieffy.com,$1M to $10M,1200000,USD,1200000,Seed,2,,,,,"395,742"
Non Equity Assistance - Jovian Technologies,https://www.crunchbase.com/funding_round/jovian-technologies-non-equity-assistance--0df29962,Jovian Technologies,https://www.crunchbase.com/organization/jovian-technologies,Non-equity Assistance,200000,USD,200000,2019-03-29,,,,,No,AI SaaS platform for Food & Beverage Competitive Intelligence & Consumer data Analytics,"Analytics, Artificial Intelligence (AI), Consumer Goods, Food and Beverage, Machine Learning, SaaS",,"Naperville, Illinois, United States, North America",https://www.jov.ai,$1M to $10M,1060000,USD,1060000,Seed,3,Plug and Play Food & Beverage,,1,,"447,500"
Seed Round - HiDok Inc.,https://www.crunchbase.com/funding_round/hidok-inc-seed--6667ce08,HiDok Inc.,https://www.crunchbase.com/organization/hidok-inc,Seed,200000,USD,200000,2019-08-08,Seed,,,,Yes,A platform that integrates EMR and lifestyle monitoring features with the goal of gamifying health awareness and incentivizing users.,"Health Care, Information Technology, Intelligent Systems, Mobile Apps, Software",,"Davao City, Davao City, Philippines, Asia",https://www.hidok.ph,,600000,USD,600000,Seed,2,,,,,"238,595"
Pre Seed Round - IPRally,https://www.crunchbase.com/funding_round/iprally-pre-seed--8ccaa938,IPRally,https://www.crunchbase.com/organization/iprally,Pre-Seed,200000,EUR,219450,2019-10-07,Seed,,,,Yes,IPRally serves technology corporations and IP service providers by providing the first AI that thinks like a patent professional.,"Artificial Intelligence (AI), Information Technology, Legal Tech, Software",,"Helsinki, Southern Finland, Finland, Europe",https://iprally.com,$1M to $10M,12350000,EUR,13630658,Early Stage Venture,4,Icebreaker.vc,Icebreaker.vc,1,1,"505,341"
Pre Seed Round - Clearbox AI,https://www.crunchbase.com/funding_round/clearbox-ai-solutions-pre-seed--135b6fe8,Clearbox AI,https://www.crunchbase.com/organization/clearbox-ai-solutions,Pre-Seed,185000,EUR,203841,2019-12-01,Seed,,,,Yes,Clearbox AI helps companies to unlock and enrich AI and Data projects through the generation of Synthetic Data.,"Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software",,"Turin, Piemonte, Italy, Europe",https://clearbox.ai,$1M to $10M,755000,EUR,849551,Seed,5,,,,,"547,400"
Seed Round - Akila Labs,https://www.crunchbase.com/funding_round/akila-labs-inc-seed--7577a46c,Akila Labs,https://www.crunchbase.com/organization/akila-labs-inc,Seed,205000,USD,205000,2019-11-07,Seed,10000000,USD,10000000,Yes,"Health as a Service, B2B, HealthTech, AI, Digital Health, Care Manangement","Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Software, Wellness",Women Founded,"New York, New York, United States, North America",https://akila.ai,$1M to $10M,375000,USD,375000,Seed,2,HealthInc,HealthInc,1,,"233,354"
Pre Seed Round - MOXIE IoT,https://www.crunchbase.com/funding_round/moxie-iot-pre-seed--96dbf785,MOXIE IoT,https://www.crunchbase.com/organization/moxie-iot,Pre-Seed,200000,USD,200000,2019-02-01,Seed,,,,Yes,App-centric Industrial IoT Solutions,"Data Visualization, Embedded Systems, Indoor Positioning, Industrial, Industrial Automation, Internet of Things, Predictive Analytics, Sensor, Software",,"Birmingham, Alabama, United States, North America",https://moxieiot.com/,Less than $1M,300000,USD,300000,M&A,2,DEFT,DEFT,1,,"330,526"
Pre Seed Round - AIQA Technologies,https://www.crunchbase.com/funding_round/aiqa-pre-seed--4527e4f5,AIQA Technologies,https://www.crunchbase.com/organization/aiqa,Pre-Seed,200000,USD,200000,2019-03-01,Seed,,,,Yes,AI powered QA. Testing tools & support to boost CI/CD workflow,"Artificial Intelligence (AI), Developer APIs, Developer Tools, Machine Learning, Quality Assurance, SaaS, Software",,"Warszawa, Mazowieckie, Poland, Europe",http://aiqa.tech,$1M to $10M,450000,USD,450000,Seed,2,,,,,"226,703"
Seed Round - AIDA Diagnostics,https://www.crunchbase.com/funding_round/aida-diagnostics-seed--d4f04522,AIDA Diagnostics,https://www.crunchbase.com/organization/aida-diagnostics,Seed,200000,USD,200000,2019-02-01,Seed,,,,Yes,AIDA Diagnostics is a software based on machine learning algorithms which optimizing blood transfusions in hospital.,"Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Software",,"Warsaw, Mazowieckie, Poland, Europe",https://aidadx.io/,$1M to $10M,200000,USD,200000,Seed,1,,,,,"626,770"
Grant - BRAINCITIES,https://www.crunchbase.com/funding_round/braincities-grant--75c8fd98,BRAINCITIES,https://www.crunchbase.com/organization/braincities,Grant,187000,EUR,207179,2019-08-01,,,,,No,Making private and public organisations smarter with human-supportive Artificial Intelligence.,"Analytics, Artificial Intelligence (AI), Data Mining, Knowledge Management, Machine Learning, Natural Language Processing, Predictive Analytics, Robotics, Software",,"Paris, Ile-de-France, France, Europe",http://www.braincities.co,Less than $1M,1660000,EUR,1871390,Private Equity,4,"European Commission, H2020-SME-Instrument program",,2,,"165,370"
Seed Round - BJTech,https://www.crunchbase.com/funding_round/bjtech-seed--319419c2,BJTech,https://www.crunchbase.com/organization/bjtech,Seed,200000,USD,200000,2019-01-07,Seed,4000000,USD,4000000,Yes,Artificial Intelligence conversation platform designed for SMEs and Businesses who want to enhance their customer care experience,"Apps, Artificial Intelligence (AI), B2B, Customer Service, Information Services, Information Technology, Marketing, Natural Language Processing, Virtual Assistant",,"Jakarta, Jakarta Raya, Indonesia, Asia",https://balesin.id/,Less than $1M,1400000,USD,1400000,Seed,2,"GDP Venture, Stellar Kapital",,2,1,"547,070"
Seed Round - Entelai,https://www.crunchbase.com/funding_round/entelai-seed--c40a4257,Entelai,https://www.crunchbase.com/organization/entelai,Seed,200000,USD,200000,2019-11-08,Seed,,,,Yes,Entelai provide AI-powered services to the healthcare industry.,"Artificial Intelligence (AI), Health Care, Hospital, Machine Learning",,"Buenos Aires, Distrito Federal, Argentina, South America",https://entelai.com/,,700000,USD,700000,Seed,2,,,,,"311,001"
Pre Seed Round - CerebraAI,https://www.crunchbase.com/funding_round/cerebra-ai-ltd-pre-seed--a5cc7c6d,CerebraAI,https://www.crunchbase.com/organization/cerebra-ai-ltd,Pre-Seed,200000,USD,200000,2019-08-01,Seed,,,,Yes,Cerebra AI helps in enhancing CT machine efficiency and maximize outcomes for neuroradiology and stroke patients.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Medical, Medical Device, Software",,"Almaty, Almaty City, Kazakhstan, Asia",https://www.cerebraai.ai/,$1M to $10M,7040000,USD,7040000,Seed,9,,,,,"214,159"
Angel Round - Lawhive,https://www.crunchbase.com/funding_round/lawhive-angel--21c583af,Lawhive,https://www.crunchbase.com/organization/lawhive,Angel,200000,USD,200000,2019-11-18,Seed,,,,Yes,Lawhive is on a mission to make legal help accessible to everyone.,"Artificial Intelligence (AI), Legal Tech, Marketplace",,"London, England, United Kingdom, Europe",https://lawhive.co.uk,$1M to $10M,14200000,USD,14200000,Seed,3,"Dtec Ventures, Propeller Inc.",,2,,"430,193"
Grant - scite,https://www.crunchbase.com/funding_round/scite-grant--d5e05877,scite,https://www.crunchbase.com/organization/scite,Grant,209000,USD,209000,2019-10-07,,,,,No,Scite combines natural language processing with a network of experts to evaluate the veracity of scientific work.,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning",,"Brooklyn, New York, United States, North America",https://scite.ai/,$1M to $10M,4214003,USD,4214003,M&A,5,,,,,"526,380"
