"id";"value";"share";"ctry"
"Ecole Centrale De Lyon";2;0,08;"FR"
"Ju Hehua";2;0,08;"CN"
"Arris Composites Inc";2;0,08;"US"
"Invent Medical Group Sro";2;0,08;"CZ"
"Basf Se";2;0,08;"DE"
"The Mathworks Inc";2;0,08;"US"
"Mitsubishi Hitachi Power Systems Ltd";2;0,08;"JP"
"Honeywell International Inc";2;0,08;"US"
"Sorbonne Universitã©";2;0,08;"FR"
"Commissariat Ã  L'ã‰Nergie Atomique Et Aux Ã‰Nergies Alternatives";2;0,08;"FR"
"Yokogawa Electric Corporation";2;0,08;"JP"
"Baker Hughes Holdings Llc";2;0,08;"US"
"Biomodex";2;0,08;"FR"
"Corning Incorporated";2;0,08;"US"
"China Institute Of Water Resources And Hydropower Research";2;0,08;"CN"
"Ace Vision Group Inc";2;0,08;"US"
"Baker Hughes A Ge Company Llc";2;0,08;"US"
"Korea Hydro & Nuclear Power Co Ltd";2;0,08;"KR"
"Intuitive Surgical Operations Inc";2;0,08;"US"
"Repsol Sa";2;0,08;"ES"
"Xinjiang Goldwind Science & Technology Co Ltd";2;0,08;"CN"
"Jsol Corporation";2;0,08;"JP"
"Kabushiki Kaisha Toshiba";2;0,08;"JP"
"Toshiba Digital Solutions Corporation";2;0,08;"JP"
"Thyssenkrupp Ag";2;0,08;"DE"
"King Abdullah University Of Science And Technology";2;0,08;"SA"
"Panasonic Intellectual Property Management Co Ltd";2;0,08;"JP"
"Abb Power Grids Switzerland Ag";2;0,08;"CH"
"Ansys Lumerical Ip Llc";2;0,08;"US"
"Nvidia Corporation";2;0,08;"US"
"The Climate Corporation";2;0,08;"US"
"Shell Internationale Research Maatschappij Bv";2;0,08;"NL"
"Advanced New Technologies Co Ltd";2;0,08;"KY"
"National Institute Of Advanced Industrial Science";2;0,08;"JP"
"The Institute Of Microelectronics Of Chinese Acade";2;0,08;"CN"
"Chiyoda Corporation";2;0,08;"JP"
"Raumdichter Gmbh";2;0,08;"DE"
"Thales";2;0,08;"FR"
"Marvell Asia Pte Ltd";2;0,08;"SG"
"Nanjing University";2;0,08;"CN"
"Showa Denko Materials Co Ltd";2;0,08;"JP"
"Universitã© De Bordeaux";2;0,08;"FR"
"Fondation Universite Bordeaux";2;0,08;"FR"
"Centre Hospitalier Universitaire De Bordeaux";2;0,08;"FR"
"Universiteit Gent";2;0,08;"BE"
"Fraunhofer-Gesellschaft Zur Fã¶Rderung Der Angewandten Forschung Ev";2;0,08;"DE"
"Socionext Inc";2;0,08;"JP"
"Nagravision Sa";2;0,08;"CH"
"Bar-Ilan University";2;0,08;"IL"
"Alphaics Corporation";2;0,08;"US"
"Cirrus Logic International Semiconductor Ltd";2;0,08;"UK"
"Hercules Microelectronics Co Ltd";2;0,08;"CN"
"President And Fellows Of Harvard College";2;0,08;"US"
"Yangtze Memory Technologies Co Ltd";2;0,08;"CN"
"Taiyo Yuden Co Ltd";2;0,08;"JP"
"Trl Co Ltd";2;0,08;"JP"
"Smit Group Limited";2;0,08;"CN"
"Kla Corporation";2;0,08;"US"
"Virtual Vehicle Research Gmbh";2;0,08;"AT"
"Efabless Corporation";2;0,08;"US"
"Bull Sas";2;0,08;"FR"
"Apple Inc";2;0,08;"US"
"Dongfang Jingyuan Electron Limited";2;0,08;"CN"
"Teradyne Inc";2;0,08;"US"
"Ambient Scientific Inc";2;0,08;"US"
"Safran Electronics & Defense";2;0,08;"FR"
"Mitsubishi Heavy Industries Engineering Ltd";2;0,08;"JP"
"Fhoosh Inc";2;0,08;"US"
"Proteantecs Ltd";2;0,08;"IL"
"Xenergic Ab";2;0,08;"SE"
"Futurewei Technologies Inc";2;0,08;"US"
"Inspur Electronic Information Industry Co Ltd";2;0,08;"CN"
"Flex Logix Technologies Inc";2;0,08;"US"
"Lattice Semiconductor Corporation";2;0,08;"US"
"Institute Of Microelectronics Chinese Academy Of Sciences";2;0,08;"CN"
"Denso Corporation";2;0,08;"JP"
"Alliance For Sustainable Energy Llc";2;0,08;"US"
"China Communication Microelectronics Technology Co Ltd";2;0,08;"CN"
"Quadrici0 Inc";2;0,08;"US"
"Shijiazhuang Chuangtian Electronic Technology Co L";2;0,08;"CN"
"Hkc Corporation Limited";2;0,08;"CN"
"Bosch Car Multimedia Portugal Sa";2;0,08;"PT"
"Universidade Do Minho";2;0,08;"PT"
"Texas Instruments Incorporated";2;0,08;"US"
"Alcatel Lucent";2;0,08;"FR"
"Ati Technologies Ulc";2;0,08;"CA"
"Rambus Inc";2;0,08;"US"
"Board Of Regents The University Of Texas System";2;0,08;"US"
"Bentley Systems Incorporated";2;0,08;"US"
"Toyota Motor Engineering&Manufacturing North Ameri";2;0,08;"US"
"Royal Precision Products Llc";2;0,08;"US"
"Peri Gmbh";2;0,08;"DE"
"Wemarathon";2;0,08;"US"
"Stratasys Inc";2;0,08;"US"
"Covestro Deutschland Ag";2;0,08;"DE"
"Ansys France Sas";1;0,04;"FR"
"Slavin Iii Edward";1;0,04;"US"
"Mã¼Nz Ulrich";1;0,04;"US"
"Fill Gesellschaft Mbh";1;0,04;"AT"
"Yokohama National University";1;0,04;"JP"
"Ledworks Srl";1;0,04;"IT"
"Roborep Inc";1;0,04;"CA"
"Pdm Software Aps";1;0,04;"DK"
"Osr Enterprises Ag";1;0,04;"IL"
"Spidaweb Llc";1;0,04;"US"
"Resfrac Corporation";1;0,04;"US"
"Holovis International Limited";1;0,04;"UK"
