"tech";"nuts2";"nuts2_name";"count";"rca";"rel";"comp";"parent";"value";"id";"color"
"5G";"NL34";"Zeeland";0;"0";"1,9";"68,51";"Digital transition";0;"5G";"blue"
"5G";"PT17";"Lisboa";5;"0,33";"17,47";"68,51";"Digital transition";5;"5G";"blue"
"5G";"UKD6";"Cheshire";5;"0,18";"8,87";"68,51";"Digital transition";5;"5G";"blue"
"5G";"DEC0";"Saarland";6;"0,25";"8,11";"68,51";"Digital transition";6;"5G";"blue"
"5G";"ES61";"Andalucía";8;"0,28";"6,55";"68,51";"Digital transition";8;"5G";"blue"
"5G";"BG33";"Severoiztochen";0;"0";"40,33";"68,51";"Digital transition";0;"5G";"blue"
"5G";"RO11";"Nord-Vest";3;"1,37";"36,8";"68,51";"Digital transition";3;"5G";"blue"
"5G";"UKJ3";"Hampshire and Isle of Wight";266;"3,51";"88,22";"68,51";"Digital transition";266;"5G";"blue"
"5G";"PT30";"Região Autónoma da Madeira";0;"0";"39,97";"68,51";"Digital transition";0;"5G";"blue"
"5G";"HR04";"Kontinentalna Hrvatska";1;"0,2";"7,94";"68,51";"Digital transition";1;"5G";"blue"
"5G";"AT13";"Wien";59;"0,95";"11,4";"68,51";"Digital transition";59;"5G";"blue"
"5G";"RO42";"Vest";1;"0,33";"14,27";"68,51";"Digital transition";1;"5G";"blue"
"5G";"FR23";"Haute-Normandie";5;"0,13";"2,08";"68,51";"Digital transition";5;"5G";"blue"
"5G";"CH03";"Nordwestschweiz";17;"0,12";"3,02";"68,51";"Digital transition";17;"5G";"blue"
"5G";"UKG1";"Herefordshire, Worcestershire and Warwickshire";4;"0,15";"12,68";"68,51";"Digital transition";4;"5G";"blue"
"5G";"ITG2";"Sardegna";0;"0";"10,7";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ES24";"Aragón";1;"0,07";"6";"68,51";"Digital transition";1;"5G";"blue"
"5G";"UKC2";"Northumberland and Tyne and Wear";4;"0,19";"2,48";"68,51";"Digital transition";4;"5G";"blue"
"5G";"PT11";"Norte";9;"0,43";"13,28";"68,51";"Digital transition";9;"5G";"blue"
"5G";"DEA5";"Arnsberg";31;"0,24";"8,51";"68,51";"Digital transition";31;"5G";"blue"
"5G";"BE10";"Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest";21;"0,45";"14,44";"68,51";"Digital transition";21;"5G";"blue"
"5G";"DE12";"Karlsruhe";88;"0,36";"10,72";"68,51";"Digital transition";88;"5G";"blue"
"5G";"PT18";"Alentejo";0;"0";"5,37";"68,51";"Digital transition";0;"5G";"blue"
"5G";"CH05";"Ostschweiz";4;"0,06";"9,65";"68,51";"Digital transition";4;"5G";"blue"
"5G";"DEA1";"Düsseldorf";74;"0,29";"2,61";"68,51";"Digital transition";74;"5G";"blue"
"5G";"UKK2";"Dorset and Somerset";5;"0,25";"23,21";"68,51";"Digital transition";5;"5G";"blue"
"5G";"ES13";"Cantabria";1;"0,31";"5,21";"68,51";"Digital transition";1;"5G";"blue"
"5G";"NL23";"Flevoland";2;"0,39";"5,23";"68,51";"Digital transition";2;"5G";"blue"
"5G";"DE92";"Hannover";62;"0,57";"15,41";"68,51";"Digital transition";62;"5G";"blue"
"5G";"FR43";"Franche-Comté";1;"0,04";"3,35";"68,51";"Digital transition";1;"5G";"blue"
"5G";"DE22";"Niederbayern";14;"0,21";"8,24";"68,51";"Digital transition";14;"5G";"blue"
"5G";"FRY4";"Réunion";0;"0";"36,42";"68,51";"Digital transition";0;"5G";"blue"
"5G";"PL32";"Podkarpackie";4;"0,81";"66,87";"68,51";"Digital transition";4;"5G";"blue"
"5G";"ITC4";"Lombardia";28;"0,16";"7,6";"68,51";"Digital transition";28;"5G";"blue"
"5G";"UKK1";"Gloucestershire, Wiltshire and Bristol/Bath area";160;"1,53";"82,73";"68,51";"Digital transition";160;"5G";"blue"
"5G";"FRY2";"Martinique";0;"0";"61,81";"68,51";"Digital transition";0;"5G";"blue"
"5G";"PL31";"Lubelskie";1;"0,31";"21,91";"68,51";"Digital transition";1;"5G";"blue"
"5G";"RO21";"Nord-Est";3;"2,28";"63,54";"68,51";"Digital transition";3;"5G";"blue"
"5G";"CH02";"Espace Mittelland";10;"0,1";"3,73";"68,51";"Digital transition";10;"5G";"blue"
"5G";"UKE1";"East Yorkshire and Northern Lincolnshire";0;"0";"3,7";"68,51";"Digital transition";0;"5G";"blue"
"5G";"RO22";"Sud-Est";1;"1,04";"33,52";"68,51";"Digital transition";1;"5G";"blue"
"5G";"LU00";"Luxembourg";13;"0,62";"41,44";"68,51";"Digital transition";13;"5G";"blue"
"5G";"CZ06";"Jihovýchod";0;"0";"5,57";"68,51";"Digital transition";0;"5G";"blue"
"5G";"SI03";"Zahodna Slovenija";1;"0,07";"7,86";"68,51";"Digital transition";1;"5G";"blue"
"5G";"FI1C";"Etelä-Suomi";30;"0,66";"26,21";"68,51";"Digital transition";30;"5G";"blue"
"5G";"UKH2";"Bedfordshire and Hertfordshire";32;"0,66";"26,05";"68,51";"Digital transition";32;"5G";"blue"
"5G";"MT00";"Malta";2;"0,94";"40,11";"68,51";"Digital transition";2;"5G";"blue"
"5G";"SK04";"Východné Slovensko";3;"1,09";"34,33";"68,51";"Digital transition";3;"5G";"blue"
"5G";"BE21";"Prov. Antwerpen";46;"0,64";"13,43";"68,51";"Digital transition";46;"5G";"blue"
"5G";"HU10";"Közép-Magyarország";41;"1,01";"74,91";"68,51";"Digital transition";41;"5G";"blue"
"5G";"NL21";"Overijssel";8;"0,36";"6,86";"68,51";"Digital transition";8;"5G";"blue"
"5G";"EL61";"Ipeiros";0;"0";"2,17";"68,51";"Digital transition";0;"5G";"blue"
"5G";"SE11";"Stockholm";2371;"7,23";"86,65";"68,51";"Digital transition";2371;"5G";"blue"
"5G";"FR25";"Basse-Normandie";2;"0,14";"18,67";"68,51";"Digital transition";2;"5G";"blue"
"5G";"ES22";"Comunidad Foral de Navarra";1;"0,09";"7,35";"68,51";"Digital transition";1;"5G";"blue"
"5G";"PL22";"Śląskie";3;"0,29";"35,93";"68,51";"Digital transition";3;"5G";"blue"
"5G";"DEB1";"Koblenz";1;"0,03";"2,22";"68,51";"Digital transition";1;"5G";"blue"
"5G";"ITF2";"Molise";0;"0";"5,58";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ITC3";"Liguria";16;"0,85";"56,42";"68,51";"Digital transition";16;"5G";"blue"
"5G";"DE60";"Hamburg";21;"0,3";"5,04";"68,51";"Digital transition";21;"5G";"blue"
"5G";"NL31";"Utrecht";1;"0,03";"2,78";"68,51";"Digital transition";1;"5G";"blue"
"5G";"ES43";"Extremadura";0;"0";"3,95";"68,51";"Digital transition";0;"5G";"blue"
"5G";"UKF2";"Leicestershire, Rutland and Northamptonshire";10;"0,42";"10,36";"68,51";"Digital transition";10;"5G";"blue"
"5G";"DEA3";"Münster";8;"0,09";"3,95";"68,51";"Digital transition";8;"5G";"blue"
"5G";"LV00";"Latvija";0;"0";"6,48";"68,51";"Digital transition";0;"5G";"blue"
"5G";"EL62";"Ionia Nisia";0;"0";"0,03";"68,51";"Digital transition";0;"5G";"blue"
"5G";"FR24";"Centre";5;"0,12";"5,33";"68,51";"Digital transition";5;"5G";"blue"
"5G";"NO01";"Oslo og Akershus";22;"0,48";"31,81";"68,51";"Digital transition";22;"5G";"blue"
"5G";"DEG0";"Thüringen";16;"0,29";"8,41";"68,51";"Digital transition";16;"5G";"blue"
"5G";"DE80";"Mecklenburg-Vorpommern";0;"0";"3,55";"68,51";"Digital transition";0;"5G";"blue"
"5G";"FR30";"Nord - Pas-de-Calais";4;"0,1";"3,8";"68,51";"Digital transition";4;"5G";"blue"
"5G";"UKK4";"Devon";12;"1,12";"31,74";"68,51";"Digital transition";12;"5G";"blue"
"5G";"BE22";"Prov. Limburg (BE)";4;"0,23";"7,91";"68,51";"Digital transition";4;"5G";"blue"
"5G";"LT00";"Lietuva";1;"0,18";"11,38";"68,51";"Digital transition";1;"5G";"blue"
"5G";"IE02";"Southern and Eastern";80;"1,2";"73,22";"68,51";"Digital transition";80;"5G";"blue"
"5G";"CH07";"Ticino";3;"0,14";"4,73";"68,51";"Digital transition";3;"5G";"blue"
"5G";"UKN0";"Northern Ireland";2;"0,12";"35,93";"68,51";"Digital transition";2;"5G";"blue"
"5G";"NO04";"Agder og Rogaland";9;"0,26";"8,15";"68,51";"Digital transition";9;"5G";"blue"
"5G";"HU33";"Dél-Alföld";15;"2,01";"61,79";"68,51";"Digital transition";15;"5G";"blue"
"5G";"AT31";"Oberösterreich";12;"0,14";"7,95";"68,51";"Digital transition";12;"5G";"blue"
"5G";"ITG1";"Sicilia";3;"0,22";"64,78";"68,51";"Digital transition";3;"5G";"blue"
"5G";"SK03";"Stredné Slovensko";0;"0";"9,02";"68,51";"Digital transition";0;"5G";"blue"
"5G";"FI1B";"Helsinki-Uusimaa";853;"4,61";"88,05";"68,51";"Digital transition";853;"5G";"blue"
"5G";"PT16";"Centro (PT)";7;"0,51";"65,18";"68,51";"Digital transition";7;"5G";"blue"
"5G";"UKK3";"Cornwall and Isles of Scilly";0;"0";"8,16";"68,51";"Digital transition";0;"5G";"blue"
"5G";"HU32";"Észak-Alföld";0;"0";"11,6";"68,51";"Digital transition";0;"5G";"blue"
"5G";"EL65";"Peloponnisos";0;"0";"12,79";"68,51";"Digital transition";0;"5G";"blue"
"5G";"RO41";"Sud-Vest Oltenia";0;"0";"49,13";"68,51";"Digital transition";0;"5G";"blue"
"5G";"SK01";"Bratislavský kraj";0;"0";"30,7";"68,51";"Digital transition";0;"5G";"blue"
"5G";"NL13";"Drenthe";6;"1,4";"17,43";"68,51";"Digital transition";6;"5G";"blue"
"5G";"EL63";"Dytiki Ellada";1;"0,61";"49,52";"68,51";"Digital transition";1;"5G";"blue"
"5G";"DEF0";"Schleswig-Holstein";7;"0,1";"4,79";"68,51";"Digital transition";7;"5G";"blue"
"5G";"FR71";"Rhône-Alpes";66;"0,25";"6,28";"68,51";"Digital transition";66;"5G";"blue"
"5G";"UKM3";"South Western Scotland";5;"0,27";"17,34";"68,51";"Digital transition";5;"5G";"blue"
"5G";"NL11";"Groningen";0;"0";"1,67";"68,51";"Digital transition";0;"5G";"blue"
"5G";"BE24";"Prov. Vlaams-Brabant";21;"0,3";"10,41";"68,51";"Digital transition";21;"5G";"blue"
"5G";"UKD1";"Cumbria";2;"0,48";"19,81";"68,51";"Digital transition";2;"5G";"blue"
"5G";"BE31";"Prov. Brabant Wallon";5;"0,18";"6,32";"68,51";"Digital transition";5;"5G";"blue"
"5G";"HR03";"Jadranska Hrvatska";0;"0";"3,11";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ES12";"Principado de Asturias";1;"0,14";"6,43";"68,51";"Digital transition";1;"5G";"blue"
"5G";"FR83";"Corse";0;"0";"40";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DEA2";"Köln";297;"1,19";"19,36";"68,51";"Digital transition";297;"5G";"blue"
"5G";"DE27";"Schwaben";47;"0,41";"12,27";"68,51";"Digital transition";47;"5G";"blue"
"5G";"AT11";"Burgenland (AT)";0;"0";"10,81";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DE30";"Berlin";184;"1,18";"67,76";"68,51";"Digital transition";184;"5G";"blue"
"5G";"SE33";"Övre Norrland";282;"9,29";"82,32";"68,51";"Digital transition";282;"5G";"blue"
"5G";"SK02";"Západné Slovensko";0;"0";"16,07";"68,51";"Digital transition";0;"5G";"blue"
"5G";"IS01";"Höfuðborgarsvæði";0;"0";"7";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ES21";"País Vasco";5;"0,23";"7,29";"68,51";"Digital transition";5;"5G";"blue"
"5G";"NL32";"Noord-Holland";12;"0,18";"7,04";"68,51";"Digital transition";12;"5G";"blue"
"5G";"EL42";"Notio Aigaio";0;"0";"0,09";"68,51";"Digital transition";0;"5G";"blue"
"5G";"UKG2";"Shropshire and Staffordshire";4;"0,23";"15,7";"68,51";"Digital transition";4;"5G";"blue"
"5G";"DE23";"Oberpfalz";36;"0,3";"6,24";"68,51";"Digital transition";36;"5G";"blue"
"5G";"DE21";"Oberbayern";799;"1,33";"93,96";"68,51";"Digital transition";799;"5G";"blue"
"5G";"NL33";"Zuid-Holland";34;"0,32";"9,19";"68,51";"Digital transition";34;"5G";"blue"
"5G";"DK02";"Sjælland";2;"0,09";"7,54";"68,51";"Digital transition";2;"5G";"blue"
"5G";"ES52";"Comunidad Valenciana";16;"0,42";"9,13";"68,51";"Digital transition";16;"5G";"blue"
"5G";"ES11";"Galicia";0;"0";"8,38";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ITH3";"Veneto";18;"0,25";"6,75";"68,51";"Digital transition";18;"5G";"blue"
"5G";"ITF3";"Campania";4;"0,19";"37,28";"68,51";"Digital transition";4;"5G";"blue"
"5G";"BG34";"Yugoiztochen";0;"0";"14,7";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ITI2";"Umbria";0;"0";"7,15";"68,51";"Digital transition";0;"5G";"blue"
"5G";"ITI3";"Marche";0;"0";"7,08";"68,51";"Digital transition";0;"5G";"blue"
"5G";"UKM5";"North Eastern Scotland";6;"0,32";"4,52";"68,51";"Digital transition";6;"5G";"blue"
"5G";"NL22";"Gelderland";5;"0,11";"3,12";"68,51";"Digital transition";5;"5G";"blue"
"5G";"ITF6";"Calabria";0;"0";"5,25";"68,51";"Digital transition";0;"5G";"blue"
"5G";"PL61";"Kujawsko-Pomorskie";0;"0";"14,91";"68,51";"Digital transition";0;"5G";"blue"
"5G";"AT21";"Kärnten";2;"0,17";"22,32";"68,51";"Digital transition";2;"5G";"blue"
"5G";"DK03";"Syddanmark";7;"0,14";"4,6";"68,51";"Digital transition";7;"5G";"blue"
"5G";"CZ08";"Moravskoslezsko";0;"0";"4,3";"68,51";"Digital transition";0;"5G";"blue"
"5G";"RO31";"Sud - Muntenia";1;"0,56";"48,57";"68,51";"Digital transition";1;"5G";"blue"
"5G";"EE00";"Eesti";3;"0,33";"38,74";"68,51";"Digital transition";3;"5G";"blue"
"5G";"FR72";"Auvergne";1;"0,02";"2,1";"68,51";"Digital transition";1;"5G";"blue"
"5G";"FR42";"Alsace";16;"0,29";"4,88";"68,51";"Digital transition";16;"5G";"blue"
"5G";"UKJ2";"Surrey, East and West Sussex";118;"1,61";"83,51";"68,51";"Digital transition";118;"5G";"blue"
"5G";"LI00";"Liechtenstein";0;"0";"4,04";"68,51";"Digital transition";0;"5G";"blue"
"5G";"CY00";"Kýpros";0;"0";"18,05";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DE50";"Bremen";5;"0,26";"10";"68,51";"Digital transition";5;"5G";"blue"
"5G";"ITH4";"Friuli-Venezia Giulia";0;"0";"4,4";"68,51";"Digital transition";0;"5G";"blue"
"5G";"NO03";"Sør-Østlandet";7;"0,3";"5,19";"68,51";"Digital transition";7;"5G";"blue"
"5G";"DK05";"Nordjylland";204;"5,95";"74,66";"68,51";"Digital transition";204;"5G";"blue"
"5G";"FI1D";"Pohjois- ja Itä-Suomi";461;"8,1";"76,3";"68,51";"Digital transition";461;"5G";"blue"
"5G";"EL41";"Voreio Aigaio";0;"0";"29,02";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DE73";"Kassel";3;"0,1";"5,23";"68,51";"Digital transition";3;"5G";"blue"
"5G";"DE11";"Stuttgart";259;"0,59";"9,44";"68,51";"Digital transition";259;"5G";"blue"
"5G";"UKJ1";"Berkshire, Buckinghamshire and Oxfordshire";57;"0,38";"14,34";"68,51";"Digital transition";57;"5G";"blue"
"5G";"DE94";"Weser-Ems";22;"0,37";"6,63";"68,51";"Digital transition";22;"5G";"blue"
"5G";"BE34";"Prov. Luxembourg (BE)";1;"0,19";"8,72";"68,51";"Digital transition";1;"5G";"blue"
"5G";"DED5";"Leipzig";2;"0,11";"5,31";"68,51";"Digital transition";2;"5G";"blue"
"5G";"CZ03";"Jihozápad";0;"0";"5,23";"68,51";"Digital transition";0;"5G";"blue"
"5G";"PL21";"Małopolskie";10;"0,52";"66,47";"68,51";"Digital transition";10;"5G";"blue"
"5G";"FR62";"Midi-Pyrénées";66;"0,85";"37,45";"68,51";"Digital transition";66;"5G";"blue"
"5G";"PL51";"Dolnośląskie";71;"5,36";"75,09";"68,51";"Digital transition";71;"5G";"blue"
"5G";"DEB2";"Trier";5;"0,4";"12,32";"68,51";"Digital transition";5;"5G";"blue"
"5G";"PT20";"Região Autónoma dos Açores";0;"0";"0,12";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DE13";"Freiburg";26;"0,19";"8,31";"68,51";"Digital transition";26;"5G";"blue"
"5G";"UKH1";"East Anglia";138;"0,88";"56,4";"68,51";"Digital transition";138;"5G";"blue"
"5G";"UKD7";"Merseyside";1;"0,05";"2,92";"68,51";"Digital transition";1;"5G";"blue"
"5G";"UKC1";"Tees Valley and Durham";1;"0,04";"5,06";"68,51";"Digital transition";1;"5G";"blue"
"5G";"PT15";"Algarve";0;"0";"5,54";"68,51";"Digital transition";0;"5G";"blue"
"5G";"SE32";"Mellersta Norrland";1;"0,11";"2,31";"68,51";"Digital transition";1;"5G";"blue"
"5G";"PL62";"Warmińsko-Mazurskie";0;"0";"3,46";"68,51";"Digital transition";0;"5G";"blue"
"5G";"DEE0";"Sachsen-Anhalt";22;"0,76";"15,24";"68,51";"Digital transition";22;"5G";"blue"
"5G";"FR21";"Champagne-Ardenne";5;"0,39";"4,61";"68,51";"Digital transition";5;"5G";"blue"
"5G";"AT33";"Tirol";3;"0,14";"4,82";"68,51";"Digital transition";3;"5G";"blue"
"5G";"HU21";"Közép-Dunántúl";6;"1";"56,47";"68,51";"Digital transition";6;"5G";"blue"
