nuts2;nuts2-lfs;old-nuts2-lfs;nuts2-SM;name;name-SM;name-english;name-english-SM;country
TR41;;TR41;TR41;Bursa, Eski?ehir, Bilecik;Bursa, Eski?ehir, Bilecik;Bursa, Eski?ehir, Bilecik;Bursa, Eski?ehir, Bilecik;Turkey
TR42;;TR42;TR42;Kocaeli, Sakarya, Düzce, Bolu, Yalova;Kocaeli, Sakarya, Düzce, Bolu, Yalova;Kocaeli, Sakarya, Düzce, Bolu, Yalova;Kocaeli, Sakarya, Düzce, Bolu, Yalova;Turkey
TR51;;TR51;TR51;Ankara;Ankara;Ankara;Ankara;Turkey
TR52;;TR52;TR52;Konya, Karaman;Konya, Karaman;Konya, Karaman;Konya, Karaman;Turkey
TR61;;TR61;TR61;Antalya, Isparta, Burdur;Antalya, Isparta, Burdur;Antalya, Isparta, Burdur;Antalya, Isparta, Burdur;Turkey
TR62;;TR62;TR62;Adana, Mersin;Adana, Mersin;Adana, Mersin;Adana, Mersin;Turkey
TR63;;TR63;TR63;Hatay, Kahramanmara?, Osmaniye;Hatay, Kahramanmara?, Osmaniye;Hatay, Kahramanmara?, Osmaniye;Hatay, Kahramanmara?, Osmaniye;Turkey
TR71;;TR71;TR71;K?r?kkale, Aksaray, Ni?de, Nev?ehir, K?r?ehir;K?r?kkale, Aksaray, Ni?de, Nev?ehir, K?r?ehir;K?r?kkale, Aksaray, Ni?de, Nev?ehir, K?r?ehir;K?r?kkale, Aksaray, Ni?de, Nev?ehir, K?r?ehir;Turkey
TR72;;TR72;TR72;Kayseri, Sivas, Yozgat;Kayseri, Sivas, Yozgat;Kayseri, Sivas, Yozgat;Kayseri, Sivas, Yozgat;Turkey
TR81;;TR81;TR81;Zonguldak, Karabük, Bart?n;Zonguldak, Karabük, Bart?n;Zonguldak, Karabük, Bart?n;Zonguldak, Karabük, Bart?n;Turkey
TR82;;TR82;TR82;Kastamonu, Çank?r?, Sinop;Kastamonu, Çank?r?, Sinop;Kastamonu, Çank?r?, Sinop;Kastamonu, Çank?r?, Sinop;Turkey
TR83;;TR83;TR83;Samsun, Tokat, Çorum, Amasya;Samsun, Tokat, Çorum, Amasya;Samsun, Tokat, Çorum, Amasya;Samsun, Tokat, Çorum, Amasya;Turkey
TR90;;TR90;TR90;Trabzon, Ordu, Giresun, Rize, Artvin, Gümü?hane;Trabzon, Ordu, Giresun, Rize, Artvin, Gümü?hane;Trabzon, Ordu, Giresun, Rize, Artvin, Gümü?hane;Trabzon, Ordu, Giresun, Rize, Artvin, Gümü?hane;Turkey
TRA1;;TRA1;TRA1;Erzurum, Erzincan, Bayburt;Erzurum, Erzincan, Bayburt;Erzurum, Erzincan, Bayburt;Erzurum, Erzincan, Bayburt;Turkey
TRA2;;TRA2;TRA2;A?r?, Kars, I?d?r, Ardahan;A?r?, Kars, I?d?r, Ardahan;A?r?, Kars, I?d?r, Ardahan;A?r?, Kars, I?d?r, Ardahan;Turkey
TRB1;;TRB1;TRB1;Malatya, Elaz??, Bingöl, Tunceli;Malatya, Elaz??, Bingöl, Tunceli;Malatya, Elaz??, Bingöl, Tunceli;Malatya, Elaz??, Bingöl, Tunceli;Turkey
TRB2;;TRB2;TRB2;Van, Mu?, Bitlis, Hakkari;Van, Mu?, Bitlis, Hakkari;Van, Mu?, Bitlis, Hakkari;Van, Mu?, Bitlis, Hakkari;Turkey
TRC1;;TRC1;TRC1;Gaziantep, Ad?yaman, Kilis;Gaziantep, Ad?yaman, Kilis;Gaziantep, Ad?yaman, Kilis;Gaziantep, Ad?yaman, Kilis;Turkey
TRC2;;TRC2;TRC2;?anl?urfa, Diyarbak?r;?anl?urfa, Diyarbak?r;?anl?urfa, Diyarbak?r;?anl?urfa, Diyarbak?r;Turkey
TRC3;;TRC3;TRC3;Mardin, Batman, ??rnak, Siirt;Mardin, Batman, ??rnak, Siirt;Mardin, Batman, ??rnak, Siirt;Mardin, Batman, ??rnak, Siirt;Turkey
UKC1;UKC1;UKC1;UKC1;Tees Valley And Durham;Tees Valley And Durham;Tees Valley And Durham;Tees Valley And Durham;Turkey
UKC2;UKC2;UKC2;UKC2;Northumberland And Tyne And Wear;Northumberland And Tyne And Wear;Northumberland And Tyne And Wear;Northumberland And Tyne And Wear;United Kingdom
UKD1;UKD1;UKD1;UKD1;Cumbria;Cumbria;Cumbria;Cumbria;United Kingdom
UKD3;UKD3;UKD3;UKD3;Greater Manchester;Greater Manchester;Greater Manchester;Greater Manchester;United Kingdom
UKD4;UKD4;UKD4;UKD4;Lancashire;Lancashire;Lancashire;Lancashire;United Kingdom
UKD6;UKD6;UKD6;UKD6;Cheshire;Cheshire;Cheshire;Cheshire;United Kingdom
UKD7;UKD7;UKD7;UKD7;Merseyside;Merseyside;Merseyside;Merseyside;United Kingdom
UKE1;UKE1;UKE1;UKE1;East Yorkshire And Northern Lincolnshire;East Yorkshire And Northern Lincolnshire;East Yorkshire And Northern Lincolnshire;East Yorkshire And Northern Lincolnshire;United Kingdom
UKE2;UKE2;UKE2;UKE2;North Yorkshire;North Yorkshire;North Yorkshire;North Yorkshire;United Kingdom
UKE3;UKE3;UKE3;UKE3;South Yorkshire;South Yorkshire;South Yorkshire;South Yorkshire;United Kingdom
UKE4;UKE4;UKE4;UKE4;West Yorkshire;West Yorkshire;West Yorkshire;West Yorkshire;United Kingdom
UKF1;UKF1;UKF1;UKF1;Derbyshire And Nottinghamshire;Derbyshire And Nottinghamshire;Derbyshire And Nottinghamshire;Derbyshire And Nottinghamshire;United Kingdom
UKF2;UKF2;UKF2;UKF2;Leicestershire, Rutland And Northamptonshire;Leicestershire, Rutland And Northamptonshire;Leicestershire, Rutland And Northamptonshire;Leicestershire, Rutland And Northamptonshire;United Kingdom
UKF3;UKF3;UKF3;UKF3;Lincolnshire;Lincolnshire;Lincolnshire;Lincolnshire;United Kingdom
UKG1;UKG1;UKG1;UKG1;Herefordshire, Worcestershire And Warwickshire;Herefordshire, Worcestershire And Warwickshire;Herefordshire, Worcestershire And Warwickshire;Herefordshire, Worcestershire And Warwickshire;United Kingdom
UKG2;UKG2;UKG2;UKG2;Shropshire And Staffordshire;Shropshire And Staffordshire;Shropshire And Staffordshire;Shropshire And Staffordshire;United Kingdom
UKG3;UKG3;UKG3;UKG3;West Midlands;West Midlands;West Midlands;West Midlands;United Kingdom
UKH1;UKH1;UKH1;UKH1;East Anglia;East Anglia;East Anglia;East Anglia;United Kingdom
UKH2;UKH2;UKH2;UKH2;Bedfordshire And Hertfordshire;Bedfordshire And Hertfordshire;Bedfordshire And Hertfordshire;Bedfordshire And Hertfordshire;United Kingdom
UKH3;UKH3;UKH3;UKH3;Essex;Essex;Essex;Essex;United Kingdom
UKI3;UKI3;UKI3;UKI3;Inner London - West;Inner London - West;Inner London - West;Inner London — West;United Kingdom
UKI4;UKI4;UKI4;UKI4;Inner London - East;Inner London - East;Inner London - East;Inner London — East;United Kingdom
UKI5;UKI5;UKI5;UKI5;Outer London - East And North East;Outer London - East And North East;Outer London - East And North East;Outer London — East And North East;United Kingdom
UKI6;UKI6;UKI6;UKI6;Outer London - South;Outer London - South;Outer London - South;Outer London — South;United Kingdom
UKI7;UKI7;UKI7;UKI7;Outer London - West And North West;Outer London - West And North West;Outer London - West And North West;Outer London — West And North West;United Kingdom
UKJ1;UKJ1;UKJ1;UKJ1;Berkshire, Buckinghamshire And Oxfordshire;Berkshire, Buckinghamshire And Oxfordshire;Berkshire, Buckinghamshire And Oxfordshire;Berkshire, Buckinghamshire And Oxfordshire;United Kingdom
UKJ2;UKJ2;UKJ2;UKJ2;Surrey, East And West Sussex;Surrey, East And West Sussex;Surrey, East And West Sussex;Surrey, East And West Sussex;United Kingdom
UKJ3;UKJ3;UKJ3;UKJ3;Hampshire And Isle Of Wight;Hampshire And Isle Of Wight;Hampshire And Isle Of Wight;Hampshire And Isle Of Wight;United Kingdom
UKJ4;UKJ4;UKJ4;UKJ4;Kent;Kent;Kent;Kent;United Kingdom
UKK1;UKK1;UKK1;UKK1;Gloucestershire, Wiltshire And Bristol/Bath Area;Gloucestershire, Wiltshire And Bristol/Bath Area;Gloucestershire, Wiltshire And Bristol/Bath Area;Gloucestershire, Wiltshire And Bristol/Bath Area;United Kingdom
UKK2;UKK2;UKK2;UKK2;Dorset And Somerset;Dorset And Somerset;Dorset And Somerset;Dorset And Somerset;United Kingdom
UKK3;UKK3;UKK3;UKK3;Cornwall And Isles Of Scilly;Cornwall And Isles Of Scilly;Cornwall And Isles Of Scilly;Cornwall And Isles Of Scilly;United Kingdom
UKK4;UKK4;UKK4;UKK4;Devon;Devon;Devon;Devon;United Kingdom
UKL1;UKL1;UKL1;UKL1;West Wales And The Valleys;West Wales And The Valleys;West Wales And The Valleys;West Wales And The Valleys;United Kingdom
UKL2;UKL2;UKL2;UKL2;East Wales;East Wales;East Wales;East Wales;United Kingdom
UKM2;UKM7;UKM7;UKM7;Eastern Scotland;Eastern Scotland;Eastern Scotland;Eastern Scotland;United Kingdom
UKM3;UKM8;UKM8;UKM8;South Western Scotland;West Central Scotland;South Western Scotland;South Western Scotland;United Kingdom
UKM3;UKM9;UKM9;UKM9;South Western Scotland;Southern Scotland;South Western Scotland;South Western Scotland;United Kingdom
UKM5;UKM5;UKM5;UKM5;North Eastern Scotland;North Eastern Scotland;North Eastern Scotland;North Eastern Scotland;United Kingdom
UKM6;UKM6;UKM6;UKM6;Highlands And Islands;Highlands And Islands;Highlands And Islands;Highlands And Islands;United Kingdom
UKN0;UKN0;UKN0;UKN0;Northern Ireland;Northern Ireland;Northern Ireland;Northern Ireland;United Kingdom
