"reg_code";"patcount"
"IBZZ";6
"CWZZ";2
"ES63";1
"US00";2
"SXZZ";7
"MZZZ";2
"TVZZ";3
"IN35";1
"MHZZ";1
"BR06";1
"FKZZ";1
"HKZZ";1
"WSZZ";2
"TOZZ";2
"ES64";2
"IN25";1
"GGZZ";1
"ZZZZ";1
"IN09";1
"IOZZ";3
"IN06";1
"TLZZ";1
