"source","target","weight"
95,106,1
18,66,1
22,37,1
19,37,1
24,37,1
37,103,1
37,104,1
37,40,1
37,164,1
37,100,1
37,145,1
37,146,1
37,195,1
5,82,1
19,82,1
0,82,1
9,82,1
38,82,1
5,122,1
2,40,1
3,40,1
40,64,1
24,40,1
37,40,1
40,49,1
40,71,1
40,87,1
7,123,1
10,123,1
6,123,1
43,93,1
31,43,1
27,43,1
43,111,1
43,76,1
7,49,1
3,49,1
4,49,1
18,49,1
49,80,1
11,49,1
26,49,1
40,49,1
49,60,1
23,49,1
49,63,1
21,58,1
58,116,1
5,67,1
6,67,1
33,67,1
67,161,1
67,73,1
19,74,1
55,74,1
9,74,1
21,74,1
62,74,1
74,112,1
5,59,1
24,59,1
45,59,1
0,161,1
6,161,1
28,161,1
26,161,1
67,161,1
73,161,1
12,34,1
34,64,1
31,34,1
8,34,1
30,34,1
1,68,1
68,68,1
4,96,1
65,96,1
14,96,1
96,179,1
3,69,1
4,69,1
0,69,1
36,69,1
69,97,1
15,69,1
69,109,1
69,110,1
69,97,1
1,32,1
14,32,1
32,57,1
16,32,1
32,35,1
32,38,1
32,73,1
32,88,1
32,92,1
16,162,1
36,162,1
162,162,1
63,162,1
60,93,1
31,60,1
33,60,1
49,60,1
27,60,1
60,171,1
15,18,1
15,69,1
65,124,1
14,124,1
124,130,1
124,192,1
5,21,1
19,21,1
0,21,1
21,26,1
21,58,1
21,74,1
21,30,1
21,62,1
7,163,1
29,164,1
42,164,1
37,164,1
164,164,1
45,164,1
18,70,1
70,159,1
45,70,1
70,130,1
70,87,1
70,77,1
2,23,1
0,23,1
23,52,1
14,23,1
23,49,1
23,30,1
23,86,1
79,165,1
165,165,1
135,165,1
90,165,1
165,184,1
3,105,1
71,105,1
5,27,1
27,48,1
27,43,1
27,60,1
27,35,1
27,116,1
2,30,1
0,30,1
30,65,1
14,30,1
30,34,1
21,30,1
23,30,1
22,83,1
29,83,1
83,195,1
125,166,1
1,166,1
31,166,1
125,166,1
8,35,1
32,35,1
27,35,1
0,167,1
56,167,1
167,167,1
127,167,1
61,167,1
0,127,1
11,127,1
127,167,1
73,127,1
127,142,1
127,144,1
0,61,1
61,102,1
16,61,1
61,167,1
61,144,1
168,168,1
169,169,1
12,106,1
1,106,1
42,106,1
95,106,1
106,198,1
22,45,1
3,45,1
18,45,1
44,45,1
45,46,1
45,59,1
45,164,1
45,70,1
45,145,1
107,170,1
107,141,1
52,170,1
107,170,1
7,171,1
3,171,1
4,171,1
33,171,1
60,171,1
10,71,1
8,71,1
40,71,1
71,105,1
5,108,1
108,129,1
128,200,1
7,172,1
12,84,1
173,173,1
173,183,1
12,75,1
75,81,1
1,109,1
18,109,1
31,109,1
69,109,1
109,193,1
22,72,1
31,72,1
17,72,1
0,98,1
5,38,1
3,38,1
4,38,1
16,38,1
26,38,1
38,82,1
32,38,1
38,88,1
55,62,1
62,102,1
48,62,1
62,74,1
21,62,1
22,63,1
52,63,1
49,63,1
63,162,1
63,141,1
0,110,1
69,110,1
110,147,1
4,54,1
26,54,1
54,144,1
108,129,1
129,129,1
129,197,1
29,111,1
43,111,1
111,118,1
3,130,1
29,130,1
103,130,1
124,130,1
70,130,1
130,131,1
130,192,1
130,131,1
2,132,1
88,132,1
132,145,1
134,187,1
12,85,1
9,85,1
4,73,1
9,73,1
16,73,1
26,73,1
67,73,1
73,161,1
32,73,1
73,127,1
73,99,1
73,88,1
73,142,1
0,135,1
135,165,1
135,135,1
114,135,1
13,86,1
18,86,1
31,86,1
23,86,1
86,145,1
0,99,1
6,99,1
55,99,1
24,99,1
28,99,1
73,99,1
174,174,1
0,112,1
74,112,1
3,87,1
40,87,1
70,87,1
32,88,1
38,88,1
88,132,1
73,88,1
78,88,1
175,175,1
114,135,1
114,181,1
2,176,1
14,176,1
176,176,1
13,177,1
79,177,1
1,136,1
0,136,1
31,136,1
178,178,1
29,100,1
37,100,1
89,100,1
100,145,1
100,196,1
89,100,1
24,137,1
36,137,1
137,137,1
10,139,1
31,139,1
58,116,1
27,116,1
96,179,1
179,179,1
90,165,1
90,184,1
92,117,1
5,180,1
3,180,1
180,180,1
1,76,1
31,76,1
43,76,1
80,181,1
11,181,1
114,181,1
181,181,1
0,140,1
3,77,1
18,77,1
10,77,1
65,77,1
77,159,1
70,77,1
107,141,1
63,141,1
182,182,1
5,142,1
127,142,1
73,142,1
142,153,1
4,144,1
0,144,1
26,144,1
127,144,1
61,144,1
54,144,1
144,144,1
173,183,1
78,88,1
165,184,1
90,184,1
47,185,1
0,186,1
52,186,1
134,187,1
187,187,1
111,118,1
2,145,1
31,145,1
29,145,1
37,145,1
45,145,1
132,145,1
86,145,1
100,145,1
37,146,1
47,147,1
110,147,1
147,147,1
188,189,1
188,189,1
189,189,1
190,190,1
191,192,1
124,192,1
130,192,1
191,192,1
192,192,1
109,193,1
5,153,1
142,153,1
194,194,1
20,154,1
17,154,1
22,195,1
37,195,1
83,195,1
7,119,1
3,119,1
155,197,1
32,92,1
92,117,1
100,196,1
129,197,1
155,197,1
42,198,1
106,198,1
199,199,1
128,200,1
201,201,1
202,202,1
