Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,CB Rank (Funding Round),Organization Industries,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,Diversity Spotlight
Seed Round - Haiku,https://www.crunchbase.com/funding_round/haiku-5135-seed--6e444ef0,Haiku,https://www.crunchbase.com/organization/haiku-5135,Seed,1300000,EUR,1370954,2024-11-20,"52,676","Artificial Intelligence (AI), Law Enforcement, Legal",Seed,,,,Yes,Haiku is revolutionizing legal practice by placing artificial intelligence and data at the service of law.,"Bordeaux, Aquitaine, France, Europe",https://haiku.fr/,,1300000,EUR,1370954,Seed,1,Newfund,Newfund,,1,
Seed Round - MonOrdo,https://www.crunchbase.com/funding_round/monordo-seed--625599f2,MonOrdo,https://www.crunchbase.com/organization/monordo,Seed,1300000,EUR,1369768,2022-12-02,"442,885","Health Care, Information Technology",Seed,,,,Yes,Make your medical prescription simple !,"Toulouse, Midi-Pyrenees, France, Europe",https://www.monordo.com,$1M to $10M,1300000,EUR,1369768,Seed,2,,,,,
Seed Round - Hello RSE,https://www.crunchbase.com/funding_round/hello-rse-seed--d12c3e2b,Hello RSE,https://www.crunchbase.com/organization/hello-rse,Seed,1300000,EUR,1360758,2022-12-06,"13,873",Electronics,Seed,,,,Yes,"Hello RSE provides refurbished and rental digital, software, and hardware resources.","Bordeaux, Aquitaine, France, Europe",https://hellorse.fr/,,1300000,EUR,1360758,Seed,1,,"Banque des Territoires, Les Business Angels des Grandes Écoles",,2,
Seed Round - Delfox,https://www.crunchbase.com/funding_round/delfox-seed--b3454591,Delfox,https://www.crunchbase.com/organization/delfox,Seed,1250000,EUR,1328021,2022-12-13,"25,231",Predictive Analytics,Seed,,,,Yes,"Delfox is a developer of autonomous guidance, navigation, and control systems.","Saint-pée-sur-nivelle, Aquitaine, France, Europe",https://delfox.net/,$1M to $10M,1250000,EUR,1328021,Seed,1,,"MBDA, Naval Group",,2,
Equity Crowdfunding - LE DRIVE TOUT NU,https://www.crunchbase.com/funding_round/le-drive-tout-nu-equity-crowdfunding--a137db2d,LE DRIVE TOUT NU,https://www.crunchbase.com/organization/le-drive-tout-nu,Equity Crowdfunding,1200000,EUR,1306834,2024-03-15,"74,464","Consumer Goods, Retail",,,,,Yes,LE DRIVE TOUT NU is a startup of Consumers services Buyer aid.,"Beauzelle, Midi-Pyrenees, France, Europe",https://ledrivetoutnu.com/,,6700000,EUR,6990468,,3,,,,,
Grant - Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/funding_round/hypr-space-grant--52c28729,Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/organization/hypr-space,Grant,1200000,EUR,1287179,2022-12-31,"283,470","Aerospace, Space Travel",,,,,No,"We develop nextgen propulsion technologies, cheaper, quicker and greener for earth to space and space to space transportation systems.","Bordeaux, Aquitaine, France, Europe",https://hybrid-propulsion.space,$1M to $10M,44050000,EUR,46764852,Seed,5,,,,,
Seed Round - BlueNav,https://www.crunchbase.com/funding_round/bluenav-seed--0987b479,BlueNav,https://www.crunchbase.com/organization/bluenav,Seed,1300000,EUR,1269759,2022-10-13,"96,735","Electrical Distribution, Electronics, Manufacturing, Power Grid",Seed,,,,Yes,BlueNav is a manufacturer of hybrid electric motors.,"Arcachon, Aquitaine, France, Europe",https://bluenav.fr,Less than $1M,1300000,EUR,1269759,Seed,1,Blue Oceans Partners,"Ardev, Blue Oceans Partners, DeepIE Ventures Management Co.",,3,
Pre Seed Round - Bonx,https://www.crunchbase.com/funding_round/bonx-9dfa-pre-seed--7727977a,Bonx,https://www.crunchbase.com/organization/bonx-9dfa,Pre-Seed,1100000,EUR,1213927,2024-09-09,"26,520","Construction, Industrial, Supply Chain Management",Seed,,,,Yes,"Bonx a startup studio focusing in operations (supply chain, construction, and industry), reinvents ERP for French SMEs.","Toulouse, Midi-Pyrenees, France, Europe",https://www.bonx.tech,,1600000,EUR,1749288,Seed,2,Dynamo,"Dynamo, Lakestar, Louis Pfitzner, Prequel Ventures",,4,
Seed Round - Prodigy Agency,https://www.crunchbase.com/funding_round/prodigy-agency-seed--3c427c5f,Prodigy Agency,https://www.crunchbase.com/organization/prodigy-agency,Seed,1000000,EUR,1211149,2020-12-11,"100,113","eSports, Gaming, Video Games",Seed,,,,Yes,"Prodigy Agency is an esports representation, management, and marketing agency building legacies for upcoming players and talents.","Toulouse, Midi-Pyrenees, France, Europe",http://www.prodigy-agency.gg,$1M to $10M,1000000,EUR,1211149,Seed,1,TRUST ESPORT,TRUST ESPORT,1,1,
Seed Round - Newboot,https://www.crunchbase.com/funding_round/newboot-seed--19517e69,Newboot,https://www.crunchbase.com/organization/newboot,Seed,1200000,EUR,1196043,2022-10-27,"25,864","Cloud Infrastructure, Industrial Manufacturing, Information Technology, Internet of Things, Professional Services, Smart Building, Software",Seed,,,,Yes,Data acquisition solutions to Cloud infrastructures & SaaS applications,"Toulouse, Midi-Pyrenees, France, Europe",https://newboot.io,,1200000,EUR,1196043,Seed,1,"Pilot Fish, Saint-Gobain NOVA","Pilot Fish, Saint-Gobain NOVA",,2,
Seed Round - MerciYanis,https://www.crunchbase.com/funding_round/yanis-seed--57aacdb8,MerciYanis,https://www.crunchbase.com/organization/yanis,Seed,1000000,EUR,1191283,2021-06-17,"169,941",Internet of Things,Seed,,,,Yes,MerciYanis is a start-up that uses the Internet of Things to connect buildings and help work environment departments.,"Labège, Midi-Pyrenees, France, Europe",https://www.merciyanis.com/,$1M to $10M,3700000,EUR,4035996,Early Stage Venture,2,,Damien Guermonprez,,1,
Seed Round - WYCA Robotics,https://www.crunchbase.com/funding_round/wyca-robotics-seed--352fdc9d,WYCA Robotics,https://www.crunchbase.com/organization/wyca-robotics,Seed,1000000,EUR,1181070,2021-09-10,"292,923","Industrial Automation, Logistics, Retail Technology, Robotics",Seed,,,,Yes,WYCA Robotics develops accessible indoor autonomous vehicles.,"Toulouse, Midi-Pyrenees, France, Europe",http://www.wyca-robotics.com,$1M to $10M,1350000,EUR,1562871,Seed,2,,M Capital Partners,,1,
Pre Seed Round - ADAXIS,https://www.crunchbase.com/funding_round/adaxis-pre-seed--c7da819c,ADAXIS,https://www.crunchbase.com/organization/adaxis,Pre-Seed,1000000,EUR,1134250,2022-01-19,"167,524","Industrial Automation, Robotics, Software",Seed,,,,Yes,ADAXIS offers innovative software tools for industrial robotics that unlock new manufacturing processes and their maximum value.,"Bidart, Aquitaine, France, Europe",https://adaxis.eu,,1000000,EUR,1134250,Seed,1,,"European Institute of Innovation and Technology, Newfund, Skalepark",,3,
Seed Round - Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/funding_round/hypr-space-seed--96c00b06,Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/organization/hypr-space,Seed,1000000,EUR,1131905,2021-12-01,"304,056","Aerospace, Space Travel",Seed,,,,Yes,"We develop nextgen propulsion technologies, cheaper, quicker and greener for earth to space and space to space transportation systems.","Bordeaux, Aquitaine, France, Europe",https://hybrid-propulsion.space,$1M to $10M,44050000,EUR,46764852,Seed,5,,,,,
Pre Seed Round - Fridaa.,https://www.crunchbase.com/funding_round/fridaa-pre-seed--5a42bbae,Fridaa.,https://www.crunchbase.com/organization/fridaa,Pre-Seed,1000000,EUR,1128318,2022-01-04,"156,075","B2C, FinTech, Mobile Apps",Seed,,,,Yes,Fridaa is a mobile application that allows you to obtain your real estate loan in a 100% digital and autonomous way.,"Bordeaux, Aquitaine, France, Europe",https://fridaa.co,,1000000,EUR,1128318,Seed,1,,,,,
Grant - Ascendance,https://www.crunchbase.com/funding_round/ascendance-flight-technologies-grant--c774f30a,Ascendance,https://www.crunchbase.com/organization/ascendance-flight-technologies,Grant,1000000,EUR,1127485,2020-07-07,"639,372","Aerospace, Air Transportation, CleanTech, Drones, Hardware, Transportation",,,,,No,A sustainable aviation startup developing hybrid-electric solutions to decarbonise aviation.,"Toulouse, Midi-Pyrenees, France, Europe",https://www.ascendance-ft.com,$1M to $10M,51000000,EUR,55944186,,9,,,,,
Seed Round - Skyted,https://www.crunchbase.com/funding_round/skyted-seed--832d1fee,Skyted,https://www.crunchbase.com/organization/skyted,Seed,1000000,EUR,1121064,2023-05-05,"213,884","Aerospace, Manufacturing",Seed,,,,Yes,Skyted creates new solutions and services to enable neo-nomadic and hybrid work environments.,"Toulouse, Midi-Pyrenees, France, Europe",http://www.skyted.io,,1206505,USD,1206505,Seed,2,,Aerospace Angels,,1,
Seed Round - Comeen,https://www.crunchbase.com/funding_round/dynamicscreen-seed--8cdfe366,Comeen,https://www.crunchbase.com/organization/dynamicscreen,Seed,1000000,EUR,1112545,2020-06-01,"101,109","SaaS, Software",Seed,,,,Yes,"Comeen is the Workplace Experience Platform. Implementing hybrid work is hard, we make it easier.","Bordeaux, Aquitaine, France, Europe",https://comeen.com/,$1M to $10M,1000000,EUR,1112545,Seed,1,Newfund,Newfund,,1,
Equity Crowdfunding - StackinSat,https://www.crunchbase.com/funding_round/stackinsat-equity-crowdfunding--dafd8261,StackinSat,https://www.crunchbase.com/organization/stackinsat,Equity Crowdfunding,1010588,EUR,1095316,2024-02-28,"45,667","Banking, Finance",,,,,Yes,"StackinSat is a service that allows customers to acquire Bitcoin in a very simple and consistent manner, such as weekly or monthly.","Biarritz, Aquitaine, France, Europe",http://www.stackinsat.com,,1010588,EUR,1095316,,1,,"Alexandre Cognard, Chirstopher Himsworth, Fabrice de Gaudemar, François-Régis Bernicot, Gaspard Hafner, Gonzague Grandval, Guillaume Goualard, Laurent Benichou, Michel Khazzaka, Richard Detente, Rogzy ‎‏‏‎ ‎, Sébastien Gouspillou, Thomas Rudelle, Yves Choueifaty",,14,
Seed Round - Wealthcome,https://www.crunchbase.com/funding_round/wealthcome-seed--97af962d,Wealthcome,https://www.crunchbase.com/organization/wealthcome,Seed,1000000,EUR,1094631,2023-11-24,"172,161","Financial Services, Management Information Systems, Wealth Management",Seed,,,,Yes,"Wealthcome enhances stomer monitoring, automate regulatory compliance, and provide asset performance and investment product analysis.","Bordeaux, Aquitaine, France, Europe",https://wealthcome.fr,,1000000,EUR,1094631,Seed,1,,"Alexandre Lacharme, Alter Equity 3P, Antoine Darcet, Morgan Emmery, Olivier Agnola, TechnoStart",,6,
Pre Seed Round - Harvy,https://www.crunchbase.com/funding_round/harvy-pre-seed--928c919b,Harvy,https://www.crunchbase.com/organization/harvy,Pre-Seed,1000000,EUR,1087962,2024-05-17,"43,512","Agriculture, AgTech, Farming",Seed,,,,Yes,Harvy offers a delivery management platform that helps producers and retailers reduce their logistics costs.,"Villeneuve-sur-lot, Aquitaine, France, Europe",https://www.harvy.tech,,1150000,EUR,1250060,Seed,2,Antler,"Antler, FBFC, Tivoli Capital",1,3,
Seed Round - TOOPI Organics,https://www.crunchbase.com/funding_round/toopi-organics-seed--9f147d0a,TOOPI Organics,https://www.crunchbase.com/organization/toopi-organics,Seed,1000000,EUR,1087350,2020-04-17,"314,920","Agriculture, Biotechnology, Chemical",Seed,,,,Yes,TOOPI Organics is a biotechnology company that collects and upcycles human urine for agriculture.,"Loupiac-de-la-réole, Aquitaine, France, Europe",https://toopi-organics.com/,$1M to $10M,23200000,EUR,25409028,Early Stage Venture,6,Creadev,"Allsun, Creadev, Makesense Seed I",1,3,
Seed Round - Libu,https://www.crunchbase.com/funding_round/libu-seed--a9c1fc92,Libu,https://www.crunchbase.com/organization/libu,Seed,1000000,EUR,1083705,2024-03-25,"30,632","Electronics, Lighting",Seed,,,,Yes,"Libu provides optimal circadian lighting for offices, regulating biological rhythms and contributing to employee well-being.","Talence, Aquitaine, France, Europe",https://libu.fr,,1000000,EUR,1083705,Seed,1,,"3A Venture, Adour Business Angels, Arts et Métiers Business Angels, INSEAD Business Angels Alumni France, Synergence",,5,
Pre Seed Round - thinkeo,https://www.crunchbase.com/funding_round/thinkeo-pre-seed--10b3c0a0,thinkeo,https://www.crunchbase.com/organization/thinkeo,Pre-Seed,1000000,EUR,1072465,2023-09-05,"152,604","Artificial Intelligence (AI), SaaS",Seed,2200000,EUR,2359424,Yes,No code platform to create AI document apps,"Bordeaux, Aquitaine, France, Europe",https://www.thinkeo.io,,1000000,EUR,1072465,Seed,1,Super Capital VC,"APOK Invest, Polymatter Ventures, SideAngels, Super Capital VC",,4,
Grant - Antabio,https://www.crunchbase.com/funding_round/antabio-grant--1abbcd49,Antabio,https://www.crunchbase.com/organization/antabio,Grant,900000,EUR,1071126,2021-03-16,"488,409","Biotechnology, Life Science, Medical Device",,,,,No,Antabio is a private biopharmaceutical company developing antibacterial resistance-breakers in areas of highest medical need.,"Labège, Midi-Pyrenees, France, Europe",https://antabio.com,Less than $1M,73086852,USD,73086852,Early Stage Venture,17,,,,,
Seed Round - Netcarbon,https://www.crunchbase.com/funding_round/netcarbon-seed--bb94e913,Netcarbon,https://www.crunchbase.com/organization/netcarbon,Seed,1000000,EUR,1070760,2024-06-27,"27,280","Aerospace, AgTech, Smart Cities",Seed,,,,Yes,"Netcarbon offers a solution to measure, improve and value carbon sequestration for farmers, territories, and project owners.","Bordeaux, Aquitaine, France, Europe",https://www.netcarbon.fr/,,1000000,EUR,1070760,Seed,1,4Elements,"4Elements, Bpifrance",,2,
Seed Round - Locuta,https://www.crunchbase.com/funding_round/locuta-seed--5d39fe47,Locuta,https://www.crunchbase.com/organization/locuta,Seed,1000000,EUR,1059821,2023-02-23,"35,859",Information Technology,Seed,,,,Yes,Locuta develops custom callbot solutions to automate customer-repetitive calls.,"Bordeaux, Aquitaine, France, Europe",https://locuta.co/,,1000000,EUR,1059821,Seed,1,Newfund,"Bpifrance, Newfund",,2,
Seed Round - Nurea,https://www.crunchbase.com/funding_round/nurea-seed--cce536e6,Nurea,https://www.crunchbase.com/organization/nurea,Seed,1000000,EUR,1047845,2022-06-30,"95,624","Medical, Software",Seed,,,,Yes,Nurea designs medical imaging software to help surgeons.,"Bordeaux, Aquitaine, France, Europe",https://nurea-soft.com,$1M to $10M,1000000,EUR,1047845,Seed,1,,"Bpifrance, TechnoStart",,2,
Seed Round - ExtraJool,https://www.crunchbase.com/funding_round/extrajool-seed--d12ae036,ExtraJool,https://www.crunchbase.com/organization/extrajool,Seed,1000000,EUR,1030610,2025-01-14,427,Renewable Energy,Seed,,,,Yes,ExtraJool has designed a breakthrough innovation to recycle industrial waste heat into decarbonized electricity.,"Bordeaux, Aquitaine, France, Europe",https://extrajool.com,,1000000,EUR,1030610,Seed,1,,"Bpifrance, Nouvelle-Aquitaine Amorça, One Green, SideAngels, Techno'Start",,5,
Seed Round - Promyze,https://www.crunchbase.com/funding_round/promyze-seed--5697d0fd,Promyze,https://www.crunchbase.com/organization/promyze,Seed,935000,EUR,1020754,2023-11-17,"124,506","Information Technology, Small and Medium Businesses, Software",Seed,,,,Yes,Promyze is a platform and tool for software development practices.,"Bordeaux, Aquitaine, France, Europe",https://promyze.com,,935000,EUR,1020754,Seed,1,,"Alex Roubinet, Baptiste Hamel, Edouard de Raulin, Eric La Bonnardiere, Evolem Start, Laurent Ritter, Romain RAFFARD, Thibault Lougnon",,8,
Grant - Stellar,https://www.crunchbase.com/funding_round/stellar-58db-grant--27f9d640,Stellar,https://www.crunchbase.com/organization/stellar-58db,Grant,1000000,EUR,1018674,2022-07-08,"186,866","Automotive, Internet, Software, Telecommunications",,,,,No,Stellar is a telecommunications company that integrates multiple networks for connectivity.,"Bordeaux, Aquitaine, France, Europe",https://www.stellar.tc,,9300000,EUR,10137306,Seed,3,,Région Nouvelle-Aquitaine,,1,
Venture Round - Flipr,https://www.crunchbase.com/funding_round/flipr-2-series-unknown--97c2d102,Flipr,https://www.crunchbase.com/organization/flipr-2,Venture - Series Unknown,1000000,USD,1000000,2020-02-25,"121,115",Communities,,,,,Yes,Flipr The connected object that guarantees a blue pool all year.,"Toulouse, Midi-Pyrenees, France, Europe",http://www.goflipr.com,,1000000,USD,1000000,,1,,,,,
Seed Round - Starfish Bioscience,https://www.crunchbase.com/funding_round/starfish-bioscience-seed--e64045a4,Starfish Bioscience,https://www.crunchbase.com/organization/starfish-bioscience,Seed,900000,EUR,968140,2024-02-06,"82,653","AgTech, Biotechnology, Life Science",Seed,,,,Yes,Starfish Bioscience focuses on the innovation and development of microbiological solutions for agriculture and viticulture.,"Bordeaux, Aquitaine, France, Europe",https://www.starfishbio.com/,,1600000,EUR,1725376,Seed,2,Seventure Partners,Seventure Partners,1,1,
Seed Round - Wyve,https://www.crunchbase.com/funding_round/wyve-seed--71280401,Wyve,https://www.crunchbase.com/organization/wyve,Seed,900000,EUR,938954,2022-07-04,"151,151","3D Printing, Manufacturing, Sports, Surfing",Seed,,,,Yes,Wyve designs and manufacturers reclyable 3D printing surfboards.,"Anglet, Aquitaine, France, Europe",https://www.wyvesurf.com/,,900000,EUR,938954,Seed,1,,,,,
Seed Round - Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/funding_round/hypr-space-seed--c14489eb,Hypr Space (Hybrid Propulsion for Space),https://www.crunchbase.com/organization/hypr-space,Seed,850000,EUR,911752,2022-12-31,"599,638","Aerospace, Space Travel",Seed,,,,Yes,"We develop nextgen propulsion technologies, cheaper, quicker and greener for earth to space and space to space transportation systems.","Bordeaux, Aquitaine, France, Europe",https://hybrid-propulsion.space,$1M to $10M,44050000,EUR,46764852,Seed,5,NACO,NACO,,1,
Seed Round - Optikan,https://www.crunchbase.com/funding_round/optikan-seed--7fe00752,Optikan,https://www.crunchbase.com/organization/optikan,Seed,830000,EUR,905302,2024-06-03,"20,351","Advanced Materials, Manufacturing, Medical Device",Seed,,,,Yes,Optikan is a deeptech company that offers non-destructive testing techniques using X-rays and terahert z radiation for industrial use.,"Blanquefort, Aquitaine, France, Europe",https://optikan.com,,830000,EUR,905302,Seed,1,"Arts et Métiers Business Angels, Synergence, Techno'Start","Arts et Métiers Business Angels, Bpifrance, Région Nouvelle-Aquitaine, Synergence, Techno'Start",,5,
Funding Round - Hapiix,https://www.crunchbase.com/funding_round/hapiix-undisclosed--66bfbc86,Hapiix,https://www.crunchbase.com/organization/hapiix,Funding Round,800000,EUR,892758,2024-09-19,"31,248",Software,,,,,Yes,Hapiix is a digital solution that revolutionizes access control & intercoms.,"Pessac, Aquitaine, France, Europe",https://www.hapiix.com,,800000,EUR,892758,,1,,,,,
Seed Round - DAB Motors,https://www.crunchbase.com/funding_round/dab-motors-seed--70a3abb3,DAB Motors,https://www.crunchbase.com/organization/dab-motors,Seed,740000,EUR,878104,2020-11-19,"257,029","Automotive, Electric Vehicle, Manufacturing, Transportation",Seed,,,,Yes,"DAB Motors is a French motorcycle manufacturer, focusing on audacious electric vehicules.","Bayonne, Aquitaine, France, Europe",https://dabmotors.com,Less than $1M,785000,EUR,929371,Seed,2,,"Adour Business Angels, Banque Populaire, Bpifrance, Finaqui, Herrikoa, Région Nouvelle-Aquitaine",,6,
Seed Round - Otami,https://www.crunchbase.com/funding_round/otami-seed--8de1bde1,Otami,https://www.crunchbase.com/organization/otami,Seed,800000,EUR,868219,2024-06-02,"29,668",Software,Seed,,,,Yes,Otami is an innovative startup that specializes in bakery and restaurant management software.,"Pau, Aquitaine, France, Europe",https://www.otami.fr,,800000,EUR,868219,Seed,1,The Moon Venture,The Moon Venture,,1,
Grant - Luos,https://www.crunchbase.com/funding_round/luos-grant--daac242a,Luos,https://www.crunchbase.com/organization/luos,Grant,700000,EUR,851493,2021-02-22,"131,811","Developer Tools, Embedded Software, Embedded Systems, Open Source, Robotics, Software",,,,,No,The world’s first open source devtool that makes hardware as agile as software,"Bordeaux, Aquitaine, France, Europe",https://www.luos.io,$1M to $10M,1830000,EUR,2191196,,5,,"Airbus Développement, Bpifrance, Région Nouvelle-Aquitaine",,3,
Private Equity Round - U-Need Consulting,https://www.crunchbase.com/funding_round/u-need-consulting-private-equity--ba9c2722,U-Need Consulting,https://www.crunchbase.com/organization/u-need-consulting,Private Equity,750000,EUR,813097,2020-02-16,"674,567","Big Data, Information Services, Information Technology, Outsourcing, Web Development",Private Equity,,,,Yes,U-Need is a consulting firm dedicated to the Management of complex projects and Digital Transformation.,"Toulouse, Midi-Pyrenees, France, Europe",https://u-need-consulting.com/fr/,,1250000,EUR,1355162,Private Equity,2,,Multicroissance,,1,
Series A - inHEART,https://www.crunchbase.com/funding_round/inheart-series-a--fe6cae09,inHEART,https://www.crunchbase.com/organization/inheart,Series A,750000,EUR,811324,2024-10-28,"39,491","3D Technology, Biotechnology, Medical Device",Early Stage Venture,,,,Yes,inHEART provides cloud-based medical image analysis solutions for cardiac interventions on patients with arrhythmias.,"Pessac, Aquitaine, France, Europe",https://www.inheartmedical.com,$1B to $10B,15969211,USD,15969211,Early Stage Venture,3,Swen Capital Partners,Swen Capital Partners,1,1,
Seed Round - Carbon Waters,https://www.crunchbase.com/funding_round/carbon-waters-seed--1aaf35f4,Carbon Waters,https://www.crunchbase.com/organization/carbon-waters,Seed,700000,EUR,785327,2020-01-01,"218,172","Manufacturing, Nanotechnology",Seed,22000,EUR,24682,Yes,Carbon Waters is a graphene company.,"Pessac, Aquitaine, France, Europe",https://www.carbon-waters.com/,$1B to $10B,1620000,EUR,1868273,Seed,4,,,,,
Equity Crowdfunding - Akewatu,https://www.crunchbase.com/funding_round/akewatu-equity-crowdfunding--ac451945,Akewatu,https://www.crunchbase.com/organization/akewatu,Equity Crowdfunding,776299,EUR,774621,2022-09-13,"167,014","E-Commerce, Outdoors, Recreation, Sporting Goods",,12000000,EUR,11974064,Yes,"Akewatu offers a wide collection of sporting goods such as surfboard, skateboard, clothing and related accessories.","Lège, Aquitaine, France, Europe",https://www.akewatu.com/,,2276299,EUR,2511631,,3,,Crowdcube,,1,
Equity Crowdfunding - Hopaal,https://www.crunchbase.com/funding_round/hopaal-equity-crowdfunding--d4be5e53,Hopaal,https://www.crunchbase.com/organization/hopaal,Equity Crowdfunding,705658,EUR,774459,2023-04-18,"123,691","E-Commerce, Recycling, Textiles",,3171053,EUR,3480230,Yes,"Hopaal designs sustainable 100% recycled clothing, organic cotton & polyester, which take care of people and the planet.","Biarritz, Aquitaine, France, Europe",https://hopaal.com/,Less than $1M,705658,EUR,774459,,1,,Crowdcube,,1,
Seed Round - Starfish Bioscience,https://www.crunchbase.com/funding_round/starfish-bioscience-seed--98bff605,Starfish Bioscience,https://www.crunchbase.com/organization/starfish-bioscience,Seed,700000,EUR,757236,2024-10-28,"20,489","AgTech, Biotechnology, Life Science",Seed,,,,Yes,Starfish Bioscience focuses on the innovation and development of microbiological solutions for agriculture and viticulture.,"Bordeaux, Aquitaine, France, Europe",https://www.starfishbio.com/,,1600000,EUR,1725376,Seed,2,,"Bpifrance, IRDI",,2,
Pre Seed Round - SYLPHAERO,https://www.crunchbase.com/funding_round/sylphaero-pre-seed--c2522a42,SYLPHAERO,https://www.crunchbase.com/organization/sylphaero,Pre-Seed,600000,EUR,728754,2021-05-15,"103,415","Aerospace, Electric Vehicle, GreenTech",Seed,,,,Yes,Fully electric jet engines for zero-emission aircraft propulsion.,"Mérignac, Aquitaine, France, Europe",https://www.sylphaero.com,,600000,EUR,728754,Seed,1,Région Nouvelle-Aquitaine,"Airbus Développement, European Space Agency, Horizon Europe, La French Tech, Région Nouvelle-Aquitaine, Réseau Entreprendre",,6,
Pre Seed Round - Deestree,https://www.crunchbase.com/funding_round/deestree-pre-seed--d14ac634,Deestree,https://www.crunchbase.com/organization/deestree,Pre-Seed,670000,EUR,720265,2023-06-11,"540,680","B2B, Food Processing, Service Industry",Seed,,,,Yes,"Deestree, the B2B food sector is progressively attempting to digitize.","Bordeaux, Aquitaine, France, Europe",https://www.deestree.com,,670000,EUR,720265,,2,,Bpifrance,,1,
Debt Financing - Madeinvote,https://www.crunchbase.com/funding_round/madeinvote-debt-financing--677585f1,Madeinvote,https://www.crunchbase.com/organization/madeinvote,Debt Financing,600000,EUR,647388,2023-12-07,"84,726","Analytics, Consumer Research, Market Research, Marketing, Software",,,,,No,"With its ultra-targeted online consumer research solution, Madeinvote provides key insights that will help brands and organizations","Bordeaux, Aquitaine, France, Europe",https://madeinvote.com/,$1M to $10M,3700000,EUR,4141500,,4,,"Credit Agricole Aquitaine Expansion, GSO Innovation",1,2,
Pre Seed Round - Vision Technology,https://www.crunchbase.com/funding_round/vision-technology-c0ef-pre-seed--5bf581f2,Vision Technology,https://www.crunchbase.com/organization/vision-technology-c0ef,Pre-Seed,600000,EUR,644192,2024-04-01,"48,409","Energy, Renewable Energy",Seed,,,,Yes,Vision Technology is creating a novel technology for hydrogen combustion engines that fully utilizes the properties of hydrogen molecules.,"Pau, Aquitaine, France, Europe",,,600000,EUR,644192,Seed,1,,"Bpifrance, Cédric Genet, Group IDEC INVEST, Région Nouvelle-Aquitaine",,4,
Pre Seed Round - BEEGUARD,https://www.crunchbase.com/funding_round/beeguard-pre-seed--13897bab,BEEGUARD,https://www.crunchbase.com/organization/beeguard,Pre-Seed,527000,EUR,633797,2021-05-02,"147,190",Software,Seed,2058375,EUR,2475505,Yes,Agritech/Greentech solution to produce biodiversity impact KPI,"Labège, Midi-Pyrenees, France, Europe",https://www.beeguard.fr,,527000,EUR,633797,Seed,1,,,,,
Pre Seed Round - Rockease,https://www.crunchbase.com/funding_round/rockease-pre-seed--516b1378,Rockease,https://www.crunchbase.com/organization/rockease,Pre-Seed,550000,EUR,618232,2022-01-26,"110,302","Construction, Marketplace",Seed,,,,Yes,Rockease is a B2B marketplace for construction materials.,"Bordeaux, Aquitaine, France, Europe",https://www.rockease.io/,,550000,EUR,618232,Seed,1,,,,,
Pre Seed Round - Luos,https://www.crunchbase.com/funding_round/luos-pre-seed--4d91540a,Luos,https://www.crunchbase.com/organization/luos,Pre-Seed,500000,EUR,608210,2021-02-22,"518,308","Developer Tools, Embedded Software, Embedded Systems, Open Source, Robotics, Software",Seed,,,,Yes,The world’s first open source devtool that makes hardware as agile as software,"Bordeaux, Aquitaine, France, Europe",https://www.luos.io,$1M to $10M,1830000,EUR,2191196,,5,AQUITI Gestion,"AQUITI Gestion, Foreis, Skalepark",,3,
Equity Crowdfunding - The Bordeaux Distilling Company,https://www.crunchbase.com/funding_round/the-bordeaux-distilling-company-equity-crowdfunding--2682176b,The Bordeaux Distilling Company,https://www.crunchbase.com/organization/the-bordeaux-distilling-company,Equity Crowdfunding,497750,GBP,595705,2022-07-20,"90,207","Distillery, Wine And Spirits",,1650000,GBP,1974712,Yes,"The Bordeaux Distilling Company provides offers designed, crafted, and bottled on-site in small batches with passion and without dogmatism.","Bordeaux, Aquitaine, France, Europe",https://bordeauxdistilling.co/,,497750,GBP,595705,,1,,Crowdcube,,1,
Equity Crowdfunding - Immoblade,https://www.crunchbase.com/funding_round/immoblade-equity-crowdfunding--ee773163,Immoblade,https://www.crunchbase.com/organization/immoblade,Equity Crowdfunding,548553,EUR,569581,2025-01-06,"3,214","Construction, Manufacturing, Renewable Energy",,,,,Yes,"IMMOBLADE is an innovative company specializing in solar protection, passive and seasonal glazing.","Toulouse, Midi-Pyrenees, France, Europe",https://www.immoblade.com/,,548553,EUR,569581,,1,,,,,
