Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,CB Rank (Funding Round),Organization Industries,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,Diversity Spotlight
Series A - Neat,https://www.crunchbase.com/funding_round/neat-f0bf-series-a--dc62e3fd,Neat,https://www.crunchbase.com/organization/neat-f0bf,Series A,30000000,EUR,33060984,2024-09-10,"7,562","Financial Services, Insurance",Early Stage Venture,,,,Yes,Neat is an InsurTech startup that provides retailers with embedded insurance solutions.,"Bordeaux, Aquitaine, France, Europe",https://www.neat.eu,,60000000,EUR,64962241,Early Stage Venture,3,Hedosophia,"Alma Mundi Ventures, Athletico Ventures, ETFS Capital, Hedosophia",,4,
Venture Round - Aura Aero,https://www.crunchbase.com/funding_round/aura-aero-series-unknown--878c8943,Aura Aero,https://www.crunchbase.com/organization/aura-aero,Venture - Series Unknown,29790000,EUR,32881158,2023-12-31,"214,322","Aerospace, Automotive, Industrial Automation",,,,,Yes,AURA AERO aims to serve mankind by designing and manufacturing aircraft that accelerate air transport decarbonization,"Cugnaux, Midi-Pyrenees, France, Europe",https://www.aura-aero.com,$10M to $50M,194291937,USD,194291937,Seed,7,,,,,
Venture Round - NewHeat,https://www.crunchbase.com/funding_round/newheat-series-unknown--acd1b6bb,NewHeat,https://www.crunchbase.com/organization/newheat,Venture - Series Unknown,30000000,EUR,32834109,2023-11-20,"62,746","Machinery Manufacturing, Solar",,,,,Yes,NewHeat owns and operates solar heat plants.,"Bègles, Aquitaine, France, Europe",http://newheat.fr/,,53800000,EUR,59641780,,4,,"Bpifrance, Groupe Etchart, Holdheat, Noria Invest, Swen Capital Partners",1,5,
Venture Round - Greenspot,https://www.crunchbase.com/funding_round/greenspot-series-unknown--b570582d,Greenspot,https://www.crunchbase.com/organization/greenspot,Venture - Series Unknown,30000000,EUR,32128101,2024-06-25,"24,976","Charging Infrastructure, Electric Vehicle, Environmental Consulting",,,,,Yes,Greenspot is actively involved in responsible mobility by developing electric terminals in public and commercial spaces.,"Eysines, Aquitaine, France, Europe",https://www.greenspot.fr,,30000000,EUR,32128101,,1,"Epopée Gestion, OCCTE","Epopée Gestion, OCCTE",1,2,
Series B - Micropep Technologies,https://www.crunchbase.com/funding_round/micropep-technologies-series-b--980499fd,Micropep Technologies,https://www.crunchbase.com/organization/micropep-technologies,Series B,27000000,EUR,29298687,2024-07-25,"24,254","Agriculture, Biotechnology, Chemical, Lead Generation",Early Stage Venture,,,,Yes,Micropep Technologies is a biotech company that focused on biological alternatives to agrochemicals.,"Ramonville-saint-agne, Midi-Pyrenees, France, Europe",http://micro-pep.com/,$1M to $10M,64591847,USD,64591847,Early Stage Venture,5,"Bpifrance, Zebra Impact Ventures","Bpifrance, Fall Line Capital, FMC Ventures, IRDI, Sofinnova Partners, Supernova Invest, Zebra Impact Ventures",6,7,
Series A - Materrup,https://www.crunchbase.com/funding_round/materrup-series-a--07e122f3,Materrup,https://www.crunchbase.com/organization/materrup,Series A,26000000,EUR,27836425,2024-06-20,"13,583","Building Material, Construction, Industrial, Manufacturing",Early Stage Venture,,,,Yes,Materrup is a building materials market.,"Saint-geours-de-maremne, Aquitaine, France, Europe",https://www.materrup.com,$1M to $10M,28403093,EUR,30349505,Early Stage Venture,2,"Eurazeo, European Innovation Council and SMEs Executive Agency","AQUITI Gestion, Argiduna Capital, Eurazeo, European Innovation Council and SMEs Executive Agency, IRDI SORIDEC Gestion, UI Investissement",4,6,
Series B - Synapse Medicine,https://www.crunchbase.com/funding_round/synapse-medicine-series-b--a885fee8,Synapse Medicine,https://www.crunchbase.com/organization/synapse-medicine,Series B,25000000,EUR,27830501,2022-03-01,"170,915","Health Care, Medical, Medical Device, Pharmaceutical, Software",Early Stage Venture,,,,Yes,Synapse Medicine provides medication decision solutions to deliver enhanced patient-centered insights for care teams.,"Bordeaux, Aquitaine, France, Europe",https://synapse-medicine.com/,$10M to $50M,38669110,USD,38669110,Early Stage Venture,3,Korelya Capital,"BNP Paribas Développement, Korelya Capital, MACSF, Mutuelles Impact, XAnge",2,5,
Series B - adopt',https://www.crunchbase.com/funding_round/adopt-series-b--b8df1846,adopt',https://www.crunchbase.com/organization/adopt,Series B,26200000,EUR,27279164,2022-05-13,"171,928","Beauty, Consumer Goods, Cosmetics, E-Commerce, Fashion",Early Stage Venture,,,,Yes,"adopt' manufactures and distributes perfumes, body creams, and eye accessories.","Cestas, Aquitaine, France, Europe",https://www.adopt.com,$50M to $100M,26200000,EUR,27279164,Early Stage Venture,2,,"AXA Group, NextStage, Trocadero Capital Partners",1,3,
Series B - Antabio,https://www.crunchbase.com/funding_round/antabio-series-b--dd0f23e8,Antabio,https://www.crunchbase.com/organization/antabio,Series B,25000000,EUR,26996237,2023-12-12,"90,354","Biotechnology, Life Science, Medical Device",Early Stage Venture,,,,Yes,Antabio is a private biopharmaceutical company developing antibacterial resistance-breakers in areas of highest medical need.,"Labège, Midi-Pyrenees, France, Europe",https://antabio.com,Less than $1M,73086852,USD,73086852,Early Stage Venture,17,,"AMR Action Fund, BNP Paribas Développement, Christophe Ricard, European Innovation Council, IRDI SORIDEC Gestion, Turenne Capital",3,6,
Series B - FineHeart,https://www.crunchbase.com/funding_round/fineheart-series-b--05e33325,FineHeart,https://www.crunchbase.com/organization/fineheart,Series B,21000000,EUR,25656752,2021-06-01,"677,310","Biotechnology, Health Care, Medical, Medical Device",Early Stage Venture,,,,Yes,FineHeart is a medical device company,"Bordeaux, Aquitaine, France, Europe",http://fineheart.fr,$1M to $10M,44910000,EUR,49936484,Late Stage Venture,4,,"AQUITI Gestion, Broadview Ventures, Doliam, Galia Gestion, IRDI, Lauak Group, M Capital Partners, Verve Ventures",1,8,
