"from","to","domain","full","binary","expected","untapped","links.rca","sum_from","sum_to","binary.pc","th.max","th.max.pc","RD","RD.added"
"Agder and Rogaland (NO04)","Oslo and Akershus (NO01)","Artificial intelligence",7,2,0.11,-1.89,18.18,8,22,0.0411,15,0.0022,18.19,40.09
"Agder and Rogaland (NO04)","Oslo and Akershus (NO01)","ICT",10,4,0.48,-3.52,8.33,63,122,0.0096,92.5,0.0012,18.32,35.15
"Agder and Rogaland (NO04)","Oslo and Akershus (NO01)","Life & Health Sciences",21,7,0.84,-6.16,8.33,39,294,0.0152,166.5,0.0018,11.52,39.06
"Agder and Rogaland (NO04)","Oslo and Akershus (NO01)","Sustainability & Circularity",25,10,0.43,-9.57,23.26,65,91,0.0607,78,0.0026,39.81,13.43
"Agder and Rogaland (NO04)","Rheinhessen-Pfalz (DEB3)","ICT",3,1,1.44,0.44,0.69,63,487,0.0024,275,0.0035,18.32,13.03
"Agder and Rogaland (NO04)","Rheinhessen-Pfalz (DEB3)","Quantum",3,1,0.07,-0.93,14.29,2,9,0.1277,5.5,0.0092,5.18,12.84
"Agder and Rogaland (NO04)","South Holland (NL33)","ICT",2,1,0.76,-0.24,1.32,63,229,0.0024,146,0.0018,18.32,18.53
"Agder and Rogaland (NO04)","South-Eastern Norway (NO03)","Sustainability & Circularity",3,1,0.33,-0.67,3.03,65,53,0.0061,59,0.002,39.81,18.93
"Agder and Rogaland (NO04)","Southern Finland (FI1C)","ICT",1,1,0.51,-0.49,1.96,63,132,0.0024,97.5,0.0012,18.32,7.15
"Agder and Rogaland (NO04)","Trøndelag (NO06)","ICT",3,3,0.36,-2.64,8.33,63,74,0.0072,68.5,9e-04,18.32,33.81
"Agder and Rogaland (NO04)","Trøndelag (NO06)","Life & Health Sciences",7,2,0.29,-1.71,6.9,39,78,0.0043,58.5,6e-04,11.52,28.93
"Agder and Rogaland (NO04)","Trøndelag (NO06)","Nanotechnology",7,2,0.07,-1.93,28.57,3,12,0.1674,7.5,0.0055,14.88,34.17
"Agder and Rogaland (NO04)","Trøndelag (NO06)","Sustainability & Circularity",3,2,0.33,-1.67,6.06,65,53,0.0121,59,0.002,39.81,17.84
"Agder and Rogaland (NO04)","Weser-Ems (DE94)","Life & Health Sciences",1,1,0.28,-0.72,3.57,39,71,0.0022,55,6e-04,11.52,15.99
"Agder and Rogaland (NO04)","Western Norway (NO05)","Data Science",2,1,0.02,-0.98,50,3,1,0.087,2,0.0016,15.67,2.56
"Agder and Rogaland (NO04)","Western Norway (NO05)","ICT",13,9,0.24,-8.76,37.5,63,27,0.0217,45,6e-04,18.32,6.49
"Agder and Rogaland (NO04)","Western Norway (NO05)","Life & Health Sciences",26,6,0.32,-5.68,18.75,39,88,0.013,63.5,7e-04,11.52,30.06
"Agder and Rogaland (NO04)","Western Norway (NO05)","Quantum",2,1,0.03,-0.97,33.33,2,2,0.1277,2,0.0034,5.18,11.36
"Agder and Rogaland (NO04)","Western Norway (NO05)","Sustainability & Circularity",10,6,0.29,-5.71,20.69,65,39,0.0364,52,0.0017,39.81,14.8
"Agder and Rogaland (NO04)","Île-de-France (FR10)","Artificial intelligence",1,1,1.27,0.27,0.79,8,345,0.0206,176.5,0.0262,18.19,33.8
"Agder and Rogaland (NO04)","Île-de-France (FR10)","ICT",1,1,7.48,6.48,0.13,63,2798,0.0024,1430.5,0.018,18.32,33.16
"Aguascalientes (ME01)","Aguascalientes (ME01)","Life & Health Sciences",0,0,0,0,NA,0,0,0,0,0,21.17,0
"Aguascalientes (ME01)","Aguascalientes (ME01)","Sustainability & Circularity",0,0,0,0,NA,0,0,0,0,0,27.34,0
"Alentejo (PT18)","Alentejo (PT18)","ICT",0,0,0.01,0.01,0,2,2,0,2,0,14.42,0
"Alentejo (PT18)","Alentejo (PT18)","Life & Health Sciences",1,1,0.04,-0.96,25,8,8,0.0022,8,1e-04,12.68,0
"Alentejo (PT18)","Alentejo (PT18)","Sustainability & Circularity",42,4,0.07,-3.93,57.14,13,13,0.0243,13,4e-04,45.97,0
"Alentejo (PT18)","Central Portugal (PT16)","Life & Health Sciences",3,2,0.31,-1.69,6.45,8,115,0.0043,61.5,7e-04,12.68,61.64
"Alentejo (PT18)","Central Portugal (PT16)","Sustainability & Circularity",4,4,0.1,-3.9,40,13,24,0.0243,18.5,6e-04,45.97,12.87
"Alentejo (PT18)","Metropolitan area of Lisbon (PT17)","ICT",3,2,0.09,-1.91,22.22,2,32,0.0048,17,2e-04,14.42,11.96
"Alentejo (PT18)","Metropolitan area of Lisbon (PT17)","Life & Health Sciences",36,4,0.41,-3.59,9.76,8,156,0.0087,82,9e-04,12.68,65.48
"Alentejo (PT18)","Metropolitan area of Lisbon (PT17)","Sustainability & Circularity",4,4,0.11,-3.89,36.36,13,27,0.0243,20,7e-04,45.97,10.97
"Alentejo (PT18)","North (PT) (PT11)","Life & Health Sciences",1,1,0.51,-0.49,1.96,8,197,0.0022,102.5,0.0011,12.68,73.48
"Alentejo (PT18)","Småland with Islands (SE21)","Sustainability & Circularity",2,1,0.11,-0.89,9.09,13,26,0.0061,19.5,7e-04,45.97,13.04
"Algarve (PT15)","Algarve (PT15)","ICT",0,0,0.01,0.01,0,1,1,0,1,0,16.34,0
"Algarve (PT15)","Algarve (PT15)","Life & Health Sciences",7,2,0.05,-1.95,40,9,9,0.0043,9,1e-04,66.03,0
"Algarve (PT15)","Braunschweig (DE91)","ICT",3,1,1.34,0.34,0.75,1,513,0.0024,257,0.0032,16.34,39.43
"Algarve (PT15)","Central Portugal (PT16)","Life & Health Sciences",7,2,0.31,-1.69,6.45,9,115,0.0043,62,7e-04,66.03,23.01
"Algarve (PT15)","Darmstadt (DE71)","Life & Health Sciences",1,1,5.66,4.66,0.18,9,2246,0.0022,1127.5,0.0123,66.03,6.65
"Algarve (PT15)","Metropolitan area of Lisbon (PT17)","Life & Health Sciences",10,3,0.41,-2.59,7.32,9,156,0.0065,82.5,9e-04,66.03,18.9
"Algarve (PT15)","North (PT) (PT11)","Life & Health Sciences",11,1,0.52,-0.48,1.92,9,197,0.0022,103,0.0011,66.03,19.13
"Alkmaar (2759899)","Alkmaar (2759899)","Artificial intelligence",1,1,0.01,-0.99,100,1,1,0.0206,1,1e-04,17.62,0
"Alkmaar (2759899)","Alkmaar (2759899)","ICT",1,1,0.01,-0.99,100,1,1,0.0024,1,0,21.35,0
"Alkmaar (2759899)","Alkmaar (2759899)","Life & Health Sciences",10,1,0.01,-0.99,100,2,2,0.0022,2,0,37.67,0
"Alkmaar (2759899)","Alkmaar (2759899)","Nanotechnology",0,0,0.01,0.01,0,1,1,0,1,7e-04,40.63,0
"Alkmaar (2759899)","Alkmaar (2759899)","Sustainability & Circularity",0,0,0.01,0.01,0,2,2,0,2,1e-04,48.48,0
"Alkmaar (2759899)","Brittany (FR52)","Nanotechnology",1,1,0.04,-0.96,25,1,7,0.0837,4,0.0029,40.63,2.83
"Alkmaar (2759899)","Brittany (FR52)","Sustainability & Circularity",1,1,0.21,-0.79,4.76,2,75,0.0061,38.5,0.0013,48.48,6.37
"Alkmaar (2759899)","Lake Geneva Region (CH01)","Life & Health Sciences",1,1,3.15,2.15,0.32,2,1253,0.0022,627.5,0.0068,37.67,50.53
"Alkmaar (2759899)","Lombardy (ITC4)","Sustainability & Circularity",1,1,1.03,0.03,0.97,2,371,0.0061,186.5,0.0063,48.48,13.69
"Alsace (FR42)","Alsace (FR42)","Artificial intelligence",9,5,0.12,-4.88,41.67,17,17,0.1028,17,0.0025,9.49,0
