"id","id2","x","y","color","parent","size"
"Berlin",69,13.392,-52.5186,"green","DE",1
"Brandenburg",70,13.6827,-52.0204,"green","DE",1
"Bremen",71,8.7383,-53.1064,"green","DE",1
"Hamburg",72,10.0281,-53.5458,"green","DE",1
"Darmstadt",73,8.7628,-49.9962,"green","DE",1
"Gießen",74,8.8011,-50.698,"green","DE",1
"Kassel",75,9.3513,-51.1851,"green","DE",1
"Mecklenburg-Vorpommern",76,12.5302,-53.8138,"green","DE",1
"Braunschweig",77,10.2454,-51.8274,"green","DE",1
"Hannover",78,9.3014,-52.3682,"green","DE",1
"Lüneburg",79,9.775,-53.1836,"green","DE",1
"Weser-Ems",80,7.6776,-53.0492,"green","DE",1
"Düsseldorf",81,6.6429,-51.4059,"green","DE",1
"Köln",82,6.8471,-50.7566,"green","DE",1
"Münster",83,7.3473,-51.9311,"green","DE",1
"Detmold",84,8.7699,-51.9228,"green","DE",1
"Arnsberg",85,8.0494,-51.2078,"green","DE",1
"Koblenz",86,7.4643,-50.1937,"green","DE",1
"Trier",87,6.6891,-49.9627,"green","DE",1
"Rheinhessen-Pfalz",88,7.879,-49.4052,"green","DE",1
"Saarland",89,6.8831,-49.41,"green","DE",1
"Dresden",90,14.0985,-51.1663,"green","DE",1
"Chemnitz",91,12.7677,-50.7688,"green","DE",1
"Leipzig",92,12.6812,-51.3219,"green","DE",1
"Sachsen-Anhalt",93,11.8827,-51.9723,"green","DE",1
"Schleswig-Holstein",94,9.7144,-54.0259,"green","DE",1
"Thüringen",95,11.1156,-50.8861,"green","DE",1
"Hovedstaden",96,12.3204,-55.9748,"lightbrown","DK",1
"Sjælland",97,11.7027,-55.2822,"lightbrown","DK",1
"Syddanmark",98,8.9725,-55.367,"lightbrown","DK",1
"Midtjylland",99,9.5212,-56.2342,"lightbrown","DK",1
"Nordjylland",100,9.42,-57.1034,"lightbrown","DK",1
"Eesti",101,25.7975,-58.8014,"black","EE",1
"Galicia",102,-7.9429,-42.6592,"orange","ES",1
"Principado de Asturias",103,-5.825,-43.3221,"orange","ES",1
"Cantabria",104,-4.1114,-43.2308,"orange","ES",1
"País Vasco",105,-2.6122,-43.0583,"orange","ES",1
"Comunidad Foral de Navarra",106,-1.5821,-42.6086,"orange","ES",1
"La Rioja",107,-2.429,-42.3172,"orange","ES",1
"Aragón",108,-0.6385,-41.5069,"orange","ES",1
"Comunidad de Madrid",109,-3.7097,-40.4584,"orange","ES",1
"Castilla y León",110,-4.6554,-41.8161,"orange","ES",1
"Castilla-La Mancha",111,-3.1161,-39.2593,"orange","ES",1
"Extremadura",112,-6.0981,-39.2871,"orange","ES",1
"Cataluña",113,1.6814,-41.8429,"orange","ES",1
"Comunidad Valenciana",114,-0.4117,-39.3594,"orange","ES",1
"Illes Balears",115,2.9136,-39.6244,"orange","ES",1
"Andalucía",116,-4.6019,-37.6583,"orange","ES",1
"Región de Murcia",117,-1.5247,-37.9008,"orange","ES",1
"Ciudad Autónoma de Ceuta",118,-5.3472,-35.8883,"orange","ES",1
"Ciudad Autónoma de Melilla",119,-2.9473,-35.2932,"orange","ES",1
"Länsi-Suomi",120,23.7948,-62.0754,"grey","FI",1
"Helsinki-Uusimaa",121,24.4255,-60.276,"grey","FI",1
"Etelä-Suomi",122,25.5028,-61.2438,"grey","FI",1
"Pohjois- ja Itä-Suomi",123,26.6793,-66.0567,"grey","FI",1
"Île de France",124,2.5379,-48.6345,"blue","FR",1
"Champagne-Ardenne",125,4.5602,-48.9797,"blue","FR",1
"Picardie",126,2.883,-49.5727,"blue","FR",1
"Haute-Normandie",127,1.0122,-49.3919,"blue","FR",1
"Centre",128,1.5742,-47.6205,"blue","FR",1
"Basse-Normandie",129,-0.4322,-48.9232,"blue","FR",1
"Bourgogne",130,4.2253,-47.0552,"blue","FR",1
"Nord - Pas-de-Calais",131,2.8838,-50.3824,"blue","FR",1
"Lorraine",132,6.276,-48.7326,"blue","FR",1
"Alsace",133,7.3759,-48.24,"blue","FR",1
"Franche-Comté",134,6.1848,-47.3378,"blue","FR",1
"Pays de la Loire",135,-0.9527,-47.4745,"blue","FR",1
"Bretagne",136,-2.7677,-48.0895,"blue","FR",1
"Poitou-Charentes",137,-0.0358,-46.1576,"blue","FR",1
"Aquitaine",138,-0.3733,-44.4559,"blue","FR",1
"Midi-Pyrénées",139,1.5114,-43.7152,"blue","FR",1
"Limousin",140,1.6867,-45.7555,"blue","FR",1
"Rhône-Alpes",141,5.5265,-45.2763,"blue","FR",1
"Auvergne",142,3.1837,-45.8399,"blue","FR",1
"Languedoc-Roussillon",143,3.2348,-43.5232,"blue","FR",1
