"id","x","y","parent","color"
"Cloud computing",2011,3,"Digital transition","blue"
"Cloud computing",2010,3,"Digital transition","blue"
"Efficient power & combustion",2020,3,"Green transition","green"
"Efficient power & combustion",2014,3,"Green transition","green"
"Efficient power & combustion",2011,3,"Green transition","green"
"Efficient power & combustion",2013,3,"Green transition","green"
"Other energy storage",2011,3,"Green transition","green"
"Recycling technologies",2017,3,"Green transition","green"
"Waste management",2016,3,"Green transition","green"
"Waste management",2013,3,"Green transition","green"
"Waste management",2012,3,"Green transition","green"
"Water related adaptation technologies",2016,3,"Green transition","green"
"Artificial intelligence",2012,2,"Digital transition","blue"
"Autonomous robots",2014,2,"Digital transition","blue"
"Biofuels",2021,2,"Green transition","green"
"Biofuels",2012,2,"Green transition","green"
"Biofuels",2020,2,"Green transition","green"
"Biotechnology",2013,2,"Green transition","green"
"Biotechnology",2017,2,"Green transition","green"
"Efficient power & combustion",2021,2,"Green transition","green"
"Efficient power & combustion",2010,2,"Green transition","green"
"Marine & hydro energy",2017,2,"Green transition","green"
"Nanotechnology",2012,2,"Digital transition","blue"
"Nanotechnology",2017,2,"Digital transition","blue"
"Nanotechnology",2018,2,"Digital transition","blue"
"Other energy storage",2020,2,"Green transition","green"
"Other energy storage",2021,2,"Green transition","green"
"Quantum computers",2015,2,"Digital transition","blue"
"Recycling technologies",2016,2,"Green transition","green"
"Recycling technologies",2013,2,"Green transition","green"
"Waste management",2021,2,"Green transition","green"
"Waste management",2010,2,"Green transition","green"
"Water related adaptation technologies",2019,2,"Green transition","green"
"Water related adaptation technologies",2014,2,"Green transition","green"
"Water related adaptation technologies",2013,2,"Green transition","green"
"Water related adaptation technologies",2015,2,"Green transition","green"
"Water related adaptation technologies",2012,2,"Green transition","green"
"Wind energy",2018,2,"Green transition","green"
"Wind energy",2020,2,"Green transition","green"
"Additive manufacturing",2021,1,"Digital transition","blue"
"Additive manufacturing",2011,1,"Digital transition","blue"
"Additive manufacturing",2013,1,"Digital transition","blue"
"Additive manufacturing",2016,1,"Digital transition","blue"
"Biofuels",2010,1,"Green transition","green"
"Biofuels",2013,1,"Green transition","green"
"Biofuels",2015,1,"Green transition","green"
"Biotechnology",2015,1,"Green transition","green"
"Biotechnology",2012,1,"Green transition","green"
"Greenhouse gas capture",2016,1,"Green transition","green"
"Greenhouse gas capture",2015,1,"Green transition","green"
"Greenhouse gas capture",2012,1,"Green transition","green"
"Marine & hydro energy",2015,1,"Green transition","green"
"Nanotechnology",2010,1,"Digital transition","blue"
"Nanotechnology",2020,1,"Digital transition","blue"
"Quantum computers",2016,1,"Digital transition","blue"
"Quantum computers",2012,1,"Digital transition","blue"
"Quantum computers",2013,1,"Digital transition","blue"
"Quantum computers",2020,1,"Digital transition","blue"
"Quantum computers",2010,1,"Digital transition","blue"
"Quantum computers",2017,1,"Digital transition","blue"
"Quantum computers",2014,1,"Digital transition","blue"
"Recycling technologies",2014,1,"Green transition","green"
"Recycling technologies",2018,1,"Green transition","green"
"Recycling technologies",2021,1,"Green transition","green"
"Recycling technologies",2010,1,"Green transition","green"
"Recycling technologies",2011,1,"Green transition","green"
"Recycling technologies",2020,1,"Green transition","green"
"Waste management",2015,1,"Green transition","green"
"Water related adaptation technologies",2020,1,"Green transition","green"
"Wind energy",2021,1,"Green transition","green"
