"id","x","y","parent","color"
"Hydrogen",2015,0.3,"Green transition","green"
"Hydrogen",2012,0.29,"Green transition","green"
"Hydrogen",2014,0.26,"Green transition","green"
"Hydrogen",2018,0.31,"Green transition","green"
"Hydrogen",2013,0.27,"Green transition","green"
"Additive manufacturing",2014,0.2,"Digital transition","blue"
"Additive manufacturing",2012,0.21,"Digital transition","blue"
"Artificial intelligence",2010,0.24,"Digital transition","blue"
"Autonomous robots",2018,0.23,"Digital transition","blue"
"Biofuels",2019,0.24,"Green transition","green"
"Biofuels",2016,0.21,"Green transition","green"
"Biofuels",2011,0.24,"Green transition","green"
"Biotechnology",2019,0.24,"Green transition","green"
"Efficient power & combustion",2018,0.23,"Green transition","green"
"Efficient power & combustion",2011,0.24,"Green transition","green"
"Efficient power & combustion",2014,0.2,"Green transition","green"
"Efficient power & combustion",2017,0.24,"Green transition","green"
"Nuclear energy",2010,0.24,"Green transition","green"
"Other energy storage",2017,0.24,"Green transition","green"
"Other energy storage",2016,0.21,"Green transition","green"
"Recycling technologies",2010,0.24,"Green transition","green"
"Wind energy",2020,0.34,"Green transition","green"
"Wind energy",2017,0.24,"Green transition","green"
"Additive manufacturing",2010,0.16,"Digital transition","blue"
"Air & Water pollution reduction",2021,0.45,"Green transition","green"
"Autonomous robots",2010,0.16,"Digital transition","blue"
"Autonomous robots",2013,0.14,"Digital transition","blue"
"Biofuels",2014,0.13,"Green transition","green"
"Biofuels",2015,0.15,"Green transition","green"
"Biofuels",2018,0.15,"Green transition","green"
"Biofuels",2010,0.16,"Green transition","green"
"Biotechnology",2020,0.23,"Green transition","green"
"Biotechnology",2018,0.15,"Green transition","green"
"Biotechnology",2012,0.14,"Green transition","green"
"Biotechnology",2010,0.16,"Green transition","green"
"Efficient power & combustion",2010,0.16,"Green transition","green"
"Greenhouse gas capture",2017,0.16,"Green transition","green"
"Greenhouse gas capture",2011,0.16,"Green transition","green"
"Marine & hydro energy",2011,0.16,"Green transition","green"
"Marine & hydro energy",2010,0.16,"Green transition","green"
"Marine & hydro energy",2013,0.14,"Green transition","green"
"Nuclear energy",2016,0.14,"Green transition","green"
"Nuclear energy",2018,0.15,"Green transition","green"
"Other energy storage",2011,0.16,"Green transition","green"
"Recycling technologies",2011,0.16,"Green transition","green"
"Recycling technologies",2012,0.14,"Green transition","green"
"Smart grids",2020,0.23,"Digital transition","blue"
"Waste management",2012,0.14,"Green transition","green"
"Waste management",2010,0.16,"Green transition","green"
"Wind energy",2013,0.14,"Green transition","green"
"Wind energy",2019,0.16,"Green transition","green"
"Wind energy",2014,0.13,"Green transition","green"
"Wind energy",2010,0.16,"Green transition","green"
"Autonomous robots",2015,0.07,"Digital transition","blue"
"Autonomous robots",2021,0.22,"Digital transition","blue"
"Autonomous robots",2017,0.08,"Digital transition","blue"
"Autonomous robots",2011,0.08,"Digital transition","blue"
"Biofuels",2017,0.08,"Green transition","green"
"Biotechnology",2013,0.07,"Green transition","green"
"Biotechnology",2014,0.07,"Green transition","green"
"Efficient power & combustion",2015,0.07,"Green transition","green"
"Geothermal energy",2011,0.08,"Green transition","green"
"Geothermal energy",2013,0.07,"Green transition","green"
"Geothermal energy",2017,0.08,"Green transition","green"
"Green transports",2021,0.22,"Green transition","green"
"Hydrogen",2016,0.07,"Green transition","green"
"Hydrogen",2021,0.22,"Green transition","green"
"Hydrogen",2020,0.11,"Green transition","green"
"Marine & hydro energy",2015,0.07,"Green transition","green"
"Marine & hydro energy",2017,0.08,"Green transition","green"
"Marine & hydro energy",2016,0.07,"Green transition","green"
"Nuclear energy",2013,0.07,"Green transition","green"
"Nuclear energy",2017,0.08,"Green transition","green"
"Nuclear energy",2021,0.22,"Green transition","green"
"Other energy storage",2010,0.08,"Green transition","green"
"Other energy storage",2015,0.07,"Green transition","green"
"Recycling technologies",2016,0.07,"Green transition","green"
"Recycling technologies",2021,0.22,"Green transition","green"
"Recycling technologies",2014,0.07,"Green transition","green"
"Recycling technologies",2020,0.11,"Green transition","green"
"Waste management",2020,0.11,"Green transition","green"
"Waste management",2013,0.07,"Green transition","green"
"Waste management",2018,0.08,"Green transition","green"
"Waste management",2016,0.07,"Green transition","green"
"Waste management",2021,0.22,"Green transition","green"
"Water related adaptation technologies",2016,0.07,"Green transition","green"
"Water related adaptation technologies",2011,0.08,"Green transition","green"
"Wind energy",2015,0.07,"Green transition","green"
