"id","parent","value","color","share"
"Sumitomo Chemical Company Ltd (JP)","Advanced Sustainable Materials",1,"orange",0.01
"Sumitomo Chemical Company Ltd (JP)","Biotechnology",1,"lightorange",0.01
"Musc Foundation For Research Development (US)","Nanotechnology",1,"darkred",0.01
"Ps Global Sdn Bhd (MY)","Waste management",1,"blue",0.01
"Bioconsortia Inc (US)","Advanced Sustainable Materials",2,"orange",0.02
"Bioconsortia Inc (US)","Biotechnology",2,"lightorange",0.02
"The J David Gladstone Institutes (US)","Biotechnology",2,"lightorange",0.02
"The Regents Of The University Of California (US)","Biotechnology",60,"lightorange",0.45
"Irobot Corporation (US)","Augmented reality",2,"navyblue",0.02
"China Agricultural University (CN)","Biotechnology",15,"lightorange",0.11
"5th Screen Digital Inc (US)","Internet of things",1,"turquoise",0.01
"Indiana University Research And Technology Corporation (US)","Biotechnology",2,"lightorange",0.02
"Institut National De La Sant„© Et De La Recherche M„©Dicale (FR)","Biotechnology",3,"lightorange",0.02
"Institut Pasteur (FR)","Biotechnology",5,"lightorange",0.04
"Sun Pharmaceutical Industries Australia Limited (AU)","Biotechnology",1,"lightorange",0.01
"Peleszezak Pascal (FR)","Water related adaptation technologies",1,"indigo",0.01
"Basf Se (DE)","Advanced Sustainable Materials",4,"orange",0.03
"Basf Se (DE)","Biotechnology",29,"lightorange",0.22
"Koppert Bv (NL)","Advanced Sustainable Materials",2,"orange",0.02
"W„ºNsche Thomas (DE)","Autonomous vehicles",1,"cyan",0.01
"Veolia Water Solutions & Technologies Support (FR)","Air & Water pollution reduction",1,"grey",0.01
"Max-Planck-Gesellschaft Zur F„∂Rderung Der Wissenschaften Ev (DE)","Nanotechnology",1,"darkred",0.01
"Institut F„ºR Biotechnologie Und Wirkstoff-Forschung Ggmbh (DE)","Nanotechnology",1,"darkred",0.01
"Mwi Veterinary Supply Co (US)","Cloud computing",1,"maroon",0.01
"Mirrx Therapeutics A/S (DK)","Biotechnology",1,"lightorange",0.01
"University Of Sydney (AU)","Biotechnology",2,"lightorange",0.02
"Centenary Institute Of Cancer Medicine And Cell Biology (AU)","Biotechnology",2,"lightorange",0.02
"Farm Land Co Ltd (JP)","Solar energy",2,"green",0.02
"Farm Land Co Ltd (JP)","Green buildings",2,"darkorange",0.02
"Fujifilm Corporation (JP)","Biotechnology",8,"lightorange",0.06
"University Of Tsukuba (JP)","Biotechnology",9,"lightorange",0.07
"The Curators Of The University Of Missouri (US)","Biotechnology",6,"lightorange",0.05
"California Institute Of Technology (US)","Biotechnology",6,"lightorange",0.05
"Ottawa Hospital Research Institute (CA)","Biotechnology",1,"lightorange",0.01
"Myelin Therapeutics Inc (US)","Biotechnology",1,"lightorange",0.01
"Iteris Inc (US)","Water related adaptation technologies",1,"indigo",0.01
"International Capital Investment Llc (US)","Air & Water pollution reduction",1,"grey",0.01
"International Capital Investment Llc (US)","Recycling technologies",1,"darkgreen",0.01
"Weyerhauser Nr Company (US)","Biotechnology",1,"lightorange",0.01
"Research Foundation Of The City University Of New York (US)","Biotechnology",2,"lightorange",0.02
"Sime Darby Plantation Sdn Bhd (MY)","Biotechnology",1,"lightorange",0.01
"Lacos Computerservice Gmbh (DE)","Autonomous vehicles",1,"cyan",0.01
"Fat Jeff Limited (UK)","Green buildings",1,"darkorange",0.01
"Heliae Development Llc (US)","Biotechnology",8,"lightorange",0.06
"Novozymes Bioag A/S (DK)","Waste management",3,"blue",0.02
"Novozymes A/S (DK)","Advanced Sustainable Materials",10,"orange",0.08
"Board Of Trustees Of The University Of Arkansas (US)","Advanced Sustainable Materials",1,"orange",0.01
"Board Of Trustees Of The University Of Arkansas (US)","Biotechnology",1,"lightorange",0.01
"Oxyrase Inc (US)","Advanced Sustainable Materials",1,"orange",0.01
"Oxyrase Inc (US)","Biotechnology",1,"lightorange",0.01
"Niab (UK)","Biotechnology",1,"lightorange",0.01
"Commonwealth Scientific And Industrial Research Organisation (AU)","Biotechnology",19,"lightorange",0.14
"Philip Anie (CA)","Biotechnology",1,"lightorange",0.01
"Hong Guan Ltd (CN)","Biotechnology",1,"lightorange",0.01
"Peking University (CN)","Biotechnology",5,"lightorange",0.04
"Beihao Stem Cell And Regenerative Medicine Research Institute Co Ltd (CN)","Biotechnology",1,"lightorange",0.01
"Ajinomoto Co Inc (JP)","Waste management",1,"blue",0.01
"Yanmar Co Ltd (JP)","Autonomous vehicles",27,"cyan",0.2
"Olfactor Laboratories Inc (US)","Autonomous vehicles",1,"cyan",0.01
"Ai Innovations Nv (US)","Water related adaptation technologies",2,"indigo",0.02
"Mie University (JP)","Biotechnology",2,"lightorange",0.02
"The Medical Research Infrastructure And Health Services Fund Of The Tel Aviv Medical Center (IL)","Biotechnology",2,"lightorange",0.02
"Korea University Research And Business Foundation (KR)","Biotechnology",14,"lightorange",0.11
"Parabel Nutrition Inc (US)","Biotechnology",2,"lightorange",0.02
"Champions Oncology Inc (US)","Biotechnology",1,"lightorange",0.01
"Airponix Ltd (UK)","Biotechnology",1,"lightorange",0.01
"Universit„§T Zu L„ºBeck (DE)","Biotechnology",1,"lightorange",0.01
"Forschungszentrum Borstel Leibniz-Zentrum F„ºR Medizin Und Biowissenschaften (DE)","Biotechnology",1,"lightorange",0.01
"Rheinisch-Westf„§Lische Technische Hochschule (Rwth) Aachen (DE)","Biotechnology",2,"lightorange",0.02
"Freie Universit„§T Berlin (DE)","Biotechnology",1,"lightorange",0.01
"Fliegl Agrartechnik Gmbh (DE)","Waste management",1,"blue",0.01
"Next Renewable Group Bv (NL)","Biofuels",1,"brown",0.01
"Next Renewable Group Bv (NL)","Recycling technologies",1,"darkgreen",0.01
"Browa Mario (DE)","Green buildings",1,"darkorange",0.01
"Browa Mario (DE)","Advanced Sustainable Materials",1,"orange",0.01
"Astrazeneca Ab (SE)","Biotechnology",1,"lightorange",0.01
"Microgen Biotech (IE)","Advanced Sustainable Materials",1,"orange",0.01
"Microgen Biotech (IE)","Biotechnology",1,"lightorange",0.01
"Centauri Biotech Sl (ES)","Biotechnology",1,"lightorange",0.01
"M-Farms Gmbh (DE)","Augmented reality",1,"navyblue",0.01
"Ceva Sa„∫de Animal Ltda (BR)","Biotechnology",1,"lightorange",0.01
"Morin Mario (CA)","Solar energy",1,"green",0.01
"Morin Mario (CA)","Batteries",1,"red",0.01
"Chen Yuhang (CN)","Biotechnology",1,"lightorange",0.01
"Livestock Improvement Corporation Limited (NZ)","Augmented reality",2,"navyblue",0.02
"The Regents Of The University Of California (US)","Water related adaptation technologies",1,"indigo",0.01
"The Regents Of The University Of California (US)","Autonomous vehicles",1,"cyan",0.01
"Monsanto Technology Llc (US)","Water related adaptation technologies",2,"indigo",0.02
"Ford Global Technologies Llc (US)","Autonomous vehicles",1,"cyan",0.01
"Heliae Development Llc (US)","Air & Water pollution reduction",2,"grey",0.02
"Heliae Development Llc (US)","Waste management",3,"blue",0.02
"Monsanto Technology Llc (US)","Waste management",2,"blue",0.02
"Monsanto Technology Llc (US)","Advanced Sustainable Materials",6,"orange",0.05
"Obshchestvo S Ogranitchennoy Otvetstvennost'yu 'Fungi Pak' (RU)","Biotechnology",1,"lightorange",0.01
"Mitsui Chemicals Inc (JP)","Advanced Sustainable Materials",2,"orange",0.02
"Oban Sponge Rubber Co Ltd (JP)","Advanced Sustainable Materials",1,"orange",0.01
"Carl Zeiss Sports Optics Gmbh (DE)","Autonomous vehicles",1,"cyan",0.01
"Carl Zeiss Sports Optics Gmbh (DE)","Cybersecurity",1,"yellow",0.01
"Bennamann Services Ltd Uk (UK)","Air & Water pollution reduction",1,"grey",0.01
"Bennamann Services Ltd Uk (UK)","Biofuels",1,"brown",0.01
"Bennamann Services Ltd Uk (UK)","Biotechnology",1,"lightorange",0.01
"Permavoid Limited (UK)","Air & Water pollution reduction",1,"grey",0.01
"Algol Chemicals Oy (FI)","Air & Water pollution reduction",1,"grey",0.01
"Algol Chemicals Oy (FI)","Waste management",1,"blue",0.01
"Algol Chemicals Oy (FI)","Biofuels",1,"brown",0.01
