"id";"value";"share";"ctry"
"Hkc Corporation Limited";16;0,05;"CN"
"Nuro Inc";16;0,05;"US"
"Koito Manufacturing Co Ltd";16;0,05;"JP"
"Suzhou Rainmed Medical Technology Co Ltd";16;0,05;"CN"
"Smith&Nephew Orthopaedics Ag";16;0,05;"CH"
"Smith&Nephew Asia Pacific Pte Limited";16;0,05;"SG"
"Shenzhen Gowild Robotics Co Ltd";16;0,05;"CN"
"Nike Innovate Cv";15;0,05;"US"
"Lightlab Imaging Inc";15;0,05;"US"
"Hamamatsu Photonics Kk";15;0,05;"JP"
"Rakuten Group Inc";15;0,05;"JP"
"Caterpillar Inc";15;0,05;"US"
"Intuit Inc";15;0,05;"US"
"Beijing Xiaomi Mobile Software Co Ltd";15;0,05;"CN"
"Vivo Mobile Communication Co Ltd";15;0,05;"CN"
"Beijing Microlive Vision Technology Co Ltd";15;0,05;"CN"
"Guangdong Kangyun Technologies Limited";15;0,05;"CN"
"Toyota Motor Europe";14;0,05;"BE"
"Accuray Inc";14;0,05;"US"
"Institute Of Automation Chinese Academy Of Sciences";14;0,05;"CN"
"Toshiba Infrastructure Systems & Solutions Corporation";14;0,05;"JP"
"Mayo Foundation For Medical Education And Research";14;0,05;"US"
"Topcon Corporation";14;0,05;"JP"
"Shenzhen Institutes Of Advanced Technology Chinese Academy Of Sciences";14;0,05;"CN"
"Hrl Laboratories Llc";14;0,05;"US"
"Beijing 7invensun Technology Co Ltd";14;0,05;"CN"
"Ntt Docomo Inc";14;0,05;"JP"
"Tadano Ltd";14;0,05;"JP"
"Biosense Webster (Israel) Ltd";14;0,05;"IL"
"Furuno Electric Co Ltd";14;0,05;"JP"
"One Connect Smart Technology Co Ltd (Shenzhen)";14;0,05;"CN"
"Zhejiang Sensetime Technology Development Co Ltd";14;0,05;"CN"
"Tobii Ab";13;0,04;"SE"
"Henkel Ag & Co Kgaa";13;0,04;"DE"
"Purdue Research Foundation";13;0,04;"US"
"Pirelli Tyre Spa";13;0,04;"IT"
"Hanwha Techwin Co Ltd";13;0,04;"KR"
"Boston Scientific Scimed Inc";13;0,04;"US"
"Carrier Corporation";13;0,04;"US"
"Shanghai Jiao Tong University";13;0,04;"CN"
"Huazhong University Of Science And Technology";13;0,04;"CN"
"Korea University Research And Business Foundation";13;0,04;"KR"
"Safran";13;0,04;"FR"
"Memorial Sloan Kettering Cancer Center";13;0,04;"US"
"Pfu Limited";13;0,04;"JP"
"Aisin Seiki Kabushiki Kaisha";13;0,04;"JP"
"Ckd Corporation";13;0,04;"JP"
"Shanghaitech University";13;0,04;"CN"
"Tobii Ab";13;0,04;"US"
"Niantic Inc";13;0,04;"US"
"Butterfly Network Inc";13;0,04;"US"
"Chongqing Hkc Optoelectronics Technology Co Ltd";13;0,04;"CN"
"Shenzhen Orbbec Co Ltd";13;0,04;"CN"
"Shanghai Jiao Tong University";13;0,04;"HK"
"Hong Kong Applied Science And Technology Research";13;0,04;"HK"
"Tencent America Llc";13;0,04;"US"
"Valeo Schalter Und Sensoren Gmbh";12;0,04;"DE"
"Heartflow Inc";12;0,04;"US"
"Institut National De La Sant„© Et De La Recherche M„©Dicale (Inserm)";12;0,04;"FR"
"Elbit Systems Ltd";12;0,04;"IL"
"Panasonic Corporation";12;0,04;"JP"
"The Asan Foundation";12;0,04;"KR"
"Dentsply Sirona Inc";12;0,04;"US"
"Applied Materials Israel Ltd";12;0,04;"IL"
"Irobot Corporation";12;0,04;"US"
"The Charles Stark Draper Laboratory Inc";12;0,04;"US"
"South China University Of Technology";12;0,04;"CN"
"Kowa Company Ltd";12;0,04;"JP"
"Daikin Industries Ltd";12;0,04;"JP"
"Koninklijke Kpn Nv";12;0,04;"NL"
"Avigilon Corporation";12;0,04;"CA"
"Ford Global Technologies Llc";12;0,04;"US"
"Bandai Namco Entertainment Inc";12;0,04;"JP"
"Fyusion Inc";12;0,04;"US"
"Citrix Systems Inc";12;0,04;"US"
"Shenzhen Realis Multimedia Technology Co Ltd";12;0,04;"CN"
"Shenzhen A&E Intelligent Technology Institute Co";12;0,04;"CN"
"Naver Labs Corporation";12;0,04;"KR"
"Acclarent Inc";12;0,04;"US"
"Tractable Ltd";12;0,04;"UK"
"Citrix Systems Inc";12;0,04;"CN"
"Krones Ag";11;0,04;"DE"
"Essilor International";11;0,04;"FR"
"The Cleveland Clinic Foundation";11;0,04;"US"
"Bayer Aktiengesellschaft";11;0,04;"DE"
"Nubia Technology Co Ltd";11;0,04;"CN"
"Magic Pony Technology Limited";11;0,04;"UK"
"3shape A/S";11;0,04;"DK"
"Wisconsin Alumni Research Foundation";11;0,04;"US"
"King Abdullah University Of Science And Technology";11;0,04;"SA"
"Hologic Inc";11;0,04;"US"
"Carl Zeiss Ag";11;0,04;"DE"
"Netflix Inc";11;0,04;"US"
"Ramot At Tel-Aviv University Ltd";11;0,04;"IL"
"The Trustees Of Columbia University In The City Of New York";11;0,04;"US"
"Sony Interactive Entertainment America Llc";11;0,04;"US"
"Auris Health Inc";11;0,04;"US"
"Carl Zeiss Smt Gmbh";11;0,04;"DE"
"Nuvasive Inc";11;0,04;"US"
"Cygames Inc";11;0,04;"JP"
"Aquifi Inc";11;0,04;"US"
"Rovi Guides Inc";11;0,04;"US"
"Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno";11;0,04;"NL"
"Warner Bros Entertainment Inc";11;0,04;"US"
"Honeywell International Inc";11;0,04;"US"
"National University Of Singapore";11;0,04;"SG"
"Magik Eye Inc";11;0,04;"US"
"Displaylink (Uk) Limited";11;0,04;"UK"
"Shenzhen China Star Optoelectronics Semiconductor Display Technology Co Ltd";11;0,04;"CN"
"Five Ai Limited";11;0,04;"UK"
"Kabushiki Kaisha Tokai Rika Denki Seisakusho";11;0,04;"JP"
"Mujin Inc";11;0,04;"JP"
"Jlk Inc";11;0,04;"KR"
"Shenzhen China Star Optoelectronics Semiconductor";11;0,04;"CN"
"Sony Pictures Entertainment Inc";11;0,04;"US"
"Trimble Inc";10;0,03;"US"
"Becton Dickinson And Company";10;0,03;"US"
"Crown Equipment Corporation";10;0,03;"US"
"Here Global Bv";10;0,03;"NL"
"Yulong Computer Telecommunication Scientific (Shenzhen) Co Ltd";10;0,03;"CN"
"Sirona Dental Systems Gmbh";10;0,03;"DE"
"Mediatek Inc";10;0,03;"TW"
"Cubic Corporation";10;0,03;"US"
"Fotonation Limited";10;0,03;"IE"
"Kla - Tencor Corporation";10;0,03;"US"
"Arizona Board Of Regents On Behalf Of Arizona State University";10;0,03;"US"
"Services P„©Troliers Schlumberger";10;0,03;"FR"
"Corning Incorporated";10;0,03;"US"
"Singapore Health Services Pte Ltd";10;0,03;"SG"
"Safran Electronics & Defense";10;0,03;"FR"
"Riken";10;0,03;"JP"
"Honor Device Co Ltd";10;0,03;"CN"
"Fuel 3d Technologies Limited";10;0,03;"UK"
"Graduate School At Shenzhen Tsinghua University";10;0,03;"CN"
"Seeing Machines Limited";10;0,03;"AU"
"Sk Telecom Co Ltd";10;0,03;"KR"
"Kyungpook National University Industry-Academic Cooperation Foundation";10;0,03;"KR"
"Nidec Corporation";10;0,03;"JP"
"Pioneer Corporation";10;0,03;"JP"
"Veoneer Sweden Ab";10;0,03;"SE"
"Shanghai Putao Technology Co Ltd";10;0,03;"CN"
"Zf Friedrichshafen Ag";10;0,03;"DE"
"Beijing Sankuai Online Technology Co Ltd";10;0,03;"CN"
"Mitsumi Electric Co Ltd";10;0,03;"JP"
"Wing Aviation Llc";10;0,03;"US"
"Southeast University";10;0,03;"CN"
"Anycheck Information Technologies Co Ltd";10;0,03;"CN"
"Deepmap Inc";10;0,03;"US"
"Baiducom Times Technology (Beijing) Co Ltd";10;0,03;"CN"
"Baidu Usa Llc";10;0,03;"US"
"Inspekto Amv Ltd";10;0,03;"IL"
"Lyft Inc";10;0,03;"US"
"Mediatek Inc";10;0,03;"CN"
"Agt International Gmbh";9;0,03;"CH"
"Centre National De La Recherche Scientifique (Cnrs)";9;0,03;"FR"
"Continental Automotive France";9;0,03;"FR"
"Faro Technologies Inc";9;0,03;"US"
"Bendix Commercial Vehicle Systems Llc";9;0,03;"US"
"Universit„© De Bordeaux";9;0,03;"FR"
"Thales";9;0,03;"FR"
"Hewlett Packard Enterprise Development Lp";9;0,03;"US"
"The University Of North Carolina At Chapel Hill";9;0,03;"US"
"Beijing Kuangshi Technology Co Ltd";9;0,03;"CN"
"Commissariat √† L'energie Atomique Et Aux Energies Alternatives";9;0,03;"FR"
"Washington University";9;0,03;"US"
"Materialise Nv";9;0,03;"BE"
"Schlumberger Technology Bv";9;0,03;"NL"
"Snap-On Incorporated";9;0,03;"US"
"Tomtom Global Content Bv";9;0,03;"NL"
"President And Fellows Of Harvard College";9;0,03;"US"
"National Cancer Center";9;0,03;"KR"
"Carl Zeiss Meditec Ag";9;0,03;"DE"
"Lemobile Information Technology (Beijing) Co Ltd";9;0,03;"CN"
"Nippon Steel Corporation";9;0,03;"JP"
"Osram Gmbh";9;0,03;"DE"
"Seoul National University R&Db Foundation";9;0,03;"KR"
"Shenzhen Skyworth-Rgb Electronic Co Ltd";9;0,03;"CN"
"Guangzhou Xaircraft Technology Co Ltd";9;0,03;"CN"
"Board Of Regents The University Of Texas System";9;0,03;"US"
"Geomni Inc";9;0,03;"US"
"Carl Zeiss Vision International Gmbh";9;0,03;"DE"
"Seoul National University Hospital";9;0,03;"KR"
"Canon Usa Inc";9;0,03;"US"
"Kyushu Institute Of Technology";9;0,03;"JP"
"Varjo Technologies Oy";9;0,03;"FI"
"Capital One Services Llc";9;0,03;"US"
"Sony Mobile Communications Inc";9;0,03;"JP"
"Shenzhen Intellifusion Technologies Co Ltd";9;0,03;"CN"
"Verb Surgical Inc";9;0,03;"US"
"Tokyo Electron Limited";9;0,03;"JP"
"National Cancer Center";9;0,03;"JP"
"Wal-Mart Apollo Llc";9;0,03;"US"
