"id";"value";"share";"ctry"
"Aqua Co Ltd";8;0,07;"JP"
"Astec International Limited";8;0,07;"HK"
"South China University Of Technology";8;0,07;"CN"
"Toshiba Energy Systems & Solutions Corporation";8;0,07;"JP"
"Toshiba Carrier Corporation";8;0,07;"JP"
"Guangzhou Haoyang Electronic Co Ltd";8;0,07;"CN"
"Fastbrick Ip Pty Ltd";8;0,07;"AU"
"Silanna Asia Pte Ltd";8;0,07;"SG"
"Yazaki Energy System Corporation";8;0,07;"JP"
"Shenzhen Shenglu Iot Communication Technology Co Ltd";8;0,07;"CN"
"Bsh Hausger„ÑTe Gmbh";8;0,07;"DE"
"Shenzhen Sosen Electronics Co Ltd";8;0,07;"CN"
"Intelligent Energy Limited";7;0,06;"UK"
"Hella Gmbh & Co Kgaa";7;0,06;"DE"
"Sony Group Corporation";7;0,06;"JP"
"Innosys Inc";7;0,06;"US"
"Navitas Semiconductor Inc";7;0,06;"US"
"Mahle International Gmbh";7;0,06;"DE"
"Sengled Optoelectronics Co Ltd";7;0,06;"CN"
"Fuelcell Energy Inc";7;0,06;"US"
"Konica Minolta Inc";7;0,06;"JP"
"Seoul Viosys Co Ltd";7;0,06;"KR"
"Sekisui Chemical Co Ltd";7;0,06;"JP"
"Appulse Power Inc";7;0,06;"CA"
"Osram Opto Semiconductors Gmbh";7;0,06;"DE"
"Gd Midea Environment Appliances Mfg Co Ltd";7;0,06;"CN"
"Vertiv Corporation";7;0,06;"US"
"Nanyang Technological University";7;0,06;"SG"
"Evapco Inc";7;0,06;"US"
"Appotronics Corporation Limited";7;0,06;"CN"
"Tsinghua University";7;0,06;"CN"
"Nguyen Chi Co Ltd";7;0,06;"VN"
"Delos Living Llc";7;0,06;"US"
"Infinitum Electric Inc";7;0,06;"US"
"Gree Electric Appliances (Wuhan) Co Ltd";7;0,06;"CN"
"Schreder Sa";7;0,06;"BE"
"Clearvue Technologies Ltd";7;0,06;"AU"
"United Technologies Corporation";6;0,05;"US"
"Valeo Vision";6;0,05;"FR"
"Centre National De La Recherche Scientifique";6;0,05;"FR"
"Electronic Theatre Controls Inc";6;0,05;"US"
"Raytheon Technologies Corporation";6;0,05;"US"
"Rheem Manufacturing Company";6;0,05;"US"
"British Gas Trading Limited";6;0,05;"UK"
"Saint-Gobain Glass France";6;0,05;"FR"
"King Abdullah University Of Science And Technology";6;0,05;"SA"
"Valeo Systemes Thermiques";6;0,05;"FR"
"Schneider Electric It Corporation";6;0,05;"US"
"Efficient Energy Gmbh";6;0,05;"DE"
"Queen's University At Kingston";6;0,05;"CA"
"Guangdong Midea Kitchen Appliances Manufacturing Co Ltd";6;0,05;"CN"
"Jiaxing Super Lighting Electric Appliance Co Ltd";6;0,05;"CN"
"Zkw Group Gmbh";6;0,05;"AT"
"Ifp Energies Nouvelles";6;0,05;"FR"
"Praxair Technology Inc";6;0,05;"US"
"Toshiba Infrastructure Systems & Solutions Corporation";6;0,05;"JP"
"Enlighted Inc";6;0,05;"US"
"Jitaru Ionel";6;0,05;"US"
"Hitachi Industrial Equipment Systems Co Ltd";6;0,05;"JP"
"Shenzhen Sendis Semiconductor Co Ltd";6;0,05;"CN"
"Fujikura Ltd";6;0,05;"JP"
"Amazon Technologies Inc";6;0,05;"US"
"Noritz Corporation";6;0,05;"JP"
"Eldolab Holding Bv";6;0,05;"NL"
"Berker Gmbh & Co Kg";6;0,05;"DE"
"Lsis Co Ltd";6;0,05;"KR"
"Ecosense Lighting Inc";6;0,05;"US"
"Guangdong Midea Refrigeration Appliances Co Ltd";6;0,05;"CN"
"Noon Home Inc";6;0,05;"US"
"Hohai University";6;0,05;"CN"
"Shenzhen Merrytek Technology Co Ltd";6;0,05;"CN"
"Nicoventures Trading Limited";6;0,05;"UK"
"State Grid Jiangsu Electric Power Co Ltd";6;0,05;"CN"
"Shinry Technologies Co Ltd";6;0,05;"CN"
"Prodrive Technologies Bv";6;0,05;"NL"
"Lixil Corporation";6;0,05;"JP"
"Ls Electric Co Ltd";6;0,05;"KR"
"Gree Electric Appliances Incof Zhuhai";6;0,05;"CN"
"Toyota Jidosha Kabushiki Kaisha";5;0,04;"JP"
"Siemens Schweiz Ag";5;0,04;"CH"
"Itron Inc";5;0,04;"US"
"Ledvance Gmbh";5;0,04;"DE"
"Commissariat √† L'energie Atomique Et Aux Energies Alternatives";5;0,04;"FR"
"View Inc";5;0,04;"US"
"Universite Internationale De Rabat";5;0,04;"MA"
"Ushio Denki Kabushiki Kaisha";5;0,04;"JP"
"Astronautics Corporation Of America";5;0,04;"US"
"Sonnen Gmbh";5;0,04;"DE"
"Seoul Semiconductor Co Ltd";5;0,04;"KR"
"Sensus Spectrum Llc";5;0,04;"US"
"Pegasus Solar Inc";5;0,04;"US"
"Designergy Sa";5;0,04;"CH"
"Intellectual Discovery Co Ltd";5;0,04;"KR"
"Zhongshan Broad-Ocean Motor Co Ltd";5;0,04;"CN"
"Npc Tech Aps";5;0,04;"DK"
"Flisom Ag";5;0,04;"CH"
"Silicon Works Co Ltd";5;0,04;"KR"
"Cirrus Logic International Semiconductor Ltd";5;0,04;"UK"
"Yutou Technology (Hangzhou) Co Ltd";5;0,04;"CN"
"Abl Ip Holding Llc";5;0,04;"US"
"Rocky Research";5;0,04;"US"
"Hg Laundry Systems Llc";5;0,04;"US"
"Viessmann Climate Solutions Se";5;0,04;"DE"
"Osram Spa - Societa' Riunite Osram Edison Clerici";5;0,04;"IT"
"Shenzhen Boyn Electric Co Ltd";5;0,04;"CN"
"Lucis Technologies Holdings Limited";5;0,04;"KY"
"Fujitsu General Limited";5;0,04;"JP"
"Sz Dji Technology Co Ltd";5;0,04;"CN"
"Le Holdings (Beijing) Co Ltd";5;0,04;"CN"
"Intematix Corporation";5;0,04;"US"
"Witricity Corporation";5;0,04;"US"
"Yazaki Corporation";5;0,04;"JP"
"Agarwal Reema";5;0,04;"IN"
"National University Of Singapore";5;0,04;"SG"
"Miro Co Ltd";5;0,04;"KR"
"Luoyang Landglass Technology Co Ltd";5;0,04;"CN"
"Saginomiya Seisakusho Inc";5;0,04;"JP"
"Sengled Co Ltd";5;0,04;"CN"
"Geinoz Fran„ßOis Ignace";5;0,04;"CH"
"Echelon Corporation";5;0,04;"US"
"Coway Co Ltd";5;0,04;"KR"
"Edwards Limited";5;0,04;"UK"
"North Carolina State University";5;0,04;"US"
"Lin Huazi";5;0,04;"CA"
"W&E International (Canada) Corp";5;0,04;"CA"
"Shanghai Looall Electronic Technology Co Ltd";5;0,04;"CN"
"Saudi Arabian Oil Company";5;0,04;"SA"
"Hanon Systems";5;0,04;"KR"
"Shenzhen Sunmoon Microelectronics Co Ltd";5;0,04;"CN"
"Stiebel Eltron Gmbh & Co Kg";5;0,04;"DE"
"Ecoer Inc";5;0,04;"US"
"Qingdao Haier Joint Stock Co Ltd";5;0,04;"CN"
"Quepal Limited";5;0,04;"UK"
"Gentex Corporation";5;0,04;"US"
"Eagle Harbor Technologies Inc";5;0,04;"US"
"Total Se";5;0,04;"FR"
"10644137 Canada Inc";5;0,04;"CA"
"Baltimore Aircoil Company Inc";5;0,04;"US"
"Ubicquia Llc";5;0,04;"US"
"Appleton Grp Llc";5;0,04;"US"
"Fujikoki Corporation";5;0,04;"JP"
"Arcelik Anonim Sirketi";5;0,04;"TR"
"Csmc Technologies Fab2 Co Ltd";5;0,04;"CN"
"Broan-Nutone Llc";5;0,04;"US"
"Northwestern University";5;0,04;"US"
"Jiangsu Ledco Lighting Tech Co Ltd";5;0,04;"CN"
"Shanghai Tuituo Technology Co Ltd";5;0,04;"CN"
"Shenzhen China Star Optoelectronics Semiconductor";5;0,04;"CN"
"Ningbo Aux Electric Co Ltd";5;0,04;"CN"
"Aux Air Conditioner Co Ltd";5;0,04;"CN"
"Zhejiang University";5;0,04;"CN"
"Kwatercraft Co Ltd";5;0,04;"KR"
"Bitzer K„ºHlmaschinenbau Gmbh";4;0,03;"DE"
"Origami Energy Limited";4;0,03;"UK"
"Lumeta Llc";4;0,03;"US"
"Oxford University Innovation Limited";4;0,03;"UK"
"Inventio Ag";4;0,03;"CH"
"Rehau Ag + Co";4;0,03;"DE"
"Itron Global Sarl";4;0,03;"US"
"Innogy Se";4;0,03;"DE"
"Thyssenkrupp Ag";4;0,03;"DE"
"Schreder";4;0,03;"BE"
"Merck Patent Gmbh";4;0,03;"DE"
"Saint-Gobain Isover";4;0,03;"FR"
"Farm Land Co Ltd";4;0,03;"JP"
"Shenzhen China Star Optoelectronics Technology Co";4;0,03;"CN"
"Nr Electric Co Ltd";4;0,03;"CN"
"Foshan Shunde Midea Washing Appliances Mfg Co Ltd";4;0,03;"CN"
"Amotech Co Ltd";4;0,03;"KR"
"Eni Spa";4;0,03;"IT"
"Zeng Guohui";4;0,03;"CN"
"Mornsun Guangzhou Science & Technology Ltd";4;0,03;"CN"
"Sun Electric Digital Stream Ltd";4;0,03;"VG"
"Hewlett Packard Enterprise Development Lp";4;0,03;"US"
"Korea Institute Of Energy Research";4;0,03;"KR"
"Kabushiki Kaisha Toshiba Inc";4;0,03;"JP"
"Kyushu University National University Corporation";4;0,03;"JP"
"Munters Corporation";4;0,03;"US"
"L'air Liquide Soci„©T„© Anonyme Pour L'etude Et L'exploitation Des Proc„©D„©S Georges Claude";4;0,03;"FR"
"Alpha And Omega Semiconductor (Cayman) Ltd";4;0,03;"US"
"Oledworks Gmbh";4;0,03;"DE"
"Boe Optical Science And Technology Co Ltd";4;0,03;"CN"
"Rmh Tech Llc";4;0,03;"US"
"Landis+Gyr Ag";4;0,03;"CH"
"Swegon Operations Ab";4;0,03;"SE"
"Smash Solar Inc";4;0,03;"US"
"Myfc Ab";4;0,03;"SE"
"Wong Lee Wa";4;0,03;"US"
"Ivani Llc";4;0,03;"US"
"The University Of Hong Kong";4;0,03;"HK"
"Embertec Pty Ltd";4;0,03;"AU"
"Northeastern University";4;0,03;"CN"
"Leviton Manufacturing Co Inc";4;0,03;"US"
"Kabushiki Kaisha Toyota Jidoshokki";4;0,03;"JP"
"B/E Aerospace Inc";4;0,03;"US"
"Mitsumi Electric Co Ltd";4;0,03;"JP"
"Hyosung Corporation";4;0,03;"KR"
"Kamstrup A/S";4;0,03;"DK"
"Sage Electrochromics Inc";4;0,03;"US"
"Technical Consumer Products Inc";4;0,03;"US"
"Kabushiki Kaisha Yaskawa Denki";4;0,03;"JP"
"Northeastern University";4;0,03;"US"
"Bolymedia Holdings Co Ltd";4;0,03;"US"
"Covestro Llc";4;0,03;"US"
"Mitsubishi Heavy Industries Ltd";4;0,03;"JP"
"Ardex Anlagen Gmbh";4;0,03;"DE"
"Fujitsu Limited";4;0,03;"JP"
"Cooper Technologies Company";4;0,03;"US"
"Solar Frontier Kk";4;0,03;"JP"
"The University Of Sydney";4;0,03;"AU"
"Hps Home Power Solutions Gmbh";4;0,03;"DE"
"Innovel Danismanlik Ve Imalat Sanayi Ticaret Limited Sirketi";4;0,03;"TR"
"Ossia Inc";4;0,03;"US"
"Toshiba Materials Co Ltd";4;0,03;"JP"
"Ma Lighting Technology Gmbh";4;0,03;"DE"
"Secop Gmbh";4;0,03;"DE"
"Rheem Australia Pty Limited";4;0,03;"AU"
"Dexerials Corporation";4;0,03;"JP"
"Threebond Co Ltd";4;0,03;"JP"
"Sony Semiconductor Solutions Corporation";4;0,03;"JP"
"Unirac Inc";4;0,03;"US"
"Bekaert Combustion Technology Bv";4;0,03;"NL"
"Duk San Neolux Co Ltd";4;0,03;"KR"
"Signify North America Corporation";4;0,03;"US"
"Wei Xiaomin";4;0,03;"CN"
"Eurokera Snc";4;0,03;"FR"
"Sens Geoenergy Storage Ab";4;0,03;"SE"
"Nvent Services Gmbh";4;0,03;"CH"
"Cueni Marcel";4;0,03;"CH"
"Fondital Spa";4;0,03;"IT"
"Denka Company Limited";4;0,03;"JP"
"Kono Corporation Ltd";4;0,03;"KR"
"Ariston Thermo Spa";4;0,03;"IT"
"Brusa Elektronik Ag";4;0,03;"CH"
"Wiz Connected Lighting Co Limited";4;0,03;"HK"
"Total Solar International";4;0,03;"FR"
"Ricoh Company Ltd";4;0,03;"JP"
"Georgia Tech Research Corporation";4;0,03;"US"
"Lead Opto-Technology Co Ltd";4;0,03;"CN"
"Lark Jr William";4;0,03;"US"
"Ksb Se & Co Kgaa";4;0,03;"DE"
"Illum Horticulture Llc";4;0,03;"US"
"Adams Stephen P";4;0,03;"US"
"Nidec Corporation";4;0,03;"JP"
"Shenzhen Chuangwei-Rgb Electronic Co Ltd";4;0,03;"CN"
"Wang Yuhua";4;0,03;"CN"
"Edge Electrons Limited";4;0,03;"HK"
"Amosense Co Ltd";4;0,03;"KR"
"Cummins Power Generation Ip Inc";4;0,03;"US"
"Total Renewables";4;0,03;"FR"
"Bindl Marianne";4;0,03;"DE"
"National University Corporation Hokkaido University";4;0,03;"JP"
"Alliance For Sustainable Energy Llc";4;0,03;"US"
"Ba Energy Co Ltd";4;0,03;"KR"
"Westnetz Gmbh";4;0,03;"DE"
"Shenzhen Goodix Technology Co Ltd";4;0,03;"CN"
"Jiangsu Feitian Lighting Co Ltd";4;0,03;"CN"
"Anderson Industries Llc";4;0,03;"US"
"Hong Kong Applied Science And Technology Research";4;0,03;"HK"
"(Cnbm) Bengbu Design&Research Institute For Glass";4;0,03;"CN"
